financial_quarter,sending_location,age_group,stay_type,measure,value
2018/19 Q1,Scotland (All Areas Submitted),0-17 years,All Stays,"Rate per 1,000 People",0.1
2018/19 Q1,Scotland (All Areas Submitted),0-17 years,All Stays,Number of People,85
2018/19 Q1,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q1,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,Number of People,30
2018/19 Q1,Scotland (All Areas Submitted),0-17 years,Long Stay,"Rate per 1,000 People",0.1
2018/19 Q1,Scotland (All Areas Submitted),0-17 years,Long Stay,Number of People,55
2018/19 Q1,Scotland (All Areas Submitted),18-64 years,All Stays,"Rate per 1,000 People",1.4
2018/19 Q1,Scotland (All Areas Submitted),18-64 years,All Stays,Number of People,4580
2018/19 Q1,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3
2018/19 Q1,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,Number of People,1050
2018/19 Q1,Scotland (All Areas Submitted),18-64 years,Long Stay,"Rate per 1,000 People",1.1
2018/19 Q1,Scotland (All Areas Submitted),18-64 years,Long Stay,Number of People,3605
2018/19 Q1,Scotland (All Areas Submitted),65-74 years,All Stays,"Rate per 1,000 People",7.2
2018/19 Q1,Scotland (All Areas Submitted),65-74 years,All Stays,Number of People,4125
2018/19 Q1,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.7
2018/19 Q1,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,Number of People,400
2018/19 Q1,Scotland (All Areas Submitted),65-74 years,Long Stay,"Rate per 1,000 People",6.7
2018/19 Q1,Scotland (All Areas Submitted),65-74 years,Long Stay,Number of People,3820
2018/19 Q1,Scotland (All Areas Submitted),75-84 years,All Stays,"Rate per 1,000 People",34
2018/19 Q1,Scotland (All Areas Submitted),75-84 years,All Stays,Number of People,11280
2018/19 Q1,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.2
2018/19 Q1,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,Number of People,1075
2018/19 Q1,Scotland (All Areas Submitted),75-84 years,Long Stay,"Rate per 1,000 People",31.7
2018/19 Q1,Scotland (All Areas Submitted),75-84 years,Long Stay,Number of People,10515
2018/19 Q1,Scotland (All Areas Submitted),85+ years,All Stays,"Rate per 1,000 People",158.2
2018/19 Q1,Scotland (All Areas Submitted),85+ years,All Stays,Number of People,19515
2018/19 Q1,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,"Rate per 1,000 People",12.2
2018/19 Q1,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,Number of People,1500
2018/19 Q1,Scotland (All Areas Submitted),85+ years,Long Stay,"Rate per 1,000 People",150.4
2018/19 Q1,Scotland (All Areas Submitted),85+ years,Long Stay,Number of People,18550
2018/19 Q1,Scotland (All Areas Submitted),Unknown,All Stays,"Rate per 1,000 People",NA
2018/19 Q1,Scotland (All Areas Submitted),Unknown,All Stays,Number of People,10
2018/19 Q1,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q1,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,Number of People,0
2018/19 Q1,Scotland (All Areas Submitted),Unknown,Long Stay,"Rate per 1,000 People",NA
2018/19 Q1,Scotland (All Areas Submitted),Unknown,Long Stay,Number of People,10
2018/19 Q2,Scotland (All Areas Submitted),All Ages,All Stays,"Rate per 1,000 People",7.4
2018/19 Q2,Scotland (All Areas Submitted),All Ages,All Stays,Number of People,40095
2018/19 Q2,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,"Rate per 1,000 People",0.8
2018/19 Q2,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,Number of People,4395
2018/19 Q2,Scotland (All Areas Submitted),All Ages,Long Stay,"Rate per 1,000 People",6.8
2018/19 Q2,Scotland (All Areas Submitted),All Ages,Long Stay,Number of People,36805
2018/19 Q2,Scotland (All Areas Submitted),0-17 years,All Stays,"Rate per 1,000 People",0.1
2018/19 Q2,Scotland (All Areas Submitted),0-17 years,All Stays,Number of People,90
2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,Number of People,30
2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Long Stay,"Rate per 1,000 People",0.1
2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Long Stay,Number of People,60
2018/19 Q2,Scotland (All Areas Submitted),18-64 years,All Stays,"Rate per 1,000 People",1.4
2018/19 Q2,Scotland (All Areas Submitted),18-64 years,All Stays,Number of People,4600
2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3
2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,Number of People,1025
2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Long Stay,"Rate per 1,000 People",1.1
2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Long Stay,Number of People,3665
2018/19 Q2,Scotland (All Areas Submitted),65-74 years,All Stays,"Rate per 1,000 People",7.5
2018/19 Q2,Scotland (All Areas Submitted),65-74 years,All Stays,Number of People,4300
2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8
2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,Number of People,465
2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Long Stay,"Rate per 1,000 People",6.9
2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Long Stay,Number of People,3925
2018/19 Q2,Scotland (All Areas Submitted),75-84 years,All Stays,"Rate per 1,000 People",35.4
2018/19 Q2,Scotland (All Areas Submitted),75-84 years,All Stays,Number of People,11730
2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.8
2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,Number of People,1270
2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Long Stay,"Rate per 1,000 People",32.7
2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Long Stay,Number of People,10825
2018/19 Q2,Scotland (All Areas Submitted),85+ years,All Stays,"Rate per 1,000 People",156.6
2018/19 Q2,Scotland (All Areas Submitted),85+ years,All Stays,Number of People,19320
2018/19 Q2,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,"Rate per 1,000 People",12.9
2018/19 Q2,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,Number of People,1590
2018/19 Q2,Scotland (All Areas Submitted),85+ years,Long Stay,"Rate per 1,000 People",148
2018/19 Q2,Scotland (All Areas Submitted),85+ years,Long Stay,Number of People,18260
2018/19 Q2,Scotland (All Areas Submitted),Unknown,All Stays,"Rate per 1,000 People",NA
2018/19 Q2,Scotland (All Areas Submitted),Unknown,All Stays,Number of People,10
2018/19 Q2,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q2,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,Number of People,0
2018/19 Q2,Scotland (All Areas Submitted),Unknown,Long Stay,"Rate per 1,000 People",NA
2018/19 Q2,Scotland (All Areas Submitted),Unknown,Long Stay,Number of People,10
2018/19 Q3,Scotland (All Areas Submitted),All Ages,All Stays,"Rate per 1,000 People",7.4
2018/19 Q3,Scotland (All Areas Submitted),All Ages,All Stays,Number of People,40125
2018/19 Q3,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7
2018/19 Q3,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,Number of People,3795
2018/19 Q3,Scotland (All Areas Submitted),All Ages,Long Stay,"Rate per 1,000 People",6.8
2018/19 Q3,Scotland (All Areas Submitted),All Ages,Long Stay,Number of People,37240
2018/19 Q3,Scotland (All Areas Submitted),0-17 years,All Stays,"Rate per 1,000 People",0.1
2018/19 Q3,Scotland (All Areas Submitted),0-17 years,All Stays,Number of People,85
2018/19 Q3,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q3,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,Number of People,30
2018/19 Q3,Scotland (All Areas Submitted),0-17 years,Long Stay,"Rate per 1,000 People",0.1
2018/19 Q3,Scotland (All Areas Submitted),0-17 years,Long Stay,Number of People,55
2018/19 Q3,Scotland (All Areas Submitted),18-64 years,All Stays,"Rate per 1,000 People",1.3
2018/19 Q3,Scotland (All Areas Submitted),18-64 years,All Stays,Number of People,4555
2018/19 Q3,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3
2018/19 Q3,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,Number of People,955
2018/19 Q3,Scotland (All Areas Submitted),18-64 years,Long Stay,"Rate per 1,000 People",1.1
2018/19 Q3,Scotland (All Areas Submitted),18-64 years,Long Stay,Number of People,3675
2018/19 Q3,Scotland (All Areas Submitted),65-74 years,All Stays,"Rate per 1,000 People",7.7
2018/19 Q3,Scotland (All Areas Submitted),65-74 years,All Stays,Number of People,4380
2018/19 Q3,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.7
2018/19 Q3,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,Number of People,405
2018/19 Q3,Scotland (All Areas Submitted),65-74 years,Long Stay,"Rate per 1,000 People",7.1
2018/19 Q3,Scotland (All Areas Submitted),65-74 years,Long Stay,Number of People,4065
2018/19 Q3,Scotland (All Areas Submitted),75-84 years,All Stays,"Rate per 1,000 People",36
2018/19 Q3,Scotland (All Areas Submitted),75-84 years,All Stays,Number of People,11935
2018/19 Q3,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.2
2018/19 Q3,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,Number of People,1060
2018/19 Q3,Scotland (All Areas Submitted),75-84 years,Long Stay,"Rate per 1,000 People",33.7
2018/19 Q3,Scotland (All Areas Submitted),75-84 years,Long Stay,Number of People,11165
2018/19 Q3,Scotland (All Areas Submitted),85+ years,All Stays,"Rate per 1,000 People",154.9
2018/19 Q3,Scotland (All Areas Submitted),85+ years,All Stays,Number of People,19105
2018/19 Q3,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,"Rate per 1,000 People",10.7
2018/19 Q3,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,Number of People,1320
2018/19 Q3,Scotland (All Areas Submitted),85+ years,Long Stay,"Rate per 1,000 People",147.6
2018/19 Q3,Scotland (All Areas Submitted),85+ years,Long Stay,Number of People,18215
2018/19 Q3,Scotland (All Areas Submitted),Unknown,All Stays,"Rate per 1,000 People",NA
2018/19 Q3,Scotland (All Areas Submitted),Unknown,All Stays,Number of People,15
2018/19 Q3,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,"Rate per 1,000 People",NA
2018/19 Q3,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,Number of People,5
2018/19 Q3,Scotland (All Areas Submitted),Unknown,Long Stay,"Rate per 1,000 People",NA
2018/19 Q3,Scotland (All Areas Submitted),Unknown,Long Stay,Number of People,10
2018/19 Q4,Scotland (All Areas Submitted),All Ages,All Stays,"Rate per 1,000 People",7.3
2018/19 Q4,Scotland (All Areas Submitted),All Ages,All Stays,Number of People,39590
2018/19 Q4,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7
2018/19 Q4,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,Number of People,3585
2018/19 Q4,Scotland (All Areas Submitted),All Ages,Long Stay,"Rate per 1,000 People",6.8
2018/19 Q4,Scotland (All Areas Submitted),All Ages,Long Stay,Number of People,36900
2018/19 Q4,Scotland (All Areas Submitted),0-17 years,All Stays,"Rate per 1,000 People",0.1
2018/19 Q4,Scotland (All Areas Submitted),0-17 years,All Stays,Number of People,95
2018/19 Q4,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q4,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,Number of People,35
2018/19 Q4,Scotland (All Areas Submitted),0-17 years,Long Stay,"Rate per 1,000 People",0.1
2018/19 Q4,Scotland (All Areas Submitted),0-17 years,Long Stay,Number of People,60
2018/19 Q4,Scotland (All Areas Submitted),18-64 years,All Stays,"Rate per 1,000 People",1.3
2018/19 Q4,Scotland (All Areas Submitted),18-64 years,All Stays,Number of People,4545
2018/19 Q4,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3
2018/19 Q4,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,Number of People,945
2018/19 Q4,Scotland (All Areas Submitted),18-64 years,Long Stay,"Rate per 1,000 People",1.1
2018/19 Q4,Scotland (All Areas Submitted),18-64 years,Long Stay,Number of People,3675
2018/19 Q4,Scotland (All Areas Submitted),65-74 years,All Stays,"Rate per 1,000 People",7.8
2018/19 Q4,Scotland (All Areas Submitted),65-74 years,All Stays,Number of People,4440
2018/19 Q4,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.6
2018/19 Q4,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,Number of People,365
2018/19 Q4,Scotland (All Areas Submitted),65-74 years,Long Stay,"Rate per 1,000 People",7.3
2018/19 Q4,Scotland (All Areas Submitted),65-74 years,Long Stay,Number of People,4165
2018/19 Q4,Scotland (All Areas Submitted),75-84 years,All Stays,"Rate per 1,000 People",36.3
2018/19 Q4,Scotland (All Areas Submitted),75-84 years,All Stays,Number of People,12020
2018/19 Q4,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.2
2018/19 Q4,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,Number of People,1045
2018/19 Q4,Scotland (All Areas Submitted),75-84 years,Long Stay,"Rate per 1,000 People",34.1
2018/19 Q4,Scotland (All Areas Submitted),75-84 years,Long Stay,Number of People,11305
2018/19 Q4,Scotland (All Areas Submitted),85+ years,All Stays,"Rate per 1,000 People",149.4
2018/19 Q4,Scotland (All Areas Submitted),85+ years,All Stays,Number of People,18430
2018/19 Q4,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,"Rate per 1,000 People",9.6
2018/19 Q4,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,Number of People,1185
2018/19 Q4,Scotland (All Areas Submitted),85+ years,Long Stay,"Rate per 1,000 People",142.9
2018/19 Q4,Scotland (All Areas Submitted),85+ years,Long Stay,Number of People,17630
2018/19 Q4,Scotland (All Areas Submitted),Unknown,All Stays,"Rate per 1,000 People",NA
2018/19 Q4,Scotland (All Areas Submitted),Unknown,All Stays,Number of People,10
2018/19 Q4,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2018/19 Q4,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,Number of People,0
2018/19 Q4,Scotland (All Areas Submitted),Unknown,Long Stay,"Rate per 1,000 People",NA
2018/19 Q4,Scotland (All Areas Submitted),Unknown,Long Stay,Number of People,10
2019/20 Q1,Scotland (All Areas Submitted),All Ages,All Stays,"Rate per 1,000 People",7.4
2019/20 Q1,Scotland (All Areas Submitted),All Ages,All Stays,Number of People,40485
2019/20 Q1,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,"Rate per 1,000 People",0.8
2019/20 Q1,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,Number of People,4605
2019/20 Q1,Scotland (All Areas Submitted),All Ages,Long Stay,"Rate per 1,000 People",6.8
2019/20 Q1,Scotland (All Areas Submitted),All Ages,Long Stay,Number of People,36920
2019/20 Q1,Scotland (All Areas Submitted),0-17 years,All Stays,"Rate per 1,000 People",0.1
2019/20 Q1,Scotland (All Areas Submitted),0-17 years,All Stays,Number of People,130
2019/20 Q1,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,"Rate per 1,000 People",0.1
2019/20 Q1,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,Number of People,65
2019/20 Q1,Scotland (All Areas Submitted),0-17 years,Long Stay,"Rate per 1,000 People",0.1
2019/20 Q1,Scotland (All Areas Submitted),0-17 years,Long Stay,Number of People,65
2019/20 Q1,Scotland (All Areas Submitted),18-64 years,All Stays,"Rate per 1,000 People",1.4
2019/20 Q1,Scotland (All Areas Submitted),18-64 years,All Stays,Number of People,4635
2019/20 Q1,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3
2019/20 Q1,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,Number of People,1155
2019/20 Q1,Scotland (All Areas Submitted),18-64 years,Long Stay,"Rate per 1,000 People",1.1
2019/20 Q1,Scotland (All Areas Submitted),18-64 years,Long Stay,Number of People,3565
2019/20 Q1,Scotland (All Areas Submitted),65-74 years,All Stays,"Rate per 1,000 People",7.2
2019/20 Q1,Scotland (All Areas Submitted),65-74 years,All Stays,Number of People,4190
2019/20 Q1,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.7
2019/20 Q1,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,Number of People,430
2019/20 Q1,Scotland (All Areas Submitted),65-74 years,Long Stay,"Rate per 1,000 People",6.7
2019/20 Q1,Scotland (All Areas Submitted),65-74 years,Long Stay,Number of People,3860
2019/20 Q1,Scotland (All Areas Submitted),75-84 years,All Stays,"Rate per 1,000 People",34
2019/20 Q1,Scotland (All Areas Submitted),75-84 years,All Stays,Number of People,11525
2019/20 Q1,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.6
2019/20 Q1,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,Number of People,1230
2019/20 Q1,Scotland (All Areas Submitted),75-84 years,Long Stay,"Rate per 1,000 People",31.4
2019/20 Q1,Scotland (All Areas Submitted),75-84 years,Long Stay,Number of People,10635
2019/20 Q1,Scotland (All Areas Submitted),85+ years,All Stays,"Rate per 1,000 People",157.3
2019/20 Q1,Scotland (All Areas Submitted),85+ years,All Stays,Number of People,19990
2019/20 Q1,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,"Rate per 1,000 People",13.5
2019/20 Q1,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,Number of People,1720
2019/20 Q1,Scotland (All Areas Submitted),85+ years,Long Stay,"Rate per 1,000 People",147.8
2019/20 Q1,Scotland (All Areas Submitted),85+ years,Long Stay,Number of People,18785
2019/20 Q1,Scotland (All Areas Submitted),Unknown,All Stays,"Rate per 1,000 People",NA
2019/20 Q1,Scotland (All Areas Submitted),Unknown,All Stays,Number of People,10
2019/20 Q1,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q1,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,Number of People,0
2019/20 Q1,Scotland (All Areas Submitted),Unknown,Long Stay,"Rate per 1,000 People",NA
2019/20 Q1,Scotland (All Areas Submitted),Unknown,Long Stay,Number of People,10
2019/20 Q2,Scotland (All Areas Submitted),All Ages,All Stays,"Rate per 1,000 People",7.4
2019/20 Q2,Scotland (All Areas Submitted),All Ages,All Stays,Number of People,40405
2019/20 Q2,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,"Rate per 1,000 People",0.9
2019/20 Q2,Scotland (All Areas Submitted),All Ages,Short Stay / Respite,Number of People,4655
2019/20 Q2,Scotland (All Areas Submitted),All Ages,Long Stay,"Rate per 1,000 People",6.7
2019/20 Q2,Scotland (All Areas Submitted),All Ages,Long Stay,Number of People,36835
2019/20 Q2,Scotland (All Areas Submitted),0-17 years,All Stays,"Rate per 1,000 People",0.1
2019/20 Q2,Scotland (All Areas Submitted),0-17 years,All Stays,Number of People,120
2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,"Rate per 1,000 People",0.1
2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Short Stay / Respite,Number of People,55
2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Long Stay,"Rate per 1,000 People",0.1
2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Long Stay,Number of People,65
2019/20 Q2,Scotland (All Areas Submitted),18-64 years,All Stays,"Rate per 1,000 People",1.4
2019/20 Q2,Scotland (All Areas Submitted),18-64 years,All Stays,Number of People,4655
2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.3
2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Short Stay / Respite,Number of People,1145
2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Long Stay,"Rate per 1,000 People",1.1
2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Long Stay,Number of People,3570
2019/20 Q2,Scotland (All Areas Submitted),65-74 years,All Stays,"Rate per 1,000 People",7.4
2019/20 Q2,Scotland (All Areas Submitted),65-74 years,All Stays,Number of People,4285
2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8
2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Short Stay / Respite,Number of People,475
2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Long Stay,"Rate per 1,000 People",6.8
2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Long Stay,Number of People,3925
2019/20 Q2,Scotland (All Areas Submitted),75-84 years,All Stays,"Rate per 1,000 People",35
2019/20 Q2,Scotland (All Areas Submitted),75-84 years,All Stays,Number of People,11845
2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,"Rate per 1,000 People",4
2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,Number of People,1350
2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Long Stay,"Rate per 1,000 People",32.1
2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Long Stay,Number of People,10890
2019/20 Q2,Scotland (All Areas Submitted),85+ years,All Stays,"Rate per 1,000 People",153.3
2019/20 Q2,Scotland (All Areas Submitted),85+ years,All Stays,Number of People,19485
2019/20 Q2,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,"Rate per 1,000 People",12.8
2019/20 Q2,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,Number of People,1630
2019/20 Q2,Scotland (All Areas Submitted),85+ years,Long Stay,"Rate per 1,000 People",144.5
2019/20 Q2,Scotland (All Areas Submitted),85+ years,Long Stay,Number of People,18370
2019/20 Q2,Scotland (All Areas Submitted),Unknown,All Stays,"Rate per 1,000 People",NA
2019/20 Q2,Scotland (All Areas Submitted),Unknown,All Stays,Number of People,15
2019/20 Q2,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,"Rate per 1,000 People",0
2019/20 Q2,Scotland (All Areas Submitted),Unknown,Short Stay / Respite,Number of People,0
2019/20 Q2,Scotland (All Areas Submitted),Unknown,Long Stay,"Rate per 1,000 People",NA
2019/20 Q2,Scotland (All Areas Submitted),Unknown,Long Stay,Number of People,10
2019/20 Q3,Scotland (All Areas Submitted),All Ages,All Stays,"Rate per 1,000 People",7.3
