financial_year,financial_quarter,sending_location,age_group,value,value_scotland,measure
2018/19,2018/19 Q1,West Dunbartonshire,18+ years,685,36665,Number of People
2018/19,2018/19 Q1,West Dunbartonshire,18-64 years,55,3670,Number of People
2018/19,2018/19 Q1,West Dunbartonshire,65+ years,630,32995,Number of People
2018/19,2018/19 Q1,West Lothian,18+ years,910,36665,Number of People
2018/19,2018/19 Q1,West Lothian,18-64 years,120,3670,Number of People
2018/19,2018/19 Q1,West Lothian,65+ years,790,32995,Number of People
2018/19,2018/19 Q2,Scotland (All Areas Submitted),18+ years,36775,36775,Number of People
2018/19,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,3695,3695,Number of People
2018/19,2018/19 Q2,Scotland (All Areas Submitted),65+ years,33080,33080,Number of People
2018/19,2018/19 Q2,Aberdeen City,18+ years,1690,36775,Number of People
2018/19,2018/19 Q2,Aberdeen City,18-64 years,275,3695,Number of People
2018/19,2018/19 Q2,Aberdeen City,65+ years,1415,33080,Number of People
2018/19,2018/19 Q2,Aberdeenshire,18+ years,1845,36775,Number of People
2018/19,2018/19 Q2,Aberdeenshire,18-64 years,205,3695,Number of People
2018/19,2018/19 Q2,Aberdeenshire,65+ years,1640,33080,Number of People
2018/19,2018/19 Q2,Angus,18+ years,1035,36775,Number of People
2018/19,2018/19 Q2,Angus,18-64 years,90,3695,Number of People
2018/19,2018/19 Q2,Angus,65+ years,945,33080,Number of People
2018/19,2018/19 Q2,Argyll and Bute,18+ years,645,36775,Number of People
2018/19,2018/19 Q2,Argyll and Bute,18-64 years,60,3695,Number of People
2018/19,2018/19 Q2,Argyll and Bute,65+ years,585,33080,Number of People
2018/19,2018/19 Q2,City of Edinburgh,18+ years,2955,36775,Number of People
2018/19,2018/19 Q2,City of Edinburgh,18-64 years,245,3695,Number of People
2018/19,2018/19 Q2,City of Edinburgh,65+ years,2715,33080,Number of People
2018/19,2018/19 Q2,Clackmannanshire,18+ years,310,36775,Number of People
2018/19,2018/19 Q2,Clackmannanshire,18-64 years,65,3695,Number of People
2018/19,2018/19 Q2,Clackmannanshire,65+ years,245,33080,Number of People
2018/19,2018/19 Q2,Dumfries and Galloway,18+ years,1160,36775,Number of People
2018/19,2018/19 Q2,Dumfries and Galloway,18-64 years,65,3695,Number of People
2018/19,2018/19 Q2,Dumfries and Galloway,65+ years,1095,33080,Number of People
2018/19,2018/19 Q2,Dundee City,18+ years,1180,36775,Number of People
2018/19,2018/19 Q2,Dundee City,18-64 years,100,3695,Number of People
2018/19,2018/19 Q2,Dundee City,65+ years,1080,33080,Number of People
2018/19,2018/19 Q2,East Ayrshire,18+ years,795,36775,Number of People
2018/19,2018/19 Q2,East Ayrshire,18-64 years,70,3695,Number of People
2018/19,2018/19 Q2,East Ayrshire,65+ years,730,33080,Number of People
2018/19,2018/19 Q2,East Dunbartonshire,18+ years,865,36775,Number of People
2018/19,2018/19 Q2,East Dunbartonshire,18-64 years,45,3695,Number of People
2018/19,2018/19 Q2,East Dunbartonshire,65+ years,825,33080,Number of People
2018/19,2018/19 Q2,East Lothian,18+ years,710,36775,Number of People
2018/19,2018/19 Q2,East Lothian,18-64 years,50,3695,Number of People
2018/19,2018/19 Q2,East Lothian,65+ years,660,33080,Number of People
2018/19,2018/19 Q2,East Renfrewshire,18+ years,595,36775,Number of People
2018/19,2018/19 Q2,East Renfrewshire,18-64 years,30,3695,Number of People
2018/19,2018/19 Q2,East Renfrewshire,65+ years,565,33080,Number of People
2018/19,2018/19 Q2,Falkirk,18+ years,1150,36775,Number of People
2018/19,2018/19 Q2,Falkirk,18-64 years,175,3695,Number of People
2018/19,2018/19 Q2,Falkirk,65+ years,975,33080,Number of People
2018/19,2018/19 Q2,Fife,18+ years,2820,36775,Number of People
2018/19,2018/19 Q2,Fife,18-64 years,205,3695,Number of People
2018/19,2018/19 Q2,Fife,65+ years,2615,33080,Number of People
2018/19,2018/19 Q2,Glasgow City,18+ years,4010,36775,Number of People
2018/19,2018/19 Q2,Glasgow City,18-64 years,625,3695,Number of People
2018/19,2018/19 Q2,Glasgow City,65+ years,3385,33080,Number of People
2018/19,2018/19 Q2,Highland,18+ years,1900,36775,Number of People
2018/19,2018/19 Q2,Highland,18-64 years,185,3695,Number of People
2018/19,2018/19 Q2,Highland,65+ years,1715,33080,Number of People
2018/19,2018/19 Q2,Inverclyde,18+ years,650,36775,Number of People
2018/19,2018/19 Q2,Inverclyde,18-64 years,60,3695,Number of People
2018/19,2018/19 Q2,Inverclyde,65+ years,590,33080,Number of People
2018/19,2018/19 Q2,Midlothian,18+ years,515,36775,Number of People
2018/19,2018/19 Q2,Midlothian,18-64 years,40,3695,Number of People
2018/19,2018/19 Q2,Midlothian,65+ years,475,33080,Number of People
2018/19,2018/19 Q2,Moray,18+ years,610,36775,Number of People
2018/19,2018/19 Q2,Moray,18-64 years,90,3695,Number of People
2018/19,2018/19 Q2,Moray,65+ years,520,33080,Number of People
2018/19,2018/19 Q2,North Ayrshire,18+ years,935,36775,Number of People
2018/19,2018/19 Q2,North Ayrshire,18-64 years,95,3695,Number of People
2018/19,2018/19 Q2,North Ayrshire,65+ years,840,33080,Number of People
2018/19,2018/19 Q2,North Lanarkshire,18+ years,1540,36775,Number of People
2018/19,2018/19 Q2,North Lanarkshire,18-64 years,80,3695,Number of People
2018/19,2018/19 Q2,North Lanarkshire,65+ years,1465,33080,Number of People
2018/19,2018/19 Q2,Perth and Kinross,18+ years,1280,36775,Number of People
2018/19,2018/19 Q2,Perth and Kinross,18-64 years,135,3695,Number of People
2018/19,2018/19 Q2,Perth and Kinross,65+ years,1145,33080,Number of People
2018/19,2018/19 Q2,Renfrewshire,18+ years,1230,36775,Number of People
2018/19,2018/19 Q2,Renfrewshire,18-64 years,120,3695,Number of People
2018/19,2018/19 Q2,Renfrewshire,65+ years,1110,33080,Number of People
2018/19,2018/19 Q2,Scottish Borders,18+ years,775,36775,Number of People
2018/19,2018/19 Q2,Scottish Borders,18-64 years,35,3695,Number of People
2018/19,2018/19 Q2,Scottish Borders,65+ years,740,33080,Number of People
2018/19,2018/19 Q2,Shetland Islands,18+ years,140,36775,Number of People
2018/19,2018/19 Q2,Shetland Islands,18-64 years,10,3695,Number of People
2018/19,2018/19 Q2,Shetland Islands,65+ years,130,33080,Number of People
2018/19,2018/19 Q2,South Ayrshire,18+ years,1095,36775,Number of People
2018/19,2018/19 Q2,South Ayrshire,18-64 years,65,3695,Number of People
2018/19,2018/19 Q2,South Ayrshire,65+ years,1025,33080,Number of People
2018/19,2018/19 Q2,South Lanarkshire,18+ years,2150,36775,Number of People
2018/19,2018/19 Q2,South Lanarkshire,18-64 years,225,3695,Number of People
2018/19,2018/19 Q2,South Lanarkshire,65+ years,1925,33080,Number of People
2018/19,2018/19 Q2,Stirling,18+ years,625,36775,Number of People
2018/19,2018/19 Q2,Stirling,18-64 years,85,3695,Number of People
2018/19,2018/19 Q2,Stirling,65+ years,545,33080,Number of People
2018/19,2018/19 Q2,West Dunbartonshire,18+ years,695,36775,Number of People
2018/19,2018/19 Q2,West Dunbartonshire,18-64 years,60,3695,Number of People
2018/19,2018/19 Q2,West Dunbartonshire,65+ years,640,33080,Number of People
2018/19,2018/19 Q2,West Lothian,18+ years,855,36775,Number of People
2018/19,2018/19 Q2,West Lothian,18-64 years,120,3695,Number of People
2018/19,2018/19 Q2,West Lothian,65+ years,740,33080,Number of People
2018/19,2018/19 Q3,Scotland (All Areas Submitted),18+ years,37200,37200,Number of People
2018/19,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,3725,3725,Number of People
2018/19,2018/19 Q3,Scotland (All Areas Submitted),65+ years,33475,33475,Number of People
2018/19,2018/19 Q3,Aberdeen City,18+ years,1705,37200,Number of People
2018/19,2018/19 Q3,Aberdeen City,18-64 years,270,3725,Number of People
2018/19,2018/19 Q3,Aberdeen City,65+ years,1435,33475,Number of People
2018/19,2018/19 Q3,Aberdeenshire,18+ years,1865,37200,Number of People
2018/19,2018/19 Q3,Aberdeenshire,18-64 years,215,3725,Number of People
2018/19,2018/19 Q3,Aberdeenshire,65+ years,1650,33475,Number of People
2018/19,2018/19 Q3,Angus,18+ years,1045,37200,Number of People
2018/19,2018/19 Q3,Angus,18-64 years,90,3725,Number of People
2018/19,2018/19 Q3,Angus,65+ years,955,33475,Number of People
2018/19,2018/19 Q3,Argyll and Bute,18+ years,655,37200,Number of People
2018/19,2018/19 Q3,Argyll and Bute,18-64 years,60,3725,Number of People
2018/19,2018/19 Q3,Argyll and Bute,65+ years,595,33475,Number of People
2018/19,2018/19 Q3,City of Edinburgh,18+ years,2865,37200,Number of People
2018/19,2018/19 Q3,City of Edinburgh,18-64 years,240,3725,Number of People
2018/19,2018/19 Q3,City of Edinburgh,65+ years,2625,33475,Number of People
2018/19,2018/19 Q3,Clackmannanshire,18+ years,310,37200,Number of People
2018/19,2018/19 Q3,Clackmannanshire,18-64 years,65,3725,Number of People
2018/19,2018/19 Q3,Clackmannanshire,65+ years,245,33475,Number of People
2018/19,2018/19 Q3,Dumfries and Galloway,18+ years,1160,37200,Number of People
2018/19,2018/19 Q3,Dumfries and Galloway,18-64 years,65,3725,Number of People
2018/19,2018/19 Q3,Dumfries and Galloway,65+ years,1100,33475,Number of People
2018/19,2018/19 Q3,Dundee City,18+ years,1195,37200,Number of People
2018/19,2018/19 Q3,Dundee City,18-64 years,105,3725,Number of People
2018/19,2018/19 Q3,Dundee City,65+ years,1095,33475,Number of People
2018/19,2018/19 Q3,East Ayrshire,18+ years,795,37200,Number of People
2018/19,2018/19 Q3,East Ayrshire,18-64 years,70,3725,Number of People
2018/19,2018/19 Q3,East Ayrshire,65+ years,725,33475,Number of People
2018/19,2018/19 Q3,East Dunbartonshire,18+ years,880,37200,Number of People
2018/19,2018/19 Q3,East Dunbartonshire,18-64 years,40,3725,Number of People
2018/19,2018/19 Q3,East Dunbartonshire,65+ years,840,33475,Number of People
2018/19,2018/19 Q3,East Lothian,18+ years,720,37200,Number of People
2018/19,2018/19 Q3,East Lothian,18-64 years,55,3725,Number of People
2018/19,2018/19 Q3,East Lothian,65+ years,665,33475,Number of People
2018/19,2018/19 Q3,East Renfrewshire,18+ years,725,37200,Number of People
2018/19,2018/19 Q3,East Renfrewshire,18-64 years,35,3725,Number of People
2018/19,2018/19 Q3,East Renfrewshire,65+ years,690,33475,Number of People
2018/19,2018/19 Q3,Falkirk,18+ years,1170,37200,Number of People
2018/19,2018/19 Q3,Falkirk,18-64 years,175,3725,Number of People
2018/19,2018/19 Q3,Falkirk,65+ years,995,33475,Number of People
2018/19,2018/19 Q3,Fife,18+ years,2970,37200,Number of People
2018/19,2018/19 Q3,Fife,18-64 years,215,3725,Number of People
2018/19,2018/19 Q3,Fife,65+ years,2755,33475,Number of People
2018/19,2018/19 Q3,Glasgow City,18+ years,4060,37200,Number of People
2018/19,2018/19 Q3,Glasgow City,18-64 years,635,3725,Number of People
2018/19,2018/19 Q3,Glasgow City,65+ years,3425,33475,Number of People
2018/19,2018/19 Q3,Highland,18+ years,1905,37200,Number of People
2018/19,2018/19 Q3,Highland,18-64 years,185,3725,Number of People
2018/19,2018/19 Q3,Highland,65+ years,1720,33475,Number of People
2018/19,2018/19 Q3,Inverclyde,18+ years,590,37200,Number of People
2018/19,2018/19 Q3,Inverclyde,18-64 years,55,3725,Number of People
2018/19,2018/19 Q3,Inverclyde,65+ years,535,33475,Number of People
2018/19,2018/19 Q3,Midlothian,18+ years,525,37200,Number of People
2018/19,2018/19 Q3,Midlothian,18-64 years,40,3725,Number of People
2018/19,2018/19 Q3,Midlothian,65+ years,485,33475,Number of People
2018/19,2018/19 Q3,Moray,18+ years,620,37200,Number of People
2018/19,2018/19 Q3,Moray,18-64 years,85,3725,Number of People
2018/19,2018/19 Q3,Moray,65+ years,535,33475,Number of People
2018/19,2018/19 Q3,North Ayrshire,18+ years,900,37200,Number of People
2018/19,2018/19 Q3,North Ayrshire,18-64 years,90,3725,Number of People
2018/19,2018/19 Q3,North Ayrshire,65+ years,805,33475,Number of People
2018/19,2018/19 Q3,North Lanarkshire,18+ years,1595,37200,Number of People
2018/19,2018/19 Q3,North Lanarkshire,18-64 years,85,3725,Number of People
2018/19,2018/19 Q3,North Lanarkshire,65+ years,1510,33475,Number of People
2018/19,2018/19 Q3,Perth and Kinross,18+ years,1275,37200,Number of People
2018/19,2018/19 Q3,Perth and Kinross,18-64 years,130,3725,Number of People
2018/19,2018/19 Q3,Perth and Kinross,65+ years,1150,33475,Number of People
2018/19,2018/19 Q3,Renfrewshire,18+ years,1245,37200,Number of People
2018/19,2018/19 Q3,Renfrewshire,18-64 years,115,3725,Number of People
2018/19,2018/19 Q3,Renfrewshire,65+ years,1130,33475,Number of People
2018/19,2018/19 Q3,Scottish Borders,18+ years,785,37200,Number of People
2018/19,2018/19 Q3,Scottish Borders,18-64 years,35,3725,Number of People
2018/19,2018/19 Q3,Scottish Borders,65+ years,750,33475,Number of People
2018/19,2018/19 Q3,Shetland Islands,18+ years,135,37200,Number of People
2018/19,2018/19 Q3,Shetland Islands,18-64 years,5,3725,Number of People
2018/19,2018/19 Q3,Shetland Islands,65+ years,130,33475,Number of People
2018/19,2018/19 Q3,South Ayrshire,18+ years,1090,37200,Number of People
2018/19,2018/19 Q3,South Ayrshire,18-64 years,70,3725,Number of People
2018/19,2018/19 Q3,South Ayrshire,65+ years,1020,33475,Number of People
2018/19,2018/19 Q3,South Lanarkshire,18+ years,2165,37200,Number of People
2018/19,2018/19 Q3,South Lanarkshire,18-64 years,230,3725,Number of People
2018/19,2018/19 Q3,South Lanarkshire,65+ years,1935,33475,Number of People
2018/19,2018/19 Q3,Stirling,18+ years,620,37200,Number of People
2018/19,2018/19 Q3,Stirling,18-64 years,85,3725,Number of People
2018/19,2018/19 Q3,Stirling,65+ years,540,33475,Number of People
2018/19,2018/19 Q3,West Dunbartonshire,18+ years,695,37200,Number of People
2018/19,2018/19 Q3,West Dunbartonshire,18-64 years,60,3725,Number of People
2018/19,2018/19 Q3,West Dunbartonshire,65+ years,635,33475,Number of People
2018/19,2018/19 Q3,West Lothian,18+ years,940,37200,Number of People
2018/19,2018/19 Q3,West Lothian,18-64 years,120,3725,Number of People
2018/19,2018/19 Q3,West Lothian,65+ years,820,33475,Number of People
