financial_year,sending_location,age_group,nursing_care_provision,number_nc_provision,propn_nc_provision
2017/18,Shetland Islands,Unknown,Stays with no Nursing Provision,0,NA
2017/18,South Ayrshire,All Ages,Stays with Nursing Provision,750,70.1
2017/18,South Ayrshire,All Ages,Stays with no Nursing Provision,320,29.9
2017/18,South Ayrshire,0-17 years,Stays with Nursing Provision,0,NA
2017/18,South Ayrshire,0-17 years,Stays with no Nursing Provision,0,NA
2017/18,South Ayrshire,18-64 years,Stays with Nursing Provision,30,50
2017/18,South Ayrshire,18-64 years,Stays with no Nursing Provision,30,50
2017/18,South Ayrshire,65-74 years,Stays with Nursing Provision,80,76.2
2017/18,South Ayrshire,65-74 years,Stays with no Nursing Provision,25,23.8
2017/18,South Ayrshire,75-84 years,Stays with Nursing Provision,270,73
2017/18,South Ayrshire,75-84 years,Stays with no Nursing Provision,100,27
2017/18,South Ayrshire,85+ years,Stays with Nursing Provision,375,68.8
2017/18,South Ayrshire,85+ years,Stays with no Nursing Provision,170,31.2
2017/18,South Ayrshire,Unknown,Stays with Nursing Provision,0,NA
2017/18,South Ayrshire,Unknown,Stays with no Nursing Provision,0,NA
2017/18,South Lanarkshire,All Ages,Stays with Nursing Provision,1600,78.2
2017/18,South Lanarkshire,All Ages,Stays with no Nursing Provision,445,21.8
2017/18,South Lanarkshire,0-17 years,Stays with Nursing Provision,0,NA
2017/18,South Lanarkshire,0-17 years,Stays with no Nursing Provision,0,NA
