financial_quarter,sending_location,age_group,measure,value,scotland_value,rate,scotland_rate
2017/18 Q4,Aberdeen City,75-84 years,Emergency Admissions Bed Days,845,11595,1690,1148
2017/18 Q4,Aberdeen City,85+ years,A&E Attendances,50,1660,66.2,102.3
2017/18 Q4,Aberdeen City,85+ years,Emergency Admissions,50,1430,66.2,87.9
2017/18 Q4,Aberdeen City,85+ years,Emergency Admissions Bed Days,370,14045,490.1,865.4
2017/18 Q4,Aberdeen City,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,Aberdeen City,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Aberdeen City,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Aberdeenshire,All Ages,A&E Attendances,85,3360,45.9,101.7
2017/18 Q4,Aberdeenshire,All Ages,Emergency Admissions,120,2985,64.5,90.1
2017/18 Q4,Aberdeenshire,All Ages,Emergency Admissions Bed Days,2190,40365,1183.8,1221.5
2017/18 Q4,Aberdeenshire,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,Aberdeenshire,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Aberdeenshire,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Aberdeenshire,18-64 years,A&E Attendances,5,285,22.7,91.9
2017/18 Q4,Aberdeenshire,18-64 years,Emergency Admissions,10,240,45.5,77
2017/18 Q4,Aberdeenshire,18-64 years,Emergency Admissions Bed Days,610,8640,2772.7,2787.1
2017/18 Q4,Aberdeenshire,65-74 years,A&E Attendances,15,365,81.1,103.5
2017/18 Q4,Aberdeenshire,65-74 years,Emergency Admissions,20,350,108.1,99.2
2017/18 Q4,Aberdeenshire,65-74 years,Emergency Admissions Bed Days,535,6080,2891.9,1724.8
2017/18 Q4,Aberdeenshire,75-84 years,A&E Attendances,25,1035,45.9,102.5
2017/18 Q4,Aberdeenshire,75-84 years,Emergency Admissions,35,960,63.6,94.9
2017/18 Q4,Aberdeenshire,75-84 years,Emergency Admissions Bed Days,460,11595,844,1148
2017/18 Q4,Aberdeenshire,85+ years,A&E Attendances,40,1660,44.4,102.3
2017/18 Q4,Aberdeenshire,85+ years,Emergency Admissions,55,1430,60.8,87.9
2017/18 Q4,Aberdeenshire,85+ years,Emergency Admissions Bed Days,590,14045,655.6,865.4
2017/18 Q4,Aberdeenshire,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,Aberdeenshire,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Aberdeenshire,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Angus,All Ages,A&E Attendances,55,3360,53.4,101.7
2017/18 Q4,Angus,All Ages,Emergency Admissions,70,2985,67.6,90.1
2017/18 Q4,Angus,All Ages,Emergency Admissions Bed Days,875,40365,849.5,1221.5
2017/18 Q4,Angus,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,Angus,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Angus,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Angus,18-64 years,A&E Attendances,5,285,55.6,91.9
2017/18 Q4,Angus,18-64 years,Emergency Admissions,5,240,55.6,77
2017/18 Q4,Angus,18-64 years,Emergency Admissions Bed Days,15,8640,166.7,2787.1
2017/18 Q4,Angus,65-74 years,A&E Attendances,5,365,50,103.5
2017/18 Q4,Angus,65-74 years,Emergency Admissions,10,350,95.2,99.2
2017/18 Q4,Angus,65-74 years,Emergency Admissions Bed Days,280,6080,2800,1724.8
2017/18 Q4,Angus,75-84 years,A&E Attendances,15,1035,53.6,102.5
2017/18 Q4,Angus,75-84 years,Emergency Admissions,20,960,71.4,94.9
2017/18 Q4,Angus,75-84 years,Emergency Admissions Bed Days,270,11595,964.3,1148
2017/18 Q4,Angus,85+ years,A&E Attendances,30,1660,54.1,102.3
2017/18 Q4,Angus,85+ years,Emergency Admissions,35,1430,62.5,87.9
2017/18 Q4,Angus,85+ years,Emergency Admissions Bed Days,310,14045,558.6,865.4
2017/18 Q4,Angus,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,Angus,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Angus,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Argyll and Bute,All Ages,A&E Attendances,60,3360,91.6,101.7
2017/18 Q4,Argyll and Bute,All Ages,Emergency Admissions,70,2985,106.9,90.1
2017/18 Q4,Argyll and Bute,All Ages,Emergency Admissions Bed Days,1080,40365,1648.9,1221.5
2017/18 Q4,Argyll and Bute,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,Argyll and Bute,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Argyll and Bute,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Argyll and Bute,18-64 years,A&E Attendances,5,285,90.9,91.9
2017/18 Q4,Argyll and Bute,18-64 years,Emergency Admissions,5,240,90.9,77
2017/18 Q4,Argyll and Bute,18-64 years,Emergency Admissions Bed Days,40,8640,727.3,2787.1
2017/18 Q4,Argyll and Bute,65-74 years,A&E Attendances,5,365,71.4,103.5
2017/18 Q4,Argyll and Bute,65-74 years,Emergency Admissions,0,350,0,99.2
2017/18 Q4,Argyll and Bute,65-74 years,Emergency Admissions Bed Days,10,6080,142.9,1724.8
2017/18 Q4,Argyll and Bute,75-84 years,A&E Attendances,20,1035,108.1,102.5
2017/18 Q4,Argyll and Bute,75-84 years,Emergency Admissions,20,960,108.1,94.9
2017/18 Q4,Argyll and Bute,75-84 years,Emergency Admissions Bed Days,370,11595,2000,1148
2017/18 Q4,Argyll and Bute,85+ years,A&E Attendances,30,1660,87,102.3
2017/18 Q4,Argyll and Bute,85+ years,Emergency Admissions,40,1430,115.9,87.9
2017/18 Q4,Argyll and Bute,85+ years,Emergency Admissions Bed Days,660,14045,1913,865.4
2017/18 Q4,Argyll and Bute,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,Argyll and Bute,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Argyll and Bute,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,City of Edinburgh,All Ages,A&E Attendances,350,3360,119.9,101.7
2017/18 Q4,City of Edinburgh,All Ages,Emergency Admissions,235,2985,80.5,90.1
2017/18 Q4,City of Edinburgh,All Ages,Emergency Admissions Bed Days,3425,40365,1172.9,1221.5
2017/18 Q4,City of Edinburgh,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,City of Edinburgh,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,City of Edinburgh,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,City of Edinburgh,18-64 years,A&E Attendances,45,285,166.7,91.9
2017/18 Q4,City of Edinburgh,18-64 years,Emergency Admissions,30,240,111.1,77
2017/18 Q4,City of Edinburgh,18-64 years,Emergency Admissions Bed Days,1105,8640,4092.6,2787.1
2017/18 Q4,City of Edinburgh,65-74 years,A&E Attendances,40,365,129,103.5
2017/18 Q4,City of Edinburgh,65-74 years,Emergency Admissions,30,350,96.8,99.2
2017/18 Q4,City of Edinburgh,65-74 years,Emergency Admissions Bed Days,385,6080,1241.9,1724.8
2017/18 Q4,City of Edinburgh,75-84 years,A&E Attendances,85,1035,108.3,102.5
2017/18 Q4,City of Edinburgh,75-84 years,Emergency Admissions,55,960,70.1,94.9
2017/18 Q4,City of Edinburgh,75-84 years,Emergency Admissions Bed Days,760,11595,968.2,1148
2017/18 Q4,City of Edinburgh,85+ years,A&E Attendances,180,1660,115.4,102.3
2017/18 Q4,City of Edinburgh,85+ years,Emergency Admissions,115,1430,73.7,87.9
2017/18 Q4,City of Edinburgh,85+ years,Emergency Admissions Bed Days,1175,14045,753.2,865.4
2017/18 Q4,City of Edinburgh,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,City of Edinburgh,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,City of Edinburgh,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Clackmannanshire,All Ages,A&E Attendances,25,3360,83.3,101.7
2017/18 Q4,Clackmannanshire,All Ages,Emergency Admissions,20,2985,66.7,90.1
2017/18 Q4,Clackmannanshire,All Ages,Emergency Admissions Bed Days,185,40365,616.7,1221.5
2017/18 Q4,Clackmannanshire,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,Clackmannanshire,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Clackmannanshire,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Clackmannanshire,18-64 years,A&E Attendances,5,285,76.9,91.9
2017/18 Q4,Clackmannanshire,18-64 years,Emergency Admissions,0,240,0,77
2017/18 Q4,Clackmannanshire,18-64 years,Emergency Admissions Bed Days,15,8640,230.8,2787.1
2017/18 Q4,Clackmannanshire,65-74 years,A&E Attendances,0,365,0,103.5
2017/18 Q4,Clackmannanshire,65-74 years,Emergency Admissions,0,350,0,99.2
2017/18 Q4,Clackmannanshire,65-74 years,Emergency Admissions Bed Days,10,6080,285.7,1724.8
2017/18 Q4,Clackmannanshire,75-84 years,A&E Attendances,10,1035,117.6,102.5
2017/18 Q4,Clackmannanshire,75-84 years,Emergency Admissions,10,960,117.6,94.9
2017/18 Q4,Clackmannanshire,75-84 years,Emergency Admissions Bed Days,140,11595,1647.1,1148
2017/18 Q4,Clackmannanshire,85+ years,A&E Attendances,10,1660,83.3,102.3
2017/18 Q4,Clackmannanshire,85+ years,Emergency Admissions,5,1430,41.7,87.9
2017/18 Q4,Clackmannanshire,85+ years,Emergency Admissions Bed Days,20,14045,166.7,865.4
2017/18 Q4,Clackmannanshire,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,Clackmannanshire,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Clackmannanshire,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Dumfries and Galloway,All Ages,A&E Attendances,130,3360,109.2,101.7
2017/18 Q4,Dumfries and Galloway,All Ages,Emergency Admissions,115,2985,96.6,90.1
2017/18 Q4,Dumfries and Galloway,All Ages,Emergency Admissions Bed Days,2495,40365,2096.6,1221.5
2017/18 Q4,Dumfries and Galloway,0-17 years,A&E Attendances,0,20,0,222.2
2017/18 Q4,Dumfries and Galloway,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Dumfries and Galloway,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Dumfries and Galloway,18-64 years,A&E Attendances,5,285,71.4,91.9
2017/18 Q4,Dumfries and Galloway,18-64 years,Emergency Admissions,5,240,71.4,77
2017/18 Q4,Dumfries and Galloway,18-64 years,Emergency Admissions Bed Days,1370,8640,19571.4,2787.1
2017/18 Q4,Dumfries and Galloway,65-74 years,A&E Attendances,15,365,125,103.5
2017/18 Q4,Dumfries and Galloway,65-74 years,Emergency Admissions,20,350,166.7,99.2
2017/18 Q4,Dumfries and Galloway,65-74 years,Emergency Admissions Bed Days,250,6080,2083.3,1724.8
2017/18 Q4,Dumfries and Galloway,75-84 years,A&E Attendances,45,1035,125,102.5
2017/18 Q4,Dumfries and Galloway,75-84 years,Emergency Admissions,45,960,125,94.9
2017/18 Q4,Dumfries and Galloway,75-84 years,Emergency Admissions Bed Days,540,11595,1500,1148
2017/18 Q4,Dumfries and Galloway,85+ years,A&E Attendances,60,1660,94.5,102.3
2017/18 Q4,Dumfries and Galloway,85+ years,Emergency Admissions,50,1430,78.7,87.9
2017/18 Q4,Dumfries and Galloway,85+ years,Emergency Admissions Bed Days,335,14045,527.6,865.4
2017/18 Q4,Dumfries and Galloway,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,Dumfries and Galloway,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Dumfries and Galloway,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Dundee City,All Ages,A&E Attendances,85,3360,68,101.7
2017/18 Q4,Dundee City,All Ages,Emergency Admissions,105,2985,84,90.1
2017/18 Q4,Dundee City,All Ages,Emergency Admissions Bed Days,840,40365,672,1221.5
2017/18 Q4,Dundee City,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,Dundee City,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Dundee City,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Dundee City,18-64 years,A&E Attendances,15,285,142.9,91.9
2017/18 Q4,Dundee City,18-64 years,Emergency Admissions,10,240,95.2,77
2017/18 Q4,Dundee City,18-64 years,Emergency Admissions Bed Days,30,8640,285.7,2787.1
2017/18 Q4,Dundee City,65-74 years,A&E Attendances,5,365,38.5,103.5
2017/18 Q4,Dundee City,65-74 years,Emergency Admissions,15,350,115.4,99.2
2017/18 Q4,Dundee City,65-74 years,Emergency Admissions Bed Days,100,6080,769.2,1724.8
2017/18 Q4,Dundee City,75-84 years,A&E Attendances,20,1035,51.3,102.5
2017/18 Q4,Dundee City,75-84 years,Emergency Admissions,35,960,89.7,94.9
2017/18 Q4,Dundee City,75-84 years,Emergency Admissions Bed Days,235,11595,602.6,1148
2017/18 Q4,Dundee City,85+ years,A&E Attendances,45,1660,72.6,102.3
2017/18 Q4,Dundee City,85+ years,Emergency Admissions,45,1430,72.6,87.9
2017/18 Q4,Dundee City,85+ years,Emergency Admissions Bed Days,470,14045,758.1,865.4
2017/18 Q4,Dundee City,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,Dundee City,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Dundee City,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,East Ayrshire,All Ages,A&E Attendances,85,3360,104.3,101.7
2017/18 Q4,East Ayrshire,All Ages,Emergency Admissions,100,2985,122.7,90.1
2017/18 Q4,East Ayrshire,All Ages,Emergency Admissions Bed Days,1420,40365,1742.3,1221.5
2017/18 Q4,East Ayrshire,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,East Ayrshire,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,East Ayrshire,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,East Ayrshire,18-64 years,A&E Attendances,5,285,76.9,91.9
2017/18 Q4,East Ayrshire,18-64 years,Emergency Admissions,10,240,153.8,77
2017/18 Q4,East Ayrshire,18-64 years,Emergency Admissions Bed Days,270,8640,4153.8,2787.1
2017/18 Q4,East Ayrshire,65-74 years,A&E Attendances,10,365,111.1,103.5
2017/18 Q4,East Ayrshire,65-74 years,Emergency Admissions,10,350,111.1,99.2
2017/18 Q4,East Ayrshire,65-74 years,Emergency Admissions Bed Days,180,6080,2000,1724.8
2017/18 Q4,East Ayrshire,75-84 years,A&E Attendances,25,1035,90.9,102.5
2017/18 Q4,East Ayrshire,75-84 years,Emergency Admissions,35,960,127.3,94.9
2017/18 Q4,East Ayrshire,75-84 years,Emergency Admissions Bed Days,550,11595,2000,1148
2017/18 Q4,East Ayrshire,85+ years,A&E Attendances,40,1660,103.9,102.3
2017/18 Q4,East Ayrshire,85+ years,Emergency Admissions,45,1430,116.9,87.9
2017/18 Q4,East Ayrshire,85+ years,Emergency Admissions Bed Days,420,14045,1090.9,865.4
2017/18 Q4,East Ayrshire,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,East Ayrshire,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,East Ayrshire,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,East Dunbartonshire,All Ages,A&E Attendances,95,3360,111.1,101.7
2017/18 Q4,East Dunbartonshire,All Ages,Emergency Admissions,90,2985,105.3,90.1
2017/18 Q4,East Dunbartonshire,All Ages,Emergency Admissions Bed Days,1180,40365,1380.1,1221.5
2017/18 Q4,East Dunbartonshire,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,East Dunbartonshire,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,East Dunbartonshire,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,East Dunbartonshire,18-64 years,A&E Attendances,5,285,125,91.9
2017/18 Q4,East Dunbartonshire,18-64 years,Emergency Admissions,5,240,125,77
2017/18 Q4,East Dunbartonshire,18-64 years,Emergency Admissions Bed Days,80,8640,2000,2787.1
2017/18 Q4,East Dunbartonshire,65-74 years,A&E Attendances,5,365,71.4,103.5
2017/18 Q4,East Dunbartonshire,65-74 years,Emergency Admissions,10,350,142.9,99.2
2017/18 Q4,East Dunbartonshire,65-74 years,Emergency Admissions Bed Days,150,6080,2142.9,1724.8
2017/18 Q4,East Dunbartonshire,75-84 years,A&E Attendances,35,1035,134.6,102.5
2017/18 Q4,East Dunbartonshire,75-84 years,Emergency Admissions,25,960,96.2,94.9
2017/18 Q4,East Dunbartonshire,75-84 years,Emergency Admissions Bed Days,275,11595,1057.7,1148
2017/18 Q4,East Dunbartonshire,85+ years,A&E Attendances,50,1660,103.1,102.3
2017/18 Q4,East Dunbartonshire,85+ years,Emergency Admissions,55,1430,113.4,87.9
2017/18 Q4,East Dunbartonshire,85+ years,Emergency Admissions Bed Days,680,14045,1402.1,865.4
2017/18 Q4,East Dunbartonshire,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,East Dunbartonshire,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,East Dunbartonshire,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,East Lothian,All Ages,A&E Attendances,65,3360,90.3,101.7
2017/18 Q4,East Lothian,All Ages,Emergency Admissions,50,2985,69.4,90.1
2017/18 Q4,East Lothian,All Ages,Emergency Admissions Bed Days,1695,40365,2354.2,1221.5
2017/18 Q4,East Lothian,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,East Lothian,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,East Lothian,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,East Lothian,18-64 years,A&E Attendances,5,285,100,91.9
2017/18 Q4,East Lothian,18-64 years,Emergency Admissions,5,240,100,77
2017/18 Q4,East Lothian,18-64 years,Emergency Admissions Bed Days,45,8640,900,2787.1
2017/18 Q4,East Lothian,65-74 years,A&E Attendances,10,365,125,103.5
2017/18 Q4,East Lothian,65-74 years,Emergency Admissions,10,350,125,99.2
2017/18 Q4,East Lothian,65-74 years,Emergency Admissions Bed Days,1060,6080,13250,1724.8
2017/18 Q4,East Lothian,75-84 years,A&E Attendances,25,1035,119,102.5
2017/18 Q4,East Lothian,75-84 years,Emergency Admissions,20,960,95.2,94.9
2017/18 Q4,East Lothian,75-84 years,Emergency Admissions Bed Days,425,11595,2023.8,1148
2017/18 Q4,East Lothian,85+ years,A&E Attendances,25,1660,65.8,102.3
2017/18 Q4,East Lothian,85+ years,Emergency Admissions,15,1430,39.5,87.9
2017/18 Q4,East Lothian,85+ years,Emergency Admissions Bed Days,170,14045,447.4,865.4
2017/18 Q4,East Lothian,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,East Lothian,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,East Lothian,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,East Renfrewshire,All Ages,A&E Attendances,60,3360,91.6,101.7
2017/18 Q4,East Renfrewshire,All Ages,Emergency Admissions,50,2985,76.3,90.1
2017/18 Q4,East Renfrewshire,All Ages,Emergency Admissions Bed Days,655,40365,1000,1221.5
2017/18 Q4,East Renfrewshire,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,East Renfrewshire,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,East Renfrewshire,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,East Renfrewshire,18-64 years,A&E Attendances,5,285,142.9,91.9
2017/18 Q4,East Renfrewshire,18-64 years,Emergency Admissions,5,240,142.9,77
2017/18 Q4,East Renfrewshire,18-64 years,Emergency Admissions Bed Days,60,8640,1714.3,2787.1
2017/18 Q4,East Renfrewshire,65-74 years,A&E Attendances,5,365,100,103.5
2017/18 Q4,East Renfrewshire,65-74 years,Emergency Admissions,5,350,100,99.2
2017/18 Q4,East Renfrewshire,65-74 years,Emergency Admissions Bed Days,15,6080,300,1724.8
2017/18 Q4,East Renfrewshire,75-84 years,A&E Attendances,15,1035,76.9,102.5
2017/18 Q4,East Renfrewshire,75-84 years,Emergency Admissions,15,960,76.9,94.9
2017/18 Q4,East Renfrewshire,75-84 years,Emergency Admissions Bed Days,230,11595,1179.5,1148
2017/18 Q4,East Renfrewshire,85+ years,A&E Attendances,35,1660,94.6,102.3
2017/18 Q4,East Renfrewshire,85+ years,Emergency Admissions,25,1430,67.6,87.9
2017/18 Q4,East Renfrewshire,85+ years,Emergency Admissions Bed Days,350,14045,945.9,865.4
2017/18 Q4,East Renfrewshire,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,East Renfrewshire,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,East Renfrewshire,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Falkirk,All Ages,A&E Attendances,125,3360,108.7,101.7
2017/18 Q4,Falkirk,All Ages,Emergency Admissions,100,2985,87,90.1
2017/18 Q4,Falkirk,All Ages,Emergency Admissions Bed Days,1370,40365,1191.3,1221.5
2017/18 Q4,Falkirk,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,Falkirk,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Falkirk,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Falkirk,18-64 years,A&E Attendances,25,285,138.9,91.9
2017/18 Q4,Falkirk,18-64 years,Emergency Admissions,10,240,55.6,77
2017/18 Q4,Falkirk,18-64 years,Emergency Admissions Bed Days,180,8640,1000,2787.1
2017/18 Q4,Falkirk,65-74 years,A&E Attendances,20,365,125,103.5
2017/18 Q4,Falkirk,65-74 years,Emergency Admissions,15,350,93.8,99.2
2017/18 Q4,Falkirk,65-74 years,Emergency Admissions Bed Days,570,6080,3562.5,1724.8
2017/18 Q4,Falkirk,75-84 years,A&E Attendances,35,1035,98.6,102.5
2017/18 Q4,Falkirk,75-84 years,Emergency Admissions,30,960,84.5,94.9
2017/18 Q4,Falkirk,75-84 years,Emergency Admissions Bed Days,265,11595,746.5,1148
2017/18 Q4,Falkirk,85+ years,A&E Attendances,45,1660,97.8,102.3
2017/18 Q4,Falkirk,85+ years,Emergency Admissions,40,1430,87,87.9
2017/18 Q4,Falkirk,85+ years,Emergency Admissions Bed Days,355,14045,771.7,865.4
2017/18 Q4,Falkirk,Unknown,A&E Attendances,0,0,NA,NA
2017/18 Q4,Falkirk,Unknown,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Falkirk,Unknown,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Fife,All Ages,A&E Attendances,270,3360,98.2,101.7
2017/18 Q4,Fife,All Ages,Emergency Admissions,330,2985,119.3,90.1
2017/18 Q4,Fife,All Ages,Emergency Admissions Bed Days,3085,40365,1121.8,1221.5
2017/18 Q4,Fife,0-17 years,A&E Attendances,0,0,NA,NA
2017/18 Q4,Fife,0-17 years,Emergency Admissions,0,0,NA,NA
2017/18 Q4,Fife,0-17 years,Emergency Admissions Bed Days,0,0,NA,NA
2017/18 Q4,Fife,18-64 years,A&E Attendances,15,285,75,91.9
2017/18 Q4,Fife,18-64 years,Emergency Admissions,15,240,75,77
2017/18 Q4,Fife,18-64 years,Emergency Admissions Bed Days,385,8640,1925,2787.1
2017/18 Q4,Fife,65-74 years,A&E Attendances,30,365,98.4,103.5
2017/18 Q4,Fife,65-74 years,Emergency Admissions,40,350,131.1,99.2
2017/18 Q4,Fife,65-74 years,Emergency Admissions Bed Days,520,6080,1704.9,1724.8
2017/18 Q4,Fife,75-84 years,A&E Attendances,80,1035,92,102.5
2017/18 Q4,Fife,75-84 years,Emergency Admissions,105,960,120,94.9
2017/18 Q4,Fife,75-84 years,Emergency Admissions Bed Days,605,11595,695.4,1148
