financial_year,sending_location,age_group,stay_type,measure,value,value_scotland
2017/18,Scotland (All Areas Submitted),65-74 years,Long Stay,Number of People,3530,3530
2017/18,Scotland (All Areas Submitted),75-84 years,All Stays,"Rate per 1,000 People",33.5,33.5
2017/18,Scotland (All Areas Submitted),75-84 years,All Stays,Number of People,10930,10930
2017/18,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,"Rate per 1,000 People",3.5,3.5
2017/18,Scotland (All Areas Submitted),75-84 years,Short Stay / Respite,Number of People,1145,1145
2017/18,Scotland (All Areas Submitted),75-84 years,Long Stay,"Rate per 1,000 People",31,31
2017/18,Scotland (All Areas Submitted),75-84 years,Long Stay,Number of People,10120,10120
2017/18,Scotland (All Areas Submitted),85+ years,All Stays,"Rate per 1,000 People",141.5,141.5
2017/18,Scotland (All Areas Submitted),85+ years,All Stays,Number of People,17240,17240
2017/18,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,"Rate per 1,000 People",11.6,11.6
2017/18,Scotland (All Areas Submitted),85+ years,Short Stay / Respite,Number of People,1415,1415
2017/18,Scotland (All Areas Submitted),85+ years,Long Stay,"Rate per 1,000 People",133.6,133.6
2017/18,Scotland (All Areas Submitted),85+ years,Long Stay,Number of People,16275,16275
2017/18,Scotland (All Areas Submitted),Unknown,All Stays,"Rate per 1,000 People",NA,NA
2017/18,Scotland (All Areas Submitted),Unknown,All Stays,Number of People,5,5
2017/18,Scotland (All Areas Submitted),Unknown,Long Stay,"Rate per 1,000 People",NA,NA
2017/18,Scotland (All Areas Submitted),Unknown,Long Stay,Number of People,5,5
2017/18,Aberdeen City,All Ages,All Stays,"Rate per 1,000 People",8.6,6.6
2017/18,Aberdeen City,All Ages,All Stays,Number of People,1975,35990
2017/18,Aberdeen City,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.7,0.7
2017/18,Aberdeen City,All Ages,Short Stay / Respite,Number of People,160,3780
2017/18,Aberdeen City,All Ages,Long Stay,"Rate per 1,000 People",7.9,6.1
2017/18,Aberdeen City,All Ages,Long Stay,Number of People,1815,33140
2017/18,Aberdeen City,0-17 years,All Stays,"Rate per 1,000 People",1.8,0.1
2017/18,Aberdeen City,0-17 years,All Stays,Number of People,70,125
2017/18,Aberdeen City,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0
2017/18,Aberdeen City,0-17 years,Short Stay / Respite,Number of People,5,30
2017/18,Aberdeen City,0-17 years,Long Stay,"Rate per 1,000 People",1.7,0.1
2017/18,Aberdeen City,0-17 years,Long Stay,Number of People,65,90
2017/18,Aberdeen City,18-64 years,All Stays,"Rate per 1,000 People",1.9,1.1
2017/18,Aberdeen City,18-64 years,All Stays,Number of People,295,3835
2017/18,Aberdeen City,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.1,0.2
2017/18,Aberdeen City,18-64 years,Short Stay / Respite,Number of People,15,765
2017/18,Aberdeen City,18-64 years,Long Stay,"Rate per 1,000 People",1.8,0.9
2017/18,Aberdeen City,18-64 years,Long Stay,Number of People,280,3115
2017/18,Aberdeen City,65-74 years,All Stays,"Rate per 1,000 People",12.1,6.8
2017/18,Aberdeen City,65-74 years,All Stays,Number of People,230,3860
2017/18,Aberdeen City,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8,0.8
2017/18,Aberdeen City,65-74 years,Short Stay / Respite,Number of People,15,430
2017/18,Aberdeen City,65-74 years,Long Stay,"Rate per 1,000 People",11.3,6.3
2017/18,Aberdeen City,65-74 years,Long Stay,Number of People,215,3530
2017/18,Aberdeen City,75-84 years,All Stays,"Rate per 1,000 People",48.7,33.5
2017/18,Aberdeen City,75-84 years,All Stays,Number of People,560,10930
2017/18,Aberdeen City,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4.8,3.5
2017/18,Aberdeen City,75-84 years,Short Stay / Respite,Number of People,55,1145
2017/18,Aberdeen City,75-84 years,Long Stay,"Rate per 1,000 People",43.5,31
2017/18,Aberdeen City,75-84 years,Long Stay,Number of People,500,10120
2017/18,Aberdeen City,85+ years,All Stays,"Rate per 1,000 People",175.1,141.5
2017/18,Aberdeen City,85+ years,All Stays,Number of People,825,17240
2017/18,Aberdeen City,85+ years,Short Stay / Respite,"Rate per 1,000 People",14.9,11.6
2017/18,Aberdeen City,85+ years,Short Stay / Respite,Number of People,70,1415
2017/18,Aberdeen City,85+ years,Long Stay,"Rate per 1,000 People",160.3,133.6
2017/18,Aberdeen City,85+ years,Long Stay,Number of People,755,16275
2017/18,Aberdeenshire,All Ages,All Stays,"Rate per 1,000 People",7.9,6.6
2017/18,Aberdeenshire,All Ages,All Stays,Number of People,2080,35990
2017/18,Aberdeenshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",1.2,0.7
2017/18,Aberdeenshire,All Ages,Short Stay / Respite,Number of People,315,3780
2017/18,Aberdeenshire,All Ages,Long Stay,"Rate per 1,000 People",7.1,6.1
2017/18,Aberdeenshire,All Ages,Long Stay,Number of People,1860,33140
2017/18,Aberdeenshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,Aberdeenshire,0-17 years,All Stays,Number of People,0,125
2017/18,Aberdeenshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,Aberdeenshire,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,Aberdeenshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,Aberdeenshire,0-17 years,Long Stay,Number of People,0,90
2017/18,Aberdeenshire,18-64 years,All Stays,"Rate per 1,000 People",1.8,1.1
2017/18,Aberdeenshire,18-64 years,All Stays,Number of People,280,3835
2017/18,Aberdeenshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.4,0.2
2017/18,Aberdeenshire,18-64 years,Short Stay / Respite,Number of People,70,765
2017/18,Aberdeenshire,18-64 years,Long Stay,"Rate per 1,000 People",1.4,0.9
2017/18,Aberdeenshire,18-64 years,Long Stay,Number of People,220,3115
2017/18,Aberdeenshire,65-74 years,All Stays,"Rate per 1,000 People",7.4,6.8
2017/18,Aberdeenshire,65-74 years,All Stays,Number of People,210,3860
2017/18,Aberdeenshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",1.1,0.8
2017/18,Aberdeenshire,65-74 years,Short Stay / Respite,Number of People,30,430
2017/18,Aberdeenshire,65-74 years,Long Stay,"Rate per 1,000 People",6.5,6.3
2017/18,Aberdeenshire,65-74 years,Long Stay,Number of People,185,3530
2017/18,Aberdeenshire,75-84 years,All Stays,"Rate per 1,000 People",40.4,33.5
2017/18,Aberdeenshire,75-84 years,All Stays,Number of People,605,10930
2017/18,Aberdeenshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",6.7,3.5
2017/18,Aberdeenshire,75-84 years,Short Stay / Respite,Number of People,100,1145
2017/18,Aberdeenshire,75-84 years,Long Stay,"Rate per 1,000 People",36.7,31
2017/18,Aberdeenshire,75-84 years,Long Stay,Number of People,550,10120
2017/18,Aberdeenshire,85+ years,All Stays,"Rate per 1,000 People",179.7,141.5
2017/18,Aberdeenshire,85+ years,All Stays,Number of People,980,17240
2017/18,Aberdeenshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",21.1,11.6
2017/18,Aberdeenshire,85+ years,Short Stay / Respite,Number of People,115,1415
2017/18,Aberdeenshire,85+ years,Long Stay,"Rate per 1,000 People",165.9,133.6
2017/18,Aberdeenshire,85+ years,Long Stay,Number of People,905,16275
2017/18,Angus,All Ages,All Stays,"Rate per 1,000 People",10.3,6.6
2017/18,Angus,All Ages,All Stays,Number of People,1200,35990
2017/18,Angus,All Ages,Short Stay / Respite,"Rate per 1,000 People",2.4,0.7
2017/18,Angus,All Ages,Short Stay / Respite,Number of People,275,3780
2017/18,Angus,All Ages,Long Stay,"Rate per 1,000 People",8.9,6.1
2017/18,Angus,All Ages,Long Stay,Number of People,1035,33140
2017/18,Angus,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,Angus,0-17 years,All Stays,Number of People,0,125
2017/18,Angus,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,Angus,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,Angus,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,Angus,0-17 years,Long Stay,Number of People,0,90
2017/18,Angus,18-64 years,All Stays,"Rate per 1,000 People",1.8,1.1
2017/18,Angus,18-64 years,All Stays,Number of People,120,3835
2017/18,Angus,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.4,0.2
2017/18,Angus,18-64 years,Short Stay / Respite,Number of People,30,765
2017/18,Angus,18-64 years,Long Stay,"Rate per 1,000 People",1.3,0.9
2017/18,Angus,18-64 years,Long Stay,Number of People,90,3115
2017/18,Angus,65-74 years,All Stays,"Rate per 1,000 People",8.4,6.8
2017/18,Angus,65-74 years,All Stays,Number of People,125,3860
2017/18,Angus,65-74 years,Short Stay / Respite,"Rate per 1,000 People",2.4,0.8
2017/18,Angus,65-74 years,Short Stay / Respite,Number of People,35,430
2017/18,Angus,65-74 years,Long Stay,"Rate per 1,000 People",7.1,6.3
2017/18,Angus,65-74 years,Long Stay,Number of People,105,3530
2017/18,Angus,75-84 years,All Stays,"Rate per 1,000 People",38.9,33.5
2017/18,Angus,75-84 years,All Stays,Number of People,330,10930
2017/18,Angus,75-84 years,Short Stay / Respite,"Rate per 1,000 People",10,3.5
2017/18,Angus,75-84 years,Short Stay / Respite,Number of People,85,1145
2017/18,Angus,75-84 years,Long Stay,"Rate per 1,000 People",33,31
2017/18,Angus,75-84 years,Long Stay,Number of People,280,10120
2017/18,Angus,85+ years,All Stays,"Rate per 1,000 People",180.6,141.5
2017/18,Angus,85+ years,All Stays,Number of People,625,17240
2017/18,Angus,85+ years,Short Stay / Respite,"Rate per 1,000 People",36.1,11.6
2017/18,Angus,85+ years,Short Stay / Respite,Number of People,125,1415
2017/18,Angus,85+ years,Long Stay,"Rate per 1,000 People",161.8,133.6
2017/18,Angus,85+ years,Long Stay,Number of People,560,16275
2017/18,Argyll and Bute,All Ages,All Stays,"Rate per 1,000 People",7.9,6.6
2017/18,Argyll and Bute,All Ages,All Stays,Number of People,685,35990
2017/18,Argyll and Bute,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.3,0.7
2017/18,Argyll and Bute,All Ages,Short Stay / Respite,Number of People,30,3780
2017/18,Argyll and Bute,All Ages,Long Stay,"Rate per 1,000 People",7.5,6.1
2017/18,Argyll and Bute,All Ages,Long Stay,Number of People,655,33140
2017/18,Argyll and Bute,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,Argyll and Bute,0-17 years,All Stays,Number of People,0,125
2017/18,Argyll and Bute,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,Argyll and Bute,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,Argyll and Bute,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,Argyll and Bute,0-17 years,Long Stay,Number of People,0,90
2017/18,Argyll and Bute,18-64 years,All Stays,"Rate per 1,000 People",1.2,1.1
2017/18,Argyll and Bute,18-64 years,All Stays,Number of People,60,3835
2017/18,Argyll and Bute,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0,0.2
2017/18,Argyll and Bute,18-64 years,Short Stay / Respite,Number of People,0,765
2017/18,Argyll and Bute,18-64 years,Long Stay,"Rate per 1,000 People",1.1,0.9
2017/18,Argyll and Bute,18-64 years,Long Stay,Number of People,55,3115
2017/18,Argyll and Bute,65-74 years,All Stays,"Rate per 1,000 People",6.1,6.8
2017/18,Argyll and Bute,65-74 years,All Stays,Number of People,75,3860
2017/18,Argyll and Bute,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.4,0.8
2017/18,Argyll and Bute,65-74 years,Short Stay / Respite,Number of People,5,430
2017/18,Argyll and Bute,65-74 years,Long Stay,"Rate per 1,000 People",5.7,6.3
2017/18,Argyll and Bute,65-74 years,Long Stay,Number of People,70,3530
2017/18,Argyll and Bute,75-84 years,All Stays,"Rate per 1,000 People",28,33.5
2017/18,Argyll and Bute,75-84 years,All Stays,Number of People,195,10930
2017/18,Argyll and Bute,75-84 years,Short Stay / Respite,"Rate per 1,000 People",1.4,3.5
2017/18,Argyll and Bute,75-84 years,Short Stay / Respite,Number of People,10,1145
2017/18,Argyll and Bute,75-84 years,Long Stay,"Rate per 1,000 People",26.5,31
2017/18,Argyll and Bute,75-84 years,Long Stay,Number of People,185,10120
2017/18,Argyll and Bute,85+ years,All Stays,"Rate per 1,000 People",142.2,141.5
2017/18,Argyll and Bute,85+ years,All Stays,Number of People,355,17240
2017/18,Argyll and Bute,85+ years,Short Stay / Respite,"Rate per 1,000 People",4,11.6
2017/18,Argyll and Bute,85+ years,Short Stay / Respite,Number of People,10,1415
2017/18,Argyll and Bute,85+ years,Long Stay,"Rate per 1,000 People",138.2,133.6
2017/18,Argyll and Bute,85+ years,Long Stay,Number of People,345,16275
2017/18,City of Edinburgh,All Ages,All Stays,"Rate per 1,000 People",5.9,6.6
2017/18,City of Edinburgh,All Ages,All Stays,Number of People,3040,35990
2017/18,City of Edinburgh,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.4,0.7
2017/18,City of Edinburgh,All Ages,Short Stay / Respite,Number of People,190,3780
2017/18,City of Edinburgh,All Ages,Long Stay,"Rate per 1,000 People",5.7,6.1
2017/18,City of Edinburgh,All Ages,Long Stay,Number of People,2920,33140
2017/18,City of Edinburgh,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,City of Edinburgh,0-17 years,All Stays,Number of People,0,125
2017/18,City of Edinburgh,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,City of Edinburgh,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,City of Edinburgh,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,City of Edinburgh,0-17 years,Long Stay,Number of People,0,90
2017/18,City of Edinburgh,18-64 years,All Stays,"Rate per 1,000 People",0.8,1.1
2017/18,City of Edinburgh,18-64 years,All Stays,Number of People,280,3835
2017/18,City of Edinburgh,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0,0.2
2017/18,City of Edinburgh,18-64 years,Short Stay / Respite,Number of People,15,765
2017/18,City of Edinburgh,18-64 years,Long Stay,"Rate per 1,000 People",0.8,0.9
2017/18,City of Edinburgh,18-64 years,Long Stay,Number of People,270,3115
2017/18,City of Edinburgh,65-74 years,All Stays,"Rate per 1,000 People",7.6,6.8
2017/18,City of Edinburgh,65-74 years,All Stays,Number of People,315,3860
2017/18,City of Edinburgh,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.4,0.8
2017/18,City of Edinburgh,65-74 years,Short Stay / Respite,Number of People,15,430
2017/18,City of Edinburgh,65-74 years,Long Stay,"Rate per 1,000 People",7.5,6.3
2017/18,City of Edinburgh,65-74 years,Long Stay,Number of People,310,3530
2017/18,City of Edinburgh,75-84 years,All Stays,"Rate per 1,000 People",33.7,33.5
2017/18,City of Edinburgh,75-84 years,All Stays,Number of People,830,10930
2017/18,City of Edinburgh,75-84 years,Short Stay / Respite,"Rate per 1,000 People",2.8,3.5
2017/18,City of Edinburgh,75-84 years,Short Stay / Respite,Number of People,70,1145
2017/18,City of Edinburgh,75-84 years,Long Stay,"Rate per 1,000 People",31.8,31
2017/18,City of Edinburgh,75-84 years,Long Stay,Number of People,785,10120
2017/18,City of Edinburgh,85+ years,All Stays,"Rate per 1,000 People",145.1,141.5
2017/18,City of Edinburgh,85+ years,All Stays,Number of People,1615,17240
2017/18,City of Edinburgh,85+ years,Short Stay / Respite,"Rate per 1,000 People",8.1,11.6
2017/18,City of Edinburgh,85+ years,Short Stay / Respite,Number of People,90,1415
2017/18,City of Edinburgh,85+ years,Long Stay,"Rate per 1,000 People",140.2,133.6
2017/18,City of Edinburgh,85+ years,Long Stay,Number of People,1560,16275
2017/18,Clackmannanshire,All Ages,All Stays,"Rate per 1,000 People",6.4,6.6
2017/18,Clackmannanshire,All Ages,All Stays,Number of People,330,35990
2017/18,Clackmannanshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.8,0.7
2017/18,Clackmannanshire,All Ages,Short Stay / Respite,Number of People,40,3780
2017/18,Clackmannanshire,All Ages,Long Stay,"Rate per 1,000 People",5.8,6.1
2017/18,Clackmannanshire,All Ages,Long Stay,Number of People,300,33140
2017/18,Clackmannanshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,Clackmannanshire,0-17 years,All Stays,Number of People,0,125
2017/18,Clackmannanshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,Clackmannanshire,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,Clackmannanshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,Clackmannanshire,0-17 years,Long Stay,Number of People,0,90
2017/18,Clackmannanshire,18-64 years,All Stays,"Rate per 1,000 People",2.2,1.1
2017/18,Clackmannanshire,18-64 years,All Stays,Number of People,70,3835
2017/18,Clackmannanshire,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2,0.2
2017/18,Clackmannanshire,18-64 years,Short Stay / Respite,Number of People,5,765
2017/18,Clackmannanshire,18-64 years,Long Stay,"Rate per 1,000 People",2.1,0.9
2017/18,Clackmannanshire,18-64 years,Long Stay,Number of People,65,3115
2017/18,Clackmannanshire,65-74 years,All Stays,"Rate per 1,000 People",6.6,6.8
2017/18,Clackmannanshire,65-74 years,All Stays,Number of People,40,3860
2017/18,Clackmannanshire,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.8,0.8
2017/18,Clackmannanshire,65-74 years,Short Stay / Respite,Number of People,5,430
2017/18,Clackmannanshire,65-74 years,Long Stay,"Rate per 1,000 People",5.8,6.3
2017/18,Clackmannanshire,65-74 years,Long Stay,Number of People,35,3530
2017/18,Clackmannanshire,75-84 years,All Stays,"Rate per 1,000 People",31.5,33.5
2017/18,Clackmannanshire,75-84 years,All Stays,Number of People,95,10930
2017/18,Clackmannanshire,75-84 years,Short Stay / Respite,"Rate per 1,000 People",5,3.5
2017/18,Clackmannanshire,75-84 years,Short Stay / Respite,Number of People,15,1145
2017/18,Clackmannanshire,75-84 years,Long Stay,"Rate per 1,000 People",28.2,31
2017/18,Clackmannanshire,75-84 years,Long Stay,Number of People,85,10120
2017/18,Clackmannanshire,85+ years,All Stays,"Rate per 1,000 People",128.1,141.5
2017/18,Clackmannanshire,85+ years,All Stays,Number of People,130,17240
2017/18,Clackmannanshire,85+ years,Short Stay / Respite,"Rate per 1,000 People",9.9,11.6
2017/18,Clackmannanshire,85+ years,Short Stay / Respite,Number of People,10,1415
2017/18,Clackmannanshire,85+ years,Long Stay,"Rate per 1,000 People",118.2,133.6
2017/18,Clackmannanshire,85+ years,Long Stay,Number of People,120,16275
2017/18,Dumfries and Galloway,All Ages,All Stays,"Rate per 1,000 People",8.4,6.6
2017/18,Dumfries and Galloway,All Ages,All Stays,Number of People,1250,35990
2017/18,Dumfries and Galloway,All Ages,Short Stay / Respite,"Rate per 1,000 People",1,0.7
2017/18,Dumfries and Galloway,All Ages,Short Stay / Respite,Number of People,150,3780
2017/18,Dumfries and Galloway,All Ages,Long Stay,"Rate per 1,000 People",8,6.1
2017/18,Dumfries and Galloway,All Ages,Long Stay,Number of People,1190,33140
2017/18,Dumfries and Galloway,0-17 years,All Stays,"Rate per 1,000 People",0.2,0.1
2017/18,Dumfries and Galloway,0-17 years,All Stays,Number of People,5,125
2017/18,Dumfries and Galloway,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,Dumfries and Galloway,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,Dumfries and Galloway,0-17 years,Long Stay,"Rate per 1,000 People",0.2,0.1
2017/18,Dumfries and Galloway,0-17 years,Long Stay,Number of People,5,90
2017/18,Dumfries and Galloway,18-64 years,All Stays,"Rate per 1,000 People",0.9,1.1
2017/18,Dumfries and Galloway,18-64 years,All Stays,Number of People,75,3835
2017/18,Dumfries and Galloway,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0.2,0.2
2017/18,Dumfries and Galloway,18-64 years,Short Stay / Respite,Number of People,15,765
2017/18,Dumfries and Galloway,18-64 years,Long Stay,"Rate per 1,000 People",0.8,0.9
2017/18,Dumfries and Galloway,18-64 years,Long Stay,Number of People,70,3115
2017/18,Dumfries and Galloway,65-74 years,All Stays,"Rate per 1,000 People",6.3,6.8
2017/18,Dumfries and Galloway,65-74 years,All Stays,Number of People,130,3860
2017/18,Dumfries and Galloway,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.7,0.8
2017/18,Dumfries and Galloway,65-74 years,Short Stay / Respite,Number of People,15,430
2017/18,Dumfries and Galloway,65-74 years,Long Stay,"Rate per 1,000 People",5.8,6.3
2017/18,Dumfries and Galloway,65-74 years,Long Stay,Number of People,120,3530
2017/18,Dumfries and Galloway,75-84 years,All Stays,"Rate per 1,000 People",30.8,33.5
2017/18,Dumfries and Galloway,75-84 years,All Stays,Number of People,380,10930
2017/18,Dumfries and Galloway,75-84 years,Short Stay / Respite,"Rate per 1,000 People",4.1,3.5
2017/18,Dumfries and Galloway,75-84 years,Short Stay / Respite,Number of People,50,1145
2017/18,Dumfries and Galloway,75-84 years,Long Stay,"Rate per 1,000 People",29.2,31
2017/18,Dumfries and Galloway,75-84 years,Long Stay,Number of People,360,10120
2017/18,Dumfries and Galloway,85+ years,All Stays,"Rate per 1,000 People",150.2,141.5
2017/18,Dumfries and Galloway,85+ years,All Stays,Number of People,665,17240
2017/18,Dumfries and Galloway,85+ years,Short Stay / Respite,"Rate per 1,000 People",14.7,11.6
2017/18,Dumfries and Galloway,85+ years,Short Stay / Respite,Number of People,65,1415
2017/18,Dumfries and Galloway,85+ years,Long Stay,"Rate per 1,000 People",143.5,133.6
2017/18,Dumfries and Galloway,85+ years,Long Stay,Number of People,635,16275
2017/18,Dundee City,All Ages,All Stays,"Rate per 1,000 People",8.4,6.6
2017/18,Dundee City,All Ages,All Stays,Number of People,1255,35990
2017/18,Dundee City,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.2,0.7
2017/18,Dundee City,All Ages,Short Stay / Respite,Number of People,25,3780
2017/18,Dundee City,All Ages,Long Stay,"Rate per 1,000 People",8.4,6.1
2017/18,Dundee City,All Ages,Long Stay,Number of People,1250,33140
2017/18,Dundee City,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,Dundee City,0-17 years,All Stays,Number of People,0,125
2017/18,Dundee City,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,Dundee City,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,Dundee City,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
2017/18,Dundee City,0-17 years,Long Stay,Number of People,0,90
2017/18,Dundee City,18-64 years,All Stays,"Rate per 1,000 People",1.1,1.1
2017/18,Dundee City,18-64 years,All Stays,Number of People,105,3835
2017/18,Dundee City,18-64 years,Short Stay / Respite,"Rate per 1,000 People",0,0.2
2017/18,Dundee City,18-64 years,Short Stay / Respite,Number of People,0,765
2017/18,Dundee City,18-64 years,Long Stay,"Rate per 1,000 People",1.1,0.9
2017/18,Dundee City,18-64 years,Long Stay,Number of People,105,3115
2017/18,Dundee City,65-74 years,All Stays,"Rate per 1,000 People",9.5,6.8
2017/18,Dundee City,65-74 years,All Stays,Number of People,130,3860
2017/18,Dundee City,65-74 years,Short Stay / Respite,"Rate per 1,000 People",0.4,0.8
2017/18,Dundee City,65-74 years,Short Stay / Respite,Number of People,5,430
2017/18,Dundee City,65-74 years,Long Stay,"Rate per 1,000 People",9.5,6.3
2017/18,Dundee City,65-74 years,Long Stay,Number of People,130,3530
2017/18,Dundee City,75-84 years,All Stays,"Rate per 1,000 People",44.7,33.5
2017/18,Dundee City,75-84 years,All Stays,Number of People,390,10930
2017/18,Dundee City,75-84 years,Short Stay / Respite,"Rate per 1,000 People",0.6,3.5
2017/18,Dundee City,75-84 years,Short Stay / Respite,Number of People,5,1145
2017/18,Dundee City,75-84 years,Long Stay,"Rate per 1,000 People",44.7,31
2017/18,Dundee City,75-84 years,Long Stay,Number of People,390,10120
2017/18,Dundee City,85+ years,All Stays,"Rate per 1,000 People",173.8,141.5
2017/18,Dundee City,85+ years,All Stays,Number of People,625,17240
2017/18,Dundee City,85+ years,Short Stay / Respite,"Rate per 1,000 People",4.2,11.6
2017/18,Dundee City,85+ years,Short Stay / Respite,Number of People,15,1415
2017/18,Dundee City,85+ years,Long Stay,"Rate per 1,000 People",172.4,133.6
2017/18,Dundee City,85+ years,Long Stay,Number of People,620,16275
2017/18,East Ayrshire,All Ages,All Stays,"Rate per 1,000 People",6.8,6.6
2017/18,East Ayrshire,All Ages,All Stays,Number of People,835,35990
2017/18,East Ayrshire,All Ages,Short Stay / Respite,"Rate per 1,000 People",0.2,0.7
2017/18,East Ayrshire,All Ages,Short Stay / Respite,Number of People,30,3780
2017/18,East Ayrshire,All Ages,Long Stay,"Rate per 1,000 People",6.7,6.1
2017/18,East Ayrshire,All Ages,Long Stay,Number of People,815,33140
2017/18,East Ayrshire,0-17 years,All Stays,"Rate per 1,000 People",0,0.1
2017/18,East Ayrshire,0-17 years,All Stays,Number of People,0,125
2017/18,East Ayrshire,0-17 years,Short Stay / Respite,"Rate per 1,000 People",0,0
2017/18,East Ayrshire,0-17 years,Short Stay / Respite,Number of People,0,30
2017/18,East Ayrshire,0-17 years,Long Stay,"Rate per 1,000 People",0,0.1
