financial_year,financial_quarter,sending_location,age_group,measure,value,scotland_value,rate_per_1000,scotland_rate,nursing_care_provision
2018/19,2018/19 Q1,Clackmannanshire,65+ years,Emergency Admissions,15,3155,69.8,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Dumfries and Galloway,18+ years,A&E Attendances,130,4165,131.3,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Dumfries and Galloway,18+ years,Emergency Admissions,115,3475,116.2,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Dumfries and Galloway,18-64 years,A&E Attendances,5,465,90.9,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Dumfries and Galloway,18-64 years,Emergency Admissions,5,320,90.9,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Dumfries and Galloway,65+ years,A&E Attendances,125,3700,133.7,128,Nursing Provision provided
2018/19,2018/19 Q1,Dumfries and Galloway,65+ years,Emergency Admissions,115,3155,123,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Dundee City,18+ years,A&E Attendances,100,4165,89.3,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Dundee City,18+ years,Emergency Admissions,120,3475,107.1,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Dundee City,18-64 years,A&E Attendances,10,465,100,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Dundee City,18-64 years,Emergency Admissions,5,320,50,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Dundee City,65+ years,A&E Attendances,90,3700,87.8,128,Nursing Provision provided
2018/19,2018/19 Q1,Dundee City,65+ years,Emergency Admissions,115,3155,112.2,109.2,Nursing Provision provided
2018/19,2018/19 Q1,East Ayrshire,18+ years,A&E Attendances,85,4165,127.8,129.1,Nursing Provision provided
2018/19,2018/19 Q1,East Ayrshire,18+ years,Emergency Admissions,85,3475,127.8,107.8,Nursing Provision provided
2018/19,2018/19 Q1,East Ayrshire,18-64 years,A&E Attendances,10,465,181.8,138.8,Nursing Provision provided
2018/19,2018/19 Q1,East Ayrshire,18-64 years,Emergency Admissions,10,320,181.8,95.5,Nursing Provision provided
2018/19,2018/19 Q1,East Ayrshire,65+ years,A&E Attendances,75,3700,123,128,Nursing Provision provided
2018/19,2018/19 Q1,East Ayrshire,65+ years,Emergency Admissions,75,3155,123,109.2,Nursing Provision provided
2018/19,2018/19 Q1,East Dunbartonshire,18+ years,A&E Attendances,125,4165,156.2,129.1,Nursing Provision provided
2018/19,2018/19 Q1,East Dunbartonshire,18+ years,Emergency Admissions,100,3475,125,107.8,Nursing Provision provided
2018/19,2018/19 Q1,East Dunbartonshire,18-64 years,A&E Attendances,10,465,250,138.8,Nursing Provision provided
2018/19,2018/19 Q1,East Dunbartonshire,18-64 years,Emergency Admissions,5,320,125,95.5,Nursing Provision provided
2018/19,2018/19 Q1,East Dunbartonshire,65+ years,A&E Attendances,115,3700,151.3,128,Nursing Provision provided
2018/19,2018/19 Q1,East Dunbartonshire,65+ years,Emergency Admissions,95,3155,125,109.2,Nursing Provision provided
2018/19,2018/19 Q1,East Lothian,18+ years,A&E Attendances,85,4165,133.9,129.1,Nursing Provision provided
2018/19,2018/19 Q1,East Lothian,18+ years,Emergency Admissions,45,3475,70.9,107.8,Nursing Provision provided
2018/19,2018/19 Q1,East Lothian,18-64 years,A&E Attendances,10,465,200,138.8,Nursing Provision provided
2018/19,2018/19 Q1,East Lothian,18-64 years,Emergency Admissions,10,320,200,95.5,Nursing Provision provided
2018/19,2018/19 Q1,East Lothian,65+ years,A&E Attendances,75,3700,128.2,128,Nursing Provision provided
2018/19,2018/19 Q1,East Lothian,65+ years,Emergency Admissions,40,3155,68.4,109.2,Nursing Provision provided
2018/19,2018/19 Q1,East Renfrewshire,18+ years,A&E Attendances,80,4165,144.1,129.1,Nursing Provision provided
2018/19,2018/19 Q1,East Renfrewshire,18+ years,Emergency Admissions,50,3475,90.1,107.8,Nursing Provision provided
2018/19,2018/19 Q1,East Renfrewshire,18-64 years,A&E Attendances,5,465,166.7,138.8,Nursing Provision provided
2018/19,2018/19 Q1,East Renfrewshire,18-64 years,Emergency Admissions,0,320,0,95.5,Nursing Provision provided
2018/19,2018/19 Q1,East Renfrewshire,65+ years,A&E Attendances,75,3700,142.9,128,Nursing Provision provided
2018/19,2018/19 Q1,East Renfrewshire,65+ years,Emergency Admissions,50,3155,95.2,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Falkirk,18+ years,A&E Attendances,125,4165,116.8,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Falkirk,18+ years,Emergency Admissions,120,3475,112.1,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Falkirk,18-64 years,A&E Attendances,25,465,147.1,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Falkirk,18-64 years,Emergency Admissions,20,320,117.6,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Falkirk,65+ years,A&E Attendances,100,3700,110.5,128,Nursing Provision provided
2018/19,2018/19 Q1,Falkirk,65+ years,Emergency Admissions,100,3155,110.5,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Fife,18+ years,A&E Attendances,265,4165,109.3,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Fife,18+ years,Emergency Admissions,320,3475,132,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Fife,18-64 years,A&E Attendances,15,465,81.1,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Fife,18-64 years,Emergency Admissions,20,320,108.1,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Fife,65+ years,A&E Attendances,250,3700,111.6,128,Nursing Provision provided
2018/19,2018/19 Q1,Fife,65+ years,Emergency Admissions,300,3155,133.9,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Glasgow City,18+ years,A&E Attendances,615,4165,166.4,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Glasgow City,18+ years,Emergency Admissions,510,3475,138,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Glasgow City,18-64 years,A&E Attendances,120,465,210.5,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Glasgow City,18-64 years,Emergency Admissions,70,320,122.8,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Glasgow City,65+ years,A&E Attendances,495,3700,158.4,128,Nursing Provision provided
2018/19,2018/19 Q1,Glasgow City,65+ years,Emergency Admissions,440,3155,140.8,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Highland,18+ years,A&E Attendances,170,4165,95.5,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Highland,18+ years,Emergency Admissions,155,3475,87.1,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Highland,18-64 years,A&E Attendances,20,465,114.3,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Highland,18-64 years,Emergency Admissions,15,320,85.7,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Highland,65+ years,A&E Attendances,155,3700,96.9,128,Nursing Provision provided
2018/19,2018/19 Q1,Highland,65+ years,Emergency Admissions,140,3155,87.5,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Inverclyde,18+ years,A&E Attendances,75,4165,142.9,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Inverclyde,18+ years,Emergency Admissions,65,3475,123.8,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Inverclyde,18-64 years,A&E Attendances,10,465,181.8,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Inverclyde,18-64 years,Emergency Admissions,10,320,181.8,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Inverclyde,65+ years,A&E Attendances,70,3700,147.4,128,Nursing Provision provided
2018/19,2018/19 Q1,Inverclyde,65+ years,Emergency Admissions,55,3155,115.8,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Midlothian,18+ years,A&E Attendances,35,4165,218.8,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Midlothian,18+ years,Emergency Admissions,20,3475,125,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Midlothian,18-64 years,A&E Attendances,0,465,NA,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Midlothian,18-64 years,Emergency Admissions,0,320,NA,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Midlothian,65+ years,A&E Attendances,35,3700,218.8,128,Nursing Provision provided
2018/19,2018/19 Q1,Midlothian,65+ years,Emergency Admissions,20,3155,125,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Moray,18+ years,A&E Attendances,25,4165,46.7,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Moray,18+ years,Emergency Admissions,30,3475,56.1,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Moray,18-64 years,A&E Attendances,5,465,62.5,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Moray,18-64 years,Emergency Admissions,5,320,62.5,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Moray,65+ years,A&E Attendances,20,3700,44,128,Nursing Provision provided
2018/19,2018/19 Q1,Moray,65+ years,Emergency Admissions,25,3155,54.9,109.2,Nursing Provision provided
2018/19,2018/19 Q1,North Ayrshire,18+ years,A&E Attendances,95,4165,107.3,129.1,Nursing Provision provided
2018/19,2018/19 Q1,North Ayrshire,18+ years,Emergency Admissions,80,3475,90.4,107.8,Nursing Provision provided
2018/19,2018/19 Q1,North Ayrshire,18-64 years,A&E Attendances,10,465,111.1,138.8,Nursing Provision provided
2018/19,2018/19 Q1,North Ayrshire,18-64 years,Emergency Admissions,5,320,55.6,95.5,Nursing Provision provided
2018/19,2018/19 Q1,North Ayrshire,65+ years,A&E Attendances,80,3700,100.6,128,Nursing Provision provided
2018/19,2018/19 Q1,North Ayrshire,65+ years,Emergency Admissions,75,3155,94.3,109.2,Nursing Provision provided
2018/19,2018/19 Q1,North Lanarkshire,18+ years,A&E Attendances,200,4165,140.8,129.1,Nursing Provision provided
2018/19,2018/19 Q1,North Lanarkshire,18+ years,Emergency Admissions,125,3475,88,107.8,Nursing Provision provided
2018/19,2018/19 Q1,North Lanarkshire,18-64 years,A&E Attendances,10,465,125,138.8,Nursing Provision provided
2018/19,2018/19 Q1,North Lanarkshire,18-64 years,Emergency Admissions,5,320,62.5,95.5,Nursing Provision provided
2018/19,2018/19 Q1,North Lanarkshire,65+ years,A&E Attendances,190,3700,141.3,128,Nursing Provision provided
2018/19,2018/19 Q1,North Lanarkshire,65+ years,Emergency Admissions,120,3155,89.2,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Perth and Kinross,18+ years,A&E Attendances,85,4165,78,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Perth and Kinross,18+ years,Emergency Admissions,90,3475,82.6,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Perth and Kinross,18-64 years,A&E Attendances,10,465,83.3,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Perth and Kinross,18-64 years,Emergency Admissions,10,320,83.3,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Perth and Kinross,65+ years,A&E Attendances,75,3700,77.3,128,Nursing Provision provided
2018/19,2018/19 Q1,Perth and Kinross,65+ years,Emergency Admissions,80,3155,82.5,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Renfrewshire,18+ years,A&E Attendances,195,4165,189.3,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Renfrewshire,18+ years,Emergency Admissions,130,3475,126.2,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Renfrewshire,18-64 years,A&E Attendances,15,465,150,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Renfrewshire,18-64 years,Emergency Admissions,10,320,100,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Renfrewshire,65+ years,A&E Attendances,180,3700,193.5,128,Nursing Provision provided
2018/19,2018/19 Q1,Renfrewshire,65+ years,Emergency Admissions,120,3155,129,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Scottish Borders,18+ years,A&E Attendances,100,4165,150.4,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Scottish Borders,18+ years,Emergency Admissions,70,3475,105.3,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Scottish Borders,18-64 years,A&E Attendances,0,465,0,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Scottish Borders,18-64 years,Emergency Admissions,0,320,0,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Scottish Borders,65+ years,A&E Attendances,100,3700,157.5,128,Nursing Provision provided
2018/19,2018/19 Q1,Scottish Borders,65+ years,Emergency Admissions,70,3155,110.2,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Shetland,18+ years,A&E Attendances,25,4165,192.3,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Shetland,18+ years,Emergency Admissions,20,3475,153.8,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Shetland,18-64 years,A&E Attendances,0,465,0,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Shetland,18-64 years,Emergency Admissions,0,320,0,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Shetland,65+ years,A&E Attendances,25,3700,208.3,128,Nursing Provision provided
2018/19,2018/19 Q1,Shetland,65+ years,Emergency Admissions,15,3155,125,109.2,Nursing Provision provided
2018/19,2018/19 Q1,South Ayrshire,18+ years,A&E Attendances,145,4165,162,129.1,Nursing Provision provided
2018/19,2018/19 Q1,South Ayrshire,18+ years,Emergency Admissions,145,3475,162,107.8,Nursing Provision provided
2018/19,2018/19 Q1,South Ayrshire,18-64 years,A&E Attendances,5,465,90.9,138.8,Nursing Provision provided
2018/19,2018/19 Q1,South Ayrshire,18-64 years,Emergency Admissions,15,320,272.7,95.5,Nursing Provision provided
2018/19,2018/19 Q1,South Ayrshire,65+ years,A&E Attendances,135,3700,159.8,128,Nursing Provision provided
2018/19,2018/19 Q1,South Ayrshire,65+ years,Emergency Admissions,130,3155,153.8,109.2,Nursing Provision provided
2018/19,2018/19 Q1,South Lanarkshire,18+ years,A&E Attendances,340,4165,193.2,129.1,Nursing Provision provided
2018/19,2018/19 Q1,South Lanarkshire,18+ years,Emergency Admissions,215,3475,122.2,107.8,Nursing Provision provided
2018/19,2018/19 Q1,South Lanarkshire,18-64 years,A&E Attendances,45,465,236.8,138.8,Nursing Provision provided
2018/19,2018/19 Q1,South Lanarkshire,18-64 years,Emergency Admissions,30,320,157.9,95.5,Nursing Provision provided
2018/19,2018/19 Q1,South Lanarkshire,65+ years,A&E Attendances,295,3700,187.9,128,Nursing Provision provided
2018/19,2018/19 Q1,South Lanarkshire,65+ years,Emergency Admissions,185,3155,117.8,109.2,Nursing Provision provided
2018/19,2018/19 Q1,Stirling,18+ years,A&E Attendances,70,4165,122.8,129.1,Nursing Provision provided
2018/19,2018/19 Q1,Stirling,18+ years,Emergency Admissions,60,3475,105.3,107.8,Nursing Provision provided
2018/19,2018/19 Q1,Stirling,18-64 years,A&E Attendances,10,465,125,138.8,Nursing Provision provided
2018/19,2018/19 Q1,Stirling,18-64 years,Emergency Admissions,5,320,62.5,95.5,Nursing Provision provided
2018/19,2018/19 Q1,Stirling,65+ years,A&E Attendances,60,3700,122.4,128,Nursing Provision provided
2018/19,2018/19 Q1,Stirling,65+ years,Emergency Admissions,50,3155,102,109.2,Nursing Provision provided
2018/19,2018/19 Q1,West Dunbartonshire,18+ years,A&E Attendances,105,4165,164.1,129.1,Nursing Provision provided
2018/19,2018/19 Q1,West Dunbartonshire,18+ years,Emergency Admissions,85,3475,132.8,107.8,Nursing Provision provided
2018/19,2018/19 Q1,West Dunbartonshire,18-64 years,A&E Attendances,5,465,90.9,138.8,Nursing Provision provided
2018/19,2018/19 Q1,West Dunbartonshire,18-64 years,Emergency Admissions,5,320,90.9,95.5,Nursing Provision provided
2018/19,2018/19 Q1,West Dunbartonshire,65+ years,A&E Attendances,100,3700,170.9,128,Nursing Provision provided
2018/19,2018/19 Q1,West Dunbartonshire,65+ years,Emergency Admissions,75,3155,128.2,109.2,Nursing Provision provided
2018/19,2018/19 Q1,West Lothian,18+ years,A&E Attendances,125,4165,164.5,129.1,Nursing Provision provided
2018/19,2018/19 Q1,West Lothian,18+ years,Emergency Admissions,100,3475,131.6,107.8,Nursing Provision provided
2018/19,2018/19 Q1,West Lothian,18-64 years,A&E Attendances,10,465,105.3,138.8,Nursing Provision provided
2018/19,2018/19 Q1,West Lothian,18-64 years,Emergency Admissions,5,320,52.6,95.5,Nursing Provision provided
2018/19,2018/19 Q1,West Lothian,65+ years,A&E Attendances,110,3700,165.4,128,Nursing Provision provided
2018/19,2018/19 Q1,West Lothian,65+ years,Emergency Admissions,95,3155,142.9,109.2,Nursing Provision provided
2018/19,2018/19 Q2,Scotland (All Areas Submitted),18+ years,A&E Attendances,4355,4355,124.5,124.5,Nursing Provision provided
2018/19,2018/19 Q2,Scotland (All Areas Submitted),18+ years,Emergency Admissions,3505,3505,100.2,100.2,Nursing Provision provided
2018/19,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,A&E Attendances,520,520,147.5,147.5,Nursing Provision provided
2018/19,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Emergency Admissions,390,390,110.6,110.6,Nursing Provision provided
2018/19,2018/19 Q2,Scotland (All Areas Submitted),65+ years,A&E Attendances,3830,3830,121.8,121.8,Nursing Provision provided
2018/19,2018/19 Q2,Scotland (All Areas Submitted),65+ years,Emergency Admissions,3115,3115,99.1,99.1,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeen City,18+ years,A&E Attendances,125,4355,74.6,124.5,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeen City,18+ years,Emergency Admissions,130,3505,77.6,100.2,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeen City,18-64 years,A&E Attendances,25,520,92.6,147.5,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeen City,18-64 years,Emergency Admissions,25,390,92.6,110.6,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeen City,65+ years,A&E Attendances,100,3830,71.2,121.8,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeen City,65+ years,Emergency Admissions,105,3115,74.7,99.1,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeenshire,18+ years,A&E Attendances,80,4355,47.6,124.5,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeenshire,18+ years,Emergency Admissions,105,3505,62.5,100.2,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeenshire,18-64 years,A&E Attendances,10,520,54.1,147.5,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeenshire,18-64 years,Emergency Admissions,15,390,81.1,110.6,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeenshire,65+ years,A&E Attendances,70,3830,46.8,121.8,Nursing Provision provided
2018/19,2018/19 Q2,Aberdeenshire,65+ years,Emergency Admissions,90,3115,60.2,99.1,Nursing Provision provided
2018/19,2018/19 Q2,Angus,18+ years,A&E Attendances,35,4355,47.3,124.5,Nursing Provision provided
2018/19,2018/19 Q2,Angus,18+ years,Emergency Admissions,50,3505,67.6,100.2,Nursing Provision provided
2018/19,2018/19 Q2,Angus,18-64 years,A&E Attendances,10,520,117.6,147.5,Nursing Provision provided
2018/19,2018/19 Q2,Angus,18-64 years,Emergency Admissions,5,390,58.8,110.6,Nursing Provision provided
2018/19,2018/19 Q2,Angus,65+ years,A&E Attendances,25,3830,38.2,121.8,Nursing Provision provided
2018/19,2018/19 Q2,Angus,65+ years,Emergency Admissions,40,3115,61.1,99.1,Nursing Provision provided
2018/19,2018/19 Q2,Argyll and Bute,18+ years,A&E Attendances,60,4355,96.8,124.5,Nursing Provision provided
2018/19,2018/19 Q2,Argyll and Bute,18+ years,Emergency Admissions,50,3505,80.6,100.2,Nursing Provision provided
2018/19,2018/19 Q2,Argyll and Bute,18-64 years,A&E Attendances,5,520,83.3,147.5,Nursing Provision provided
2018/19,2018/19 Q2,Argyll and Bute,18-64 years,Emergency Admissions,0,390,0,110.6,Nursing Provision provided
2018/19,2018/19 Q2,Argyll and Bute,65+ years,A&E Attendances,55,3830,98.2,121.8,Nursing Provision provided
2018/19,2018/19 Q2,Argyll and Bute,65+ years,Emergency Admissions,50,3115,89.3,99.1,Nursing Provision provided
2018/19,2018/19 Q2,City of Edinburgh,18+ years,A&E Attendances,390,4355,132.2,124.5,Nursing Provision provided
2018/19,2018/19 Q2,City of Edinburgh,18+ years,Emergency Admissions,240,3505,81.4,100.2,Nursing Provision provided
2018/19,2018/19 Q2,City of Edinburgh,18-64 years,A&E Attendances,45,520,183.7,147.5,Nursing Provision provided
2018/19,2018/19 Q2,City of Edinburgh,18-64 years,Emergency Admissions,35,390,142.9,110.6,Nursing Provision provided
2018/19,2018/19 Q2,City of Edinburgh,65+ years,A&E Attendances,350,3830,129.4,121.8,Nursing Provision provided
2018/19,2018/19 Q2,City of Edinburgh,65+ years,Emergency Admissions,205,3115,75.8,99.1,Nursing Provision provided
2018/19,2018/19 Q2,Clackmannanshire,18+ years,A&E Attendances,20,4355,65.6,124.5,Nursing Provision provided
2018/19,2018/19 Q2,Clackmannanshire,18+ years,Emergency Admissions,20,3505,65.6,100.2,Nursing Provision provided
2018/19,2018/19 Q2,Clackmannanshire,18-64 years,A&E Attendances,0,520,0,147.5,Nursing Provision provided
2018/19,2018/19 Q2,Clackmannanshire,18-64 years,Emergency Admissions,5,390,76.9,110.6,Nursing Provision provided
2018/19,2018/19 Q2,Clackmannanshire,65+ years,A&E Attendances,20,3830,83.3,121.8,Nursing Provision provided
2018/19,2018/19 Q2,Clackmannanshire,65+ years,Emergency Admissions,15,3115,62.5,99.1,Nursing Provision provided
2018/19,2018/19 Q2,Dumfries and Galloway,18+ years,A&E Attendances,140,4355,130.2,124.5,Nursing Provision provided
2018/19,2018/19 Q2,Dumfries and Galloway,18+ years,Emergency Admissions,125,3505,116.3,100.2,Nursing Provision provided
2018/19,2018/19 Q2,Dumfries and Galloway,18-64 years,A&E Attendances,10,520,166.7,147.5,Nursing Provision provided
2018/19,2018/19 Q2,Dumfries and Galloway,18-64 years,Emergency Admissions,5,390,83.3,110.6,Nursing Provision provided
2018/19,2018/19 Q2,Dumfries and Galloway,65+ years,A&E Attendances,130,3830,127.5,121.8,Nursing Provision provided
2018/19,2018/19 Q2,Dumfries and Galloway,65+ years,Emergency Admissions,120,3115,117.6,99.1,Nursing Provision provided
2018/19,2018/19 Q2,Dundee City,18+ years,A&E Attendances,80,4355,67.8,124.5,Nursing Provision provided
2018/19,2018/19 Q2,Dundee City,18+ years,Emergency Admissions,85,3505,72,100.2,Nursing Provision provided
2018/19,2018/19 Q2,Dundee City,18-64 years,A&E Attendances,10,520,100,147.5,Nursing Provision provided
2018/19,2018/19 Q2,Dundee City,18-64 years,Emergency Admissions,10,390,100,110.6,Nursing Provision provided
2018/19,2018/19 Q2,Dundee City,65+ years,A&E Attendances,70,3830,64.8,121.8,Nursing Provision provided
2018/19,2018/19 Q2,Dundee City,65+ years,Emergency Admissions,75,3115,69.4,99.1,Nursing Provision provided
