financial_quarter,sending_location,age_group,referral_source,referrals,percentage,scotland_referrals,scotland_percentage
2017/18 Q4,Aberdeenshire,All Ages,Other/Unknown,5,4.8,175,4
2017/18 Q4,Aberdeenshire,0-17 years,999 Emergency Services,0,NA,0,0
2017/18 Q4,Aberdeenshire,0-17 years,GP,0,NA,0,0
2017/18 Q4,Aberdeenshire,0-17 years,Care Home,0,NA,0,0
2017/18 Q4,Aberdeenshire,0-17 years,Self Referral,0,NA,10,50
2017/18 Q4,Aberdeenshire,0-17 years,Other/Unknown,0,NA,10,50
2017/18 Q4,Aberdeenshire,18-64 years,999 Emergency Services,5,50,265,66
2017/18 Q4,Aberdeenshire,18-64 years,GP,0,0,10,2
2017/18 Q4,Aberdeenshire,18-64 years,Care Home,0,0,0,0
2017/18 Q4,Aberdeenshire,18-64 years,Self Referral,5,50,90,22
2017/18 Q4,Aberdeenshire,18-64 years,Other/Unknown,0,0,35,9
2017/18 Q4,Aberdeenshire,65-74 years,999 Emergency Services,20,100,400,88
2017/18 Q4,Aberdeenshire,65-74 years,GP,0,0,10,2
2017/18 Q4,Aberdeenshire,65-74 years,Care Home,0,0,0,0
2017/18 Q4,Aberdeenshire,65-74 years,Self Referral,0,0,35,8
2017/18 Q4,Aberdeenshire,65-74 years,Other/Unknown,0,0,10,2
2017/18 Q4,Aberdeenshire,75-84 years,999 Emergency Services,20,80,1050,86
2017/18 Q4,Aberdeenshire,75-84 years,GP,0,0,20,2
2017/18 Q4,Aberdeenshire,75-84 years,Care Home,0,0,10,1
2017/18 Q4,Aberdeenshire,75-84 years,Self Referral,5,20,105,9
2017/18 Q4,Aberdeenshire,75-84 years,Other/Unknown,0,0,40,3
2017/18 Q4,Aberdeenshire,85+ years,999 Emergency Services,40,88.9,1640,83
2017/18 Q4,Aberdeenshire,85+ years,GP,0,0,40,2
2017/18 Q4,Aberdeenshire,85+ years,Care Home,0,0,15,1
2017/18 Q4,Aberdeenshire,85+ years,Self Referral,5,11.1,195,10
2017/18 Q4,Aberdeenshire,85+ years,Other/Unknown,0,0,80,4
2017/18 Q4,Aberdeenshire,Unknown,999 Emergency Services,0,NA,0,NA
2017/18 Q4,Aberdeenshire,Unknown,GP,0,NA,0,NA
2017/18 Q4,Aberdeenshire,Unknown,Care Home,0,NA,0,NA
2017/18 Q4,Aberdeenshire,Unknown,Self Referral,0,NA,0,NA
2017/18 Q4,Aberdeenshire,Unknown,Other/Unknown,0,NA,0,NA
2017/18 Q4,Angus,All Ages,999 Emergency Services,30,50,3355,82
2017/18 Q4,Angus,All Ages,GP,5,8.3,80,2
2017/18 Q4,Angus,All Ages,Care Home,0,0,30,1
2017/18 Q4,Angus,All Ages,Self Referral,10,16.7,435,11
2017/18 Q4,Angus,All Ages,Other/Unknown,15,25,175,4
2017/18 Q4,Angus,0-17 years,999 Emergency Services,0,NA,0,0
2017/18 Q4,Angus,0-17 years,GP,0,NA,0,0
2017/18 Q4,Angus,0-17 years,Care Home,0,NA,0,0
2017/18 Q4,Angus,0-17 years,Self Referral,0,NA,10,50
2017/18 Q4,Angus,0-17 years,Other/Unknown,0,NA,10,50
2017/18 Q4,Angus,18-64 years,999 Emergency Services,0,0,265,66
2017/18 Q4,Angus,18-64 years,GP,0,0,10,2
2017/18 Q4,Angus,18-64 years,Care Home,0,0,0,0
2017/18 Q4,Angus,18-64 years,Self Referral,0,0,90,22
2017/18 Q4,Angus,18-64 years,Other/Unknown,5,100,35,9
2017/18 Q4,Angus,65-74 years,999 Emergency Services,5,100,400,88
2017/18 Q4,Angus,65-74 years,GP,0,0,10,2
2017/18 Q4,Angus,65-74 years,Care Home,0,0,0,0
2017/18 Q4,Angus,65-74 years,Self Referral,0,0,35,8
2017/18 Q4,Angus,65-74 years,Other/Unknown,0,0,10,2
2017/18 Q4,Angus,75-84 years,999 Emergency Services,10,66.7,1050,86
2017/18 Q4,Angus,75-84 years,GP,0,0,20,2
2017/18 Q4,Angus,75-84 years,Care Home,0,0,10,1
2017/18 Q4,Angus,75-84 years,Self Referral,0,0,105,9
2017/18 Q4,Angus,75-84 years,Other/Unknown,5,33.3,40,3
2017/18 Q4,Angus,85+ years,999 Emergency Services,20,57.1,1640,83
2017/18 Q4,Angus,85+ years,GP,5,14.3,40,2
2017/18 Q4,Angus,85+ years,Care Home,0,0,15,1
2017/18 Q4,Angus,85+ years,Self Referral,5,14.3,195,10
2017/18 Q4,Angus,85+ years,Other/Unknown,5,14.3,80,4
2017/18 Q4,Angus,Unknown,999 Emergency Services,0,NA,0,NA
2017/18 Q4,Angus,Unknown,GP,0,NA,0,NA
2017/18 Q4,Angus,Unknown,Care Home,0,NA,0,NA
2017/18 Q4,Angus,Unknown,Self Referral,0,NA,0,NA
2017/18 Q4,Angus,Unknown,Other/Unknown,0,NA,0,NA
2017/18 Q4,Argyll and Bute,All Ages,999 Emergency Services,55,84.6,3355,82
2017/18 Q4,Argyll and Bute,All Ages,GP,0,0,80,2
2017/18 Q4,Argyll and Bute,All Ages,Care Home,0,0,30,1
2017/18 Q4,Argyll and Bute,All Ages,Self Referral,10,15.4,435,11
2017/18 Q4,Argyll and Bute,All Ages,Other/Unknown,0,0,175,4
2017/18 Q4,Argyll and Bute,0-17 years,999 Emergency Services,0,NA,0,0
2017/18 Q4,Argyll and Bute,0-17 years,GP,0,NA,0,0
2017/18 Q4,Argyll and Bute,0-17 years,Care Home,0,NA,0,0
2017/18 Q4,Argyll and Bute,0-17 years,Self Referral,0,NA,10,50
2017/18 Q4,Argyll and Bute,0-17 years,Other/Unknown,0,NA,10,50
2017/18 Q4,Argyll and Bute,18-64 years,999 Emergency Services,0,0,265,66
2017/18 Q4,Argyll and Bute,18-64 years,GP,0,0,10,2
2017/18 Q4,Argyll and Bute,18-64 years,Care Home,0,0,0,0
2017/18 Q4,Argyll and Bute,18-64 years,Self Referral,5,100,90,22
2017/18 Q4,Argyll and Bute,18-64 years,Other/Unknown,0,0,35,9
2017/18 Q4,Argyll and Bute,65-74 years,999 Emergency Services,0,NA,400,88
2017/18 Q4,Argyll and Bute,65-74 years,GP,0,NA,10,2
2017/18 Q4,Argyll and Bute,65-74 years,Care Home,0,NA,0,0
2017/18 Q4,Argyll and Bute,65-74 years,Self Referral,0,NA,35,8
2017/18 Q4,Argyll and Bute,65-74 years,Other/Unknown,0,NA,10,2
2017/18 Q4,Argyll and Bute,75-84 years,999 Emergency Services,25,100,1050,86
2017/18 Q4,Argyll and Bute,75-84 years,GP,0,0,20,2
2017/18 Q4,Argyll and Bute,75-84 years,Care Home,0,0,10,1
2017/18 Q4,Argyll and Bute,75-84 years,Self Referral,0,0,105,9
2017/18 Q4,Argyll and Bute,75-84 years,Other/Unknown,0,0,40,3
2017/18 Q4,Argyll and Bute,85+ years,999 Emergency Services,30,85.7,1640,83
2017/18 Q4,Argyll and Bute,85+ years,GP,0,0,40,2
2017/18 Q4,Argyll and Bute,85+ years,Care Home,0,0,15,1
2017/18 Q4,Argyll and Bute,85+ years,Self Referral,5,14.3,195,10
2017/18 Q4,Argyll and Bute,85+ years,Other/Unknown,0,0,80,4
2017/18 Q4,Argyll and Bute,Unknown,999 Emergency Services,0,NA,0,NA
2017/18 Q4,Argyll and Bute,Unknown,GP,0,NA,0,NA
2017/18 Q4,Argyll and Bute,Unknown,Care Home,0,NA,0,NA
2017/18 Q4,Argyll and Bute,Unknown,Self Referral,0,NA,0,NA
2017/18 Q4,Argyll and Bute,Unknown,Other/Unknown,0,NA,0,NA
2017/18 Q4,City of Edinburgh,All Ages,999 Emergency Services,350,79.5,3355,82
2017/18 Q4,City of Edinburgh,All Ages,GP,5,1.1,80,2
2017/18 Q4,City of Edinburgh,All Ages,Care Home,0,0,30,1
2017/18 Q4,City of Edinburgh,All Ages,Self Referral,50,11.4,435,11
2017/18 Q4,City of Edinburgh,All Ages,Other/Unknown,35,8,175,4
2017/18 Q4,City of Edinburgh,0-17 years,999 Emergency Services,0,NA,0,0
2017/18 Q4,City of Edinburgh,0-17 years,GP,0,NA,0,0
2017/18 Q4,City of Edinburgh,0-17 years,Care Home,0,NA,0,0
2017/18 Q4,City of Edinburgh,0-17 years,Self Referral,0,NA,10,50
2017/18 Q4,City of Edinburgh,0-17 years,Other/Unknown,0,NA,10,50
2017/18 Q4,City of Edinburgh,18-64 years,999 Emergency Services,45,64.3,265,66
2017/18 Q4,City of Edinburgh,18-64 years,GP,0,0,10,2
2017/18 Q4,City of Edinburgh,18-64 years,Care Home,0,0,0,0
2017/18 Q4,City of Edinburgh,18-64 years,Self Referral,15,21.4,90,22
2017/18 Q4,City of Edinburgh,18-64 years,Other/Unknown,10,14.3,35,9
2017/18 Q4,City of Edinburgh,65-74 years,999 Emergency Services,45,81.8,400,88
2017/18 Q4,City of Edinburgh,65-74 years,GP,0,0,10,2
2017/18 Q4,City of Edinburgh,65-74 years,Care Home,0,0,0,0
2017/18 Q4,City of Edinburgh,65-74 years,Self Referral,5,9.1,35,8
2017/18 Q4,City of Edinburgh,65-74 years,Other/Unknown,5,9.1,10,2
2017/18 Q4,City of Edinburgh,75-84 years,999 Emergency Services,90,81.8,1050,86
2017/18 Q4,City of Edinburgh,75-84 years,GP,0,0,20,2
2017/18 Q4,City of Edinburgh,75-84 years,Care Home,0,0,10,1
2017/18 Q4,City of Edinburgh,75-84 years,Self Referral,10,9.1,105,9
2017/18 Q4,City of Edinburgh,75-84 years,Other/Unknown,10,9.1,40,3
2017/18 Q4,City of Edinburgh,85+ years,999 Emergency Services,170,81,1640,83
2017/18 Q4,City of Edinburgh,85+ years,GP,5,2.4,40,2
2017/18 Q4,City of Edinburgh,85+ years,Care Home,0,0,15,1
2017/18 Q4,City of Edinburgh,85+ years,Self Referral,20,9.5,195,10
2017/18 Q4,City of Edinburgh,85+ years,Other/Unknown,15,7.1,80,4
2017/18 Q4,City of Edinburgh,Unknown,999 Emergency Services,0,NA,0,NA
2017/18 Q4,City of Edinburgh,Unknown,GP,0,NA,0,NA
2017/18 Q4,City of Edinburgh,Unknown,Care Home,0,NA,0,NA
2017/18 Q4,City of Edinburgh,Unknown,Self Referral,0,NA,0,NA
2017/18 Q4,City of Edinburgh,Unknown,Other/Unknown,0,NA,0,NA
2017/18 Q4,Clackmannanshire,All Ages,999 Emergency Services,15,60,3355,82
2017/18 Q4,Clackmannanshire,All Ages,GP,0,0,80,2
2017/18 Q4,Clackmannanshire,All Ages,Care Home,0,0,30,1
2017/18 Q4,Clackmannanshire,All Ages,Self Referral,5,20,435,11
2017/18 Q4,Clackmannanshire,All Ages,Other/Unknown,5,20,175,4
2017/18 Q4,Clackmannanshire,0-17 years,999 Emergency Services,0,NA,0,0
2017/18 Q4,Clackmannanshire,0-17 years,GP,0,NA,0,0
2017/18 Q4,Clackmannanshire,0-17 years,Care Home,0,NA,0,0
2017/18 Q4,Clackmannanshire,0-17 years,Self Referral,0,NA,10,50
2017/18 Q4,Clackmannanshire,0-17 years,Other/Unknown,0,NA,10,50
2017/18 Q4,Clackmannanshire,18-64 years,999 Emergency Services,0,0,265,66
2017/18 Q4,Clackmannanshire,18-64 years,GP,0,0,10,2
2017/18 Q4,Clackmannanshire,18-64 years,Care Home,0,0,0,0
2017/18 Q4,Clackmannanshire,18-64 years,Self Referral,5,50,90,22
2017/18 Q4,Clackmannanshire,18-64 years,Other/Unknown,5,50,35,9
2017/18 Q4,Clackmannanshire,65-74 years,999 Emergency Services,0,NA,400,88
2017/18 Q4,Clackmannanshire,65-74 years,GP,0,NA,10,2
2017/18 Q4,Clackmannanshire,65-74 years,Care Home,0,NA,0,0
2017/18 Q4,Clackmannanshire,65-74 years,Self Referral,0,NA,35,8
2017/18 Q4,Clackmannanshire,65-74 years,Other/Unknown,0,NA,10,2
2017/18 Q4,Clackmannanshire,75-84 years,999 Emergency Services,5,100,1050,86
2017/18 Q4,Clackmannanshire,75-84 years,GP,0,0,20,2
2017/18 Q4,Clackmannanshire,75-84 years,Care Home,0,0,10,1
2017/18 Q4,Clackmannanshire,75-84 years,Self Referral,0,0,105,9
2017/18 Q4,Clackmannanshire,75-84 years,Other/Unknown,0,0,40,3
2017/18 Q4,Clackmannanshire,85+ years,999 Emergency Services,5,100,1640,83
2017/18 Q4,Clackmannanshire,85+ years,GP,0,0,40,2
2017/18 Q4,Clackmannanshire,85+ years,Care Home,0,0,15,1
2017/18 Q4,Clackmannanshire,85+ years,Self Referral,0,0,195,10
2017/18 Q4,Clackmannanshire,85+ years,Other/Unknown,0,0,80,4
2017/18 Q4,Clackmannanshire,Unknown,999 Emergency Services,0,NA,0,NA
2017/18 Q4,Clackmannanshire,Unknown,GP,0,NA,0,NA
2017/18 Q4,Clackmannanshire,Unknown,Care Home,0,NA,0,NA
2017/18 Q4,Clackmannanshire,Unknown,Self Referral,0,NA,0,NA
2017/18 Q4,Clackmannanshire,Unknown,Other/Unknown,0,NA,0,NA
2017/18 Q4,Dumfries and Galloway,All Ages,999 Emergency Services,140,90.3,3355,82
2017/18 Q4,Dumfries and Galloway,All Ages,GP,0,0,80,2
2017/18 Q4,Dumfries and Galloway,All Ages,Care Home,0,0,30,1
2017/18 Q4,Dumfries and Galloway,All Ages,Self Referral,10,6.5,435,11
2017/18 Q4,Dumfries and Galloway,All Ages,Other/Unknown,5,3.2,175,4
2017/18 Q4,Dumfries and Galloway,0-17 years,999 Emergency Services,0,NA,0,0
2017/18 Q4,Dumfries and Galloway,0-17 years,GP,0,NA,0,0
2017/18 Q4,Dumfries and Galloway,0-17 years,Care Home,0,NA,0,0
2017/18 Q4,Dumfries and Galloway,0-17 years,Self Referral,0,NA,10,50
2017/18 Q4,Dumfries and Galloway,0-17 years,Other/Unknown,0,NA,10,50
2017/18 Q4,Dumfries and Galloway,18-64 years,999 Emergency Services,5,100,265,66
2017/18 Q4,Dumfries and Galloway,18-64 years,GP,0,0,10,2
2017/18 Q4,Dumfries and Galloway,18-64 years,Care Home,0,0,0,0
2017/18 Q4,Dumfries and Galloway,18-64 years,Self Referral,0,0,90,22
2017/18 Q4,Dumfries and Galloway,18-64 years,Other/Unknown,0,0,35,9
2017/18 Q4,Dumfries and Galloway,65-74 years,999 Emergency Services,20,100,400,88
2017/18 Q4,Dumfries and Galloway,65-74 years,GP,0,0,10,2
2017/18 Q4,Dumfries and Galloway,65-74 years,Care Home,0,0,0,0
2017/18 Q4,Dumfries and Galloway,65-74 years,Self Referral,0,0,35,8
2017/18 Q4,Dumfries and Galloway,65-74 years,Other/Unknown,0,0,10,2
2017/18 Q4,Dumfries and Galloway,75-84 years,999 Emergency Services,50,100,1050,86
2017/18 Q4,Dumfries and Galloway,75-84 years,GP,0,0,20,2
2017/18 Q4,Dumfries and Galloway,75-84 years,Care Home,0,0,10,1
2017/18 Q4,Dumfries and Galloway,75-84 years,Self Referral,0,0,105,9
2017/18 Q4,Dumfries and Galloway,75-84 years,Other/Unknown,0,0,40,3
2017/18 Q4,Dumfries and Galloway,85+ years,999 Emergency Services,65,100,1640,83
2017/18 Q4,Dumfries and Galloway,85+ years,GP,0,0,40,2
2017/18 Q4,Dumfries and Galloway,85+ years,Care Home,0,0,15,1
2017/18 Q4,Dumfries and Galloway,85+ years,Self Referral,0,0,195,10
2017/18 Q4,Dumfries and Galloway,85+ years,Other/Unknown,0,0,80,4
2017/18 Q4,Dumfries and Galloway,Unknown,999 Emergency Services,0,NA,0,NA
2017/18 Q4,Dumfries and Galloway,Unknown,GP,0,NA,0,NA
2017/18 Q4,Dumfries and Galloway,Unknown,Care Home,0,NA,0,NA
2017/18 Q4,Dumfries and Galloway,Unknown,Self Referral,0,NA,0,NA
2017/18 Q4,Dumfries and Galloway,Unknown,Other/Unknown,0,NA,0,NA
2017/18 Q4,Dundee City,All Ages,999 Emergency Services,70,70,3355,82
2017/18 Q4,Dundee City,All Ages,GP,5,5,80,2
2017/18 Q4,Dundee City,All Ages,Care Home,5,5,30,1
2017/18 Q4,Dundee City,All Ages,Self Referral,15,15,435,11
2017/18 Q4,Dundee City,All Ages,Other/Unknown,5,5,175,4
2017/18 Q4,Dundee City,0-17 years,999 Emergency Services,0,NA,0,0
2017/18 Q4,Dundee City,0-17 years,GP,0,NA,0,0
2017/18 Q4,Dundee City,0-17 years,Care Home,0,NA,0,0
2017/18 Q4,Dundee City,0-17 years,Self Referral,0,NA,10,50
2017/18 Q4,Dundee City,0-17 years,Other/Unknown,0,NA,10,50
2017/18 Q4,Dundee City,18-64 years,999 Emergency Services,15,75,265,66
2017/18 Q4,Dundee City,18-64 years,GP,0,0,10,2
2017/18 Q4,Dundee City,18-64 years,Care Home,0,0,0,0
2017/18 Q4,Dundee City,18-64 years,Self Referral,5,25,90,22
2017/18 Q4,Dundee City,18-64 years,Other/Unknown,0,0,35,9
2017/18 Q4,Dundee City,65-74 years,999 Emergency Services,10,100,400,88
2017/18 Q4,Dundee City,65-74 years,GP,0,0,10,2
2017/18 Q4,Dundee City,65-74 years,Care Home,0,0,0,0
2017/18 Q4,Dundee City,65-74 years,Self Referral,0,0,35,8
2017/18 Q4,Dundee City,65-74 years,Other/Unknown,0,0,10,2
2017/18 Q4,Dundee City,75-84 years,999 Emergency Services,15,75,1050,86
2017/18 Q4,Dundee City,75-84 years,GP,0,0,20,2
2017/18 Q4,Dundee City,75-84 years,Care Home,0,0,10,1
2017/18 Q4,Dundee City,75-84 years,Self Referral,5,25,105,9
2017/18 Q4,Dundee City,75-84 years,Other/Unknown,0,0,40,3
2017/18 Q4,Dundee City,85+ years,999 Emergency Services,35,63.6,1640,83
2017/18 Q4,Dundee City,85+ years,GP,5,9.1,40,2
2017/18 Q4,Dundee City,85+ years,Care Home,5,9.1,15,1
2017/18 Q4,Dundee City,85+ years,Self Referral,5,9.1,195,10
2017/18 Q4,Dundee City,85+ years,Other/Unknown,5,9.1,80,4
2017/18 Q4,Dundee City,Unknown,999 Emergency Services,0,NA,0,NA
2017/18 Q4,Dundee City,Unknown,GP,0,NA,0,NA
2017/18 Q4,Dundee City,Unknown,Care Home,0,NA,0,NA
2017/18 Q4,Dundee City,Unknown,Self Referral,0,NA,0,NA
2017/18 Q4,Dundee City,Unknown,Other/Unknown,0,NA,0,NA
2017/18 Q4,East Ayrshire,All Ages,999 Emergency Services,85,85,3355,82
2017/18 Q4,East Ayrshire,All Ages,GP,0,0,80,2
2017/18 Q4,East Ayrshire,All Ages,Care Home,0,0,30,1
2017/18 Q4,East Ayrshire,All Ages,Self Referral,10,10,435,11
2017/18 Q4,East Ayrshire,All Ages,Other/Unknown,5,5,175,4
2017/18 Q4,East Ayrshire,0-17 years,999 Emergency Services,0,NA,0,0
2017/18 Q4,East Ayrshire,0-17 years,GP,0,NA,0,0
2017/18 Q4,East Ayrshire,0-17 years,Care Home,0,NA,0,0
2017/18 Q4,East Ayrshire,0-17 years,Self Referral,0,NA,10,50
2017/18 Q4,East Ayrshire,0-17 years,Other/Unknown,0,NA,10,50
2017/18 Q4,East Ayrshire,18-64 years,999 Emergency Services,10,100,265,66
2017/18 Q4,East Ayrshire,18-64 years,GP,0,0,10,2
2017/18 Q4,East Ayrshire,18-64 years,Care Home,0,0,0,0
2017/18 Q4,East Ayrshire,18-64 years,Self Referral,0,0,90,22
2017/18 Q4,East Ayrshire,18-64 years,Other/Unknown,0,0,35,9
2017/18 Q4,East Ayrshire,65-74 years,999 Emergency Services,10,100,400,88
2017/18 Q4,East Ayrshire,65-74 years,GP,0,0,10,2
2017/18 Q4,East Ayrshire,65-74 years,Care Home,0,0,0,0
2017/18 Q4,East Ayrshire,65-74 years,Self Referral,0,0,35,8
2017/18 Q4,East Ayrshire,65-74 years,Other/Unknown,0,0,10,2
2017/18 Q4,East Ayrshire,75-84 years,999 Emergency Services,20,80,1050,86
2017/18 Q4,East Ayrshire,75-84 years,GP,0,0,20,2
2017/18 Q4,East Ayrshire,75-84 years,Care Home,0,0,10,1
2017/18 Q4,East Ayrshire,75-84 years,Self Referral,5,20,105,9
2017/18 Q4,East Ayrshire,75-84 years,Other/Unknown,0,0,40,3
2017/18 Q4,East Ayrshire,85+ years,999 Emergency Services,40,88.9,1640,83
2017/18 Q4,East Ayrshire,85+ years,GP,0,0,40,2
2017/18 Q4,East Ayrshire,85+ years,Care Home,0,0,15,1
2017/18 Q4,East Ayrshire,85+ years,Self Referral,5,11.1,195,10
2017/18 Q4,East Ayrshire,85+ years,Other/Unknown,0,0,80,4
2017/18 Q4,East Ayrshire,Unknown,999 Emergency Services,0,NA,0,NA
2017/18 Q4,East Ayrshire,Unknown,GP,0,NA,0,NA
2017/18 Q4,East Ayrshire,Unknown,Care Home,0,NA,0,NA
2017/18 Q4,East Ayrshire,Unknown,Self Referral,0,NA,0,NA
2017/18 Q4,East Ayrshire,Unknown,Other/Unknown,0,NA,0,NA
2017/18 Q4,East Dunbartonshire,All Ages,999 Emergency Services,90,78.3,3355,82
2017/18 Q4,East Dunbartonshire,All Ages,GP,0,0,80,2
2017/18 Q4,East Dunbartonshire,All Ages,Care Home,0,0,30,1
2017/18 Q4,East Dunbartonshire,All Ages,Self Referral,20,17.4,435,11
2017/18 Q4,East Dunbartonshire,All Ages,Other/Unknown,5,4.3,175,4
2017/18 Q4,East Dunbartonshire,0-17 years,999 Emergency Services,0,NA,0,0
2017/18 Q4,East Dunbartonshire,0-17 years,GP,0,NA,0,0
2017/18 Q4,East Dunbartonshire,0-17 years,Care Home,0,NA,0,0
2017/18 Q4,East Dunbartonshire,0-17 years,Self Referral,0,NA,10,50
2017/18 Q4,East Dunbartonshire,0-17 years,Other/Unknown,0,NA,10,50
2017/18 Q4,East Dunbartonshire,18-64 years,999 Emergency Services,5,50,265,66
