financial_year,sending_location,age_group,cah_status,percentage,nclient
2019/20,Aberdeenshire,75-84 years,No Care at Home Service Received,62.9,1170
2019/20,Aberdeenshire,85+ years,Care at Home Service Received,47.4,985
2019/20,Aberdeenshire,85+ years,No Care at Home Service Received,52.6,1095
2020/21,Aberdeenshire,All Ages,Care at Home Service Received,39.1,2030
2020/21,Aberdeenshire,All Ages,No Care at Home Service Received,60.9,3165
2020/21,Aberdeenshire,0-17 years,Care at Home Service Received,NA,0
2020/21,Aberdeenshire,0-17 years,No Care at Home Service Received,NA,0
2020/21,Aberdeenshire,18-64 years,Care at Home Service Received,27.9,145
2020/21,Aberdeenshire,18-64 years,No Care at Home Service Received,72.1,375
2020/21,Aberdeenshire,65-74 years,Care at Home Service Received,29.3,240
2020/21,Aberdeenshire,65-74 years,No Care at Home Service Received,70.7,580
2020/21,Aberdeenshire,75-84 years,Care at Home Service Received,38,675
2020/21,Aberdeenshire,75-84 years,No Care at Home Service Received,62,1100
2020/21,Aberdeenshire,85+ years,Care at Home Service Received,46.6,970
2020/21,Aberdeenshire,85+ years,No Care at Home Service Received,53.4,1110
2021/22,Aberdeenshire,All Ages,Care at Home Service Received,42.2,2185
2021/22,Aberdeenshire,All Ages,No Care at Home Service Received,57.8,2990
2021/22,Aberdeenshire,0-17 years,Care at Home Service Received,NA,0
2021/22,Aberdeenshire,0-17 years,No Care at Home Service Received,NA,0
2021/22,Aberdeenshire,18-64 years,Care at Home Service Received,43.3,225
2021/22,Aberdeenshire,18-64 years,No Care at Home Service Received,56.7,295
2021/22,Aberdeenshire,65-74 years,Care at Home Service Received,30.4,245
2021/22,Aberdeenshire,65-74 years,No Care at Home Service Received,69.6,560
2021/22,Aberdeenshire,75-84 years,Care at Home Service Received,37.8,650
2021/22,Aberdeenshire,75-84 years,No Care at Home Service Received,62.2,1070
2021/22,Aberdeenshire,85+ years,Care at Home Service Received,50,1065
2021/22,Aberdeenshire,85+ years,No Care at Home Service Received,50,1065
2018/19,Angus,All Ages,Care at Home Service Received,36.4,1410
2018/19,Angus,All Ages,No Care at Home Service Received,63.6,2460
2018/19,Angus,0-17 years,Care at Home Service Received,0,0
2018/19,Angus,0-17 years,No Care at Home Service Received,100,5
2018/19,Angus,18-64 years,Care at Home Service Received,30.9,125
2018/19,Angus,18-64 years,No Care at Home Service Received,69.1,280
2018/19,Angus,65-74 years,Care at Home Service Received,38.7,205
2018/19,Angus,65-74 years,No Care at Home Service Received,61.3,325
2018/19,Angus,75-84 years,Care at Home Service Received,31.3,445
2018/19,Angus,75-84 years,No Care at Home Service Received,68.7,975
2018/19,Angus,85+ years,Care at Home Service Received,41.9,630
2018/19,Angus,85+ years,No Care at Home Service Received,58.1,875
2019/20,Angus,All Ages,Care at Home Service Received,41.1,1645
2019/20,Angus,All Ages,No Care at Home Service Received,58.9,2355
2019/20,Angus,0-17 years,Care at Home Service Received,NA,0
2019/20,Angus,0-17 years,No Care at Home Service Received,NA,0
2019/20,Angus,18-64 years,Care at Home Service Received,38,150
2019/20,Angus,18-64 years,No Care at Home Service Received,62,245
2019/20,Angus,65-74 years,Care at Home Service Received,40.7,230
2019/20,Angus,65-74 years,No Care at Home Service Received,59.3,335
2019/20,Angus,75-84 years,Care at Home Service Received,37.8,555
2019/20,Angus,75-84 years,No Care at Home Service Received,62.2,915
2019/20,Angus,85+ years,Care at Home Service Received,45.2,710
2019/20,Angus,85+ years,No Care at Home Service Received,54.8,860
2020/21,Angus,All Ages,Care at Home Service Received,42.4,1685
2020/21,Angus,All Ages,No Care at Home Service Received,57.6,2285
2020/21,Angus,0-17 years,Care at Home Service Received,NA,0
2020/21,Angus,0-17 years,No Care at Home Service Received,NA,0
2020/21,Angus,18-64 years,Care at Home Service Received,45.2,165
2020/21,Angus,18-64 years,No Care at Home Service Received,54.8,200
2020/21,Angus,65-74 years,Care at Home Service Received,45.2,260
2020/21,Angus,65-74 years,No Care at Home Service Received,54.8,315
2020/21,Angus,75-84 years,Care at Home Service Received,37,535
2020/21,Angus,75-84 years,No Care at Home Service Received,63,910
2020/21,Angus,85+ years,Care at Home Service Received,45.7,725
2020/21,Angus,85+ years,No Care at Home Service Received,54.3,860
2021/22,Angus,All Ages,Care at Home Service Received,43.1,1685
2021/22,Angus,All Ages,No Care at Home Service Received,56.9,2220
2021/22,Angus,0-17 years,Care at Home Service Received,NA,0
2021/22,Angus,0-17 years,No Care at Home Service Received,NA,0
2021/22,Angus,18-64 years,Care at Home Service Received,45.9,170
2021/22,Angus,18-64 years,No Care at Home Service Received,54.1,200
2021/22,Angus,65-74 years,Care at Home Service Received,45,250
2021/22,Angus,65-74 years,No Care at Home Service Received,55,305
2021/22,Angus,75-84 years,Care at Home Service Received,38.8,545
2021/22,Angus,75-84 years,No Care at Home Service Received,61.2,860
2021/22,Angus,85+ years,Care at Home Service Received,45.9,725
2021/22,Angus,85+ years,No Care at Home Service Received,54.1,855
2018/19,Argyll and Bute,All Ages,Care at Home Service Received,48.6,1225
2018/19,Argyll and Bute,All Ages,No Care at Home Service Received,51.4,1295
2018/19,Argyll and Bute,0-17 years,Care at Home Service Received,0,0
2018/19,Argyll and Bute,0-17 years,No Care at Home Service Received,100,5
2018/19,Argyll and Bute,18-64 years,Care at Home Service Received,50,140
2018/19,Argyll and Bute,18-64 years,No Care at Home Service Received,50,140
2018/19,Argyll and Bute,65-74 years,Care at Home Service Received,44.4,140
2018/19,Argyll and Bute,65-74 years,No Care at Home Service Received,55.6,175
2018/19,Argyll and Bute,75-84 years,Care at Home Service Received,45.9,395
2018/19,Argyll and Bute,75-84 years,No Care at Home Service Received,54.1,465
2018/19,Argyll and Bute,85+ years,Care at Home Service Received,52.1,555
2018/19,Argyll and Bute,85+ years,No Care at Home Service Received,47.9,510
2019/20,Argyll and Bute,All Ages,Care at Home Service Received,48.1,1315
2019/20,Argyll and Bute,All Ages,No Care at Home Service Received,51.9,1420
2019/20,Argyll and Bute,0-17 years,Care at Home Service Received,0,0
2019/20,Argyll and Bute,0-17 years,No Care at Home Service Received,100,5
2019/20,Argyll and Bute,18-64 years,Care at Home Service Received,50.8,150
2019/20,Argyll and Bute,18-64 years,No Care at Home Service Received,49.2,145
2019/20,Argyll and Bute,65-74 years,Care at Home Service Received,49.2,160
2019/20,Argyll and Bute,65-74 years,No Care at Home Service Received,50.8,165
2019/20,Argyll and Bute,75-84 years,Care at Home Service Received,43.4,425
2019/20,Argyll and Bute,75-84 years,No Care at Home Service Received,56.6,555
2019/20,Argyll and Bute,85+ years,Care at Home Service Received,51.1,575
2019/20,Argyll and Bute,85+ years,No Care at Home Service Received,48.9,550
2020/21,Argyll and Bute,All Ages,Care at Home Service Received,49.9,1405
2020/21,Argyll and Bute,All Ages,No Care at Home Service Received,50.1,1410
2020/21,Argyll and Bute,0-17 years,Care at Home Service Received,0,0
2020/21,Argyll and Bute,0-17 years,No Care at Home Service Received,100,5
2020/21,Argyll and Bute,18-64 years,Care at Home Service Received,50,145
2020/21,Argyll and Bute,18-64 years,No Care at Home Service Received,50,145
2020/21,Argyll and Bute,65-74 years,Care at Home Service Received,50.7,190
2020/21,Argyll and Bute,65-74 years,No Care at Home Service Received,49.3,185
2020/21,Argyll and Bute,75-84 years,Care at Home Service Received,46.1,445
2020/21,Argyll and Bute,75-84 years,No Care at Home Service Received,53.9,520
2020/21,Argyll and Bute,85+ years,Care at Home Service Received,52.8,620
2020/21,Argyll and Bute,85+ years,No Care at Home Service Received,47.2,555
2021/22,Argyll and Bute,All Ages,Care at Home Service Received,47.9,1360
2021/22,Argyll and Bute,All Ages,No Care at Home Service Received,52.1,1480
2021/22,Argyll and Bute,0-17 years,Care at Home Service Received,0,0
2021/22,Argyll and Bute,0-17 years,No Care at Home Service Received,100,10
2021/22,Argyll and Bute,18-64 years,Care at Home Service Received,52.6,150
2021/22,Argyll and Bute,18-64 years,No Care at Home Service Received,47.4,135
2021/22,Argyll and Bute,65-74 years,Care at Home Service Received,49.4,195
2021/22,Argyll and Bute,65-74 years,No Care at Home Service Received,50.6,200
2021/22,Argyll and Bute,75-84 years,Care at Home Service Received,45.1,435
2021/22,Argyll and Bute,75-84 years,No Care at Home Service Received,54.9,530
2021/22,Argyll and Bute,85+ years,Care at Home Service Received,49.2,580
2021/22,Argyll and Bute,85+ years,No Care at Home Service Received,50.8,600
2018/19,City of Edinburgh,All Ages,Care at Home Service Received,28,3275
2018/19,City of Edinburgh,All Ages,No Care at Home Service Received,72,8415
2018/19,City of Edinburgh,0-17 years,Care at Home Service Received,0,0
2018/19,City of Edinburgh,0-17 years,No Care at Home Service Received,100,115
2018/19,City of Edinburgh,18-64 years,Care at Home Service Received,24.9,485
2018/19,City of Edinburgh,18-64 years,No Care at Home Service Received,75.1,1465
2018/19,City of Edinburgh,65-74 years,Care at Home Service Received,20.8,435
2018/19,City of Edinburgh,65-74 years,No Care at Home Service Received,79.2,1655
2018/19,City of Edinburgh,75-84 years,Care at Home Service Received,28.7,940
2018/19,City of Edinburgh,75-84 years,No Care at Home Service Received,71.3,2340
2018/19,City of Edinburgh,85+ years,Care at Home Service Received,33.3,1420
2018/19,City of Edinburgh,85+ years,No Care at Home Service Received,66.7,2840
2019/20,City of Edinburgh,All Ages,Care at Home Service Received,32.3,3200
2019/20,City of Edinburgh,All Ages,No Care at Home Service Received,67.7,6715
2019/20,City of Edinburgh,0-17 years,Care at Home Service Received,0,0
2019/20,City of Edinburgh,0-17 years,No Care at Home Service Received,100,100
2019/20,City of Edinburgh,18-64 years,Care at Home Service Received,29.7,525
2019/20,City of Edinburgh,18-64 years,No Care at Home Service Received,70.3,1245
2019/20,City of Edinburgh,65-74 years,Care at Home Service Received,25.8,435
2019/20,City of Edinburgh,65-74 years,No Care at Home Service Received,74.2,1250
2019/20,City of Edinburgh,75-84 years,Care at Home Service Received,32,880
2019/20,City of Edinburgh,75-84 years,No Care at Home Service Received,68,1870
2019/20,City of Edinburgh,85+ years,Care at Home Service Received,37.7,1360
2019/20,City of Edinburgh,85+ years,No Care at Home Service Received,62.3,2250
2020/21,City of Edinburgh,All Ages,Care at Home Service Received,35.9,3460
2020/21,City of Edinburgh,All Ages,No Care at Home Service Received,64.1,6190
2020/21,City of Edinburgh,0-17 years,Care at Home Service Received,0,0
2020/21,City of Edinburgh,0-17 years,No Care at Home Service Received,100,100
2020/21,City of Edinburgh,18-64 years,Care at Home Service Received,32.4,530
2020/21,City of Edinburgh,18-64 years,No Care at Home Service Received,67.6,1105
2020/21,City of Edinburgh,65-74 years,Care at Home Service Received,28.4,470
2020/21,City of Edinburgh,65-74 years,No Care at Home Service Received,71.6,1185
2020/21,City of Edinburgh,75-84 years,Care at Home Service Received,36.6,955
2020/21,City of Edinburgh,75-84 years,No Care at Home Service Received,63.4,1655
2020/21,City of Edinburgh,85+ years,Care at Home Service Received,41.2,1505
2020/21,City of Edinburgh,85+ years,No Care at Home Service Received,58.8,2145
2021/22,City of Edinburgh,All Ages,Care at Home Service Received,36.3,3245
2021/22,City of Edinburgh,All Ages,No Care at Home Service Received,63.7,5685
2021/22,City of Edinburgh,0-17 years,Care at Home Service Received,0,0
2021/22,City of Edinburgh,0-17 years,No Care at Home Service Received,100,95
2021/22,City of Edinburgh,18-64 years,Care at Home Service Received,35.8,540
2021/22,City of Edinburgh,18-64 years,No Care at Home Service Received,64.2,970
2021/22,City of Edinburgh,65-74 years,Care at Home Service Received,28.2,450
2021/22,City of Edinburgh,65-74 years,No Care at Home Service Received,71.8,1145
2021/22,City of Edinburgh,75-84 years,Care at Home Service Received,36.1,875
2021/22,City of Edinburgh,75-84 years,No Care at Home Service Received,63.9,1550
2021/22,City of Edinburgh,85+ years,Care at Home Service Received,41.7,1375
2021/22,City of Edinburgh,85+ years,No Care at Home Service Received,58.3,1925
2018/19,Clackmannanshire,All Ages,Care at Home Service Received,45.9,860
2018/19,Clackmannanshire,All Ages,No Care at Home Service Received,54.1,1015
2018/19,Clackmannanshire,0-17 years,Care at Home Service Received,NA,0
2018/19,Clackmannanshire,0-17 years,No Care at Home Service Received,NA,0
2018/19,Clackmannanshire,18-64 years,Care at Home Service Received,35.6,105
2018/19,Clackmannanshire,18-64 years,No Care at Home Service Received,64.4,190
2018/19,Clackmannanshire,65-74 years,Care at Home Service Received,46.2,150
2018/19,Clackmannanshire,65-74 years,No Care at Home Service Received,53.8,175
2018/19,Clackmannanshire,75-84 years,Care at Home Service Received,43.4,310
2018/19,Clackmannanshire,75-84 years,No Care at Home Service Received,56.6,405
2018/19,Clackmannanshire,85+ years,Care at Home Service Received,54.1,295
2018/19,Clackmannanshire,85+ years,No Care at Home Service Received,45.9,250
2019/20,Clackmannanshire,All Ages,Care at Home Service Received,45.6,865
2019/20,Clackmannanshire,All Ages,No Care at Home Service Received,54.4,1030
2019/20,Clackmannanshire,0-17 years,Care at Home Service Received,NA,0
2019/20,Clackmannanshire,0-17 years,No Care at Home Service Received,NA,0
2019/20,Clackmannanshire,18-64 years,Care at Home Service Received,36.2,105
2019/20,Clackmannanshire,18-64 years,No Care at Home Service Received,63.8,185
2019/20,Clackmannanshire,65-74 years,Care at Home Service Received,40,130
2019/20,Clackmannanshire,65-74 years,No Care at Home Service Received,60,195
2019/20,Clackmannanshire,75-84 years,Care at Home Service Received,45.8,330
2019/20,Clackmannanshire,75-84 years,No Care at Home Service Received,54.2,390
2019/20,Clackmannanshire,85+ years,Care at Home Service Received,54.5,305
2019/20,Clackmannanshire,85+ years,No Care at Home Service Received,45.5,255
2020/21,Clackmannanshire,All Ages,Care at Home Service Received,45.3,850
2020/21,Clackmannanshire,All Ages,No Care at Home Service Received,54.7,1025
2020/21,Clackmannanshire,0-17 years,Care at Home Service Received,NA,0
2020/21,Clackmannanshire,0-17 years,No Care at Home Service Received,NA,0
2020/21,Clackmannanshire,18-64 years,Care at Home Service Received,35.2,95
2020/21,Clackmannanshire,18-64 years,No Care at Home Service Received,64.8,175
2020/21,Clackmannanshire,65-74 years,Care at Home Service Received,42.2,135
2020/21,Clackmannanshire,65-74 years,No Care at Home Service Received,57.8,185
2020/21,Clackmannanshire,75-84 years,Care at Home Service Received,44,310
2020/21,Clackmannanshire,75-84 years,No Care at Home Service Received,56,395
2020/21,Clackmannanshire,85+ years,Care at Home Service Received,53.4,310
2020/21,Clackmannanshire,85+ years,No Care at Home Service Received,46.6,270
2021/22,Clackmannanshire,All Ages,Care at Home Service Received,43.6,830
2021/22,Clackmannanshire,All Ages,No Care at Home Service Received,56.4,1075
2021/22,Clackmannanshire,18-64 years,Care at Home Service Received,36.8,105
2021/22,Clackmannanshire,18-64 years,No Care at Home Service Received,63.2,180
2021/22,Clackmannanshire,65-74 years,Care at Home Service Received,44.1,130
2021/22,Clackmannanshire,65-74 years,No Care at Home Service Received,55.9,165
2021/22,Clackmannanshire,75-84 years,Care at Home Service Received,39.1,270
2021/22,Clackmannanshire,75-84 years,No Care at Home Service Received,60.9,420
2021/22,Clackmannanshire,85+ years,Care at Home Service Received,51.2,320
2021/22,Clackmannanshire,85+ years,No Care at Home Service Received,48.8,305
2018/19,Comhairle nan Eilean Siar,All Ages,Care at Home Service Received,33.8,405
2018/19,Comhairle nan Eilean Siar,All Ages,No Care at Home Service Received,66.2,795
2018/19,Comhairle nan Eilean Siar,0-17 years,Care at Home Service Received,0,0
2018/19,Comhairle nan Eilean Siar,0-17 years,No Care at Home Service Received,100,5
2018/19,Comhairle nan Eilean Siar,18-64 years,Care at Home Service Received,28.6,30
2018/19,Comhairle nan Eilean Siar,18-64 years,No Care at Home Service Received,71.4,75
2018/19,Comhairle nan Eilean Siar,65-74 years,Care at Home Service Received,27.3,45
2018/19,Comhairle nan Eilean Siar,65-74 years,No Care at Home Service Received,72.7,120
2018/19,Comhairle nan Eilean Siar,75-84 years,Care at Home Service Received,26.4,120
2018/19,Comhairle nan Eilean Siar,75-84 years,No Care at Home Service Received,73.6,335
2018/19,Comhairle nan Eilean Siar,85+ years,Care at Home Service Received,44.7,210
2018/19,Comhairle nan Eilean Siar,85+ years,No Care at Home Service Received,55.3,260
2019/20,Comhairle nan Eilean Siar,All Ages,Care at Home Service Received,33.5,405
2019/20,Comhairle nan Eilean Siar,All Ages,No Care at Home Service Received,66.5,805
2019/20,Comhairle nan Eilean Siar,0-17 years,Care at Home Service Received,0,0
2019/20,Comhairle nan Eilean Siar,0-17 years,No Care at Home Service Received,100,5
2019/20,Comhairle nan Eilean Siar,18-64 years,Care at Home Service Received,26.3,25
2019/20,Comhairle nan Eilean Siar,18-64 years,No Care at Home Service Received,73.7,70
2019/20,Comhairle nan Eilean Siar,65-74 years,Care at Home Service Received,28.9,55
2019/20,Comhairle nan Eilean Siar,65-74 years,No Care at Home Service Received,71.1,135
2019/20,Comhairle nan Eilean Siar,75-84 years,Care at Home Service Received,25.6,115
2019/20,Comhairle nan Eilean Siar,75-84 years,No Care at Home Service Received,74.4,335
2019/20,Comhairle nan Eilean Siar,85+ years,Care at Home Service Received,45.3,215
2019/20,Comhairle nan Eilean Siar,85+ years,No Care at Home Service Received,54.7,260
2020/21,Comhairle nan Eilean Siar,All Ages,Care at Home Service Received,16.1,220
2020/21,Comhairle nan Eilean Siar,All Ages,No Care at Home Service Received,83.9,1145
2020/21,Comhairle nan Eilean Siar,0-17 years,Care at Home Service Received,0,0
2020/21,Comhairle nan Eilean Siar,0-17 years,No Care at Home Service Received,100,5
2020/21,Comhairle nan Eilean Siar,18-64 years,Care at Home Service Received,12.9,20
2020/21,Comhairle nan Eilean Siar,18-64 years,No Care at Home Service Received,87.1,135
2020/21,Comhairle nan Eilean Siar,65-74 years,Care at Home Service Received,17.9,35
2020/21,Comhairle nan Eilean Siar,65-74 years,No Care at Home Service Received,82.1,160
2020/21,Comhairle nan Eilean Siar,75-84 years,Care at Home Service Received,14.4,65
2020/21,Comhairle nan Eilean Siar,75-84 years,No Care at Home Service Received,85.6,385
2020/21,Comhairle nan Eilean Siar,85+ years,Care at Home Service Received,18,100
2020/21,Comhairle nan Eilean Siar,85+ years,No Care at Home Service Received,82,455
2021/22,Comhairle nan Eilean Siar,All Ages,Care at Home Service Received,20.4,210
2021/22,Comhairle nan Eilean Siar,All Ages,No Care at Home Service Received,79.6,820
2021/22,Comhairle nan Eilean Siar,0-17 years,Care at Home Service Received,0,0
2021/22,Comhairle nan Eilean Siar,0-17 years,No Care at Home Service Received,100,5
2021/22,Comhairle nan Eilean Siar,18-64 years,Care at Home Service Received,26.3,25
2021/22,Comhairle nan Eilean Siar,18-64 years,No Care at Home Service Received,73.7,70
2021/22,Comhairle nan Eilean Siar,65-74 years,Care at Home Service Received,22.2,30
2021/22,Comhairle nan Eilean Siar,65-74 years,No Care at Home Service Received,77.8,105
2021/22,Comhairle nan Eilean Siar,75-84 years,Care at Home Service Received,20.3,65
2021/22,Comhairle nan Eilean Siar,75-84 years,No Care at Home Service Received,79.7,255
2021/22,Comhairle nan Eilean Siar,85+ years,Care at Home Service Received,19.1,90
2021/22,Comhairle nan Eilean Siar,85+ years,No Care at Home Service Received,80.9,380
2018/19,Dumfries and Galloway,All Ages,Care at Home Service Received,38.6,1500
2018/19,Dumfries and Galloway,All Ages,No Care at Home Service Received,61.4,2385
2018/19,Dumfries and Galloway,0-17 years,Care at Home Service Received,0,0
2018/19,Dumfries and Galloway,0-17 years,No Care at Home Service Received,100,20
2018/19,Dumfries and Galloway,18-64 years,Care at Home Service Received,35.6,105
2018/19,Dumfries and Galloway,18-64 years,No Care at Home Service Received,64.4,190
2018/19,Dumfries and Galloway,65-74 years,Care at Home Service Received,39.4,185
2018/19,Dumfries and Galloway,65-74 years,No Care at Home Service Received,60.6,285
2018/19,Dumfries and Galloway,75-84 years,Care at Home Service Received,35.4,515
2018/19,Dumfries and Galloway,75-84 years,No Care at Home Service Received,64.6,940
2018/19,Dumfries and Galloway,85+ years,Care at Home Service Received,42.2,695
2018/19,Dumfries and Galloway,85+ years,No Care at Home Service Received,57.8,950
2019/20,Dumfries and Galloway,All Ages,Care at Home Service Received,38.5,1645
2019/20,Dumfries and Galloway,All Ages,No Care at Home Service Received,61.5,2625
2019/20,Dumfries and Galloway,0-17 years,Care at Home Service Received,0,0
2019/20,Dumfries and Galloway,0-17 years,No Care at Home Service Received,100,45
2019/20,Dumfries and Galloway,18-64 years,Care at Home Service Received,40.5,150
2019/20,Dumfries and Galloway,18-64 years,No Care at Home Service Received,59.5,220
2019/20,Dumfries and Galloway,65-74 years,Care at Home Service Received,39.4,195
2019/20,Dumfries and Galloway,65-74 years,No Care at Home Service Received,60.6,300
2019/20,Dumfries and Galloway,75-84 years,Care at Home Service Received,35.9,555
2019/20,Dumfries and Galloway,75-84 years,No Care at Home Service Received,64.1,990
2019/20,Dumfries and Galloway,85+ years,Care at Home Service Received,40.9,740
2019/20,Dumfries and Galloway,85+ years,No Care at Home Service Received,59.1,1070
2020/21,Dumfries and Galloway,All Ages,Care at Home Service Received,42.4,1775
2020/21,Dumfries and Galloway,All Ages,No Care at Home Service Received,57.6,2410
2020/21,Dumfries and Galloway,0-17 years,Care at Home Service Received,10,5
2020/21,Dumfries and Galloway,0-17 years,No Care at Home Service Received,90,45
2020/21,Dumfries and Galloway,18-64 years,Care at Home Service Received,50.6,200
2020/21,Dumfries and Galloway,18-64 years,No Care at Home Service Received,49.4,195
2020/21,Dumfries and Galloway,65-74 years,Care at Home Service Received,44.3,215
