financial_year,sending_location,service,age_group,measure,value,scotland_value
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0,0
2017/18,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2017/18,Aberdeen City,Community Alarm Only,All Ages,Number of People,1615,71685
2017/18,Aberdeen City,Community Alarm Only,All Ages,"Rate per 1,000 Population",7.1,13.214312048370447
2017/18,Aberdeen City,Community Alarm Only,0-17 years,Number of People,0,130
2017/18,Aberdeen City,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0,0.12620685303211965
2017/18,Aberdeen City,Community Alarm Only,18-64 years,Number of People,140,8275
2017/18,Aberdeen City,Community Alarm Only,18-64 years,"Rate per 1,000 Population",0.9,2.4466482840347257
2017/18,Aberdeen City,Community Alarm Only,65-74 years,Number of People,210,11200
2017/18,Aberdeen City,Community Alarm Only,65-74 years,"Rate per 1,000 Population",11,19.83719332053362
2017/18,Aberdeen City,Community Alarm Only,75-84 years,Number of People,570,26060
2017/18,Aberdeen City,Community Alarm Only,75-84 years,"Rate per 1,000 Population",49.6,79.90066072879459
2017/18,Aberdeen City,Community Alarm Only,85+ years,Number of People,690,25885
2017/18,Aberdeen City,Community Alarm Only,85+ years,"Rate per 1,000 Population",146.5,212.49261180797268
2017/18,Aberdeen City,Community Alarm Only,Unknown,Number of People,0,0
2017/18,Aberdeen City,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2017/18,Aberdeen City,Telecare Only,All Ages,Number of People,420,16065
2017/18,Aberdeen City,Telecare Only,All Ages,"Rate per 1,000 Population",1.8,2.9613994985990266
2017/18,Aberdeen City,Telecare Only,0-17 years,Number of People,25,270
2017/18,Aberdeen City,Telecare Only,0-17 years,"Rate per 1,000 Population",0.7,0.2621219255282485
2017/18,Aberdeen City,Telecare Only,18-64 years,Number of People,75,3040
2017/18,Aberdeen City,Telecare Only,18-64 years,"Rate per 1,000 Population",0.5,0.8988290976997663
2017/18,Aberdeen City,Telecare Only,65-74 years,Number of People,45,2555
2017/18,Aberdeen City,Telecare Only,65-74 years,"Rate per 1,000 Population",2.4,4.525359726246733
2017/18,Aberdeen City,Telecare Only,75-84 years,Number of People,130,5390
2017/18,Aberdeen City,Telecare Only,75-84 years,"Rate per 1,000 Population",11.3,16.525884932010854
2017/18,Aberdeen City,Telecare Only,85+ years,Number of People,145,4805
2017/18,Aberdeen City,Telecare Only,85+ years,"Rate per 1,000 Population",30.8,39.444736323635645
2017/18,Aberdeen City,Telecare Only,Unknown,Number of People,0,0
2017/18,Aberdeen City,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,All Ages,Number of People,1070,21585
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",4.7,3.978948532664799
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,0-17 years,Number of People,5,25
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0.1,0.024270548660023008
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,18-64 years,Number of People,155,3330
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",1,0.9845726629408623
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,65-74 years,Number of People,125,3720
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",6.6,6.588782067177238
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,75-84 years,Number of People,330,7185
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",28.7,22.029403197866046
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,85+ years,Number of People,450,7325
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",95.5,60.13167400013134
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2017/18,Aberdeen City,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3105,109335
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",13.6,20.154660079634272
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,30,430
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.8,0.41745343695239573
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,370,14645
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",2.4,4.330050044675354
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,385,17475
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",20.2,30.95133511395759
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,1035,38640
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",90,118.47127899311677
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,1290,38010
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",273.8,312.02797662047675
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0,0
2017/18,Aberdeen City,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2017/18,Aberdeenshire,Community Alarm Only,All Ages,Number of People,4670,71685
2017/18,Aberdeenshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",17.8,13.214312048370447
2017/18,Aberdeenshire,Community Alarm Only,0-17 years,Number of People,0,130
2017/18,Aberdeenshire,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0,0.12620685303211965
2017/18,Aberdeenshire,Community Alarm Only,18-64 years,Number of People,460,8275
2017/18,Aberdeenshire,Community Alarm Only,18-64 years,"Rate per 1,000 Population",2.9,2.4466482840347257
2017/18,Aberdeenshire,Community Alarm Only,65-74 years,Number of People,785,11200
2017/18,Aberdeenshire,Community Alarm Only,65-74 years,"Rate per 1,000 Population",27.7,19.83719332053362
2017/18,Aberdeenshire,Community Alarm Only,75-84 years,Number of People,1650,26060
2017/18,Aberdeenshire,Community Alarm Only,75-84 years,"Rate per 1,000 Population",110.1,79.90066072879459
2017/18,Aberdeenshire,Community Alarm Only,85+ years,Number of People,1770,25885
2017/18,Aberdeenshire,Community Alarm Only,85+ years,"Rate per 1,000 Population",324.5,212.49261180797268
2017/18,Aberdeenshire,Community Alarm Only,Unknown,Number of People,0,0
2017/18,Aberdeenshire,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2017/18,Aberdeenshire,Telecare Only,All Ages,Number of People,155,16065
2017/18,Aberdeenshire,Telecare Only,All Ages,"Rate per 1,000 Population",0.6,2.9613994985990266
2017/18,Aberdeenshire,Telecare Only,0-17 years,Number of People,0,270
2017/18,Aberdeenshire,Telecare Only,0-17 years,"Rate per 1,000 Population",0,0.2621219255282485
2017/18,Aberdeenshire,Telecare Only,18-64 years,Number of People,80,3040
2017/18,Aberdeenshire,Telecare Only,18-64 years,"Rate per 1,000 Population",0.5,0.8988290976997663
2017/18,Aberdeenshire,Telecare Only,65-74 years,Number of People,15,2555
2017/18,Aberdeenshire,Telecare Only,65-74 years,"Rate per 1,000 Population",0.5,4.525359726246733
2017/18,Aberdeenshire,Telecare Only,75-84 years,Number of People,25,5390
2017/18,Aberdeenshire,Telecare Only,75-84 years,"Rate per 1,000 Population",1.7,16.525884932010854
2017/18,Aberdeenshire,Telecare Only,85+ years,Number of People,30,4805
2017/18,Aberdeenshire,Telecare Only,85+ years,"Rate per 1,000 Population",5.5,39.444736323635645
2017/18,Aberdeenshire,Telecare Only,Unknown,Number of People,0,0
2017/18,Aberdeenshire,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,550,21585
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",2.1,3.978948532664799
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0,25
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0,0.024270548660023008
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,18-64 years,Number of People,75,3330
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0.5,0.9845726629408623
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,65-74 years,Number of People,70,3720
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",2.5,6.588782067177238
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,75-84 years,Number of People,165,7185
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",11,22.029403197866046
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,85+ years,Number of People,240,7325
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",44,60.13167400013134
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2017/18,Aberdeenshire,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,5375,109335
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",20.5,20.154660079634272
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,0,430
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0,0.41745343695239573
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,615,14645
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",3.9,4.330050044675354
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,875,17475
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",30.9,30.95133511395759
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,1845,38640
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",123.1,118.47127899311677
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,2040,38010
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",374,312.02797662047675
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0,0
2017/18,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2017/18,Angus,Community Alarm Only,All Ages,Number of People,3305,71685
2017/18,Angus,Community Alarm Only,All Ages,"Rate per 1,000 Population",28.4,13.214312048370447
2017/18,Angus,Community Alarm Only,0-17 years,Number of People,5,130
2017/18,Angus,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0.2,0.12620685303211965
2017/18,Angus,Community Alarm Only,18-64 years,Number of People,310,8275
2017/18,Angus,Community Alarm Only,18-64 years,"Rate per 1,000 Population",4.6,2.4466482840347257
2017/18,Angus,Community Alarm Only,65-74 years,Number of People,460,11200
2017/18,Angus,Community Alarm Only,65-74 years,"Rate per 1,000 Population",31,19.83719332053362
2017/18,Angus,Community Alarm Only,75-84 years,Number of People,1200,26060
2017/18,Angus,Community Alarm Only,75-84 years,"Rate per 1,000 Population",141.3,79.90066072879459
2017/18,Angus,Community Alarm Only,85+ years,Number of People,1325,25885
2017/18,Angus,Community Alarm Only,85+ years,"Rate per 1,000 Population",382.9,212.49261180797268
2017/18,Angus,Community Alarm Only,Unknown,Number of People,0,0
2017/18,Angus,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2017/18,Angus,Telecare Only,All Ages,Number of People,15,16065
2017/18,Angus,Telecare Only,All Ages,"Rate per 1,000 Population",0.1,2.9613994985990266
2017/18,Angus,Telecare Only,0-17 years,Number of People,0,270
2017/18,Angus,Telecare Only,0-17 years,"Rate per 1,000 Population",0,0.2621219255282485
2017/18,Angus,Telecare Only,18-64 years,Number of People,5,3040
2017/18,Angus,Telecare Only,18-64 years,"Rate per 1,000 Population",0.1,0.8988290976997663
2017/18,Angus,Telecare Only,65-74 years,Number of People,0,2555
2017/18,Angus,Telecare Only,65-74 years,"Rate per 1,000 Population",0,4.525359726246733
2017/18,Angus,Telecare Only,75-84 years,Number of People,0,5390
2017/18,Angus,Telecare Only,75-84 years,"Rate per 1,000 Population",0,16.525884932010854
2017/18,Angus,Telecare Only,85+ years,Number of People,5,4805
2017/18,Angus,Telecare Only,85+ years,"Rate per 1,000 Population",1.4,39.444736323635645
2017/18,Angus,Telecare Only,Unknown,Number of People,0,0
2017/18,Angus,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2017/18,Angus,Receiving both Community Alarm and Telecare,All Ages,Number of People,420,21585
2017/18,Angus,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",3.6,3.978948532664799
2017/18,Angus,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0,25
2017/18,Angus,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0,0.024270548660023008
2017/18,Angus,Receiving both Community Alarm and Telecare,18-64 years,Number of People,55,3330
2017/18,Angus,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0.8,0.9845726629408623
2017/18,Angus,Receiving both Community Alarm and Telecare,65-74 years,Number of People,55,3720
2017/18,Angus,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",3.7,6.588782067177238
2017/18,Angus,Receiving both Community Alarm and Telecare,75-84 years,Number of People,135,7185
2017/18,Angus,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",15.9,22.029403197866046
2017/18,Angus,Receiving both Community Alarm and Telecare,85+ years,Number of People,180,7325
2017/18,Angus,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",52,60.13167400013134
2017/18,Angus,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2017/18,Angus,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3745,109335
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",32.2,20.154660079634272
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,5,430
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.2,0.41745343695239573
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,370,14645
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",5.5,4.330050044675354
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,515,17475
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",34.7,30.95133511395759
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,1340,38640
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",157.8,118.47127899311677
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,1515,38010
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",437.9,312.02797662047675
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0,0
2017/18,Angus,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2017/18,Argyll and Bute,Community Alarm Only,All Ages,Number of People,1055,71685
2017/18,Argyll and Bute,Community Alarm Only,All Ages,"Rate per 1,000 Population",12.2,13.214312048370447
2017/18,Argyll and Bute,Community Alarm Only,0-17 years,Number of People,0,130
2017/18,Argyll and Bute,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0,0.12620685303211965
2017/18,Argyll and Bute,Community Alarm Only,18-64 years,Number of People,90,8275
2017/18,Argyll and Bute,Community Alarm Only,18-64 years,"Rate per 1,000 Population",1.8,2.4466482840347257
2017/18,Argyll and Bute,Community Alarm Only,65-74 years,Number of People,120,11200
2017/18,Argyll and Bute,Community Alarm Only,65-74 years,"Rate per 1,000 Population",9.7,19.83719332053362
2017/18,Argyll and Bute,Community Alarm Only,75-84 years,Number of People,380,26060
2017/18,Argyll and Bute,Community Alarm Only,75-84 years,"Rate per 1,000 Population",54.5,79.90066072879459
2017/18,Argyll and Bute,Community Alarm Only,85+ years,Number of People,465,25885
2017/18,Argyll and Bute,Community Alarm Only,85+ years,"Rate per 1,000 Population",186.3,212.49261180797268
2017/18,Argyll and Bute,Community Alarm Only,Unknown,Number of People,0,0
2017/18,Argyll and Bute,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2017/18,Argyll and Bute,Telecare Only,All Ages,Number of People,0,16065
2017/18,Argyll and Bute,Telecare Only,All Ages,"Rate per 1,000 Population",0,2.9613994985990266
2017/18,Argyll and Bute,Telecare Only,0-17 years,Number of People,0,270
2017/18,Argyll and Bute,Telecare Only,0-17 years,"Rate per 1,000 Population",0,0.2621219255282485
2017/18,Argyll and Bute,Telecare Only,18-64 years,Number of People,0,3040
2017/18,Argyll and Bute,Telecare Only,18-64 years,"Rate per 1,000 Population",0,0.8988290976997663
2017/18,Argyll and Bute,Telecare Only,65-74 years,Number of People,0,2555
2017/18,Argyll and Bute,Telecare Only,65-74 years,"Rate per 1,000 Population",0,4.525359726246733
2017/18,Argyll and Bute,Telecare Only,75-84 years,Number of People,0,5390
2017/18,Argyll and Bute,Telecare Only,75-84 years,"Rate per 1,000 Population",0,16.525884932010854
2017/18,Argyll and Bute,Telecare Only,85+ years,Number of People,0,4805
2017/18,Argyll and Bute,Telecare Only,85+ years,"Rate per 1,000 Population",0,39.444736323635645
2017/18,Argyll and Bute,Telecare Only,Unknown,Number of People,0,0
2017/18,Argyll and Bute,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,All Ages,Number of People,1045,21585
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",12,3.978948532664799
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,0-17 years,Number of People,5,25
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0.3,0.024270548660023008
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,18-64 years,Number of People,150,3330
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",3,0.9845726629408623
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,65-74 years,Number of People,130,3720
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",10.5,6.588782067177238
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,75-84 years,Number of People,360,7185
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",51.6,22.029403197866046
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,85+ years,Number of People,400,7325
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",160.3,60.13167400013134
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2017/18,Argyll and Bute,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2100,109335
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",24.2,20.154660079634272
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,0-17 years,Number of People,5,430
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.3,0.41745343695239573
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,18-64 years,Number of People,240,14645
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",4.8,4.330050044675354
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,65-74 years,Number of People,250,17475
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",20.2,30.95133511395759
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,75-84 years,Number of People,740,38640
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",106.2,118.47127899311677
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,85+ years,Number of People,865,38010
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",346.6,312.02797662047675
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,Unknown,Number of People,0,0
2017/18,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2017/18,City of Edinburgh,Community Alarm Only,All Ages,Number of People,7300,71685
2017/18,City of Edinburgh,Community Alarm Only,All Ages,"Rate per 1,000 Population",14.2,13.214312048370447
