financial_year,sending_location,service,age_group,living_alone_status,percentage,nclient
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,All Ages,Not Living Alone,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,All Ages,Unknown,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,All Ages,Not Recorded,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,0-17 years,Living Alone,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,0-17 years,Not Living Alone,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,0-17 years,Unknown,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,0-17 years,Not Recorded,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,18-64 years,Living Alone,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,18-64 years,Not Living Alone,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,18-64 years,Unknown,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,18-64 years,Not Recorded,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,65-74 years,Living Alone,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,65-74 years,Not Living Alone,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,65-74 years,Unknown,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,65-74 years,Not Recorded,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,75-84 years,Living Alone,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,75-84 years,Not Living Alone,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,75-84 years,Unknown,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,75-84 years,Not Recorded,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,85+ years,Living Alone,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,85+ years,Not Living Alone,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,85+ years,Unknown,0,0
2019/20,Scotland,Total Receiving Community Alarms and/or Telecare,85+ years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Living Alone,24.4,17540
2018/19,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Not Living Alone,27.2,19555
2018/19,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Unknown,48.3,34720
2018/19,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Not Living Alone,25,25
2018/19,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Unknown,75,75
2018/19,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Living Alone,18.6,1520
2018/19,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Not Living Alone,27.2,2225
2018/19,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Unknown,54.2,4425
2018/19,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,Living Alone,20,2325
2018/19,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,Not Living Alone,27,3135
2018/19,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,Unknown,53,6155
2018/19,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,Living Alone,23.7,6200
2018/19,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,Not Living Alone,28.6,7495
2018/19,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,Unknown,47.7,12515
2018/19,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community Alarm Only,85+ years,Living Alone,29.1,7495
2018/19,Scotland (All Areas Submitted),Community Alarm Only,85+ years,Not Living Alone,26,6675
2018/19,Scotland (All Areas Submitted),Community Alarm Only,85+ years,Unknown,44.9,11545
2018/19,Scotland (All Areas Submitted),Community Alarm Only,85+ years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community Alarm Only,Unknown,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Community Alarm Only,Unknown,Not Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Community Alarm Only,Unknown,Unknown,100,10
2018/19,Scotland (All Areas Submitted),Community Alarm Only,Unknown,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,Living Alone,31.7,12050
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,Not Living Alone,37.6,14300
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,Unknown,30.7,11685
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,Not Living Alone,40.9,45
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,Unknown,59.1,65
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,Living Alone,25.2,1370
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,Not Living Alone,33.9,1845
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,Unknown,40.9,2225
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,Living Alone,29.6,1835
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,Not Living Alone,37.4,2315
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,Unknown,33,2045
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,Living Alone,31.4,4005
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,Not Living Alone,41.9,5345
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,Unknown,26.7,3405
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,Living Alone,35.8,4840
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,Not Living Alone,35.1,4740
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,Unknown,29.1,3940
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,Not Living Alone,100,5
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,Unknown,0,0
2018/19,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare Only,All Ages,Living Alone,18.1,2770
2018/19,Scotland (All Areas Submitted),Telecare Only,All Ages,Not Living Alone,52.5,8010
2018/19,Scotland (All Areas Submitted),Telecare Only,All Ages,Unknown,29.4,4490
2018/19,Scotland (All Areas Submitted),Telecare Only,All Ages,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare Only,0-17 years,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Telecare Only,0-17 years,Not Living Alone,47.7,155
2018/19,Scotland (All Areas Submitted),Telecare Only,0-17 years,Unknown,52.3,170
2018/19,Scotland (All Areas Submitted),Telecare Only,0-17 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare Only,18-64 years,Living Alone,14,425
2018/19,Scotland (All Areas Submitted),Telecare Only,18-64 years,Not Living Alone,53.2,1615
2018/19,Scotland (All Areas Submitted),Telecare Only,18-64 years,Unknown,32.8,995
2018/19,Scotland (All Areas Submitted),Telecare Only,18-64 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare Only,65-74 years,Living Alone,14.8,345
2018/19,Scotland (All Areas Submitted),Telecare Only,65-74 years,Not Living Alone,61,1425
2018/19,Scotland (All Areas Submitted),Telecare Only,65-74 years,Unknown,24.2,565
2018/19,Scotland (All Areas Submitted),Telecare Only,65-74 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare Only,75-84 years,Living Alone,16.1,790
2018/19,Scotland (All Areas Submitted),Telecare Only,75-84 years,Not Living Alone,56.6,2780
2018/19,Scotland (All Areas Submitted),Telecare Only,75-84 years,Unknown,27.3,1340
2018/19,Scotland (All Areas Submitted),Telecare Only,75-84 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare Only,85+ years,Living Alone,26,1210
2018/19,Scotland (All Areas Submitted),Telecare Only,85+ years,Not Living Alone,43.6,2025
2018/19,Scotland (All Areas Submitted),Telecare Only,85+ years,Unknown,30.4,1410
2018/19,Scotland (All Areas Submitted),Telecare Only,85+ years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare Only,Unknown,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Telecare Only,Unknown,Not Living Alone,50,5
2018/19,Scotland (All Areas Submitted),Telecare Only,Unknown,Unknown,50,5
2018/19,Scotland (All Areas Submitted),Telecare Only,Unknown,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,All Ages,Living Alone,25.9,32360
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,All Ages,Not Living Alone,33.5,41860
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,All Ages,Unknown,40.7,50895
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,All Ages,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,0-17 years,Living Alone,0.9,5
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,0-17 years,Not Living Alone,41.7,225
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,0-17 years,Unknown,57.4,310
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,0-17 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,18-64 years,Living Alone,19.9,3320
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,18-64 years,Not Living Alone,34.1,5685
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,18-64 years,Unknown,45.9,7645
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,18-64 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,65-74 years,Living Alone,22.4,4505
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,65-74 years,Not Living Alone,34.1,6875
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,65-74 years,Unknown,43.5,8765
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,65-74 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,75-84 years,Living Alone,25,10990
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,75-84 years,Not Living Alone,35.6,15620
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,75-84 years,Unknown,39.4,17265
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,75-84 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,85+ years,Living Alone,30.9,13540
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,85+ years,Not Living Alone,30.6,13440
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,85+ years,Unknown,38.5,16895
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,85+ years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,Unknown,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,Unknown,Not Living Alone,40,10
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,Unknown,Unknown,60,15
2018/19,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,Unknown,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Living Alone,20.7,14750
2019/20,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Not Living Alone,27.6,19650
2019/20,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Unknown,51.6,36765
2019/20,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Not Recorded,0.1,85
2019/20,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Not Living Alone,16,20
2019/20,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Unknown,84,105
2019/20,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Living Alone,16.3,1330
2019/20,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Not Living Alone,26.9,2200
2019/20,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Unknown,56.8,4640
2019/20,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Not Recorded,0.1,5
2019/20,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,Living Alone,17.4,1930
2019/20,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,Not Living Alone,27.9,3085
2019/20,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,Unknown,54.6,6050
2019/20,Scotland (All Areas Submitted),Community Alarm Only,65-74 years,Not Recorded,0.1,10
2019/20,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,Living Alone,19.7,5090
2019/20,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,Not Living Alone,28.4,7340
2019/20,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,Unknown,51.8,13375
2019/20,Scotland (All Areas Submitted),Community Alarm Only,75-84 years,Not Recorded,0.1,35
2019/20,Scotland (All Areas Submitted),Community Alarm Only,85+ years,Living Alone,24.6,6400
2019/20,Scotland (All Areas Submitted),Community Alarm Only,85+ years,Not Living Alone,26.9,7005
2019/20,Scotland (All Areas Submitted),Community Alarm Only,85+ years,Unknown,48.3,12580
2019/20,Scotland (All Areas Submitted),Community Alarm Only,85+ years,Not Recorded,0.1,35
2019/20,Scotland (All Areas Submitted),Community Alarm Only,Unknown,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Community Alarm Only,Unknown,Not Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Community Alarm Only,Unknown,Unknown,100,10
2019/20,Scotland (All Areas Submitted),Community Alarm Only,Unknown,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,Living Alone,36.6,11885
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,Not Living Alone,41.6,13535
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,Unknown,21.8,7085
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,All Ages,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,Living Alone,3.6,5
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,Not Living Alone,53.6,75
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,Unknown,42.9,60
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,0-17 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,Living Alone,29.4,1415
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,Not Living Alone,37.6,1810
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,Unknown,33.1,1595
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,18-64 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,Living Alone,33.6,1785
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,Not Living Alone,40.4,2145
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,Unknown,25.9,1375
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,65-74 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,Living Alone,36,3900
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,Not Living Alone,45.9,4975
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,Unknown,18.1,1955
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,75-84 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,Living Alone,41.9,4775
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,Not Living Alone,39.7,4525
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,Unknown,18.4,2095
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,85+ years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,Not Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,Unknown,0,0
2019/20,Scotland (All Areas Submitted),Receiving both Community Alarm and Telecare,Unknown,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare Only,All Ages,Living Alone,16.1,2185
2019/20,Scotland (All Areas Submitted),Telecare Only,All Ages,Not Living Alone,54.1,7355
2019/20,Scotland (All Areas Submitted),Telecare Only,All Ages,Unknown,29.8,4045
2019/20,Scotland (All Areas Submitted),Telecare Only,All Ages,Not Recorded,0,5
2019/20,Scotland (All Areas Submitted),Telecare Only,0-17 years,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Telecare Only,0-17 years,Not Living Alone,58.3,140
2019/20,Scotland (All Areas Submitted),Telecare Only,0-17 years,Unknown,41.7,100
2019/20,Scotland (All Areas Submitted),Telecare Only,0-17 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare Only,18-64 years,Living Alone,12.8,340
2019/20,Scotland (All Areas Submitted),Telecare Only,18-64 years,Not Living Alone,57.3,1520
2019/20,Scotland (All Areas Submitted),Telecare Only,18-64 years,Unknown,29.9,795
2019/20,Scotland (All Areas Submitted),Telecare Only,18-64 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare Only,65-74 years,Living Alone,13.9,280
2019/20,Scotland (All Areas Submitted),Telecare Only,65-74 years,Not Living Alone,60,1205
2019/20,Scotland (All Areas Submitted),Telecare Only,65-74 years,Unknown,26.1,525
2019/20,Scotland (All Areas Submitted),Telecare Only,65-74 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare Only,75-84 years,Living Alone,14.6,645
2019/20,Scotland (All Areas Submitted),Telecare Only,75-84 years,Not Living Alone,56.5,2505
2019/20,Scotland (All Areas Submitted),Telecare Only,75-84 years,Unknown,28.9,1280
2019/20,Scotland (All Areas Submitted),Telecare Only,75-84 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare Only,85+ years,Living Alone,21.6,915
2019/20,Scotland (All Areas Submitted),Telecare Only,85+ years,Not Living Alone,46.8,1980
2019/20,Scotland (All Areas Submitted),Telecare Only,85+ years,Unknown,31.6,1335
2019/20,Scotland (All Areas Submitted),Telecare Only,85+ years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare Only,Unknown,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Telecare Only,Unknown,Not Living Alone,50,5
2019/20,Scotland (All Areas Submitted),Telecare Only,Unknown,Unknown,50,5
2019/20,Scotland (All Areas Submitted),Telecare Only,Unknown,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,All Ages,Living Alone,24.6,28820
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,All Ages,Not Living Alone,34.5,40540
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,All Ages,Unknown,40.8,47895
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,All Ages,Not Recorded,0.1,90
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,0-17 years,Living Alone,1,5
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,0-17 years,Not Living Alone,46.5,235
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,0-17 years,Unknown,52.5,265
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,0-17 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,18-64 years,Living Alone,19.7,3090
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,18-64 years,Not Living Alone,35.3,5535
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,18-64 years,Unknown,44.9,7035
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,18-64 years,Not Recorded,0,5
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,65-74 years,Living Alone,21.7,3995
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,65-74 years,Not Living Alone,35,6435
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,65-74 years,Unknown,43.2,7950
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,65-74 years,Not Recorded,0.1,15
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,75-84 years,Living Alone,23.4,9635
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,75-84 years,Not Living Alone,36.1,14820
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,75-84 years,Unknown,40.4,16615
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,75-84 years,Not Recorded,0.1,35
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,85+ years,Living Alone,29,12090
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,85+ years,Not Living Alone,32.4,13515
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,85+ years,Unknown,38.4,16015
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,85+ years,Not Recorded,0.1,35
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,Unknown,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,Unknown,Not Living Alone,25,5
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,Unknown,Unknown,75,15
2019/20,Scotland (All Areas Submitted),Total Receiving Community Alarms and/or Telecare,Unknown,Not Recorded,0,0
2020/21,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Not Living Alone,29.5,20915
2020/21,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Living Alone,20.3,14400
2020/21,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Not Known,49.8,35275
2020/21,Scotland (All Areas Submitted),Community Alarm Only,All Ages,Not Recorded,0.4,295
2020/21,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Not Living Alone,48,60
2020/21,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Living Alone,20,25
2020/21,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Not Known,32,40
2020/21,Scotland (All Areas Submitted),Community Alarm Only,0-17 years,Not Recorded,0,0
2020/21,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Not Living Alone,30.1,2480
2020/21,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Living Alone,17.2,1415
2020/21,Scotland (All Areas Submitted),Community Alarm Only,18-64 years,Not Known,52.5,4330
