financial_year,sending_location,service,age_group,measure,value
2015/16,East Lothian,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",31.3
2015/16,East Lothian,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3230
2015/16,East Renfrewshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",5.1
2015/16,East Renfrewshire,Community Alarm Only,All Ages,Number of People,470
2015/16,East Renfrewshire,Telecare Only,All Ages,"Rate per 1,000 Population",18.2
2015/16,East Renfrewshire,Telecare Only,All Ages,Number of People,1690
2015/16,East Renfrewshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",4
2015/16,East Renfrewshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,370
2015/16,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",27.2
2015/16,East Renfrewshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2530
2015/16,Falkirk,Community Alarm Only,All Ages,"Rate per 1,000 Population",29.3
2015/16,Falkirk,Community Alarm Only,All Ages,Number of People,4640
2015/16,Falkirk,Telecare Only,All Ages,"Rate per 1,000 Population",1.1
2015/16,Falkirk,Telecare Only,All Ages,Number of People,170
2015/16,Falkirk,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",1.5
2015/16,Falkirk,Receiving both Community Alarm and Telecare,All Ages,Number of People,230
2015/16,Falkirk,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",31.7
2015/16,Falkirk,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,5030
2015/16,Fife,Community Alarm Only,All Ages,"Rate per 1,000 Population",17.4
2015/16,Fife,Community Alarm Only,All Ages,Number of People,6410
2015/16,Fife,Telecare Only,All Ages,"Rate per 1,000 Population",1.1
2015/16,Fife,Telecare Only,All Ages,Number of People,400
2015/16,Fife,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",7.9
2015/16,Fife,Receiving both Community Alarm and Telecare,All Ages,Number of People,2900
2015/16,Fife,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",26.4
2015/16,Fife,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,9710
2015/16,Glasgow City,Community Alarm Only,All Ages,"Rate per 1,000 Population",9
2015/16,Glasgow City,Community Alarm Only,All Ages,Number of People,5430
2015/16,Glasgow City,Telecare Only,All Ages,"Rate per 1,000 Population",0.3
2015/16,Glasgow City,Telecare Only,All Ages,Number of People,210
2015/16,Glasgow City,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",5.8
2015/16,Glasgow City,Receiving both Community Alarm and Telecare,All Ages,Number of People,3540
2015/16,Glasgow City,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",15.1
2015/16,Glasgow City,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,9180
2015/16,Highland,Community Alarm Only,All Ages,"Rate per 1,000 Population",15.2
2015/16,Highland,Community Alarm Only,All Ages,Number of People,3550
2015/16,Highland,Telecare Only,All Ages,"Rate per 1,000 Population",1.5
2015/16,Highland,Telecare Only,All Ages,Number of People,360
2015/16,Highland,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0
2015/16,Highland,Receiving both Community Alarm and Telecare,All Ages,Number of People,0
2015/16,Highland,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",16.7
2015/16,Highland,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3910
2015/16,Inverclyde,Community Alarm Only,All Ages,"Rate per 1,000 Population",30.9
2015/16,Inverclyde,Community Alarm Only,All Ages,Number of People,2460
2015/16,Inverclyde,Telecare Only,All Ages,"Rate per 1,000 Population",0.1
2015/16,Inverclyde,Telecare Only,All Ages,Number of People,10
2015/16,Inverclyde,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0
2015/16,Inverclyde,Receiving both Community Alarm and Telecare,All Ages,Number of People,0
2015/16,Inverclyde,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",31.1
2015/16,Inverclyde,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2470
2015/16,Midlothian,Community Alarm Only,All Ages,"Rate per 1,000 Population",10.9
2015/16,Midlothian,Community Alarm Only,All Ages,Number of People,950
2015/16,Midlothian,Telecare Only,All Ages,"Rate per 1,000 Population",11.9
2015/16,Midlothian,Telecare Only,All Ages,Number of People,1040
2015/16,Midlothian,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",1
2015/16,Midlothian,Receiving both Community Alarm and Telecare,All Ages,Number of People,90
2015/16,Midlothian,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",23.7
2015/16,Midlothian,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2070
2015/16,Moray,Community Alarm Only,All Ages,"Rate per 1,000 Population",18.1
2015/16,Moray,Community Alarm Only,All Ages,Number of People,1730
2015/16,Moray,Telecare Only,All Ages,"Rate per 1,000 Population",0.3
2015/16,Moray,Telecare Only,All Ages,Number of People,30
2015/16,Moray,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0.7
2015/16,Moray,Receiving both Community Alarm and Telecare,All Ages,Number of People,70
2015/16,Moray,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",19.2
2015/16,Moray,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,1830
2015/16,North Ayrshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",11.5
2015/16,North Ayrshire,Community Alarm Only,All Ages,Number of People,1560
2015/16,North Ayrshire,Telecare Only,All Ages,"Rate per 1,000 Population",2.9
2015/16,North Ayrshire,Telecare Only,All Ages,Number of People,400
2015/16,North Ayrshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",14.9
2015/16,North Ayrshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,2030
2015/16,North Ayrshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",29.3
2015/16,North Ayrshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3990
2015/16,North Lanarkshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",32.1
2015/16,North Lanarkshire,Community Alarm Only,All Ages,Number of People,10860
2015/16,North Lanarkshire,Telecare Only,All Ages,"Rate per 1,000 Population",1.2
2015/16,North Lanarkshire,Telecare Only,All Ages,Number of People,390
2015/16,North Lanarkshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",2.8
2015/16,North Lanarkshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,960
2015/16,North Lanarkshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",36.1
2015/16,North Lanarkshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,12210
2015/16,Orkney Islands,Community Alarm Only,All Ages,"Rate per 1,000 Population",13.8
2015/16,Orkney Islands,Community Alarm Only,All Ages,Number of People,300
2015/16,Orkney Islands,Telecare Only,All Ages,"Rate per 1,000 Population",0.5
2015/16,Orkney Islands,Telecare Only,All Ages,Number of People,10
2015/16,Orkney Islands,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",8.8
2015/16,Orkney Islands,Receiving both Community Alarm and Telecare,All Ages,Number of People,190
2015/16,Orkney Islands,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",22.6
2015/16,Orkney Islands,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,490
2015/16,Perth and Kinross,Community Alarm Only,All Ages,"Rate per 1,000 Population",14.5
2015/16,Perth and Kinross,Community Alarm Only,All Ages,Number of People,2180
2015/16,Perth and Kinross,Telecare Only,All Ages,"Rate per 1,000 Population",1.5
2015/16,Perth and Kinross,Telecare Only,All Ages,Number of People,220
2015/16,Perth and Kinross,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",7.2
2015/16,Perth and Kinross,Receiving both Community Alarm and Telecare,All Ages,Number of People,1080
2015/16,Perth and Kinross,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",23.2
2015/16,Perth and Kinross,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3480
2015/16,Renfrewshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",16.2
2015/16,Renfrewshire,Community Alarm Only,All Ages,Number of People,2830
2015/16,Renfrewshire,Telecare Only,All Ages,"Rate per 1,000 Population",2.3
2015/16,Renfrewshire,Telecare Only,All Ages,Number of People,400
2015/16,Renfrewshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0.2
2015/16,Renfrewshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,40
2015/16,Renfrewshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",18.7
2015/16,Renfrewshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,3270
2015/16,Scottish Borders,Community Alarm Only,All Ages,"Rate per 1,000 Population",18.5
2015/16,Scottish Borders,Community Alarm Only,All Ages,Number of People,2110
2015/16,Scottish Borders,Telecare Only,All Ages,"Rate per 1,000 Population",0.8
2015/16,Scottish Borders,Telecare Only,All Ages,Number of People,90
2015/16,Scottish Borders,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",5.8
2015/16,Scottish Borders,Receiving both Community Alarm and Telecare,All Ages,Number of People,660
2015/16,Scottish Borders,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",25
2015/16,Scottish Borders,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2850
2015/16,Shetland Islands,Community Alarm Only,All Ages,"Rate per 1,000 Population",22
2015/16,Shetland Islands,Community Alarm Only,All Ages,Number of People,510
2015/16,Shetland Islands,Telecare Only,All Ages,"Rate per 1,000 Population",0.4
2015/16,Shetland Islands,Telecare Only,All Ages,Number of People,10
2015/16,Shetland Islands,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",2.6
2015/16,Shetland Islands,Receiving both Community Alarm and Telecare,All Ages,Number of People,60
2015/16,Shetland Islands,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",24.6
2015/16,Shetland Islands,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,570
2015/16,South Ayrshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",8.5
2015/16,South Ayrshire,Community Alarm Only,All Ages,Number of People,950
2015/16,South Ayrshire,Telecare Only,All Ages,"Rate per 1,000 Population",0
2015/16,South Ayrshire,Telecare Only,All Ages,Number of People,0
2015/16,South Ayrshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",12.4
2015/16,South Ayrshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,1390
2015/16,South Ayrshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",20.9
2015/16,South Ayrshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2350
2015/16,South Lanarkshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",25.9
2015/16,South Lanarkshire,Community Alarm Only,All Ages,Number of People,8180
2015/16,South Lanarkshire,Telecare Only,All Ages,"Rate per 1,000 Population",0
2015/16,South Lanarkshire,Telecare Only,All Ages,Number of People,0
2015/16,South Lanarkshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",1.3
2015/16,South Lanarkshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,420
2015/16,South Lanarkshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",27.2
2015/16,South Lanarkshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,8600
2015/16,Stirling,Community Alarm Only,All Ages,"Rate per 1,000 Population",21.5
2015/16,Stirling,Community Alarm Only,All Ages,Number of People,2000
2015/16,Stirling,Telecare Only,All Ages,"Rate per 1,000 Population",0
2015/16,Stirling,Telecare Only,All Ages,Number of People,0
2015/16,Stirling,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",5
2015/16,Stirling,Receiving both Community Alarm and Telecare,All Ages,Number of People,460
2015/16,Stirling,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",26.5
2015/16,Stirling,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2460
2015/16,West Dunbartonshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",23.7
2015/16,West Dunbartonshire,Community Alarm Only,All Ages,Number of People,2120
2015/16,West Dunbartonshire,Telecare Only,All Ages,"Rate per 1,000 Population",0
2015/16,West Dunbartonshire,Telecare Only,All Ages,Number of People,0
2015/16,West Dunbartonshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",7.7
2015/16,West Dunbartonshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,690
2015/16,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",31.5
2015/16,West Dunbartonshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2820
2015/16,West Lothian,Community Alarm Only,All Ages,"Rate per 1,000 Population",0
2015/16,West Lothian,Community Alarm Only,All Ages,Number of People,0
2015/16,West Lothian,Telecare Only,All Ages,"Rate per 1,000 Population",0
2015/16,West Lothian,Telecare Only,All Ages,Number of People,0
2015/16,West Lothian,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",32.6
2015/16,West Lothian,Receiving both Community Alarm and Telecare,All Ages,Number of People,5820
2015/16,West Lothian,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",32.6
2015/16,West Lothian,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,5820
2016/17,Scotland (Estimated),Community Alarm Only,All Ages,"Rate per 1,000 Population",16.3
2016/17,Scotland (Estimated),Community Alarm Only,All Ages,Number of People,88270
2016/17,Scotland (Estimated),Telecare Only,All Ages,"Rate per 1,000 Population",0.9
2016/17,Scotland (Estimated),Telecare Only,All Ages,Number of People,4710
2016/17,Scotland (Estimated),Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",6.6
2016/17,Scotland (Estimated),Receiving both Community Alarm and Telecare,All Ages,Number of People,35770
2016/17,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",23.8
2016/17,Scotland (Estimated),Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,128750
2016/17,Aberdeen City,Community Alarm Only,All Ages,"Rate per 1,000 Population",7.8
2016/17,Aberdeen City,Community Alarm Only,All Ages,Number of People,1790
2016/17,Aberdeen City,Telecare Only,All Ages,"Rate per 1,000 Population",0.8
2016/17,Aberdeen City,Telecare Only,All Ages,Number of People,180
2016/17,Aberdeen City,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",4.4
2016/17,Aberdeen City,Receiving both Community Alarm and Telecare,All Ages,Number of People,1010
2016/17,Aberdeen City,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",12.9
2016/17,Aberdeen City,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2970
2016/17,Aberdeenshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",18.4
2016/17,Aberdeenshire,Community Alarm Only,All Ages,Number of People,4830
2016/17,Aberdeenshire,Telecare Only,All Ages,"Rate per 1,000 Population",0.6
2016/17,Aberdeenshire,Telecare Only,All Ages,Number of People,150
2016/17,Aberdeenshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",2.1
2016/17,Aberdeenshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,540
2016/17,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",21.1
2016/17,Aberdeenshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,5520
2016/17,Angus,Community Alarm Only,All Ages,"Rate per 1,000 Population",19.3
2016/17,Angus,Community Alarm Only,All Ages,Number of People,2250
2016/17,Angus,Telecare Only,All Ages,"Rate per 1,000 Population",0.2
2016/17,Angus,Telecare Only,All Ages,Number of People,20
2016/17,Angus,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",3.2
2016/17,Angus,Receiving both Community Alarm and Telecare,All Ages,Number of People,370
2016/17,Angus,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",22.7
2016/17,Angus,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2640
2016/17,Argyll and Bute,Community Alarm Only,All Ages,"Rate per 1,000 Population",17.3
2016/17,Argyll and Bute,Community Alarm Only,All Ages,Number of People,1510
2016/17,Argyll and Bute,Telecare Only,All Ages,"Rate per 1,000 Population",0
2016/17,Argyll and Bute,Telecare Only,All Ages,Number of People,0
2016/17,Argyll and Bute,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",7.6
2016/17,Argyll and Bute,Receiving both Community Alarm and Telecare,All Ages,Number of People,660
2016/17,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",25
2016/17,Argyll and Bute,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,2180
2016/17,City of Edinburgh,Community Alarm Only,All Ages,"Rate per 1,000 Population",12
2016/17,City of Edinburgh,Community Alarm Only,All Ages,Number of People,6070
2016/17,City of Edinburgh,Telecare Only,All Ages,"Rate per 1,000 Population",0
2016/17,City of Edinburgh,Telecare Only,All Ages,Number of People,0
2016/17,City of Edinburgh,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",8.6
2016/17,City of Edinburgh,Receiving both Community Alarm and Telecare,All Ages,Number of People,4360
2016/17,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",20.6
2016/17,City of Edinburgh,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,10430
2016/17,Clackmannanshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",29.4
2016/17,Clackmannanshire,Community Alarm Only,All Ages,Number of People,1510
2016/17,Clackmannanshire,Telecare Only,All Ages,"Rate per 1,000 Population",0.4
2016/17,Clackmannanshire,Telecare Only,All Ages,Number of People,20
2016/17,Clackmannanshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",6.2
2016/17,Clackmannanshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,320
2016/17,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",36
2016/17,Clackmannanshire,Total Receiving Community Alarms and/or Telecare,All Ages,Number of People,1850
2016/17,Comhairle nan Eilean Siar,Community Alarm Only,All Ages,"Rate per 1,000 Population",24.5
2016/17,Comhairle nan Eilean Siar,Community Alarm Only,All Ages,Number of People,660
