financial_quarter,sending_location,age_group,deprivation,simd_percentage,nclient
2017/18 Q4,Aberdeen City,65-74 years,4,10.7,30
2017/18 Q4,Aberdeen City,65-74 years,5 (Least Deprived),14.3,40
2017/18 Q4,Aberdeen City,65-74 years,Unknown,0,0
2017/18 Q4,Aberdeen City,75-84 years,1 (Most Deprived),26,165
2017/18 Q4,Aberdeen City,75-84 years,2,16.5,105
2017/18 Q4,Aberdeen City,75-84 years,3,20.5,130
2017/18 Q4,Aberdeen City,75-84 years,4,18.1,115
2017/18 Q4,Aberdeen City,75-84 years,5 (Least Deprived),18.9,120
2017/18 Q4,Aberdeen City,75-84 years,Unknown,0,0
2017/18 Q4,Aberdeen City,85+ years,1 (Most Deprived),19,145
2017/18 Q4,Aberdeen City,85+ years,2,16.3,125
2017/18 Q4,Aberdeen City,85+ years,3,23.5,180
2017/18 Q4,Aberdeen City,85+ years,4,17,130
2017/18 Q4,Aberdeen City,85+ years,5 (Least Deprived),24.2,185
2017/18 Q4,Aberdeen City,85+ years,Unknown,0,0
2017/18 Q4,Aberdeen City,Unknown,1 (Most Deprived),NA,0
2017/18 Q4,Aberdeen City,Unknown,2,NA,0
2017/18 Q4,Aberdeen City,Unknown,3,NA,0
2017/18 Q4,Aberdeen City,Unknown,4,NA,0
2017/18 Q4,Aberdeen City,Unknown,5 (Least Deprived),NA,0
2017/18 Q4,Aberdeen City,Unknown,Unknown,NA,0
2017/18 Q4,Aberdeenshire,All Ages,1 (Most Deprived),28.2,715
2017/18 Q4,Aberdeenshire,All Ages,2,27.4,695
2017/18 Q4,Aberdeenshire,All Ages,3,15.2,385
2017/18 Q4,Aberdeenshire,All Ages,4,14.2,360
2017/18 Q4,Aberdeenshire,All Ages,5 (Least Deprived),14.8,375
2017/18 Q4,Aberdeenshire,All Ages,Unknown,0.2,5
2017/18 Q4,Aberdeenshire,0-17 years,1 (Most Deprived),NA,0
2017/18 Q4,Aberdeenshire,0-17 years,2,NA,0
2017/18 Q4,Aberdeenshire,0-17 years,3,NA,0
2017/18 Q4,Aberdeenshire,0-17 years,4,NA,0
2017/18 Q4,Aberdeenshire,0-17 years,5 (Least Deprived),NA,0
2017/18 Q4,Aberdeenshire,0-17 years,Unknown,NA,0
2017/18 Q4,Aberdeenshire,18-64 years,1 (Most Deprived),40,120
2017/18 Q4,Aberdeenshire,18-64 years,2,25,75
2017/18 Q4,Aberdeenshire,18-64 years,3,13.3,40
2017/18 Q4,Aberdeenshire,18-64 years,4,10,30
2017/18 Q4,Aberdeenshire,18-64 years,5 (Least Deprived),11.7,35
2017/18 Q4,Aberdeenshire,18-64 years,Unknown,0,0
2017/18 Q4,Aberdeenshire,65-74 years,1 (Most Deprived),32.4,120
2017/18 Q4,Aberdeenshire,65-74 years,2,25.7,95
2017/18 Q4,Aberdeenshire,65-74 years,3,14.9,55
2017/18 Q4,Aberdeenshire,65-74 years,4,14.9,55
2017/18 Q4,Aberdeenshire,65-74 years,5 (Least Deprived),12.2,45
2017/18 Q4,Aberdeenshire,65-74 years,Unknown,0,0
2017/18 Q4,Aberdeenshire,75-84 years,1 (Most Deprived),28.8,255
2017/18 Q4,Aberdeenshire,75-84 years,2,26,230
2017/18 Q4,Aberdeenshire,75-84 years,3,15.3,135
2017/18 Q4,Aberdeenshire,75-84 years,4,14.1,125
2017/18 Q4,Aberdeenshire,75-84 years,5 (Least Deprived),15.3,135
2017/18 Q4,Aberdeenshire,75-84 years,Unknown,0.6,5
2017/18 Q4,Aberdeenshire,85+ years,1 (Most Deprived),23,225
2017/18 Q4,Aberdeenshire,85+ years,2,30.1,295
2017/18 Q4,Aberdeenshire,85+ years,3,15.8,155
2017/18 Q4,Aberdeenshire,85+ years,4,15.3,150
2017/18 Q4,Aberdeenshire,85+ years,5 (Least Deprived),15.8,155
2017/18 Q4,Aberdeenshire,85+ years,Unknown,0,0
2017/18 Q4,Aberdeenshire,Unknown,1 (Most Deprived),NA,0
2017/18 Q4,Aberdeenshire,Unknown,2,NA,0
2017/18 Q4,Aberdeenshire,Unknown,3,NA,0
2017/18 Q4,Aberdeenshire,Unknown,4,NA,0
2017/18 Q4,Aberdeenshire,Unknown,5 (Least Deprived),NA,0
2017/18 Q4,Aberdeenshire,Unknown,Unknown,NA,0
2017/18 Q4,Angus,All Ages,1 (Most Deprived),15.2,175
2017/18 Q4,Angus,All Ages,2,15.6,180
2017/18 Q4,Angus,All Ages,3,12.1,140
2017/18 Q4,Angus,All Ages,4,11.7,135
2017/18 Q4,Angus,All Ages,5 (Least Deprived),9.1,105
2017/18 Q4,Angus,All Ages,Unknown,36.4,420
2017/18 Q4,Angus,0-17 years,1 (Most Deprived),50,5
2017/18 Q4,Angus,0-17 years,2,50,5
2017/18 Q4,Angus,0-17 years,3,0,0
2017/18 Q4,Angus,0-17 years,4,0,0
2017/18 Q4,Angus,0-17 years,5 (Least Deprived),0,0
2017/18 Q4,Angus,0-17 years,Unknown,0,0
2017/18 Q4,Angus,18-64 years,1 (Most Deprived),26.4,70
2017/18 Q4,Angus,18-64 years,2,30.2,80
2017/18 Q4,Angus,18-64 years,3,15.1,40
2017/18 Q4,Angus,18-64 years,4,9.4,25
2017/18 Q4,Angus,18-64 years,5 (Least Deprived),11.3,30
2017/18 Q4,Angus,18-64 years,Unknown,7.5,20
2017/18 Q4,Angus,65-74 years,1 (Most Deprived),21.2,35
2017/18 Q4,Angus,65-74 years,2,18.2,30
2017/18 Q4,Angus,65-74 years,3,15.2,25
2017/18 Q4,Angus,65-74 years,4,15.2,25
2017/18 Q4,Angus,65-74 years,5 (Least Deprived),6.1,10
2017/18 Q4,Angus,65-74 years,Unknown,24.2,40
2017/18 Q4,Angus,75-84 years,1 (Most Deprived),9.8,30
2017/18 Q4,Angus,75-84 years,2,11.5,35
2017/18 Q4,Angus,75-84 years,3,11.5,35
2017/18 Q4,Angus,75-84 years,4,11.5,35
2017/18 Q4,Angus,75-84 years,5 (Least Deprived),8.2,25
2017/18 Q4,Angus,75-84 years,Unknown,47.5,145
2017/18 Q4,Angus,85+ years,1 (Most Deprived),8.6,35
2017/18 Q4,Angus,85+ years,2,7.4,30
2017/18 Q4,Angus,85+ years,3,9.9,40
2017/18 Q4,Angus,85+ years,4,12.3,50
2017/18 Q4,Angus,85+ years,5 (Least Deprived),8.6,35
2017/18 Q4,Angus,85+ years,Unknown,53.1,215
2017/18 Q4,Angus,Unknown,1 (Most Deprived),NA,0
2017/18 Q4,Angus,Unknown,2,NA,0
2017/18 Q4,Angus,Unknown,3,NA,0
2017/18 Q4,Angus,Unknown,4,NA,0
2017/18 Q4,Angus,Unknown,5 (Least Deprived),NA,0
2017/18 Q4,Angus,Unknown,Unknown,NA,0
2017/18 Q4,Argyll and Bute,All Ages,1 (Most Deprived),24.7,360
2017/18 Q4,Argyll and Bute,All Ages,2,19.9,290
2017/18 Q4,Argyll and Bute,All Ages,3,18.8,275
2017/18 Q4,Argyll and Bute,All Ages,4,17.5,255
2017/18 Q4,Argyll and Bute,All Ages,5 (Least Deprived),18.5,270
2017/18 Q4,Argyll and Bute,All Ages,Unknown,0.7,10
2017/18 Q4,Argyll and Bute,0-17 years,1 (Most Deprived),NA,0
2017/18 Q4,Argyll and Bute,0-17 years,2,NA,0
2017/18 Q4,Argyll and Bute,0-17 years,3,NA,0
2017/18 Q4,Argyll and Bute,0-17 years,4,NA,0
2017/18 Q4,Argyll and Bute,0-17 years,5 (Least Deprived),NA,0
2017/18 Q4,Argyll and Bute,0-17 years,Unknown,NA,0
2017/18 Q4,Argyll and Bute,18-64 years,1 (Most Deprived),41,80
2017/18 Q4,Argyll and Bute,18-64 years,2,17.9,35
2017/18 Q4,Argyll and Bute,18-64 years,3,15.4,30
2017/18 Q4,Argyll and Bute,18-64 years,4,15.4,30
2017/18 Q4,Argyll and Bute,18-64 years,5 (Least Deprived),10.3,20
2017/18 Q4,Argyll and Bute,18-64 years,Unknown,0,0
2017/18 Q4,Argyll and Bute,65-74 years,1 (Most Deprived),29.3,60
2017/18 Q4,Argyll and Bute,65-74 years,2,26.8,55
2017/18 Q4,Argyll and Bute,65-74 years,3,17.1,35
2017/18 Q4,Argyll and Bute,65-74 years,4,14.6,30
2017/18 Q4,Argyll and Bute,65-74 years,5 (Least Deprived),12.2,25
2017/18 Q4,Argyll and Bute,65-74 years,Unknown,0,0
2017/18 Q4,Argyll and Bute,75-84 years,1 (Most Deprived),24.7,120
2017/18 Q4,Argyll and Bute,75-84 years,2,21.6,105
2017/18 Q4,Argyll and Bute,75-84 years,3,19.6,95
2017/18 Q4,Argyll and Bute,75-84 years,4,15.5,75
2017/18 Q4,Argyll and Bute,75-84 years,5 (Least Deprived),17.5,85
2017/18 Q4,Argyll and Bute,75-84 years,Unknown,1,5
2017/18 Q4,Argyll and Bute,85+ years,1 (Most Deprived),17.2,100
2017/18 Q4,Argyll and Bute,85+ years,2,17.2,100
2017/18 Q4,Argyll and Bute,85+ years,3,20.7,120
2017/18 Q4,Argyll and Bute,85+ years,4,20.7,120
2017/18 Q4,Argyll and Bute,85+ years,5 (Least Deprived),23.3,135
2017/18 Q4,Argyll and Bute,85+ years,Unknown,0.9,5
2017/18 Q4,Argyll and Bute,Unknown,1 (Most Deprived),NA,0
2017/18 Q4,Argyll and Bute,Unknown,2,NA,0
2017/18 Q4,Argyll and Bute,Unknown,3,NA,0
2017/18 Q4,Argyll and Bute,Unknown,4,NA,0
2017/18 Q4,Argyll and Bute,Unknown,5 (Least Deprived),NA,0
2017/18 Q4,Argyll and Bute,Unknown,Unknown,NA,0
2017/18 Q4,City of Edinburgh,All Ages,1 (Most Deprived),30.1,1590
2017/18 Q4,City of Edinburgh,All Ages,2,20,1060
2017/18 Q4,City of Edinburgh,All Ages,3,21.5,1135
2017/18 Q4,City of Edinburgh,All Ages,4,14.5,765
2017/18 Q4,City of Edinburgh,All Ages,5 (Least Deprived),13.2,700
2017/18 Q4,City of Edinburgh,All Ages,Unknown,0.8,40
2017/18 Q4,City of Edinburgh,0-17 years,1 (Most Deprived),NA,0
2017/18 Q4,City of Edinburgh,0-17 years,2,NA,0
2017/18 Q4,City of Edinburgh,0-17 years,3,NA,0
2017/18 Q4,City of Edinburgh,0-17 years,4,NA,0
2017/18 Q4,City of Edinburgh,0-17 years,5 (Least Deprived),NA,0
2017/18 Q4,City of Edinburgh,0-17 years,Unknown,NA,0
2017/18 Q4,City of Edinburgh,18-64 years,1 (Most Deprived),43.2,685
2017/18 Q4,City of Edinburgh,18-64 years,2,26.8,425
2017/18 Q4,City of Edinburgh,18-64 years,3,17,270
2017/18 Q4,City of Edinburgh,18-64 years,4,8.2,130
2017/18 Q4,City of Edinburgh,18-64 years,5 (Least Deprived),4.4,70
2017/18 Q4,City of Edinburgh,18-64 years,Unknown,0.3,5
2017/18 Q4,City of Edinburgh,65-74 years,1 (Most Deprived),32.6,225
2017/18 Q4,City of Edinburgh,65-74 years,2,21,145
2017/18 Q4,City of Edinburgh,65-74 years,3,21.7,150
2017/18 Q4,City of Edinburgh,65-74 years,4,13.8,95
2017/18 Q4,City of Edinburgh,65-74 years,5 (Least Deprived),9.4,65
2017/18 Q4,City of Edinburgh,65-74 years,Unknown,1.4,10
2017/18 Q4,City of Edinburgh,75-84 years,1 (Most Deprived),27.2,355
2017/18 Q4,City of Edinburgh,75-84 years,2,19.5,255
2017/18 Q4,City of Edinburgh,75-84 years,3,22.2,290
2017/18 Q4,City of Edinburgh,75-84 years,4,14.2,185
2017/18 Q4,City of Edinburgh,75-84 years,5 (Least Deprived),16.1,210
2017/18 Q4,City of Edinburgh,75-84 years,Unknown,0.8,10
2017/18 Q4,City of Edinburgh,85+ years,1 (Most Deprived),19,325
2017/18 Q4,City of Edinburgh,85+ years,2,14,240
2017/18 Q4,City of Edinburgh,85+ years,3,24.8,425
2017/18 Q4,City of Edinburgh,85+ years,4,20.4,350
2017/18 Q4,City of Edinburgh,85+ years,5 (Least Deprived),21,360
2017/18 Q4,City of Edinburgh,85+ years,Unknown,0.9,15
2017/18 Q4,City of Edinburgh,Unknown,1 (Most Deprived),NA,0
2017/18 Q4,City of Edinburgh,Unknown,2,NA,0
2017/18 Q4,City of Edinburgh,Unknown,3,NA,0
2017/18 Q4,City of Edinburgh,Unknown,4,NA,0
2017/18 Q4,City of Edinburgh,Unknown,5 (Least Deprived),NA,0
2017/18 Q4,City of Edinburgh,Unknown,Unknown,NA,0
2017/18 Q4,Clackmannanshire,All Ages,1 (Most Deprived),25.4,220
2017/18 Q4,Clackmannanshire,All Ages,2,19.7,170
2017/18 Q4,Clackmannanshire,All Ages,3,21.4,185
2017/18 Q4,Clackmannanshire,All Ages,4,20.2,175
2017/18 Q4,Clackmannanshire,All Ages,5 (Least Deprived),13.3,115
2017/18 Q4,Clackmannanshire,All Ages,Unknown,0,0
2017/18 Q4,Clackmannanshire,0-17 years,1 (Most Deprived),NA,0
2017/18 Q4,Clackmannanshire,0-17 years,2,NA,0
2017/18 Q4,Clackmannanshire,0-17 years,3,NA,0
2017/18 Q4,Clackmannanshire,0-17 years,4,NA,0
2017/18 Q4,Clackmannanshire,0-17 years,5 (Least Deprived),NA,0
2017/18 Q4,Clackmannanshire,0-17 years,Unknown,NA,0
2017/18 Q4,Clackmannanshire,18-64 years,1 (Most Deprived),37.5,75
2017/18 Q4,Clackmannanshire,18-64 years,2,17.5,35
2017/18 Q4,Clackmannanshire,18-64 years,3,20,40
2017/18 Q4,Clackmannanshire,18-64 years,4,17.5,35
2017/18 Q4,Clackmannanshire,18-64 years,5 (Least Deprived),7.5,15
2017/18 Q4,Clackmannanshire,18-64 years,Unknown,0,0
2017/18 Q4,Clackmannanshire,65-74 years,1 (Most Deprived),23.3,35
2017/18 Q4,Clackmannanshire,65-74 years,2,23.3,35
2017/18 Q4,Clackmannanshire,65-74 years,3,23.3,35
2017/18 Q4,Clackmannanshire,65-74 years,4,20,30
2017/18 Q4,Clackmannanshire,65-74 years,5 (Least Deprived),10,15
2017/18 Q4,Clackmannanshire,65-74 years,Unknown,0,0
2017/18 Q4,Clackmannanshire,75-84 years,1 (Most Deprived),22.4,55
2017/18 Q4,Clackmannanshire,75-84 years,2,20.4,50
2017/18 Q4,Clackmannanshire,75-84 years,3,20.4,50
2017/18 Q4,Clackmannanshire,75-84 years,4,20.4,50
2017/18 Q4,Clackmannanshire,75-84 years,5 (Least Deprived),16.3,40
2017/18 Q4,Clackmannanshire,75-84 years,Unknown,0,0
2017/18 Q4,Clackmannanshire,85+ years,1 (Most Deprived),19.6,50
2017/18 Q4,Clackmannanshire,85+ years,2,19.6,50
2017/18 Q4,Clackmannanshire,85+ years,3,21.6,55
2017/18 Q4,Clackmannanshire,85+ years,4,23.5,60
2017/18 Q4,Clackmannanshire,85+ years,5 (Least Deprived),15.7,40
2017/18 Q4,Clackmannanshire,85+ years,Unknown,0,0
2017/18 Q4,Clackmannanshire,Unknown,1 (Most Deprived),NA,0
2017/18 Q4,Clackmannanshire,Unknown,2,NA,0
2017/18 Q4,Clackmannanshire,Unknown,3,NA,0
2017/18 Q4,Clackmannanshire,Unknown,4,NA,0
2017/18 Q4,Clackmannanshire,Unknown,5 (Least Deprived),NA,0
2017/18 Q4,Clackmannanshire,Unknown,Unknown,NA,0
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,1 (Most Deprived),21.5,85
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,2,24.1,95
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,3,21.5,85
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,4,17.7,70
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,5 (Least Deprived),13.9,55
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,Unknown,1.3,5
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,1 (Most Deprived),NA,0
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,2,NA,0
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,3,NA,0
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,4,NA,0
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,5 (Least Deprived),NA,0
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,Unknown,NA,0
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,1 (Most Deprived),33.3,10
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,2,16.7,5
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,3,16.7,5
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,4,16.7,5
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,5 (Least Deprived),16.7,5
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,Unknown,0,0
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,1 (Most Deprived),27.3,15
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,2,27.3,15
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,3,9.1,5
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,4,18.2,10
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,5 (Least Deprived),18.2,10
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,Unknown,0,0
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,1 (Most Deprived),20.8,25
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,2,33.3,40
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,3,20.8,25
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,4,12.5,15
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,5 (Least Deprived),12.5,15
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,Unknown,0,0
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,1 (Most Deprived),19.4,35
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,2,19.4,35
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,3,25,45
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,4,22.2,40
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,5 (Least Deprived),13.9,25
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,Unknown,0,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,1 (Most Deprived),NA,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,2,NA,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,3,NA,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,4,NA,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,5 (Least Deprived),NA,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,Unknown,NA,0
2017/18 Q4,Dumfries and Galloway,All Ages,1 (Most Deprived),26.9,650
2017/18 Q4,Dumfries and Galloway,All Ages,2,20.1,485
2017/18 Q4,Dumfries and Galloway,All Ages,3,22.4,540
2017/18 Q4,Dumfries and Galloway,All Ages,4,17.4,420
2017/18 Q4,Dumfries and Galloway,All Ages,5 (Least Deprived),13,315
2017/18 Q4,Dumfries and Galloway,All Ages,Unknown,0.2,5
2017/18 Q4,Dumfries and Galloway,0-17 years,1 (Most Deprived),50,5
2017/18 Q4,Dumfries and Galloway,0-17 years,2,50,5
2017/18 Q4,Dumfries and Galloway,0-17 years,3,0,0
2017/18 Q4,Dumfries and Galloway,0-17 years,4,0,0
2017/18 Q4,Dumfries and Galloway,0-17 years,5 (Least Deprived),0,0
2017/18 Q4,Dumfries and Galloway,0-17 years,Unknown,0,0
2017/18 Q4,Dumfries and Galloway,18-64 years,1 (Most Deprived),42,250
2017/18 Q4,Dumfries and Galloway,18-64 years,2,21.8,130
2017/18 Q4,Dumfries and Galloway,18-64 years,3,16,95
2017/18 Q4,Dumfries and Galloway,18-64 years,4,11.8,70
2017/18 Q4,Dumfries and Galloway,18-64 years,5 (Least Deprived),7.6,45
2017/18 Q4,Dumfries and Galloway,18-64 years,Unknown,0.8,5
2017/18 Q4,Dumfries and Galloway,65-74 years,1 (Most Deprived),27,100
2017/18 Q4,Dumfries and Galloway,65-74 years,2,20.3,75
2017/18 Q4,Dumfries and Galloway,65-74 years,3,21.6,80
2017/18 Q4,Dumfries and Galloway,65-74 years,4,18.9,70
2017/18 Q4,Dumfries and Galloway,65-74 years,5 (Least Deprived),12.2,45
2017/18 Q4,Dumfries and Galloway,65-74 years,Unknown,0,0
2017/18 Q4,Dumfries and Galloway,75-84 years,1 (Most Deprived),22.4,150
2017/18 Q4,Dumfries and Galloway,75-84 years,2,19.4,130
2017/18 Q4,Dumfries and Galloway,75-84 years,3,25.4,170
2017/18 Q4,Dumfries and Galloway,75-84 years,4,19.4,130
2017/18 Q4,Dumfries and Galloway,75-84 years,5 (Least Deprived),13.4,90
2017/18 Q4,Dumfries and Galloway,75-84 years,Unknown,0,0
2017/18 Q4,Dumfries and Galloway,85+ years,1 (Most Deprived),19.1,150
2017/18 Q4,Dumfries and Galloway,85+ years,2,19.1,150
2017/18 Q4,Dumfries and Galloway,85+ years,3,25.5,200
2017/18 Q4,Dumfries and Galloway,85+ years,4,18.5,145
2017/18 Q4,Dumfries and Galloway,85+ years,5 (Least Deprived),17.8,140
2017/18 Q4,Dumfries and Galloway,85+ years,Unknown,0,0
2017/18 Q4,Dumfries and Galloway,Unknown,1 (Most Deprived),NA,0
2017/18 Q4,Dumfries and Galloway,Unknown,2,NA,0
2017/18 Q4,Dumfries and Galloway,Unknown,3,NA,0
2017/18 Q4,Dumfries and Galloway,Unknown,4,NA,0
2017/18 Q4,Dumfries and Galloway,Unknown,5 (Least Deprived),NA,0
2017/18 Q4,Dumfries and Galloway,Unknown,Unknown,NA,0
2017/18 Q4,Dundee City,All Ages,1 (Most Deprived),17.2,365
2017/18 Q4,Dundee City,All Ages,2,21.4,455
2017/18 Q4,Dundee City,All Ages,3,21.2,450
2017/18 Q4,Dundee City,All Ages,4,21.4,455
2017/18 Q4,Dundee City,All Ages,5 (Least Deprived),18.6,395
2017/18 Q4,Dundee City,All Ages,Unknown,0.2,5
2017/18 Q4,Dundee City,0-17 years,1 (Most Deprived),NA,0
2017/18 Q4,Dundee City,0-17 years,2,NA,0
2017/18 Q4,Dundee City,0-17 years,3,NA,0
2017/18 Q4,Dundee City,0-17 years,4,NA,0
2017/18 Q4,Dundee City,0-17 years,5 (Least Deprived),NA,0
2017/18 Q4,Dundee City,0-17 years,Unknown,NA,0
2017/18 Q4,Dundee City,18-64 years,1 (Most Deprived),27.7,65
2017/18 Q4,Dundee City,18-64 years,2,23.4,55
2017/18 Q4,Dundee City,18-64 years,3,23.4,55
2017/18 Q4,Dundee City,18-64 years,4,17,40
2017/18 Q4,Dundee City,18-64 years,5 (Least Deprived),8.5,20
2017/18 Q4,Dundee City,18-64 years,Unknown,0,0
2017/18 Q4,Dundee City,65-74 years,1 (Most Deprived),24.7,90
2017/18 Q4,Dundee City,65-74 years,2,26,95
2017/18 Q4,Dundee City,65-74 years,3,19.2,70
2017/18 Q4,Dundee City,65-74 years,4,17.8,65
