financial_quarter,sending_location,age_group,referral_source,percentage,numerator,scotland_percentage
2017/18 Q4,Aberdeenshire,0-17 years,Care Home,0,0,0
2017/18 Q4,Aberdeenshire,0-17 years,Self Referral,0,0,33.3
2017/18 Q4,Aberdeenshire,0-17 years,Other/Unknown,0,0,16.7
2017/18 Q4,Aberdeenshire,18-64 years,999 Emergency Services,83.3,25,62.2
2017/18 Q4,Aberdeenshire,18-64 years,GP,0,0,3.7
2017/18 Q4,Aberdeenshire,18-64 years,Care Home,0,0,0
2017/18 Q4,Aberdeenshire,18-64 years,Self Referral,16.7,5,25.2
2017/18 Q4,Aberdeenshire,18-64 years,Other/Unknown,0,0,8.9
2017/18 Q4,Aberdeenshire,65-74 years,999 Emergency Services,91.7,55,81.5
2017/18 Q4,Aberdeenshire,65-74 years,GP,0,0,3
2017/18 Q4,Aberdeenshire,65-74 years,Care Home,0,0,0
2017/18 Q4,Aberdeenshire,65-74 years,Self Referral,0,0,11.7
2017/18 Q4,Aberdeenshire,65-74 years,Other/Unknown,8.3,5,3.8
2017/18 Q4,Aberdeenshire,75-84 years,999 Emergency Services,83.3,75,81.6
2017/18 Q4,Aberdeenshire,75-84 years,GP,0,0,3.1
2017/18 Q4,Aberdeenshire,75-84 years,Care Home,0,0,0
2017/18 Q4,Aberdeenshire,75-84 years,Self Referral,11.1,10,11.1
2017/18 Q4,Aberdeenshire,75-84 years,Other/Unknown,5.6,5,4.2
2017/18 Q4,Aberdeenshire,85+ years,999 Emergency Services,95.2,100,84.8
2017/18 Q4,Aberdeenshire,85+ years,GP,0,0,3.1
2017/18 Q4,Aberdeenshire,85+ years,Care Home,0,0,0
2017/18 Q4,Aberdeenshire,85+ years,Self Referral,4.8,5,8.6
2017/18 Q4,Aberdeenshire,85+ years,Other/Unknown,0,0,3.5
2017/18 Q4,Aberdeenshire,Unknown,999 Emergency Services,0,0,0
2017/18 Q4,Aberdeenshire,Unknown,GP,0,0,0
2017/18 Q4,Aberdeenshire,Unknown,Care Home,0,0,0
2017/18 Q4,Aberdeenshire,Unknown,Self Referral,0,0,0
2017/18 Q4,Aberdeenshire,Unknown,Other/Unknown,0,0,0
2017/18 Q4,Angus,All Ages,999 Emergency Services,56.8,125,79
2017/18 Q4,Angus,All Ages,GP,11.4,25,3.2
2017/18 Q4,Angus,All Ages,Care Home,0,0,0
2017/18 Q4,Angus,All Ages,Self Referral,15.9,35,13
2017/18 Q4,Angus,All Ages,Other/Unknown,15.9,35,4.8
2017/18 Q4,Angus,0-17 years,999 Emergency Services,0,0,33.3
2017/18 Q4,Angus,0-17 years,GP,0,0,16.7
2017/18 Q4,Angus,0-17 years,Care Home,0,0,0
2017/18 Q4,Angus,0-17 years,Self Referral,0,0,33.3
2017/18 Q4,Angus,0-17 years,Other/Unknown,0,0,16.7
2017/18 Q4,Angus,18-64 years,999 Emergency Services,25,15,62.2
2017/18 Q4,Angus,18-64 years,GP,33.3,20,3.7
2017/18 Q4,Angus,18-64 years,Care Home,0,0,0
2017/18 Q4,Angus,18-64 years,Self Referral,25,15,25.2
2017/18 Q4,Angus,18-64 years,Other/Unknown,16.7,10,8.9
2017/18 Q4,Angus,65-74 years,999 Emergency Services,100,25,81.5
2017/18 Q4,Angus,65-74 years,GP,0,0,3
2017/18 Q4,Angus,65-74 years,Care Home,0,0,0
2017/18 Q4,Angus,65-74 years,Self Referral,0,0,11.7
2017/18 Q4,Angus,65-74 years,Other/Unknown,0,0,3.8
2017/18 Q4,Angus,75-84 years,999 Emergency Services,60,45,81.6
2017/18 Q4,Angus,75-84 years,GP,6.7,5,3.1
2017/18 Q4,Angus,75-84 years,Care Home,0,0,0
2017/18 Q4,Angus,75-84 years,Self Referral,6.7,5,11.1
2017/18 Q4,Angus,75-84 years,Other/Unknown,26.7,20,4.2
2017/18 Q4,Angus,85+ years,999 Emergency Services,66.7,40,84.8
2017/18 Q4,Angus,85+ years,GP,8.3,5,3.1
2017/18 Q4,Angus,85+ years,Care Home,0,0,0
2017/18 Q4,Angus,85+ years,Self Referral,16.7,10,8.6
2017/18 Q4,Angus,85+ years,Other/Unknown,8.3,5,3.5
2017/18 Q4,Angus,Unknown,999 Emergency Services,0,0,0
2017/18 Q4,Angus,Unknown,GP,0,0,0
2017/18 Q4,Angus,Unknown,Care Home,0,0,0
2017/18 Q4,Angus,Unknown,Self Referral,0,0,0
2017/18 Q4,Angus,Unknown,Other/Unknown,0,0,0
2017/18 Q4,Argyll and Bute,All Ages,999 Emergency Services,78.7,185,79
2017/18 Q4,Argyll and Bute,All Ages,GP,6.4,15,3.2
2017/18 Q4,Argyll and Bute,All Ages,Care Home,0,0,0
2017/18 Q4,Argyll and Bute,All Ages,Self Referral,10.6,25,13
2017/18 Q4,Argyll and Bute,All Ages,Other/Unknown,4.3,10,4.8
2017/18 Q4,Argyll and Bute,0-17 years,999 Emergency Services,0,0,33.3
2017/18 Q4,Argyll and Bute,0-17 years,GP,0,0,16.7
2017/18 Q4,Argyll and Bute,0-17 years,Care Home,0,0,0
2017/18 Q4,Argyll and Bute,0-17 years,Self Referral,0,0,33.3
2017/18 Q4,Argyll and Bute,0-17 years,Other/Unknown,0,0,16.7
2017/18 Q4,Argyll and Bute,18-64 years,999 Emergency Services,40,10,62.2
2017/18 Q4,Argyll and Bute,18-64 years,GP,20,5,3.7
2017/18 Q4,Argyll and Bute,18-64 years,Care Home,0,0,0
2017/18 Q4,Argyll and Bute,18-64 years,Self Referral,40,10,25.2
2017/18 Q4,Argyll and Bute,18-64 years,Other/Unknown,0,0,8.9
2017/18 Q4,Argyll and Bute,65-74 years,999 Emergency Services,85.7,30,81.5
2017/18 Q4,Argyll and Bute,65-74 years,GP,0,0,3
2017/18 Q4,Argyll and Bute,65-74 years,Care Home,0,0,0
2017/18 Q4,Argyll and Bute,65-74 years,Self Referral,14.3,5,11.7
2017/18 Q4,Argyll and Bute,65-74 years,Other/Unknown,0,0,3.8
2017/18 Q4,Argyll and Bute,75-84 years,999 Emergency Services,80,60,81.6
2017/18 Q4,Argyll and Bute,75-84 years,GP,6.7,5,3.1
2017/18 Q4,Argyll and Bute,75-84 years,Care Home,0,0,0
2017/18 Q4,Argyll and Bute,75-84 years,Self Referral,13.3,10,11.1
2017/18 Q4,Argyll and Bute,75-84 years,Other/Unknown,0,0,4.2
2017/18 Q4,Argyll and Bute,85+ years,999 Emergency Services,89.5,85,84.8
2017/18 Q4,Argyll and Bute,85+ years,GP,0,0,3.1
2017/18 Q4,Argyll and Bute,85+ years,Care Home,0,0,0
2017/18 Q4,Argyll and Bute,85+ years,Self Referral,5.3,5,8.6
2017/18 Q4,Argyll and Bute,85+ years,Other/Unknown,5.3,5,3.5
2017/18 Q4,Argyll and Bute,Unknown,999 Emergency Services,0,0,0
2017/18 Q4,Argyll and Bute,Unknown,GP,0,0,0
2017/18 Q4,Argyll and Bute,Unknown,Care Home,0,0,0
2017/18 Q4,Argyll and Bute,Unknown,Self Referral,0,0,0
2017/18 Q4,Argyll and Bute,Unknown,Other/Unknown,0,0,0
2017/18 Q4,City of Edinburgh,All Ages,999 Emergency Services,77,1555,79
2017/18 Q4,City of Edinburgh,All Ages,GP,2,40,3.2
2017/18 Q4,City of Edinburgh,All Ages,Care Home,0,0,0
2017/18 Q4,City of Edinburgh,All Ages,Self Referral,10.4,210,13
2017/18 Q4,City of Edinburgh,All Ages,Other/Unknown,10.6,215,4.8
2017/18 Q4,City of Edinburgh,0-17 years,999 Emergency Services,0,0,33.3
2017/18 Q4,City of Edinburgh,0-17 years,GP,0,0,16.7
2017/18 Q4,City of Edinburgh,0-17 years,Care Home,0,0,0
2017/18 Q4,City of Edinburgh,0-17 years,Self Referral,0,0,33.3
2017/18 Q4,City of Edinburgh,0-17 years,Other/Unknown,0,0,16.7
2017/18 Q4,City of Edinburgh,18-64 years,999 Emergency Services,62.4,340,62.2
2017/18 Q4,City of Edinburgh,18-64 years,GP,3.7,20,3.7
2017/18 Q4,City of Edinburgh,18-64 years,Care Home,0,0,0
2017/18 Q4,City of Edinburgh,18-64 years,Self Referral,20.2,110,25.2
2017/18 Q4,City of Edinburgh,18-64 years,Other/Unknown,13.8,75,8.9
2017/18 Q4,City of Edinburgh,65-74 years,999 Emergency Services,78.1,250,81.5
2017/18 Q4,City of Edinburgh,65-74 years,GP,0,0,3
2017/18 Q4,City of Edinburgh,65-74 years,Care Home,0,0,0
2017/18 Q4,City of Edinburgh,65-74 years,Self Referral,12.5,40,11.7
2017/18 Q4,City of Edinburgh,65-74 years,Other/Unknown,9.4,30,3.8
2017/18 Q4,City of Edinburgh,75-84 years,999 Emergency Services,83.3,400,81.6
2017/18 Q4,City of Edinburgh,75-84 years,GP,1,5,3.1
2017/18 Q4,City of Edinburgh,75-84 years,Care Home,0,0,0
2017/18 Q4,City of Edinburgh,75-84 years,Self Referral,4.2,20,11.1
2017/18 Q4,City of Edinburgh,75-84 years,Other/Unknown,11.5,55,4.2
2017/18 Q4,City of Edinburgh,85+ years,999 Emergency Services,84.3,565,84.8
2017/18 Q4,City of Edinburgh,85+ years,GP,2.2,15,3.1
2017/18 Q4,City of Edinburgh,85+ years,Care Home,0,0,0
2017/18 Q4,City of Edinburgh,85+ years,Self Referral,5.2,35,8.6
2017/18 Q4,City of Edinburgh,85+ years,Other/Unknown,8.2,55,3.5
2017/18 Q4,City of Edinburgh,Unknown,999 Emergency Services,0,0,0
2017/18 Q4,City of Edinburgh,Unknown,GP,0,0,0
2017/18 Q4,City of Edinburgh,Unknown,Care Home,0,0,0
2017/18 Q4,City of Edinburgh,Unknown,Self Referral,0,0,0
2017/18 Q4,City of Edinburgh,Unknown,Other/Unknown,0,0,0
2017/18 Q4,Clackmannanshire,All Ages,999 Emergency Services,88.9,120,79
2017/18 Q4,Clackmannanshire,All Ages,GP,0,0,3.2
2017/18 Q4,Clackmannanshire,All Ages,Care Home,0,0,0
2017/18 Q4,Clackmannanshire,All Ages,Self Referral,11.1,15,13
2017/18 Q4,Clackmannanshire,All Ages,Other/Unknown,0,0,4.8
2017/18 Q4,Clackmannanshire,0-17 years,999 Emergency Services,0,0,33.3
2017/18 Q4,Clackmannanshire,0-17 years,GP,0,0,16.7
2017/18 Q4,Clackmannanshire,0-17 years,Care Home,0,0,0
2017/18 Q4,Clackmannanshire,0-17 years,Self Referral,0,0,33.3
2017/18 Q4,Clackmannanshire,0-17 years,Other/Unknown,0,0,16.7
2017/18 Q4,Clackmannanshire,18-64 years,999 Emergency Services,75,15,62.2
2017/18 Q4,Clackmannanshire,18-64 years,GP,0,0,3.7
2017/18 Q4,Clackmannanshire,18-64 years,Care Home,0,0,0
2017/18 Q4,Clackmannanshire,18-64 years,Self Referral,25,5,25.2
2017/18 Q4,Clackmannanshire,18-64 years,Other/Unknown,0,0,8.9
2017/18 Q4,Clackmannanshire,65-74 years,999 Emergency Services,100,30,81.5
2017/18 Q4,Clackmannanshire,65-74 years,GP,0,0,3
2017/18 Q4,Clackmannanshire,65-74 years,Care Home,0,0,0
2017/18 Q4,Clackmannanshire,65-74 years,Self Referral,0,0,11.7
2017/18 Q4,Clackmannanshire,65-74 years,Other/Unknown,0,0,3.8
2017/18 Q4,Clackmannanshire,75-84 years,999 Emergency Services,85.7,30,81.6
2017/18 Q4,Clackmannanshire,75-84 years,GP,0,0,3.1
2017/18 Q4,Clackmannanshire,75-84 years,Care Home,0,0,0
2017/18 Q4,Clackmannanshire,75-84 years,Self Referral,14.3,5,11.1
2017/18 Q4,Clackmannanshire,75-84 years,Other/Unknown,0,0,4.2
2017/18 Q4,Clackmannanshire,85+ years,999 Emergency Services,90,45,84.8
2017/18 Q4,Clackmannanshire,85+ years,GP,0,0,3.1
2017/18 Q4,Clackmannanshire,85+ years,Care Home,0,0,0
2017/18 Q4,Clackmannanshire,85+ years,Self Referral,10,5,8.6
2017/18 Q4,Clackmannanshire,85+ years,Other/Unknown,0,0,3.5
2017/18 Q4,Clackmannanshire,Unknown,999 Emergency Services,0,0,0
2017/18 Q4,Clackmannanshire,Unknown,GP,0,0,0
2017/18 Q4,Clackmannanshire,Unknown,Care Home,0,0,0
2017/18 Q4,Clackmannanshire,Unknown,Self Referral,0,0,0
2017/18 Q4,Clackmannanshire,Unknown,Other/Unknown,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,999 Emergency Services,73.9,85,79
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,GP,13,15,3.2
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,Care Home,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,Self Referral,8.7,10,13
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,Other/Unknown,4.3,5,4.8
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,999 Emergency Services,0,0,33.3
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,GP,0,0,16.7
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,Care Home,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,Self Referral,0,0,33.3
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,Other/Unknown,0,0,16.7
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,999 Emergency Services,50,5,62.2
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,GP,50,5,3.7
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,Care Home,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,Self Referral,0,0,25.2
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,Other/Unknown,0,0,8.9
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,999 Emergency Services,100,10,81.5
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,GP,0,0,3
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,Care Home,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,Self Referral,0,0,11.7
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,Other/Unknown,0,0,3.8
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,999 Emergency Services,75,30,81.6
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,GP,12.5,5,3.1
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,Care Home,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,Self Referral,12.5,5,11.1
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,Other/Unknown,0,0,4.2
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,999 Emergency Services,88.9,40,84.8
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,GP,11.1,5,3.1
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,Care Home,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,Self Referral,0,0,8.6
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,Other/Unknown,0,0,3.5
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,999 Emergency Services,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,GP,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,Care Home,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,Self Referral,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,Other/Unknown,0,0,0
2017/18 Q4,Dumfries and Galloway,All Ages,999 Emergency Services,73.8,465,79
2017/18 Q4,Dumfries and Galloway,All Ages,GP,5.6,35,3.2
2017/18 Q4,Dumfries and Galloway,All Ages,Care Home,0,0,0
2017/18 Q4,Dumfries and Galloway,All Ages,Self Referral,14.3,90,13
2017/18 Q4,Dumfries and Galloway,All Ages,Other/Unknown,6.3,40,4.8
2017/18 Q4,Dumfries and Galloway,0-17 years,999 Emergency Services,0,0,33.3
2017/18 Q4,Dumfries and Galloway,0-17 years,GP,0,0,16.7
2017/18 Q4,Dumfries and Galloway,0-17 years,Care Home,0,0,0
2017/18 Q4,Dumfries and Galloway,0-17 years,Self Referral,0,0,33.3
2017/18 Q4,Dumfries and Galloway,0-17 years,Other/Unknown,0,0,16.7
2017/18 Q4,Dumfries and Galloway,18-64 years,999 Emergency Services,51.7,75,62.2
2017/18 Q4,Dumfries and Galloway,18-64 years,GP,3.4,5,3.7
2017/18 Q4,Dumfries and Galloway,18-64 years,Care Home,0,0,0
2017/18 Q4,Dumfries and Galloway,18-64 years,Self Referral,31,45,25.2
2017/18 Q4,Dumfries and Galloway,18-64 years,Other/Unknown,13.8,20,8.9
2017/18 Q4,Dumfries and Galloway,65-74 years,999 Emergency Services,82.4,70,81.5
2017/18 Q4,Dumfries and Galloway,65-74 years,GP,5.9,5,3
2017/18 Q4,Dumfries and Galloway,65-74 years,Care Home,0,0,0
2017/18 Q4,Dumfries and Galloway,65-74 years,Self Referral,11.8,10,11.7
2017/18 Q4,Dumfries and Galloway,65-74 years,Other/Unknown,0,0,3.8
2017/18 Q4,Dumfries and Galloway,75-84 years,999 Emergency Services,80,140,81.6
2017/18 Q4,Dumfries and Galloway,75-84 years,GP,5.7,10,3.1
2017/18 Q4,Dumfries and Galloway,75-84 years,Care Home,0,0,0
2017/18 Q4,Dumfries and Galloway,75-84 years,Self Referral,8.6,15,11.1
2017/18 Q4,Dumfries and Galloway,75-84 years,Other/Unknown,5.7,10,4.2
2017/18 Q4,Dumfries and Galloway,85+ years,999 Emergency Services,81.4,175,84.8
2017/18 Q4,Dumfries and Galloway,85+ years,GP,7,15,3.1
2017/18 Q4,Dumfries and Galloway,85+ years,Care Home,0,0,0
2017/18 Q4,Dumfries and Galloway,85+ years,Self Referral,7,15,8.6
2017/18 Q4,Dumfries and Galloway,85+ years,Other/Unknown,4.7,10,3.5
2017/18 Q4,Dumfries and Galloway,Unknown,999 Emergency Services,0,0,0
2017/18 Q4,Dumfries and Galloway,Unknown,GP,0,0,0
2017/18 Q4,Dumfries and Galloway,Unknown,Care Home,0,0,0
2017/18 Q4,Dumfries and Galloway,Unknown,Self Referral,0,0,0
2017/18 Q4,Dumfries and Galloway,Unknown,Other/Unknown,0,0,0
2017/18 Q4,Dundee City,All Ages,999 Emergency Services,85.5,295,79
2017/18 Q4,Dundee City,All Ages,GP,0,0,3.2
2017/18 Q4,Dundee City,All Ages,Care Home,0,0,0
2017/18 Q4,Dundee City,All Ages,Self Referral,11.6,40,13
2017/18 Q4,Dundee City,All Ages,Other/Unknown,2.9,10,4.8
2017/18 Q4,Dundee City,0-17 years,999 Emergency Services,0,0,33.3
2017/18 Q4,Dundee City,0-17 years,GP,0,0,16.7
2017/18 Q4,Dundee City,0-17 years,Care Home,0,0,0
2017/18 Q4,Dundee City,0-17 years,Self Referral,0,0,33.3
2017/18 Q4,Dundee City,0-17 years,Other/Unknown,0,0,16.7
2017/18 Q4,Dundee City,18-64 years,999 Emergency Services,70,35,62.2
2017/18 Q4,Dundee City,18-64 years,GP,0,0,3.7
2017/18 Q4,Dundee City,18-64 years,Care Home,0,0,0
2017/18 Q4,Dundee City,18-64 years,Self Referral,30,15,25.2
2017/18 Q4,Dundee City,18-64 years,Other/Unknown,0,0,8.9
2017/18 Q4,Dundee City,65-74 years,999 Emergency Services,93.3,70,81.5
2017/18 Q4,Dundee City,65-74 years,GP,0,0,3
2017/18 Q4,Dundee City,65-74 years,Care Home,0,0,0
2017/18 Q4,Dundee City,65-74 years,Self Referral,6.7,5,11.7
2017/18 Q4,Dundee City,65-74 years,Other/Unknown,0,0,3.8
2017/18 Q4,Dundee City,75-84 years,999 Emergency Services,85.7,90,81.6
2017/18 Q4,Dundee City,75-84 years,GP,0,0,3.1
2017/18 Q4,Dundee City,75-84 years,Care Home,0,0,0
2017/18 Q4,Dundee City,75-84 years,Self Referral,14.3,15,11.1
2017/18 Q4,Dundee City,75-84 years,Other/Unknown,0,0,4.2
2017/18 Q4,Dundee City,85+ years,999 Emergency Services,87,100,84.8
2017/18 Q4,Dundee City,85+ years,GP,0,0,3.1
2017/18 Q4,Dundee City,85+ years,Care Home,0,0,0
2017/18 Q4,Dundee City,85+ years,Self Referral,8.7,10,8.6
2017/18 Q4,Dundee City,85+ years,Other/Unknown,4.3,5,3.5
2017/18 Q4,Dundee City,Unknown,999 Emergency Services,0,0,0
2017/18 Q4,Dundee City,Unknown,GP,0,0,0
2017/18 Q4,Dundee City,Unknown,Care Home,0,0,0
2017/18 Q4,Dundee City,Unknown,Self Referral,0,0,0
2017/18 Q4,Dundee City,Unknown,Other/Unknown,0,0,0
2017/18 Q4,East Ayrshire,All Ages,999 Emergency Services,84,395,79
2017/18 Q4,East Ayrshire,All Ages,GP,2.1,10,3.2
2017/18 Q4,East Ayrshire,All Ages,Care Home,0,0,0
2017/18 Q4,East Ayrshire,All Ages,Self Referral,12.8,60,13
2017/18 Q4,East Ayrshire,All Ages,Other/Unknown,1.1,5,4.8
2017/18 Q4,East Ayrshire,0-17 years,999 Emergency Services,0,0,33.3
2017/18 Q4,East Ayrshire,0-17 years,GP,0,0,16.7
2017/18 Q4,East Ayrshire,0-17 years,Care Home,0,0,0
2017/18 Q4,East Ayrshire,0-17 years,Self Referral,0,0,33.3
2017/18 Q4,East Ayrshire,0-17 years,Other/Unknown,0,0,16.7
2017/18 Q4,East Ayrshire,18-64 years,999 Emergency Services,66.7,50,62.2
2017/18 Q4,East Ayrshire,18-64 years,GP,0,0,3.7
2017/18 Q4,East Ayrshire,18-64 years,Care Home,0,0,0
2017/18 Q4,East Ayrshire,18-64 years,Self Referral,33.3,25,25.2
2017/18 Q4,East Ayrshire,18-64 years,Other/Unknown,0,0,8.9
2017/18 Q4,East Ayrshire,65-74 years,999 Emergency Services,89.5,85,81.5
