financial_quarter,sending_location,age_group,measure,numerator,rate,scotland_rate
2017/18 Q4,Aberdeen City,65-74 years,Emergency Admissions Bed Days,1485,5400,4403.6
2017/18 Q4,Aberdeen City,75-84 years,A&E Attendances,95,149.6,177.5
2017/18 Q4,Aberdeen City,75-84 years,Emergency Admissions,135,212.6,196.1
2017/18 Q4,Aberdeen City,75-84 years,Emergency Admissions Bed Days,2880,4535.4,5038.6
2017/18 Q4,Aberdeen City,85+ years,A&E Attendances,105,138.2,177.3
2017/18 Q4,Aberdeen City,85+ years,Emergency Admissions,160,210.5,199
2017/18 Q4,Aberdeen City,85+ years,Emergency Admissions Bed Days,3715,4888.2,5373.1
2017/18 Q4,Aberdeen City,Unknown,A&E Attendances,0,0,0
2017/18 Q4,Aberdeen City,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,Aberdeen City,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,Aberdeenshire,All Ages,A&E Attendances,220,86.8,167.4
2017/18 Q4,Aberdeenshire,All Ages,Emergency Admissions,450,177.5,177.6
2017/18 Q4,Aberdeenshire,All Ages,Emergency Admissions Bed Days,10800,4260.4,4542.8
2017/18 Q4,Aberdeenshire,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,Aberdeenshire,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,Aberdeenshire,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,Aberdeenshire,18-64 years,A&E Attendances,20,66.7,124.5
2017/18 Q4,Aberdeenshire,18-64 years,Emergency Admissions,30,100,99.8
2017/18 Q4,Aberdeenshire,18-64 years,Emergency Admissions Bed Days,455,1516.7,2428.7
2017/18 Q4,Aberdeenshire,65-74 years,A&E Attendances,40,108.1,179.6
2017/18 Q4,Aberdeenshire,65-74 years,Emergency Admissions,75,202.7,190.7
2017/18 Q4,Aberdeenshire,65-74 years,Emergency Admissions Bed Days,2530,6837.8,4403.6
2017/18 Q4,Aberdeenshire,75-84 years,A&E Attendances,75,84.7,177.5
2017/18 Q4,Aberdeenshire,75-84 years,Emergency Admissions,160,180.8,196.1
2017/18 Q4,Aberdeenshire,75-84 years,Emergency Admissions Bed Days,3810,4305.1,5038.6
2017/18 Q4,Aberdeenshire,85+ years,A&E Attendances,85,86.7,177.3
2017/18 Q4,Aberdeenshire,85+ years,Emergency Admissions,190,193.9,199
2017/18 Q4,Aberdeenshire,85+ years,Emergency Admissions Bed Days,4005,4086.7,5373.1
2017/18 Q4,Aberdeenshire,Unknown,A&E Attendances,0,0,0
2017/18 Q4,Aberdeenshire,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,Aberdeenshire,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,Angus,All Ages,A&E Attendances,120,104.3,167.4
2017/18 Q4,Angus,All Ages,Emergency Admissions,165,143.5,177.6
2017/18 Q4,Angus,All Ages,Emergency Admissions Bed Days,3320,2887,4542.8
2017/18 Q4,Angus,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,Angus,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,Angus,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,Angus,18-64 years,A&E Attendances,30,113.2,124.5
2017/18 Q4,Angus,18-64 years,Emergency Admissions,20,75.5,99.8
2017/18 Q4,Angus,18-64 years,Emergency Admissions Bed Days,590,2226.4,2428.7
2017/18 Q4,Angus,65-74 years,A&E Attendances,15,93.8,179.6
2017/18 Q4,Angus,65-74 years,Emergency Admissions,20,125,190.7
2017/18 Q4,Angus,65-74 years,Emergency Admissions Bed Days,330,2062.5,4403.6
2017/18 Q4,Angus,75-84 years,A&E Attendances,35,112.9,177.5
2017/18 Q4,Angus,75-84 years,Emergency Admissions,55,177.4,196.1
2017/18 Q4,Angus,75-84 years,Emergency Admissions Bed Days,1030,3322.6,5038.6
2017/18 Q4,Angus,85+ years,A&E Attendances,40,98.8,177.3
2017/18 Q4,Angus,85+ years,Emergency Admissions,70,172.8,199
2017/18 Q4,Angus,85+ years,Emergency Admissions Bed Days,1370,3382.7,5373.1
2017/18 Q4,Angus,Unknown,A&E Attendances,0,0,0
2017/18 Q4,Angus,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,Angus,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,Argyll and Bute,All Ages,A&E Attendances,185,127.1,167.4
2017/18 Q4,Argyll and Bute,All Ages,Emergency Admissions,265,182.1,177.6
2017/18 Q4,Argyll and Bute,All Ages,Emergency Admissions Bed Days,4935,3391.8,4542.8
2017/18 Q4,Argyll and Bute,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,Argyll and Bute,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,Argyll and Bute,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,Argyll and Bute,18-64 years,A&E Attendances,15,78.9,124.5
2017/18 Q4,Argyll and Bute,18-64 years,Emergency Admissions,15,78.9,99.8
2017/18 Q4,Argyll and Bute,18-64 years,Emergency Admissions Bed Days,135,710.5,2428.7
2017/18 Q4,Argyll and Bute,65-74 years,A&E Attendances,30,146.3,179.6
2017/18 Q4,Argyll and Bute,65-74 years,Emergency Admissions,40,195.1,190.7
2017/18 Q4,Argyll and Bute,65-74 years,Emergency Admissions Bed Days,865,4219.5,4403.6
2017/18 Q4,Argyll and Bute,75-84 years,A&E Attendances,60,125,177.5
2017/18 Q4,Argyll and Bute,75-84 years,Emergency Admissions,90,187.5,196.1
2017/18 Q4,Argyll and Bute,75-84 years,Emergency Admissions Bed Days,1825,3802.1,5038.6
2017/18 Q4,Argyll and Bute,85+ years,A&E Attendances,80,139.1,177.3
2017/18 Q4,Argyll and Bute,85+ years,Emergency Admissions,120,208.7,199
2017/18 Q4,Argyll and Bute,85+ years,Emergency Admissions Bed Days,2115,3678.3,5373.1
2017/18 Q4,Argyll and Bute,Unknown,A&E Attendances,0,0,0
2017/18 Q4,Argyll and Bute,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,Argyll and Bute,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,City of Edinburgh,All Ages,A&E Attendances,1175,221.9,167.4
2017/18 Q4,City of Edinburgh,All Ages,Emergency Admissions,905,170.9,177.6
2017/18 Q4,City of Edinburgh,All Ages,Emergency Admissions Bed Days,31970,6037.8,4542.8
2017/18 Q4,City of Edinburgh,0-17 years,A&E Attendances,0,NA,66.7
2017/18 Q4,City of Edinburgh,0-17 years,Emergency Admissions,0,NA,66.7
2017/18 Q4,City of Edinburgh,0-17 years,Emergency Admissions Bed Days,0,NA,311.1
2017/18 Q4,City of Edinburgh,18-64 years,A&E Attendances,225,142,124.5
2017/18 Q4,City of Edinburgh,18-64 years,Emergency Admissions,130,82,99.8
2017/18 Q4,City of Edinburgh,18-64 years,Emergency Admissions Bed Days,5255,3315.5,2428.7
2017/18 Q4,City of Edinburgh,65-74 years,A&E Attendances,165,239.1,179.6
2017/18 Q4,City of Edinburgh,65-74 years,Emergency Admissions,125,181.2,190.7
2017/18 Q4,City of Edinburgh,65-74 years,Emergency Admissions Bed Days,3715,5384.1,4403.6
2017/18 Q4,City of Edinburgh,75-84 years,A&E Attendances,330,254.8,177.5
2017/18 Q4,City of Edinburgh,75-84 years,Emergency Admissions,275,212.4,196.1
2017/18 Q4,City of Edinburgh,75-84 years,Emergency Admissions Bed Days,9505,7339.8,5038.6
2017/18 Q4,City of Edinburgh,85+ years,A&E Attendances,455,264.5,177.3
2017/18 Q4,City of Edinburgh,85+ years,Emergency Admissions,370,215.1,199
2017/18 Q4,City of Edinburgh,85+ years,Emergency Admissions Bed Days,13505,7851.7,5373.1
2017/18 Q4,City of Edinburgh,Unknown,A&E Attendances,0,0,0
2017/18 Q4,City of Edinburgh,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,City of Edinburgh,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,Clackmannanshire,All Ages,A&E Attendances,95,110.5,167.4
2017/18 Q4,Clackmannanshire,All Ages,Emergency Admissions,120,139.5,177.6
2017/18 Q4,Clackmannanshire,All Ages,Emergency Admissions Bed Days,3470,4034.9,4542.8
2017/18 Q4,Clackmannanshire,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,Clackmannanshire,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,Clackmannanshire,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,Clackmannanshire,18-64 years,A&E Attendances,15,73.2,124.5
2017/18 Q4,Clackmannanshire,18-64 years,Emergency Admissions,15,73.2,99.8
2017/18 Q4,Clackmannanshire,18-64 years,Emergency Admissions Bed Days,260,1268.3,2428.7
2017/18 Q4,Clackmannanshire,65-74 years,A&E Attendances,20,129,179.6
2017/18 Q4,Clackmannanshire,65-74 years,Emergency Admissions,25,161.3,190.7
2017/18 Q4,Clackmannanshire,65-74 years,Emergency Admissions Bed Days,420,2709.7,4403.6
2017/18 Q4,Clackmannanshire,75-84 years,A&E Attendances,25,100,177.5
2017/18 Q4,Clackmannanshire,75-84 years,Emergency Admissions,35,140,196.1
2017/18 Q4,Clackmannanshire,75-84 years,Emergency Admissions Bed Days,1380,5520,5038.6
2017/18 Q4,Clackmannanshire,85+ years,A&E Attendances,35,140,177.3
2017/18 Q4,Clackmannanshire,85+ years,Emergency Admissions,45,180,199
2017/18 Q4,Clackmannanshire,85+ years,Emergency Admissions Bed Days,1410,5640,5373.1
2017/18 Q4,Clackmannanshire,Unknown,A&E Attendances,0,0,0
2017/18 Q4,Clackmannanshire,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,Clackmannanshire,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,A&E Attendances,80,205.1,167.4
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,Emergency Admissions,100,256.4,177.6
2017/18 Q4,Comhairle nan Eilean Siar,All Ages,Emergency Admissions Bed Days,2155,5525.6,4542.8
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,Comhairle nan Eilean Siar,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,A&E Attendances,5,142.9,124.5
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,Emergency Admissions,5,142.9,99.8
2017/18 Q4,Comhairle nan Eilean Siar,18-64 years,Emergency Admissions Bed Days,35,1000,2428.7
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,A&E Attendances,10,166.7,179.6
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,Emergency Admissions,10,166.7,190.7
2017/18 Q4,Comhairle nan Eilean Siar,65-74 years,Emergency Admissions Bed Days,105,1750,4403.6
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,A&E Attendances,25,208.3,177.5
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,Emergency Admissions,40,333.3,196.1
2017/18 Q4,Comhairle nan Eilean Siar,75-84 years,Emergency Admissions Bed Days,700,5833.3,5038.6
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,A&E Attendances,35,194.4,177.3
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,Emergency Admissions,45,250,199
2017/18 Q4,Comhairle nan Eilean Siar,85+ years,Emergency Admissions Bed Days,1315,7305.6,5373.1
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,A&E Attendances,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,Comhairle nan Eilean Siar,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,Dumfries and Galloway,All Ages,A&E Attendances,425,175.3,167.4
2017/18 Q4,Dumfries and Galloway,All Ages,Emergency Admissions,430,177.3,177.6
2017/18 Q4,Dumfries and Galloway,All Ages,Emergency Admissions Bed Days,11085,4571.1,4542.8
2017/18 Q4,Dumfries and Galloway,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,Dumfries and Galloway,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,Dumfries and Galloway,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,Dumfries and Galloway,18-64 years,A&E Attendances,70,118.6,124.5
2017/18 Q4,Dumfries and Galloway,18-64 years,Emergency Admissions,45,76.3,99.8
2017/18 Q4,Dumfries and Galloway,18-64 years,Emergency Admissions Bed Days,880,1491.5,2428.7
2017/18 Q4,Dumfries and Galloway,65-74 years,A&E Attendances,65,175.7,179.6
2017/18 Q4,Dumfries and Galloway,65-74 years,Emergency Admissions,65,175.7,190.7
2017/18 Q4,Dumfries and Galloway,65-74 years,Emergency Admissions Bed Days,1085,2932.4,4403.6
2017/18 Q4,Dumfries and Galloway,75-84 years,A&E Attendances,130,194,177.5
2017/18 Q4,Dumfries and Galloway,75-84 years,Emergency Admissions,150,223.9,196.1
2017/18 Q4,Dumfries and Galloway,75-84 years,Emergency Admissions Bed Days,4265,6365.7,5038.6
2017/18 Q4,Dumfries and Galloway,85+ years,A&E Attendances,160,203.8,177.3
2017/18 Q4,Dumfries and Galloway,85+ years,Emergency Admissions,170,216.6,199
2017/18 Q4,Dumfries and Galloway,85+ years,Emergency Admissions Bed Days,4850,6178.3,5373.1
2017/18 Q4,Dumfries and Galloway,Unknown,A&E Attendances,0,0,0
2017/18 Q4,Dumfries and Galloway,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,Dumfries and Galloway,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,Dundee City,All Ages,A&E Attendances,235,110.3,167.4
2017/18 Q4,Dundee City,All Ages,Emergency Admissions,425,199.5,177.6
2017/18 Q4,Dundee City,All Ages,Emergency Admissions Bed Days,10920,5126.8,4542.8
2017/18 Q4,Dundee City,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,Dundee City,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,Dundee City,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,Dundee City,18-64 years,A&E Attendances,30,127.7,124.5
2017/18 Q4,Dundee City,18-64 years,Emergency Admissions,40,170.2,99.8
2017/18 Q4,Dundee City,18-64 years,Emergency Admissions Bed Days,710,3021.3,2428.7
2017/18 Q4,Dundee City,65-74 years,A&E Attendances,40,109.6,179.6
2017/18 Q4,Dundee City,65-74 years,Emergency Admissions,85,232.9,190.7
2017/18 Q4,Dundee City,65-74 years,Emergency Admissions Bed Days,1940,5315.1,4403.6
2017/18 Q4,Dundee City,75-84 years,A&E Attendances,80,111.9,177.5
2017/18 Q4,Dundee City,75-84 years,Emergency Admissions,140,195.8,196.1
2017/18 Q4,Dundee City,75-84 years,Emergency Admissions Bed Days,3345,4678.3,5038.6
2017/18 Q4,Dundee City,85+ years,A&E Attendances,85,104.9,177.3
2017/18 Q4,Dundee City,85+ years,Emergency Admissions,160,197.5,199
2017/18 Q4,Dundee City,85+ years,Emergency Admissions Bed Days,4925,6080.2,5373.1
2017/18 Q4,Dundee City,Unknown,A&E Attendances,0,0,0
2017/18 Q4,Dundee City,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,Dundee City,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,East Ayrshire,All Ages,A&E Attendances,320,158,167.4
2017/18 Q4,East Ayrshire,All Ages,Emergency Admissions,410,202.5,177.6
2017/18 Q4,East Ayrshire,All Ages,Emergency Admissions Bed Days,9440,4661.7,4542.8
2017/18 Q4,East Ayrshire,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,East Ayrshire,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,East Ayrshire,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,East Ayrshire,18-64 years,A&E Attendances,35,122.8,124.5
2017/18 Q4,East Ayrshire,18-64 years,Emergency Admissions,30,105.3,99.8
2017/18 Q4,East Ayrshire,18-64 years,Emergency Admissions Bed Days,655,2298.2,2428.7
2017/18 Q4,East Ayrshire,65-74 years,A&E Attendances,65,191.2,179.6
2017/18 Q4,East Ayrshire,65-74 years,Emergency Admissions,90,264.7,190.7
2017/18 Q4,East Ayrshire,65-74 years,Emergency Admissions Bed Days,2135,6279.4,4403.6
2017/18 Q4,East Ayrshire,75-84 years,A&E Attendances,115,151.3,177.5
2017/18 Q4,East Ayrshire,75-84 years,Emergency Admissions,160,210.5,196.1
2017/18 Q4,East Ayrshire,75-84 years,Emergency Admissions Bed Days,3720,4894.7,5038.6
2017/18 Q4,East Ayrshire,85+ years,A&E Attendances,100,156.2,177.3
2017/18 Q4,East Ayrshire,85+ years,Emergency Admissions,130,203.1,199
2017/18 Q4,East Ayrshire,85+ years,Emergency Admissions Bed Days,2930,4578.1,5373.1
2017/18 Q4,East Ayrshire,Unknown,A&E Attendances,0,0,0
2017/18 Q4,East Ayrshire,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,East Ayrshire,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,East Dunbartonshire,All Ages,A&E Attendances,205,131.8,167.4
2017/18 Q4,East Dunbartonshire,All Ages,Emergency Admissions,265,170.4,177.6
2017/18 Q4,East Dunbartonshire,All Ages,Emergency Admissions Bed Days,6095,3919.6,4542.8
2017/18 Q4,East Dunbartonshire,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,East Dunbartonshire,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,East Dunbartonshire,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,East Dunbartonshire,18-64 years,A&E Attendances,10,80,124.5
2017/18 Q4,East Dunbartonshire,18-64 years,Emergency Admissions,15,120,99.8
2017/18 Q4,East Dunbartonshire,18-64 years,Emergency Admissions Bed Days,315,2520,2428.7
2017/18 Q4,East Dunbartonshire,65-74 years,A&E Attendances,30,166.7,179.6
2017/18 Q4,East Dunbartonshire,65-74 years,Emergency Admissions,30,166.7,190.7
2017/18 Q4,East Dunbartonshire,65-74 years,Emergency Admissions Bed Days,745,4138.9,4403.6
2017/18 Q4,East Dunbartonshire,75-84 years,A&E Attendances,80,137.9,177.5
2017/18 Q4,East Dunbartonshire,75-84 years,Emergency Admissions,100,172.4,196.1
2017/18 Q4,East Dunbartonshire,75-84 years,Emergency Admissions Bed Days,2040,3517.2,5038.6
2017/18 Q4,East Dunbartonshire,85+ years,A&E Attendances,85,134.9,177.3
2017/18 Q4,East Dunbartonshire,85+ years,Emergency Admissions,120,190.5,199
2017/18 Q4,East Dunbartonshire,85+ years,Emergency Admissions Bed Days,2990,4746,5373.1
2017/18 Q4,East Dunbartonshire,Unknown,A&E Attendances,0,0,0
2017/18 Q4,East Dunbartonshire,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,East Dunbartonshire,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,East Lothian,All Ages,A&E Attendances,260,179.3,167.4
2017/18 Q4,East Lothian,All Ages,Emergency Admissions,220,151.7,177.6
2017/18 Q4,East Lothian,All Ages,Emergency Admissions Bed Days,5720,3944.8,4542.8
2017/18 Q4,East Lothian,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,East Lothian,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,East Lothian,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,East Lothian,18-64 years,A&E Attendances,45,121.6,124.5
2017/18 Q4,East Lothian,18-64 years,Emergency Admissions,30,81.1,99.8
2017/18 Q4,East Lothian,18-64 years,Emergency Admissions Bed Days,560,1513.5,2428.7
2017/18 Q4,East Lothian,65-74 years,A&E Attendances,35,179.5,179.6
2017/18 Q4,East Lothian,65-74 years,Emergency Admissions,25,128.2,190.7
2017/18 Q4,East Lothian,65-74 years,Emergency Admissions Bed Days,410,2102.6,4403.6
2017/18 Q4,East Lothian,75-84 years,A&E Attendances,85,207.3,177.5
2017/18 Q4,East Lothian,75-84 years,Emergency Admissions,75,182.9,196.1
2017/18 Q4,East Lothian,75-84 years,Emergency Admissions Bed Days,1575,3841.5,5038.6
2017/18 Q4,East Lothian,85+ years,A&E Attendances,95,204.3,177.3
2017/18 Q4,East Lothian,85+ years,Emergency Admissions,90,193.5,199
2017/18 Q4,East Lothian,85+ years,Emergency Admissions Bed Days,3170,6817.2,5373.1
2017/18 Q4,East Lothian,Unknown,A&E Attendances,0,0,0
2017/18 Q4,East Lothian,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,East Lothian,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,East Renfrewshire,All Ages,A&E Attendances,175,150.9,167.4
2017/18 Q4,East Renfrewshire,All Ages,Emergency Admissions,175,150.9,177.6
2017/18 Q4,East Renfrewshire,All Ages,Emergency Admissions Bed Days,4420,3810.3,4542.8
2017/18 Q4,East Renfrewshire,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,East Renfrewshire,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,East Renfrewshire,0-17 years,Emergency Admissions Bed Days,0,0,311.1
2017/18 Q4,East Renfrewshire,18-64 years,A&E Attendances,10,71.4,124.5
2017/18 Q4,East Renfrewshire,18-64 years,Emergency Admissions,5,35.7,99.8
2017/18 Q4,East Renfrewshire,18-64 years,Emergency Admissions Bed Days,70,500,2428.7
2017/18 Q4,East Renfrewshire,65-74 years,A&E Attendances,20,129,179.6
2017/18 Q4,East Renfrewshire,65-74 years,Emergency Admissions,25,161.3,190.7
2017/18 Q4,East Renfrewshire,65-74 years,Emergency Admissions Bed Days,515,3322.6,4403.6
2017/18 Q4,East Renfrewshire,75-84 years,A&E Attendances,65,166.7,177.5
2017/18 Q4,East Renfrewshire,75-84 years,Emergency Admissions,65,166.7,196.1
2017/18 Q4,East Renfrewshire,75-84 years,Emergency Admissions Bed Days,1685,4320.5,5038.6
2017/18 Q4,East Renfrewshire,85+ years,A&E Attendances,80,166.7,177.3
2017/18 Q4,East Renfrewshire,85+ years,Emergency Admissions,75,156.2,199
2017/18 Q4,East Renfrewshire,85+ years,Emergency Admissions Bed Days,2155,4489.6,5373.1
2017/18 Q4,East Renfrewshire,Unknown,A&E Attendances,0,0,0
2017/18 Q4,East Renfrewshire,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,East Renfrewshire,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,Falkirk,All Ages,A&E Attendances,390,145,167.4
2017/18 Q4,Falkirk,All Ages,Emergency Admissions,445,165.4,177.6
2017/18 Q4,Falkirk,All Ages,Emergency Admissions Bed Days,14845,5518.6,4542.8
2017/18 Q4,Falkirk,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,Falkirk,0-17 years,Emergency Admissions,0,0,66.7
2017/18 Q4,Falkirk,0-17 years,Emergency Admissions Bed Days,20,1000,311.1
2017/18 Q4,Falkirk,18-64 years,A&E Attendances,75,107.9,124.5
2017/18 Q4,Falkirk,18-64 years,Emergency Admissions,65,93.5,99.8
2017/18 Q4,Falkirk,18-64 years,Emergency Admissions Bed Days,2565,3690.6,2428.7
2017/18 Q4,Falkirk,65-74 years,A&E Attendances,65,156.6,179.6
2017/18 Q4,Falkirk,65-74 years,Emergency Admissions,80,192.8,190.7
2017/18 Q4,Falkirk,65-74 years,Emergency Admissions Bed Days,2265,5457.8,4403.6
2017/18 Q4,Falkirk,75-84 years,A&E Attendances,140,177.2,177.5
2017/18 Q4,Falkirk,75-84 years,Emergency Admissions,160,202.5,196.1
2017/18 Q4,Falkirk,75-84 years,Emergency Admissions Bed Days,4700,5949.4,5038.6
2017/18 Q4,Falkirk,85+ years,A&E Attendances,110,142.9,177.3
2017/18 Q4,Falkirk,85+ years,Emergency Admissions,140,181.8,199
2017/18 Q4,Falkirk,85+ years,Emergency Admissions Bed Days,5300,6883.1,5373.1
2017/18 Q4,Falkirk,Unknown,A&E Attendances,0,0,0
2017/18 Q4,Falkirk,Unknown,Emergency Admissions,0,0,0
2017/18 Q4,Falkirk,Unknown,Emergency Admissions Bed Days,0,0,0
2017/18 Q4,Fife,All Ages,A&E Attendances,455,115.2,167.4
2017/18 Q4,Fife,All Ages,Emergency Admissions,625,158.2,177.6
2017/18 Q4,Fife,All Ages,Emergency Admissions Bed Days,13495,3416.5,4542.8
2017/18 Q4,Fife,0-17 years,A&E Attendances,0,0,66.7
2017/18 Q4,Fife,0-17 years,Emergency Admissions,5,250,66.7
2017/18 Q4,Fife,0-17 years,Emergency Admissions Bed Days,30,1500,311.1
2017/18 Q4,Fife,18-64 years,A&E Attendances,105,102.9,124.5
