time_period,financial_quarter,sending_location,age_group,hc_service_provider,nclient,percentage
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Third Sector,795,4.1
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,10685,52.2
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,Other,40,0.2
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,Private only,10950,53.5
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,Third Sector,760,3.7
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,33755,50.6
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),All Ages,Other,215,0.3
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),All Ages,Other Local Authority,50,0.1
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),All Ages,Private only,31460,47.2
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),All Ages,Third Sector,6015,9
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,60,36.4
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),0-17 years,Private only,80,48.5
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),0-17 years,Third Sector,30,18.2
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,2905,25.5
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,Other,95,0.8
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,Other Local Authority,10,0.1
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,Private only,5535,48.6
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,Third Sector,3480,30.5
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,5275,53.3
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),65-74 years,Other,40,0.4
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),65-74 years,Other Local Authority,5,0.1
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),65-74 years,Private only,4580,46.3
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),65-74 years,Third Sector,745,7.5
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,12000,57.7
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),75-84 years,Other,35,0.2
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),75-84 years,Other Local Authority,15,0.1
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),75-84 years,Private only,9435,45.4
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),75-84 years,Third Sector,835,4
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,13510,55.3
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),85+ years,Other,45,0.2
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),85+ years,Other Local Authority,20,0.1
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),85+ years,Private only,11835,48.4
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),85+ years,Third Sector,920,3.8
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,32925,49.7
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),All Ages,Other,215,0.3
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),All Ages,Other Local Authority,60,0.1
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),All Ages,Private only,31735,47.9
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),All Ages,Third Sector,5850,8.8
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,60,35.3
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Private only,80,47.1
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Third Sector,35,20.6
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,2845,25.1
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Other,95,0.8
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Other Local Authority,15,0.1
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Private only,5475,48.3
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Third Sector,3505,30.9
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,5235,52.5
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Other,40,0.4
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Other Local Authority,10,0.1
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Private only,4690,47
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Third Sector,700,7
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,11885,56.5
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Other,35,0.2
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Other Local Authority,20,0.1
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Private only,9820,46.7
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Third Sector,780,3.7
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,12895,54.4
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),85+ years,Other,45,0.2
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),85+ years,Other Local Authority,20,0.1
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),85+ years,Private only,11670,49.2
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),85+ years,Third Sector,835,3.5
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,34965,52.7
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),All Ages,Other,215,0.3
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),All Ages,Other Local Authority,10,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),All Ages,Private only,29750,44.8
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),All Ages,Third Sector,5375,8.1
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,65,38.2
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),0-17 years,Private only,75,44.1
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),0-17 years,Third Sector,30,17.6
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,3470,30.2
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,Other,90,0.8
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,Other Local Authority,5,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,Private only,5370,46.8
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,Third Sector,3070,26.7
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,5685,55.5
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),65-74 years,Other,35,0.3
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),65-74 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),65-74 years,Private only,4500,44
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),65-74 years,Third Sector,650,6.4
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,12550,58.7
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),75-84 years,Other,40,0.2
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),75-84 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),75-84 years,Private only,9295,43.5
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),75-84 years,Third Sector,785,3.7
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,13195,57.1
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),85+ years,Other,50,0.2
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),85+ years,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),85+ years,Private only,10505,45.5
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),85+ years,Third Sector,845,3.7
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,35300,52.8
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),All Ages,Other,220,0.3
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),All Ages,Other Local Authority,10,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),All Ages,Private only,30020,44.9
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),All Ages,Third Sector,5370,8
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,100,55.6
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),0-17 years,Private only,50,27.8
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),0-17 years,Third Sector,35,19.4
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,3605,30.6
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),18-64 years,Other,95,0.8
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),18-64 years,Other Local Authority,5,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),18-64 years,Private only,5485,46.6
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),18-64 years,Third Sector,3110,26.4
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,5765,55.4
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),65-74 years,Other,40,0.4
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),65-74 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),65-74 years,Private only,4605,44.2
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),65-74 years,Third Sector,630,6.1
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,12890,59
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),75-84 years,Other,40,0.2
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),75-84 years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),75-84 years,Private only,9500,43.5
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),75-84 years,Third Sector,775,3.5
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,12945,57.1
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),85+ years,Other,45,0.2
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),85+ years,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),85+ years,Private only,10380,45.8
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),85+ years,Third Sector,815,3.6
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,33135,50.7
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),All Ages,Other,240,0.4
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),All Ages,Other Local Authority,5,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),All Ages,Private only,30475,46.6
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),All Ages,Third Sector,6175,9.4
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,60,36.4
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),0-17 years,Private only,75,45.5
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),0-17 years,Third Sector,35,21.2
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,3080,26.9
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),18-64 years,Other,105,0.9
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),18-64 years,Other Local Authority,5,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),18-64 years,Private only,5275,46.1
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),18-64 years,Third Sector,3645,31.8
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,5090,53.1
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),65-74 years,Other,35,0.4
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),65-74 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),65-74 years,Private only,4375,45.6
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),65-74 years,Third Sector,765,8
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,11555,57.3
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),75-84 years,Other,50,0.2
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),75-84 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),75-84 years,Private only,9245,45.8
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),75-84 years,Third Sector,825,4.1
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,13350,55.6
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),85+ years,Other,55,0.2
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),85+ years,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),85+ years,Private only,11500,47.9
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),85+ years,Third Sector,905,3.8
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,33040,50.5
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),All Ages,Other,245,0.4
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),All Ages,Other Local Authority,5,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),All Ages,Private only,30210,46.2
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),All Ages,Third Sector,6340,9.7
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,55,33.3
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Private only,75,45.5
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Third Sector,45,27.3
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,3365,28.4
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Other,110,0.9
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Other Local Authority,5,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Private only,5360,45.3
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Third Sector,3685,31.1
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,5200,53.4
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Other,35,0.4
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Private only,4385,45
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Third Sector,795,8.2
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,11550,56.8
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Other,50,0.2
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Private only,9270,45.6
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Third Sector,875,4.3
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),85+ years,Local Authority/Health & Social Care Partnership/NHS Board only,12870,55.1
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),85+ years,Other,50,0.2
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),85+ years,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),85+ years,Private only,11120,47.6
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),85+ years,Third Sector,940,4
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),Unknown,Local Authority/Health & Social Care Partnership/NHS Board only,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),Unknown,Other,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),Unknown,Other Local Authority,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),Unknown,Private only,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),Unknown,Third Sector,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),All Ages,Local Authority/Health & Social Care Partnership/NHS Board only,32660,50.2
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),All Ages,Other,250,0.4
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),All Ages,Other Local Authority,5,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),All Ages,Private only,29700,45.7
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),All Ages,Third Sector,6545,10.1
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),0-17 years,Local Authority/Health & Social Care Partnership/NHS Board only,45,26.5
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),0-17 years,Other,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),0-17 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),0-17 years,Private only,85,50
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),0-17 years,Third Sector,45,26.5
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),18-64 years,Local Authority/Health & Social Care Partnership/NHS Board only,3455,28.7
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),18-64 years,Other,110,0.9
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),18-64 years,Other Local Authority,5,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),18-64 years,Private only,5415,45
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),18-64 years,Third Sector,3735,31
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),65-74 years,Local Authority/Health & Social Care Partnership/NHS Board only,5235,53.3
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),65-74 years,Other,35,0.4
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),65-74 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),65-74 years,Private only,4385,44.6
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),65-74 years,Third Sector,835,8.5
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),75-84 years,Local Authority/Health & Social Care Partnership/NHS Board only,11565,56.6
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),75-84 years,Other,50,0.2
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),75-84 years,Other Local Authority,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),75-84 years,Private only,9170,44.9
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),75-84 years,Third Sector,935,4.6
