financial_quarter,sending_location,locality,age_group,measure,value
2017/18 Q4,Aberdeen City,Aberdeen South,0-17 years,Number of Hours,705
2017/18 Q4,Aberdeen City,Aberdeen South,18-64 years,"Rate per 1,000 Population",1.9
2017/18 Q4,Aberdeen City,Aberdeen South,18-64 years,Number of People,95
2017/18 Q4,Aberdeen City,Aberdeen South,18-64 years,Number of Hours,47050
2017/18 Q4,Aberdeen City,Aberdeen South,65-74 years,"Rate per 1,000 Population",10.7
2017/18 Q4,Aberdeen City,Aberdeen South,65-74 years,Number of People,70
2017/18 Q4,Aberdeen City,Aberdeen South,65-74 years,Number of Hours,7450
2017/18 Q4,Aberdeen City,Aberdeen South,75-84 years,"Rate per 1,000 Population",51.3
2017/18 Q4,Aberdeen City,Aberdeen South,75-84 years,Number of People,230
2017/18 Q4,Aberdeen City,Aberdeen South,75-84 years,Number of Hours,25605
2017/18 Q4,Aberdeen City,Aberdeen South,85+ years,"Rate per 1,000 Population",136.2
2017/18 Q4,Aberdeen City,Aberdeen South,85+ years,Number of People,285
2017/18 Q4,Aberdeen City,Aberdeen South,85+ years,Number of Hours,26085
2017/18 Q4,Aberdeen City,Outside Partnership,All Ages,Number of People,80
2017/18 Q4,Aberdeen City,Outside Partnership,All Ages,Number of Hours,16930
2017/18 Q4,Aberdeen City,Outside Partnership,0-17 years,Number of People,0
2017/18 Q4,Aberdeen City,Outside Partnership,0-17 years,Number of Hours,0
2017/18 Q4,Aberdeen City,Outside Partnership,18-64 years,Number of People,15
2017/18 Q4,Aberdeen City,Outside Partnership,18-64 years,Number of Hours,11660
2017/18 Q4,Aberdeen City,Outside Partnership,65-74 years,Number of People,5
2017/18 Q4,Aberdeen City,Outside Partnership,65-74 years,Number of Hours,675
2017/18 Q4,Aberdeen City,Outside Partnership,75-84 years,Number of People,30
2017/18 Q4,Aberdeen City,Outside Partnership,75-84 years,Number of Hours,2455
2017/18 Q4,Aberdeen City,Outside Partnership,85+ years,Number of People,25
2017/18 Q4,Aberdeen City,Outside Partnership,85+ years,Number of Hours,2135
2017/18 Q4,Aberdeenshire,Banff & Buchan,All Ages,"Rate per 1,000 Population",14.2
2017/18 Q4,Aberdeenshire,Banff & Buchan,All Ages,Number of People,525
2017/18 Q4,Aberdeenshire,Banff & Buchan,All Ages,Number of Hours,63580
2017/18 Q4,Aberdeenshire,Banff & Buchan,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Aberdeenshire,Banff & Buchan,0-17 years,Number of People,0
2017/18 Q4,Aberdeenshire,Banff & Buchan,0-17 years,Number of Hours,0
2017/18 Q4,Aberdeenshire,Banff & Buchan,18-64 years,"Rate per 1,000 Population",3.4
2017/18 Q4,Aberdeenshire,Banff & Buchan,18-64 years,Number of People,75
2017/18 Q4,Aberdeenshire,Banff & Buchan,18-64 years,Number of Hours,12945
2017/18 Q4,Aberdeenshire,Banff & Buchan,65-74 years,"Rate per 1,000 Population",18.7
2017/18 Q4,Aberdeenshire,Banff & Buchan,65-74 years,Number of People,85
2017/18 Q4,Aberdeenshire,Banff & Buchan,65-74 years,Number of Hours,10990
2017/18 Q4,Aberdeenshire,Banff & Buchan,75-84 years,"Rate per 1,000 Population",71.7
2017/18 Q4,Aberdeenshire,Banff & Buchan,75-84 years,Number of People,180
2017/18 Q4,Aberdeenshire,Banff & Buchan,75-84 years,Number of Hours,17550
2017/18 Q4,Aberdeenshire,Banff & Buchan,85+ years,"Rate per 1,000 Population",230.6
2017/18 Q4,Aberdeenshire,Banff & Buchan,85+ years,Number of People,185
2017/18 Q4,Aberdeenshire,Banff & Buchan,85+ years,Number of Hours,22095
2017/18 Q4,Aberdeenshire,Buchan,All Ages,"Rate per 1,000 Population",8.9
2017/18 Q4,Aberdeenshire,Buchan,All Ages,Number of People,375
2017/18 Q4,Aberdeenshire,Buchan,All Ages,Number of Hours,36620
2017/18 Q4,Aberdeenshire,Buchan,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Aberdeenshire,Buchan,0-17 years,Number of People,0
2017/18 Q4,Aberdeenshire,Buchan,0-17 years,Number of Hours,0
2017/18 Q4,Aberdeenshire,Buchan,18-64 years,"Rate per 1,000 Population",2.1
2017/18 Q4,Aberdeenshire,Buchan,18-64 years,Number of People,55
2017/18 Q4,Aberdeenshire,Buchan,18-64 years,Number of Hours,5840
2017/18 Q4,Aberdeenshire,Buchan,65-74 years,"Rate per 1,000 Population",12.3
2017/18 Q4,Aberdeenshire,Buchan,65-74 years,Number of People,55
2017/18 Q4,Aberdeenshire,Buchan,65-74 years,Number of Hours,5140
2017/18 Q4,Aberdeenshire,Buchan,75-84 years,"Rate per 1,000 Population",51.8
2017/18 Q4,Aberdeenshire,Buchan,75-84 years,Number of People,130
2017/18 Q4,Aberdeenshire,Buchan,75-84 years,Number of Hours,12685
2017/18 Q4,Aberdeenshire,Buchan,85+ years,"Rate per 1,000 Population",156.9
2017/18 Q4,Aberdeenshire,Buchan,85+ years,Number of People,135
2017/18 Q4,Aberdeenshire,Buchan,85+ years,Number of Hours,12960
2017/18 Q4,Aberdeenshire,Formartine,All Ages,"Rate per 1,000 Population",8
2017/18 Q4,Aberdeenshire,Formartine,All Ages,Number of People,350
2017/18 Q4,Aberdeenshire,Formartine,All Ages,Number of Hours,32130
2017/18 Q4,Aberdeenshire,Formartine,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Aberdeenshire,Formartine,0-17 years,Number of People,0
2017/18 Q4,Aberdeenshire,Formartine,0-17 years,Number of Hours,0
2017/18 Q4,Aberdeenshire,Formartine,18-64 years,"Rate per 1,000 Population",1
2017/18 Q4,Aberdeenshire,Formartine,18-64 years,Number of People,30
2017/18 Q4,Aberdeenshire,Formartine,18-64 years,Number of Hours,3310
2017/18 Q4,Aberdeenshire,Formartine,65-74 years,"Rate per 1,000 Population",12.4
2017/18 Q4,Aberdeenshire,Formartine,65-74 years,Number of People,60
2017/18 Q4,Aberdeenshire,Formartine,65-74 years,Number of Hours,4900
2017/18 Q4,Aberdeenshire,Formartine,75-84 years,"Rate per 1,000 Population",52.2
2017/18 Q4,Aberdeenshire,Formartine,75-84 years,Number of People,120
2017/18 Q4,Aberdeenshire,Formartine,75-84 years,Number of Hours,10320
2017/18 Q4,Aberdeenshire,Formartine,85+ years,"Rate per 1,000 Population",172.5
2017/18 Q4,Aberdeenshire,Formartine,85+ years,Number of People,145
2017/18 Q4,Aberdeenshire,Formartine,85+ years,Number of Hours,13600
2017/18 Q4,Aberdeenshire,Garioch,All Ages,"Rate per 1,000 Population",8.5
2017/18 Q4,Aberdeenshire,Garioch,All Ages,Number of People,475
2017/18 Q4,Aberdeenshire,Garioch,All Ages,Number of Hours,44025
2017/18 Q4,Aberdeenshire,Garioch,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Aberdeenshire,Garioch,0-17 years,Number of People,0
2017/18 Q4,Aberdeenshire,Garioch,0-17 years,Number of Hours,0
2017/18 Q4,Aberdeenshire,Garioch,18-64 years,"Rate per 1,000 Population",1.7
2017/18 Q4,Aberdeenshire,Garioch,18-64 years,Number of People,55
2017/18 Q4,Aberdeenshire,Garioch,18-64 years,Number of Hours,7395
2017/18 Q4,Aberdeenshire,Garioch,65-74 years,"Rate per 1,000 Population",12.1
2017/18 Q4,Aberdeenshire,Garioch,65-74 years,Number of People,65
2017/18 Q4,Aberdeenshire,Garioch,65-74 years,Number of Hours,6760
2017/18 Q4,Aberdeenshire,Garioch,75-84 years,"Rate per 1,000 Population",64
2017/18 Q4,Aberdeenshire,Garioch,75-84 years,Number of People,175
2017/18 Q4,Aberdeenshire,Garioch,75-84 years,Number of Hours,12565
2017/18 Q4,Aberdeenshire,Garioch,85+ years,"Rate per 1,000 Population",190.6
2017/18 Q4,Aberdeenshire,Garioch,85+ years,Number of People,180
2017/18 Q4,Aberdeenshire,Garioch,85+ years,Number of Hours,17305
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,All Ages,"Rate per 1,000 Population",6.7
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,All Ages,Number of People,305
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,All Ages,Number of Hours,19225
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,0-17 years,Number of People,0
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,0-17 years,Number of Hours,0
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,18-64 years,"Rate per 1,000 Population",1.7
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,18-64 years,Number of People,45
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,18-64 years,Number of Hours,3065
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,65-74 years,"Rate per 1,000 Population",9.7
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,65-74 years,Number of People,45
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,65-74 years,Number of Hours,3335
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,75-84 years,"Rate per 1,000 Population",44.1
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,75-84 years,Number of People,105
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,75-84 years,Number of Hours,5525
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,85+ years,"Rate per 1,000 Population",143.8
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,85+ years,Number of People,110
2017/18 Q4,Aberdeenshire,Kincardine & Mearns,85+ years,Number of Hours,7305
2017/18 Q4,Aberdeenshire,Marr,All Ages,"Rate per 1,000 Population",10.6
2017/18 Q4,Aberdeenshire,Marr,All Ages,Number of People,405
2017/18 Q4,Aberdeenshire,Marr,All Ages,Number of Hours,27715
2017/18 Q4,Aberdeenshire,Marr,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Aberdeenshire,Marr,0-17 years,Number of People,0
2017/18 Q4,Aberdeenshire,Marr,0-17 years,Number of Hours,0
2017/18 Q4,Aberdeenshire,Marr,18-64 years,"Rate per 1,000 Population",1.4
2017/18 Q4,Aberdeenshire,Marr,18-64 years,Number of People,30
2017/18 Q4,Aberdeenshire,Marr,18-64 years,Number of Hours,2915
2017/18 Q4,Aberdeenshire,Marr,65-74 years,"Rate per 1,000 Population",11.3
2017/18 Q4,Aberdeenshire,Marr,65-74 years,Number of People,55
2017/18 Q4,Aberdeenshire,Marr,65-74 years,Number of Hours,3660
2017/18 Q4,Aberdeenshire,Marr,75-84 years,"Rate per 1,000 Population",51.9
2017/18 Q4,Aberdeenshire,Marr,75-84 years,Number of People,135
2017/18 Q4,Aberdeenshire,Marr,75-84 years,Number of Hours,8470
2017/18 Q4,Aberdeenshire,Marr,85+ years,"Rate per 1,000 Population",152
2017/18 Q4,Aberdeenshire,Marr,85+ years,Number of People,185
2017/18 Q4,Aberdeenshire,Marr,85+ years,Number of Hours,12665
2017/18 Q4,Aberdeenshire,Outside Partnership,All Ages,Number of People,100
2017/18 Q4,Aberdeenshire,Outside Partnership,All Ages,Number of Hours,9865
2017/18 Q4,Aberdeenshire,Outside Partnership,0-17 years,Number of People,0
2017/18 Q4,Aberdeenshire,Outside Partnership,0-17 years,Number of Hours,0
2017/18 Q4,Aberdeenshire,Outside Partnership,18-64 years,Number of People,10
2017/18 Q4,Aberdeenshire,Outside Partnership,18-64 years,Number of Hours,1355
2017/18 Q4,Aberdeenshire,Outside Partnership,65-74 years,Number of People,10
2017/18 Q4,Aberdeenshire,Outside Partnership,65-74 years,Number of Hours,1245
2017/18 Q4,Aberdeenshire,Outside Partnership,75-84 years,Number of People,45
2017/18 Q4,Aberdeenshire,Outside Partnership,75-84 years,Number of Hours,3840
2017/18 Q4,Aberdeenshire,Outside Partnership,85+ years,Number of People,35
2017/18 Q4,Aberdeenshire,Outside Partnership,85+ years,Number of Hours,3425
2017/18 Q4,Angus,Angus North East,All Ages,"Rate per 1,000 Population",6.2
2017/18 Q4,Angus,Angus North East,All Ages,Number of People,165
2017/18 Q4,Angus,Angus North East,All Ages,Number of Hours,14215
2017/18 Q4,Angus,Angus North East,0-17 years,"Rate per 1,000 Population",0
2017/18 Q4,Angus,Angus North East,0-17 years,Number of People,0
2017/18 Q4,Angus,Angus North East,0-17 years,Number of Hours,0
2017/18 Q4,Angus,Angus North East,18-64 years,"Rate per 1,000 Population",3.6
2017/18 Q4,Angus,Angus North East,18-64 years,Number of People,55
2017/18 Q4,Angus,Angus North East,18-64 years,Number of Hours,6025
2017/18 Q4,Angus,Angus North East,65-74 years,"Rate per 1,000 Population",8
2017/18 Q4,Angus,Angus North East,65-74 years,Number of People,25
2017/18 Q4,Angus,Angus North East,65-74 years,Number of Hours,2985
2017/18 Q4,Angus,Angus North East,75-84 years,"Rate per 1,000 Population",24.6
2017/18 Q4,Angus,Angus North East,75-84 years,Number of People,45
2017/18 Q4,Angus,Angus North East,75-84 years,Number of Hours,2875
2017/18 Q4,Angus,Angus North East,85+ years,"Rate per 1,000 Population",45.8
2017/18 Q4,Angus,Angus North East,85+ years,Number of People,35
2017/18 Q4,Angus,Angus North East,85+ years,Number of Hours,2330
2017/18 Q4,Angus,Angus North West,All Ages,"Rate per 1,000 Population",6
2017/18 Q4,Angus,Angus North West,All Ages,Number of People,215
2017/18 Q4,Angus,Angus North West,All Ages,Number of Hours,17575
2017/18 Q4,Angus,Angus North West,0-17 years,"Rate per 1,000 Population",0.3
2017/18 Q4,Angus,Angus North West,0-17 years,Number of People,0
2017/18 Q4,Angus,Angus North West,0-17 years,Number of Hours,90
2017/18 Q4,Angus,Angus North West,18-64 years,"Rate per 1,000 Population",4.5
2017/18 Q4,Angus,Angus North West,18-64 years,Number of People,95
2017/18 Q4,Angus,Angus North West,18-64 years,Number of Hours,8760
2017/18 Q4,Angus,Angus North West,65-74 years,"Rate per 1,000 Population",7.5
2017/18 Q4,Angus,Angus North West,65-74 years,Number of People,35
2017/18 Q4,Angus,Angus North West,65-74 years,Number of Hours,2975
2017/18 Q4,Angus,Angus North West,75-84 years,"Rate per 1,000 Population",16.1
2017/18 Q4,Angus,Angus North West,75-84 years,Number of People,45
2017/18 Q4,Angus,Angus North West,75-84 years,Number of Hours,3455
2017/18 Q4,Angus,Angus North West,85+ years,"Rate per 1,000 Population",41.5
2017/18 Q4,Angus,Angus North West,85+ years,Number of People,40
2017/18 Q4,Angus,Angus North West,85+ years,Number of Hours,2295
2017/18 Q4,Angus,Angus South East,All Ages,"Rate per 1,000 Population",6.4
2017/18 Q4,Angus,Angus South East,All Ages,Number of People,185
2017/18 Q4,Angus,Angus South East,All Ages,Number of Hours,13415
2017/18 Q4,Angus,Angus South East,0-17 years,"Rate per 1,000 Population",0.7
2017/18 Q4,Angus,Angus South East,0-17 years,Number of People,5
2017/18 Q4,Angus,Angus South East,0-17 years,Number of Hours,155
2017/18 Q4,Angus,Angus South East,18-64 years,"Rate per 1,000 Population",3.3
2017/18 Q4,Angus,Angus South East,18-64 years,Number of People,55
2017/18 Q4,Angus,Angus South East,18-64 years,Number of Hours,5545
2017/18 Q4,Angus,Angus South East,65-74 years,"Rate per 1,000 Population",8.7
2017/18 Q4,Angus,Angus South East,65-74 years,Number of People,30
2017/18 Q4,Angus,Angus South East,65-74 years,Number of Hours,2910
2017/18 Q4,Angus,Angus South East,75-84 years,"Rate per 1,000 Population",17.7
2017/18 Q4,Angus,Angus South East,75-84 years,Number of People,35
2017/18 Q4,Angus,Angus South East,75-84 years,Number of Hours,1460
2017/18 Q4,Angus,Angus South East,85+ years,"Rate per 1,000 Population",73
2017/18 Q4,Angus,Angus South East,85+ years,Number of People,60
2017/18 Q4,Angus,Angus South East,85+ years,Number of Hours,3345
2017/18 Q4,Angus,Angus South West,All Ages,"Rate per 1,000 Population",5.9
2017/18 Q4,Angus,Angus South West,All Ages,Number of People,145
2017/18 Q4,Angus,Angus South West,All Ages,Number of Hours,9910
2017/18 Q4,Angus,Angus South West,0-17 years,"Rate per 1,000 Population",1.1
2017/18 Q4,Angus,Angus South West,0-17 years,Number of People,5
2017/18 Q4,Angus,Angus South West,0-17 years,Number of Hours,265
2017/18 Q4,Angus,Angus South West,18-64 years,"Rate per 1,000 Population",2.5
2017/18 Q4,Angus,Angus South West,18-64 years,Number of People,35
2017/18 Q4,Angus,Angus South West,18-64 years,Number of Hours,2710
2017/18 Q4,Angus,Angus South West,65-74 years,"Rate per 1,000 Population",8.1
2017/18 Q4,Angus,Angus South West,65-74 years,Number of People,30
2017/18 Q4,Angus,Angus South West,65-74 years,Number of Hours,2735
2017/18 Q4,Angus,Angus South West,75-84 years,"Rate per 1,000 Population",17.1
2017/18 Q4,Angus,Angus South West,75-84 years,Number of People,35
2017/18 Q4,Angus,Angus South West,75-84 years,Number of Hours,1795
2017/18 Q4,Angus,Angus South West,85+ years,"Rate per 1,000 Population",52.5
2017/18 Q4,Angus,Angus South West,85+ years,Number of People,45
2017/18 Q4,Angus,Angus South West,85+ years,Number of Hours,2400
2017/18 Q4,Angus,Outside Partnership,All Ages,Number of People,440
2017/18 Q4,Angus,Outside Partnership,All Ages,Number of Hours,35405
2017/18 Q4,Angus,Outside Partnership,0-17 years,Number of People,0
2017/18 Q4,Angus,Outside Partnership,0-17 years,Number of Hours,0
2017/18 Q4,Angus,Outside Partnership,18-64 years,Number of People,25
2017/18 Q4,Angus,Outside Partnership,18-64 years,Number of Hours,4215
2017/18 Q4,Angus,Outside Partnership,65-74 years,Number of People,40
2017/18 Q4,Angus,Outside Partnership,65-74 years,Number of Hours,4585
2017/18 Q4,Angus,Outside Partnership,75-84 years,Number of People,150
2017/18 Q4,Angus,Outside Partnership,75-84 years,Number of Hours,11435
2017/18 Q4,Angus,Outside Partnership,85+ years,Number of People,225
2017/18 Q4,Angus,Outside Partnership,85+ years,Number of Hours,15170
2017/18 Q4,Argyll and Bute,Bute,All Ages,"Rate per 1,000 Population",23.6
2017/18 Q4,Argyll and Bute,Bute,All Ages,Number of People,145
2017/18 Q4,Argyll and Bute,Bute,All Ages,Number of Hours,17730
2017/18 Q4,Argyll and Bute,Bute,18-64 years,"Rate per 1,000 Population",3.6
2017/18 Q4,Argyll and Bute,Bute,18-64 years,Number of People,10
2017/18 Q4,Argyll and Bute,Bute,18-64 years,Number of Hours,2470
2017/18 Q4,Argyll and Bute,Bute,65-74 years,"Rate per 1,000 Population",23.1
2017/18 Q4,Argyll and Bute,Bute,65-74 years,Number of People,25
2017/18 Q4,Argyll and Bute,Bute,65-74 years,Number of Hours,2385
2017/18 Q4,Argyll and Bute,Bute,75-84 years,"Rate per 1,000 Population",90.9
2017/18 Q4,Argyll and Bute,Bute,75-84 years,Number of People,60
2017/18 Q4,Argyll and Bute,Bute,75-84 years,Number of Hours,6625
2017/18 Q4,Argyll and Bute,Bute,85+ years,"Rate per 1,000 Population",246.4
2017/18 Q4,Argyll and Bute,Bute,85+ years,Number of People,50
2017/18 Q4,Argyll and Bute,Bute,85+ years,Number of Hours,6250
2017/18 Q4,Argyll and Bute,Cowal,All Ages,"Rate per 1,000 Population",16.5
2017/18 Q4,Argyll and Bute,Cowal,All Ages,Number of People,235
2017/18 Q4,Argyll and Bute,Cowal,All Ages,Number of Hours,27855
2017/18 Q4,Argyll and Bute,Cowal,18-64 years,"Rate per 1,000 Population",5.2
2017/18 Q4,Argyll and Bute,Cowal,18-64 years,Number of People,40
2017/18 Q4,Argyll and Bute,Cowal,18-64 years,Number of Hours,9920
2017/18 Q4,Argyll and Bute,Cowal,65-74 years,"Rate per 1,000 Population",14.3
2017/18 Q4,Argyll and Bute,Cowal,65-74 years,Number of People,35
2017/18 Q4,Argyll and Bute,Cowal,65-74 years,Number of Hours,2820
2017/18 Q4,Argyll and Bute,Cowal,75-84 years,"Rate per 1,000 Population",55.2
2017/18 Q4,Argyll and Bute,Cowal,75-84 years,Number of People,80
2017/18 Q4,Argyll and Bute,Cowal,75-84 years,Number of Hours,7185
2017/18 Q4,Argyll and Bute,Cowal,85+ years,"Rate per 1,000 Population",167
2017/18 Q4,Argyll and Bute,Cowal,85+ years,Number of People,85
2017/18 Q4,Argyll and Bute,Cowal,85+ years,Number of Hours,7935
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,All Ages,"Rate per 1,000 Population",14.3
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,All Ages,Number of People,375
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,All Ages,Number of Hours,44460
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,18-64 years,"Rate per 1,000 Population",2.3
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,18-64 years,Number of People,35
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,18-64 years,Number of Hours,7145
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,65-74 years,"Rate per 1,000 Population",15.9
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,65-74 years,Number of People,50
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,65-74 years,Number of Hours,7935
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,75-84 years,"Rate per 1,000 Population",66.3
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,75-84 years,Number of People,115
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,75-84 years,Number of Hours,9500
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,85+ years,"Rate per 1,000 Population",250.7
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,85+ years,Number of People,170
2017/18 Q4,Argyll and Bute,Helensburgh and Lomond,85+ years,Number of Hours,19880
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,All Ages,"Rate per 1,000 Population",19.2
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,All Ages,Number of People,65
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,All Ages,Number of Hours,6555
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,18-64 years,"Rate per 1,000 Population",3.7
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,18-64 years,Number of People,5
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,18-64 years,Number of Hours,1200
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,65-74 years,"Rate per 1,000 Population",22
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,65-74 years,Number of People,10
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,65-74 years,Number of Hours,955
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,75-84 years,"Rate per 1,000 Population",55
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,75-84 years,Number of People,15
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,75-84 years,Number of Hours,1825
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,85+ years,"Rate per 1,000 Population",308.5
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,85+ years,Number of People,30
2017/18 Q4,Argyll and Bute,Islay Jura and Colonsay,85+ years,Number of Hours,2575
2017/18 Q4,Argyll and Bute,Kintyre,All Ages,"Rate per 1,000 Population",17.6
2017/18 Q4,Argyll and Bute,Kintyre,All Ages,Number of People,130
2017/18 Q4,Argyll and Bute,Kintyre,All Ages,Number of Hours,17135
2017/18 Q4,Argyll and Bute,Kintyre,18-64 years,"Rate per 1,000 Population",5.1
2017/18 Q4,Argyll and Bute,Kintyre,18-64 years,Number of People,20
2017/18 Q4,Argyll and Bute,Kintyre,18-64 years,Number of Hours,3255
2017/18 Q4,Argyll and Bute,Kintyre,65-74 years,"Rate per 1,000 Population",18.1
2017/18 Q4,Argyll and Bute,Kintyre,65-74 years,Number of People,20
2017/18 Q4,Argyll and Bute,Kintyre,65-74 years,Number of Hours,3455
2017/18 Q4,Argyll and Bute,Kintyre,75-84 years,"Rate per 1,000 Population",60.8
2017/18 Q4,Argyll and Bute,Kintyre,75-84 years,Number of People,40
2017/18 Q4,Argyll and Bute,Kintyre,75-84 years,Number of Hours,4760
2017/18 Q4,Argyll and Bute,Kintyre,85+ years,"Rate per 1,000 Population",190.7
2017/18 Q4,Argyll and Bute,Kintyre,85+ years,Number of People,50
2017/18 Q4,Argyll and Bute,Kintyre,85+ years,Number of Hours,5660
2017/18 Q4,Argyll and Bute,Mid Argyll,All Ages,"Rate per 1,000 Population",15.1
