financial_year,sending_location,service,age_group,measure,value,scotland_value
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.5,0.5248843796352637
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,18-64 years,Number of People,16650,16650
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",4.9,4.921393667747699
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,65-74 years,Number of People,20150,20150
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",35.3,35.26562100745916
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,75-84 years,Number of People,43875,43875
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",132.4,132.408860453887
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,85+ years,Number of People,43875,43875
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",355.6,355.6202178705745
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,Unknown,Number of People,0,0
2018/19,Scotland (All Areas Submitted),Total Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,Aberdeen City,Community Alarm Only,All Ages,Number of People,2460,71815
2018/19,Aberdeen City,Community Alarm Only,All Ages,"Rate per 1,000 Population",10.8,13.205899119177653
2018/19,Aberdeen City,Community Alarm Only,0-17 years,Number of People,0,100
2018/19,Aberdeen City,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0,0.09720081104356736
2018/19,Aberdeen City,Community Alarm Only,18-64 years,Number of People,265,8170
2018/19,Aberdeen City,Community Alarm Only,18-64 years,"Rate per 1,000 Population",1.7,2.4148820579879096
2018/19,Aberdeen City,Community Alarm Only,65-74 years,Number of People,480,11615
2018/19,Aberdeen City,Community Alarm Only,65-74 years,"Rate per 1,000 Population",24.9,20.32804903233936
2018/19,Aberdeen City,Community Alarm Only,75-84 years,Number of People,830,26210
2018/19,Aberdeen City,Community Alarm Only,75-84 years,"Rate per 1,000 Population",71.8,79.09826170931917
2018/19,Aberdeen City,Community Alarm Only,85+ years,Number of People,880,25710
2018/19,Aberdeen City,Community Alarm Only,85+ years,"Rate per 1,000 Population",188.1,208.3873686940734
2018/19,Aberdeen City,Community Alarm Only,Unknown,Number of People,0,0
2018/19,Aberdeen City,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Aberdeen City,Telecare Only,All Ages,Number of People,925,15270
2018/19,Aberdeen City,Telecare Only,All Ages,"Rate per 1,000 Population",4.1,2.807966017542892
2018/19,Aberdeen City,Telecare Only,0-17 years,Number of People,20,330
2018/19,Aberdeen City,Telecare Only,0-17 years,"Rate per 1,000 Population",0.5,0.32076267644377227
2018/19,Aberdeen City,Telecare Only,18-64 years,Number of People,185,3040
2018/19,Aberdeen City,Telecare Only,18-64 years,"Rate per 1,000 Population",1.2,0.8985607657629432
2018/19,Aberdeen City,Telecare Only,65-74 years,Number of People,120,2335
2018/19,Aberdeen City,Telecare Only,65-74 years,"Rate per 1,000 Population",6.2,4.086611665132365
2018/19,Aberdeen City,Telecare Only,75-84 years,Number of People,230,4915
2018/19,Aberdeen City,Telecare Only,75-84 years,"Rate per 1,000 Population",19.9,14.832810236600677
2018/19,Aberdeen City,Telecare Only,85+ years,Number of People,365,4645
2018/19,Aberdeen City,Telecare Only,85+ years,"Rate per 1,000 Population",78,37.64913759564259
2018/19,Aberdeen City,Telecare Only,Unknown,Number of People,0,0
2018/19,Aberdeen City,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,All Ages,Number of People,95,38030
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",0.4,6.993251319394641
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0,115
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0,0.11178093270010245
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,18-64 years,Number of People,10,5445
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0.1,1.6094287399931662
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,65-74 years,Number of People,15,6200
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",0.8,10.850960309987434
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,75-84 years,Number of People,30,12755
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",2.6,38.49287783679382
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,85+ years,Number of People,40,13520
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",8.5,109.58371158085852
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2018/19,Aberdeen City,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,All Ages,Number of People,3480,125120
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",15.3,23.00803589488976
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,0-17 years,Number of People,20,540
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.5,0.5248843796352637
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,18-64 years,Number of People,460,16650
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",3,4.921393667747699
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,65-74 years,Number of People,615,20150
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",31.9,35.26562100745916
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,75-84 years,Number of People,1090,43875
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",94.3,132.408860453887
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,85+ years,Number of People,1285,43875
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",274.6,355.6202178705745
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,Unknown,Number of People,0,0
2018/19,Aberdeen City,Total Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,Aberdeenshire,Community Alarm Only,All Ages,Number of People,4600,71815
2018/19,Aberdeenshire,Community Alarm Only,All Ages,"Rate per 1,000 Population",17.6,13.205899119177653
2018/19,Aberdeenshire,Community Alarm Only,0-17 years,Number of People,0,100
2018/19,Aberdeenshire,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0,0.09720081104356736
2018/19,Aberdeenshire,Community Alarm Only,18-64 years,Number of People,435,8170
2018/19,Aberdeenshire,Community Alarm Only,18-64 years,"Rate per 1,000 Population",2.8,2.4148820579879096
2018/19,Aberdeenshire,Community Alarm Only,65-74 years,Number of People,755,11615
2018/19,Aberdeenshire,Community Alarm Only,65-74 years,"Rate per 1,000 Population",26.2,20.32804903233936
2018/19,Aberdeenshire,Community Alarm Only,75-84 years,Number of People,1645,26210
2018/19,Aberdeenshire,Community Alarm Only,75-84 years,"Rate per 1,000 Population",106.6,79.09826170931917
2018/19,Aberdeenshire,Community Alarm Only,85+ years,Number of People,1765,25710
2018/19,Aberdeenshire,Community Alarm Only,85+ years,"Rate per 1,000 Population",317.1,208.3873686940734
2018/19,Aberdeenshire,Community Alarm Only,Unknown,Number of People,0,0
2018/19,Aberdeenshire,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Aberdeenshire,Telecare Only,All Ages,Number of People,165,15270
2018/19,Aberdeenshire,Telecare Only,All Ages,"Rate per 1,000 Population",0.6,2.807966017542892
2018/19,Aberdeenshire,Telecare Only,0-17 years,Number of People,20,330
2018/19,Aberdeenshire,Telecare Only,0-17 years,"Rate per 1,000 Population",0.4,0.32076267644377227
2018/19,Aberdeenshire,Telecare Only,18-64 years,Number of People,80,3040
2018/19,Aberdeenshire,Telecare Only,18-64 years,"Rate per 1,000 Population",0.5,0.8985607657629432
2018/19,Aberdeenshire,Telecare Only,65-74 years,Number of People,10,2335
2018/19,Aberdeenshire,Telecare Only,65-74 years,"Rate per 1,000 Population",0.3,4.086611665132365
2018/19,Aberdeenshire,Telecare Only,75-84 years,Number of People,25,4915
2018/19,Aberdeenshire,Telecare Only,75-84 years,"Rate per 1,000 Population",1.6,14.832810236600677
2018/19,Aberdeenshire,Telecare Only,85+ years,Number of People,30,4645
2018/19,Aberdeenshire,Telecare Only,85+ years,"Rate per 1,000 Population",5.4,37.64913759564259
2018/19,Aberdeenshire,Telecare Only,Unknown,Number of People,0,0
2018/19,Aberdeenshire,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,All Ages,Number of People,555,38030
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",2.1,6.993251319394641
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0,115
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0,0.11178093270010245
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,18-64 years,Number of People,70,5445
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",0.4,1.6094287399931662
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,65-74 years,Number of People,70,6200
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",2.4,10.850960309987434
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,75-84 years,Number of People,165,12755
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",10.7,38.49287783679382
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,85+ years,Number of People,245,13520
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",44,109.58371158085852
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2018/19,Aberdeenshire,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,All Ages,Number of People,5320,125120
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",20.3,23.00803589488976
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,0-17 years,Number of People,20,540
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.4,0.5248843796352637
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,18-64 years,Number of People,585,16650
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",3.7,4.921393667747699
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,65-74 years,Number of People,840,20150
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",29.2,35.26562100745916
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,75-84 years,Number of People,1835,43875
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",118.9,132.408860453887
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,85+ years,Number of People,2040,43875
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",366.5,355.6202178705745
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,Unknown,Number of People,0,0
2018/19,Aberdeenshire,Total Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,Angus,Community Alarm Only,All Ages,Number of People,3215,71815
2018/19,Angus,Community Alarm Only,All Ages,"Rate per 1,000 Population",27.7,13.205899119177653
2018/19,Angus,Community Alarm Only,0-17 years,Number of People,0,100
2018/19,Angus,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0,0.09720081104356736
2018/19,Angus,Community Alarm Only,18-64 years,Number of People,315,8170
2018/19,Angus,Community Alarm Only,18-64 years,"Rate per 1,000 Population",4.7,2.4148820579879096
2018/19,Angus,Community Alarm Only,65-74 years,Number of People,460,11615
2018/19,Angus,Community Alarm Only,65-74 years,"Rate per 1,000 Population",30.4,20.32804903233936
2018/19,Angus,Community Alarm Only,75-84 years,Number of People,1200,26210
2018/19,Angus,Community Alarm Only,75-84 years,"Rate per 1,000 Population",137.7,79.09826170931917
2018/19,Angus,Community Alarm Only,85+ years,Number of People,1240,25710
2018/19,Angus,Community Alarm Only,85+ years,"Rate per 1,000 Population",358.3,208.3873686940734
2018/19,Angus,Community Alarm Only,Unknown,Number of People,0,0
2018/19,Angus,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Angus,Telecare Only,All Ages,Number of People,60,15270
2018/19,Angus,Telecare Only,All Ages,"Rate per 1,000 Population",0.5,2.807966017542892
2018/19,Angus,Telecare Only,0-17 years,Number of People,0,330
2018/19,Angus,Telecare Only,0-17 years,"Rate per 1,000 Population",0,0.32076267644377227
2018/19,Angus,Telecare Only,18-64 years,Number of People,20,3040
2018/19,Angus,Telecare Only,18-64 years,"Rate per 1,000 Population",0.3,0.8985607657629432
2018/19,Angus,Telecare Only,65-74 years,Number of People,5,2335
2018/19,Angus,Telecare Only,65-74 years,"Rate per 1,000 Population",0.3,4.086611665132365
2018/19,Angus,Telecare Only,75-84 years,Number of People,15,4915
2018/19,Angus,Telecare Only,75-84 years,"Rate per 1,000 Population",1.7,14.832810236600677
2018/19,Angus,Telecare Only,85+ years,Number of People,15,4645
2018/19,Angus,Telecare Only,85+ years,"Rate per 1,000 Population",4.3,37.64913759564259
2018/19,Angus,Telecare Only,Unknown,Number of People,0,0
2018/19,Angus,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Angus,Receiving both Community Alarm and Telecare,All Ages,Number of People,595,38030
2018/19,Angus,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",5.1,6.993251319394641
2018/19,Angus,Receiving both Community Alarm and Telecare,0-17 years,Number of People,0,115
2018/19,Angus,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0,0.11178093270010245
2018/19,Angus,Receiving both Community Alarm and Telecare,18-64 years,Number of People,70,5445
2018/19,Angus,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",1,1.6094287399931662
2018/19,Angus,Receiving both Community Alarm and Telecare,65-74 years,Number of People,65,6200
2018/19,Angus,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",4.3,10.850960309987434
2018/19,Angus,Receiving both Community Alarm and Telecare,75-84 years,Number of People,210,12755
2018/19,Angus,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",24.1,38.49287783679382
2018/19,Angus,Receiving both Community Alarm and Telecare,85+ years,Number of People,250,13520
2018/19,Angus,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",72.2,109.58371158085852
2018/19,Angus,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2018/19,Angus,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,Angus,Total Community Alarms and/or Telecare,All Ages,Number of People,3870,125120
2018/19,Angus,Total Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",33.4,23.00803589488976
2018/19,Angus,Total Community Alarms and/or Telecare,0-17 years,Number of People,5,540
2018/19,Angus,Total Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.2,0.5248843796352637
2018/19,Angus,Total Community Alarms and/or Telecare,18-64 years,Number of People,410,16650
2018/19,Angus,Total Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",6.1,4.921393667747699
2018/19,Angus,Total Community Alarms and/or Telecare,65-74 years,Number of People,530,20150
2018/19,Angus,Total Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",35.1,35.26562100745916
2018/19,Angus,Total Community Alarms and/or Telecare,75-84 years,Number of People,1420,43875
2018/19,Angus,Total Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",163,132.408860453887
2018/19,Angus,Total Community Alarms and/or Telecare,85+ years,Number of People,1505,43875
2018/19,Angus,Total Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",434.8,355.6202178705745
2018/19,Angus,Total Community Alarms and/or Telecare,Unknown,Number of People,0,0
2018/19,Angus,Total Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,Argyll and Bute,Community Alarm Only,All Ages,Number of People,1200,71815
2018/19,Argyll and Bute,Community Alarm Only,All Ages,"Rate per 1,000 Population",13.9,13.205899119177653
2018/19,Argyll and Bute,Community Alarm Only,0-17 years,Number of People,0,100
2018/19,Argyll and Bute,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0,0.09720081104356736
2018/19,Argyll and Bute,Community Alarm Only,18-64 years,Number of People,100,8170
2018/19,Argyll and Bute,Community Alarm Only,18-64 years,"Rate per 1,000 Population",2,2.4148820579879096
2018/19,Argyll and Bute,Community Alarm Only,65-74 years,Number of People,155,11615
2018/19,Argyll and Bute,Community Alarm Only,65-74 years,"Rate per 1,000 Population",12.6,20.32804903233936
2018/19,Argyll and Bute,Community Alarm Only,75-84 years,Number of People,430,26210
2018/19,Argyll and Bute,Community Alarm Only,75-84 years,"Rate per 1,000 Population",60.2,79.09826170931917
2018/19,Argyll and Bute,Community Alarm Only,85+ years,Number of People,520,25710
2018/19,Argyll and Bute,Community Alarm Only,85+ years,"Rate per 1,000 Population",208.5,208.3873686940734
2018/19,Argyll and Bute,Community Alarm Only,Unknown,Number of People,0,0
2018/19,Argyll and Bute,Community Alarm Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Argyll and Bute,Telecare Only,All Ages,Number of People,0,15270
2018/19,Argyll and Bute,Telecare Only,All Ages,"Rate per 1,000 Population",0,2.807966017542892
2018/19,Argyll and Bute,Telecare Only,0-17 years,Number of People,0,330
2018/19,Argyll and Bute,Telecare Only,0-17 years,"Rate per 1,000 Population",0,0.32076267644377227
2018/19,Argyll and Bute,Telecare Only,18-64 years,Number of People,0,3040
2018/19,Argyll and Bute,Telecare Only,18-64 years,"Rate per 1,000 Population",0,0.8985607657629432
2018/19,Argyll and Bute,Telecare Only,65-74 years,Number of People,0,2335
2018/19,Argyll and Bute,Telecare Only,65-74 years,"Rate per 1,000 Population",0,4.086611665132365
2018/19,Argyll and Bute,Telecare Only,75-84 years,Number of People,0,4915
2018/19,Argyll and Bute,Telecare Only,75-84 years,"Rate per 1,000 Population",0,14.832810236600677
2018/19,Argyll and Bute,Telecare Only,85+ years,Number of People,0,4645
2018/19,Argyll and Bute,Telecare Only,85+ years,"Rate per 1,000 Population",0,37.64913759564259
2018/19,Argyll and Bute,Telecare Only,Unknown,Number of People,0,0
2018/19,Argyll and Bute,Telecare Only,Unknown,"Rate per 1,000 Population",0,0
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,All Ages,Number of People,1320,38030
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,All Ages,"Rate per 1,000 Population",15.3,6.993251319394641
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,0-17 years,Number of People,5,115
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,0-17 years,"Rate per 1,000 Population",0.3,0.11178093270010245
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,18-64 years,Number of People,180,5445
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,18-64 years,"Rate per 1,000 Population",3.6,1.6094287399931662
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,65-74 years,Number of People,160,6200
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,65-74 years,"Rate per 1,000 Population",13,10.850960309987434
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,75-84 years,Number of People,430,12755
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,75-84 years,"Rate per 1,000 Population",60.2,38.49287783679382
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,85+ years,Number of People,545,13520
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,85+ years,"Rate per 1,000 Population",218.5,109.58371158085852
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,Unknown,Number of People,0,0
2018/19,Argyll and Bute,Receiving both Community Alarm and Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,All Ages,Number of People,2520,125120
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,All Ages,"Rate per 1,000 Population",29.2,23.00803589488976
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,0-17 years,Number of People,5,540
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,0-17 years,"Rate per 1,000 Population",0.3,0.5248843796352637
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,18-64 years,Number of People,280,16650
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,18-64 years,"Rate per 1,000 Population",5.6,4.921393667747699
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,65-74 years,Number of People,315,20150
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,65-74 years,"Rate per 1,000 Population",25.6,35.26562100745916
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,75-84 years,Number of People,855,43875
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,75-84 years,"Rate per 1,000 Population",119.7,132.408860453887
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,85+ years,Number of People,1065,43875
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,85+ years,"Rate per 1,000 Population",427,355.6202178705745
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,Unknown,Number of People,0,0
2018/19,Argyll and Bute,Total Community Alarms and/or Telecare,Unknown,"Rate per 1,000 Population",0,0
2018/19,City of Edinburgh,Community Alarm Only,All Ages,Number of People,4530,71815
2018/19,City of Edinburgh,Community Alarm Only,All Ages,"Rate per 1,000 Population",8.7,13.205899119177653
2018/19,City of Edinburgh,Community Alarm Only,0-17 years,Number of People,55,100
2018/19,City of Edinburgh,Community Alarm Only,0-17 years,"Rate per 1,000 Population",0.6,0.09720081104356736
2018/19,City of Edinburgh,Community Alarm Only,18-64 years,Number of People,500,8170
2018/19,City of Edinburgh,Community Alarm Only,18-64 years,"Rate per 1,000 Population",1.4,2.4148820579879096
2018/19,City of Edinburgh,Community Alarm Only,65-74 years,Number of People,595,11615
