financial_year,sending_location,service,age_group,living_alone_status,la_status_nclient,propn_la_status_nclient
2018/19,Scotland (All Areas Submitted),Community alarm only,65-74 years,Unknown,6155,53
2018/19,Scotland (All Areas Submitted),Community alarm only,65-74 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community alarm only,75-84 years,Living Alone,6200,23.7
2018/19,Scotland (All Areas Submitted),Community alarm only,75-84 years,Not Living Alone,7495,28.6
2018/19,Scotland (All Areas Submitted),Community alarm only,75-84 years,Unknown,12515,47.7
2018/19,Scotland (All Areas Submitted),Community alarm only,75-84 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community alarm only,85+ years,Living Alone,7495,29.1
2018/19,Scotland (All Areas Submitted),Community alarm only,85+ years,Not Living Alone,6675,26
2018/19,Scotland (All Areas Submitted),Community alarm only,85+ years,Unknown,11545,44.9
2018/19,Scotland (All Areas Submitted),Community alarm only,85+ years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Community alarm only,Unknown,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Community alarm only,Unknown,Not Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Community alarm only,Unknown,Unknown,10,100
2018/19,Scotland (All Areas Submitted),Community alarm only,Unknown,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare only,All Ages,Living Alone,2770,18.1
2018/19,Scotland (All Areas Submitted),Telecare only,All Ages,Not Living Alone,8010,52.5
2018/19,Scotland (All Areas Submitted),Telecare only,All Ages,Unknown,4490,29.4
2018/19,Scotland (All Areas Submitted),Telecare only,All Ages,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare only,0-17 years,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Telecare only,0-17 years,Not Living Alone,155,47.7
2018/19,Scotland (All Areas Submitted),Telecare only,0-17 years,Unknown,170,52.3
2018/19,Scotland (All Areas Submitted),Telecare only,0-17 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare only,18-64 years,Living Alone,425,14
2018/19,Scotland (All Areas Submitted),Telecare only,18-64 years,Not Living Alone,1615,53.2
2018/19,Scotland (All Areas Submitted),Telecare only,18-64 years,Unknown,995,32.8
2018/19,Scotland (All Areas Submitted),Telecare only,18-64 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare only,65-74 years,Living Alone,345,14.8
2018/19,Scotland (All Areas Submitted),Telecare only,65-74 years,Not Living Alone,1425,61
2018/19,Scotland (All Areas Submitted),Telecare only,65-74 years,Unknown,565,24.2
2018/19,Scotland (All Areas Submitted),Telecare only,65-74 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare only,75-84 years,Living Alone,790,16.1
2018/19,Scotland (All Areas Submitted),Telecare only,75-84 years,Not Living Alone,2780,56.6
2018/19,Scotland (All Areas Submitted),Telecare only,75-84 years,Unknown,1340,27.3
2018/19,Scotland (All Areas Submitted),Telecare only,75-84 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare only,85+ years,Living Alone,1210,26
2018/19,Scotland (All Areas Submitted),Telecare only,85+ years,Not Living Alone,2025,43.6
2018/19,Scotland (All Areas Submitted),Telecare only,85+ years,Unknown,1410,30.4
2018/19,Scotland (All Areas Submitted),Telecare only,85+ years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Telecare only,Unknown,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Telecare only,Unknown,Not Living Alone,5,50
2018/19,Scotland (All Areas Submitted),Telecare only,Unknown,Unknown,5,50
2018/19,Scotland (All Areas Submitted),Telecare only,Unknown,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,All Ages,Living Alone,12050,31.7
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,All Ages,Not Living Alone,14300,37.6
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,All Ages,Unknown,11685,30.7
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,All Ages,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,0-17 years,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,0-17 years,Not Living Alone,45,40.9
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,0-17 years,Unknown,65,59.1
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,0-17 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,18-64 years,Living Alone,1370,25.2
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,18-64 years,Not Living Alone,1845,33.9
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,18-64 years,Unknown,2225,40.9
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,18-64 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,65-74 years,Living Alone,1835,29.6
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,65-74 years,Not Living Alone,2315,37.4
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,65-74 years,Unknown,2045,33
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,65-74 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,75-84 years,Living Alone,4005,31.4
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,75-84 years,Not Living Alone,5345,41.9
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,75-84 years,Unknown,3405,26.7
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,75-84 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,85+ years,Living Alone,4840,35.8
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,85+ years,Not Living Alone,4740,35.1
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,85+ years,Unknown,3940,29.1
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,85+ years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,Unknown,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,Unknown,Not Living Alone,5,100
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,Unknown,Unknown,0,0
2018/19,Scotland (All Areas Submitted),Receiving both community alarm and telecare,Unknown,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,All Ages,Living Alone,32360,25.9
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,All Ages,Not Living Alone,41860,33.5
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,All Ages,Unknown,50895,40.7
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,All Ages,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,0-17 years,Living Alone,5,0.9
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,0-17 years,Not Living Alone,225,41.7
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,0-17 years,Unknown,310,57.4
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,0-17 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,18-64 years,Living Alone,3320,19.9
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,18-64 years,Not Living Alone,5685,34.1
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,18-64 years,Unknown,7645,45.9
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,18-64 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,65-74 years,Living Alone,4505,22.4
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,65-74 years,Not Living Alone,6875,34.1
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,65-74 years,Unknown,8765,43.5
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,65-74 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,75-84 years,Living Alone,10990,25
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,75-84 years,Not Living Alone,15620,35.6
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,75-84 years,Unknown,17265,39.4
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,75-84 years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,85+ years,Living Alone,13540,30.9
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,85+ years,Not Living Alone,13440,30.6
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,85+ years,Unknown,16895,38.5
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,85+ years,Not Recorded,0,0
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,Unknown,Living Alone,0,0
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,Unknown,Not Living Alone,10,40
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,Unknown,Unknown,15,60
2018/19,Scotland (All Areas Submitted),Total community alarms and/or telecare,Unknown,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Community alarm only,All Ages,Living Alone,14750,20.7
2019/20,Scotland (All Areas Submitted),Community alarm only,All Ages,Not Living Alone,19650,27.6
2019/20,Scotland (All Areas Submitted),Community alarm only,All Ages,Unknown,36765,51.6
2019/20,Scotland (All Areas Submitted),Community alarm only,All Ages,Not Recorded,85,0.1
2019/20,Scotland (All Areas Submitted),Community alarm only,0-17 years,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Community alarm only,0-17 years,Not Living Alone,20,16
2019/20,Scotland (All Areas Submitted),Community alarm only,0-17 years,Unknown,105,84
2019/20,Scotland (All Areas Submitted),Community alarm only,0-17 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Community alarm only,18-64 years,Living Alone,1330,16.3
2019/20,Scotland (All Areas Submitted),Community alarm only,18-64 years,Not Living Alone,2200,26.9
2019/20,Scotland (All Areas Submitted),Community alarm only,18-64 years,Unknown,4640,56.8
2019/20,Scotland (All Areas Submitted),Community alarm only,18-64 years,Not Recorded,5,0.1
2019/20,Scotland (All Areas Submitted),Community alarm only,65-74 years,Living Alone,1930,17.4
2019/20,Scotland (All Areas Submitted),Community alarm only,65-74 years,Not Living Alone,3085,27.9
2019/20,Scotland (All Areas Submitted),Community alarm only,65-74 years,Unknown,6050,54.6
2019/20,Scotland (All Areas Submitted),Community alarm only,65-74 years,Not Recorded,10,0.1
2019/20,Scotland (All Areas Submitted),Community alarm only,75-84 years,Living Alone,5090,19.7
2019/20,Scotland (All Areas Submitted),Community alarm only,75-84 years,Not Living Alone,7340,28.4
2019/20,Scotland (All Areas Submitted),Community alarm only,75-84 years,Unknown,13375,51.8
2019/20,Scotland (All Areas Submitted),Community alarm only,75-84 years,Not Recorded,35,0.1
2019/20,Scotland (All Areas Submitted),Community alarm only,85+ years,Living Alone,6400,24.6
2019/20,Scotland (All Areas Submitted),Community alarm only,85+ years,Not Living Alone,7005,26.9
2019/20,Scotland (All Areas Submitted),Community alarm only,85+ years,Unknown,12580,48.3
2019/20,Scotland (All Areas Submitted),Community alarm only,85+ years,Not Recorded,35,0.1
2019/20,Scotland (All Areas Submitted),Community alarm only,Unknown,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Community alarm only,Unknown,Not Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Community alarm only,Unknown,Unknown,10,100
2019/20,Scotland (All Areas Submitted),Community alarm only,Unknown,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare only,All Ages,Living Alone,2185,16.1
2019/20,Scotland (All Areas Submitted),Telecare only,All Ages,Not Living Alone,7355,54.1
2019/20,Scotland (All Areas Submitted),Telecare only,All Ages,Unknown,4045,29.8
2019/20,Scotland (All Areas Submitted),Telecare only,All Ages,Not Recorded,5,0
2019/20,Scotland (All Areas Submitted),Telecare only,0-17 years,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Telecare only,0-17 years,Not Living Alone,140,58.3
2019/20,Scotland (All Areas Submitted),Telecare only,0-17 years,Unknown,100,41.7
2019/20,Scotland (All Areas Submitted),Telecare only,0-17 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare only,18-64 years,Living Alone,340,12.8
2019/20,Scotland (All Areas Submitted),Telecare only,18-64 years,Not Living Alone,1520,57.3
2019/20,Scotland (All Areas Submitted),Telecare only,18-64 years,Unknown,795,29.9
2019/20,Scotland (All Areas Submitted),Telecare only,18-64 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare only,65-74 years,Living Alone,280,13.9
2019/20,Scotland (All Areas Submitted),Telecare only,65-74 years,Not Living Alone,1205,60
2019/20,Scotland (All Areas Submitted),Telecare only,65-74 years,Unknown,525,26.1
2019/20,Scotland (All Areas Submitted),Telecare only,65-74 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare only,75-84 years,Living Alone,645,14.6
2019/20,Scotland (All Areas Submitted),Telecare only,75-84 years,Not Living Alone,2505,56.5
2019/20,Scotland (All Areas Submitted),Telecare only,75-84 years,Unknown,1280,28.9
2019/20,Scotland (All Areas Submitted),Telecare only,75-84 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare only,85+ years,Living Alone,915,21.6
2019/20,Scotland (All Areas Submitted),Telecare only,85+ years,Not Living Alone,1980,46.8
2019/20,Scotland (All Areas Submitted),Telecare only,85+ years,Unknown,1335,31.6
2019/20,Scotland (All Areas Submitted),Telecare only,85+ years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Telecare only,Unknown,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Telecare only,Unknown,Not Living Alone,5,50
2019/20,Scotland (All Areas Submitted),Telecare only,Unknown,Unknown,5,50
2019/20,Scotland (All Areas Submitted),Telecare only,Unknown,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,All Ages,Living Alone,11885,36.6
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,All Ages,Not Living Alone,13535,41.6
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,All Ages,Unknown,7085,21.8
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,All Ages,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,0-17 years,Living Alone,5,3.6
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,0-17 years,Not Living Alone,75,53.6
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,0-17 years,Unknown,60,42.9
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,0-17 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,18-64 years,Living Alone,1415,29.4
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,18-64 years,Not Living Alone,1810,37.6
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,18-64 years,Unknown,1595,33.1
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,18-64 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,65-74 years,Living Alone,1785,33.6
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,65-74 years,Not Living Alone,2145,40.4
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,65-74 years,Unknown,1375,25.9
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,65-74 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,75-84 years,Living Alone,3900,36
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,75-84 years,Not Living Alone,4975,45.9
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,75-84 years,Unknown,1955,18.1
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,75-84 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,85+ years,Living Alone,4775,41.9
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,85+ years,Not Living Alone,4525,39.7
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,85+ years,Unknown,2095,18.4
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,85+ years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,Unknown,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,Unknown,Not Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,Unknown,Unknown,0,0
2019/20,Scotland (All Areas Submitted),Receiving both community alarm and telecare,Unknown,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,All Ages,Living Alone,28820,24.6
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,All Ages,Not Living Alone,40540,34.5
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,All Ages,Unknown,47895,40.8
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,All Ages,Not Recorded,90,0.1
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,0-17 years,Living Alone,5,1
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,0-17 years,Not Living Alone,235,46.5
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,0-17 years,Unknown,265,52.5
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,0-17 years,Not Recorded,0,0
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,18-64 years,Living Alone,3090,19.7
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,18-64 years,Not Living Alone,5535,35.3
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,18-64 years,Unknown,7035,44.9
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,18-64 years,Not Recorded,5,0
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,65-74 years,Living Alone,3995,21.7
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,65-74 years,Not Living Alone,6435,35
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,65-74 years,Unknown,7950,43.2
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,65-74 years,Not Recorded,15,0.1
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,75-84 years,Living Alone,9635,23.4
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,75-84 years,Not Living Alone,14820,36.1
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,75-84 years,Unknown,16615,40.4
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,75-84 years,Not Recorded,35,0.1
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,85+ years,Living Alone,12090,29
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,85+ years,Not Living Alone,13515,32.4
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,85+ years,Unknown,16015,38.4
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,85+ years,Not Recorded,35,0.1
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,Unknown,Living Alone,0,0
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,Unknown,Not Living Alone,5,25
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,Unknown,Unknown,15,75
2019/20,Scotland (All Areas Submitted),Total community alarms and/or telecare,Unknown,Not Recorded,0,0
2020/21,Scotland (All Areas Submitted),Community alarm only,All Ages,Living Alone,11900,17.1
2020/21,Scotland (All Areas Submitted),Community alarm only,All Ages,Not Living Alone,16985,24.3
2020/21,Scotland (All Areas Submitted),Community alarm only,All Ages,Unknown,31160,44.7
2020/21,Scotland (All Areas Submitted),Community alarm only,All Ages,Not Recorded,9735,14
2020/21,Scotland (All Areas Submitted),Community alarm only,0-17 years,Living Alone,0,0
2020/21,Scotland (All Areas Submitted),Community alarm only,0-17 years,Not Living Alone,5,9.1
2020/21,Scotland (All Areas Submitted),Community alarm only,0-17 years,Unknown,35,63.6
2020/21,Scotland (All Areas Submitted),Community alarm only,0-17 years,Not Recorded,15,27.3
2020/21,Scotland (All Areas Submitted),Community alarm only,18-64 years,Living Alone,1180,14.7
2020/21,Scotland (All Areas Submitted),Community alarm only,18-64 years,Not Living Alone,1975,24.6
2020/21,Scotland (All Areas Submitted),Community alarm only,18-64 years,Unknown,3975,49.5
2020/21,Scotland (All Areas Submitted),Community alarm only,18-64 years,Not Recorded,905,11.3
2020/21,Scotland (All Areas Submitted),Community alarm only,65-74 years,Living Alone,1620,14.4
2020/21,Scotland (All Areas Submitted),Community alarm only,65-74 years,Not Living Alone,2690,23.9
