financial_year,sending_location,age_group,simd,measure,value
2017/18,Scotland (All Areas Submitted),85+ years,5 (Least Deprived),Number of People,7795
2017/18,Scotland (All Areas Submitted),85+ years,5 (Least Deprived),SIMD Quintile Proportion,20.5
2017/18,Scotland (All Areas Submitted),85+ years,Unknown,Number of People,830
2017/18,Scotland (All Areas Submitted),85+ years,Unknown,SIMD Quintile Proportion,2.2
2017/18,Scotland (All Areas Submitted),Unknown,1 (Most Deprived),Number of People,25
2017/18,Scotland (All Areas Submitted),Unknown,1 (Most Deprived),SIMD Quintile Proportion,17.9
2017/18,Scotland (All Areas Submitted),Unknown,2,Number of People,30
2017/18,Scotland (All Areas Submitted),Unknown,2,SIMD Quintile Proportion,21.4
2017/18,Scotland (All Areas Submitted),Unknown,3,Number of People,10
2017/18,Scotland (All Areas Submitted),Unknown,3,SIMD Quintile Proportion,7.1
2017/18,Scotland (All Areas Submitted),Unknown,4,Number of People,10
2017/18,Scotland (All Areas Submitted),Unknown,4,SIMD Quintile Proportion,7.1
2017/18,Scotland (All Areas Submitted),Unknown,5 (Least Deprived),Number of People,55
2017/18,Scotland (All Areas Submitted),Unknown,5 (Least Deprived),SIMD Quintile Proportion,39.3
2017/18,Scotland (All Areas Submitted),Unknown,Unknown,Number of People,10
2017/18,Scotland (All Areas Submitted),Unknown,Unknown,SIMD Quintile Proportion,7.1
2017/18,Aberdeen City,All Ages,1 (Most Deprived),Number of People,660
2017/18,Aberdeen City,All Ages,1 (Most Deprived),SIMD Quintile Proportion,21.3
2017/18,Aberdeen City,All Ages,2,Number of People,545
2017/18,Aberdeen City,All Ages,2,SIMD Quintile Proportion,17.6
2017/18,Aberdeen City,All Ages,3,Number of People,660
2017/18,Aberdeen City,All Ages,3,SIMD Quintile Proportion,21.3
2017/18,Aberdeen City,All Ages,4,Number of People,530
2017/18,Aberdeen City,All Ages,4,SIMD Quintile Proportion,17.1
2017/18,Aberdeen City,All Ages,5 (Least Deprived),Number of People,705
2017/18,Aberdeen City,All Ages,5 (Least Deprived),SIMD Quintile Proportion,22.7
2017/18,Aberdeen City,All Ages,Unknown,Number of People,5
2017/18,Aberdeen City,All Ages,Unknown,SIMD Quintile Proportion,0.2
2017/18,Aberdeen City,0-17 years,1 (Most Deprived),Number of People,10
2017/18,Aberdeen City,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,28.6
2017/18,Aberdeen City,0-17 years,2,Number of People,5
2017/18,Aberdeen City,0-17 years,2,SIMD Quintile Proportion,14.3
2017/18,Aberdeen City,0-17 years,3,Number of People,5
2017/18,Aberdeen City,0-17 years,3,SIMD Quintile Proportion,14.3
2017/18,Aberdeen City,0-17 years,4,Number of People,10
2017/18,Aberdeen City,0-17 years,4,SIMD Quintile Proportion,28.6
2017/18,Aberdeen City,0-17 years,5 (Least Deprived),Number of People,5
2017/18,Aberdeen City,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,14.3
2017/18,Aberdeen City,0-17 years,Unknown,Number of People,0
2017/18,Aberdeen City,0-17 years,Unknown,SIMD Quintile Proportion,0
2017/18,Aberdeen City,18-64 years,1 (Most Deprived),Number of People,140
2017/18,Aberdeen City,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,38.4
2017/18,Aberdeen City,18-64 years,2,Number of People,80
2017/18,Aberdeen City,18-64 years,2,SIMD Quintile Proportion,21.9
2017/18,Aberdeen City,18-64 years,3,Number of People,75
2017/18,Aberdeen City,18-64 years,3,SIMD Quintile Proportion,20.5
2017/18,Aberdeen City,18-64 years,4,Number of People,45
2017/18,Aberdeen City,18-64 years,4,SIMD Quintile Proportion,12.3
2017/18,Aberdeen City,18-64 years,5 (Least Deprived),Number of People,25
2017/18,Aberdeen City,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,6.8
2017/18,Aberdeen City,18-64 years,Unknown,Number of People,0
2017/18,Aberdeen City,18-64 years,Unknown,SIMD Quintile Proportion,0
2017/18,Aberdeen City,65-74 years,1 (Most Deprived),Number of People,95
2017/18,Aberdeen City,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,24.7
2017/18,Aberdeen City,65-74 years,2,Number of People,80
2017/18,Aberdeen City,65-74 years,2,SIMD Quintile Proportion,20.8
2017/18,Aberdeen City,65-74 years,3,Number of People,80
2017/18,Aberdeen City,65-74 years,3,SIMD Quintile Proportion,20.8
2017/18,Aberdeen City,65-74 years,4,Number of People,55
2017/18,Aberdeen City,65-74 years,4,SIMD Quintile Proportion,14.3
2017/18,Aberdeen City,65-74 years,5 (Least Deprived),Number of People,75
2017/18,Aberdeen City,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,19.5
2017/18,Aberdeen City,65-74 years,Unknown,Number of People,0
2017/18,Aberdeen City,65-74 years,Unknown,SIMD Quintile Proportion,0
2017/18,Aberdeen City,75-84 years,1 (Most Deprived),Number of People,215
2017/18,Aberdeen City,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,20.9
2017/18,Aberdeen City,75-84 years,2,Number of People,180
2017/18,Aberdeen City,75-84 years,2,SIMD Quintile Proportion,17.5
2017/18,Aberdeen City,75-84 years,3,Number of People,215
2017/18,Aberdeen City,75-84 years,3,SIMD Quintile Proportion,20.9
2017/18,Aberdeen City,75-84 years,4,Number of People,190
2017/18,Aberdeen City,75-84 years,4,SIMD Quintile Proportion,18.4
2017/18,Aberdeen City,75-84 years,5 (Least Deprived),Number of People,230
2017/18,Aberdeen City,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,22.3
2017/18,Aberdeen City,75-84 years,Unknown,Number of People,0
2017/18,Aberdeen City,75-84 years,Unknown,SIMD Quintile Proportion,0
2017/18,Aberdeen City,85+ years,1 (Most Deprived),Number of People,200
2017/18,Aberdeen City,85+ years,1 (Most Deprived),SIMD Quintile Proportion,15.6
2017/18,Aberdeen City,85+ years,2,Number of People,195
2017/18,Aberdeen City,85+ years,2,SIMD Quintile Proportion,15.2
2017/18,Aberdeen City,85+ years,3,Number of People,280
2017/18,Aberdeen City,85+ years,3,SIMD Quintile Proportion,21.8
2017/18,Aberdeen City,85+ years,4,Number of People,235
2017/18,Aberdeen City,85+ years,4,SIMD Quintile Proportion,18.3
2017/18,Aberdeen City,85+ years,5 (Least Deprived),Number of People,375
2017/18,Aberdeen City,85+ years,5 (Least Deprived),SIMD Quintile Proportion,29.2
2017/18,Aberdeen City,85+ years,Unknown,Number of People,0
2017/18,Aberdeen City,85+ years,Unknown,SIMD Quintile Proportion,0
2017/18,Aberdeenshire,All Ages,1 (Most Deprived),Number of People,1595
2017/18,Aberdeenshire,All Ages,1 (Most Deprived),SIMD Quintile Proportion,29.6
2017/18,Aberdeenshire,All Ages,2,Number of People,1455
2017/18,Aberdeenshire,All Ages,2,SIMD Quintile Proportion,27
2017/18,Aberdeenshire,All Ages,3,Number of People,940
2017/18,Aberdeenshire,All Ages,3,SIMD Quintile Proportion,17.5
2017/18,Aberdeenshire,All Ages,4,Number of People,680
2017/18,Aberdeenshire,All Ages,4,SIMD Quintile Proportion,12.6
2017/18,Aberdeenshire,All Ages,5 (Least Deprived),Number of People,695
2017/18,Aberdeenshire,All Ages,5 (Least Deprived),SIMD Quintile Proportion,12.9
2017/18,Aberdeenshire,All Ages,Unknown,Number of People,20
2017/18,Aberdeenshire,All Ages,Unknown,SIMD Quintile Proportion,0.4
2017/18,Aberdeenshire,18-64 years,1 (Most Deprived),Number of People,240
2017/18,Aberdeenshire,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,39
2017/18,Aberdeenshire,18-64 years,2,Number of People,160
2017/18,Aberdeenshire,18-64 years,2,SIMD Quintile Proportion,26
2017/18,Aberdeenshire,18-64 years,3,Number of People,105
2017/18,Aberdeenshire,18-64 years,3,SIMD Quintile Proportion,17.1
2017/18,Aberdeenshire,18-64 years,4,Number of People,50
2017/18,Aberdeenshire,18-64 years,4,SIMD Quintile Proportion,8.1
2017/18,Aberdeenshire,18-64 years,5 (Least Deprived),Number of People,55
2017/18,Aberdeenshire,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,8.9
2017/18,Aberdeenshire,18-64 years,Unknown,Number of People,5
2017/18,Aberdeenshire,18-64 years,Unknown,SIMD Quintile Proportion,0.8
2017/18,Aberdeenshire,65-74 years,1 (Most Deprived),Number of People,325
2017/18,Aberdeenshire,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,36.9
2017/18,Aberdeenshire,65-74 years,2,Number of People,205
2017/18,Aberdeenshire,65-74 years,2,SIMD Quintile Proportion,23.3
2017/18,Aberdeenshire,65-74 years,3,Number of People,170
2017/18,Aberdeenshire,65-74 years,3,SIMD Quintile Proportion,19.3
2017/18,Aberdeenshire,65-74 years,4,Number of People,95
2017/18,Aberdeenshire,65-74 years,4,SIMD Quintile Proportion,10.8
2017/18,Aberdeenshire,65-74 years,5 (Least Deprived),Number of People,80
2017/18,Aberdeenshire,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,9.1
2017/18,Aberdeenshire,65-74 years,Unknown,Number of People,5
2017/18,Aberdeenshire,65-74 years,Unknown,SIMD Quintile Proportion,0.6
2017/18,Aberdeenshire,75-84 years,1 (Most Deprived),Number of People,545
2017/18,Aberdeenshire,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,29.5
2017/18,Aberdeenshire,75-84 years,2,Number of People,495
2017/18,Aberdeenshire,75-84 years,2,SIMD Quintile Proportion,26.8
2017/18,Aberdeenshire,75-84 years,3,Number of People,320
2017/18,Aberdeenshire,75-84 years,3,SIMD Quintile Proportion,17.3
2017/18,Aberdeenshire,75-84 years,4,Number of People,240
2017/18,Aberdeenshire,75-84 years,4,SIMD Quintile Proportion,13
2017/18,Aberdeenshire,75-84 years,5 (Least Deprived),Number of People,245
2017/18,Aberdeenshire,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,13.2
2017/18,Aberdeenshire,75-84 years,Unknown,Number of People,5
2017/18,Aberdeenshire,75-84 years,Unknown,SIMD Quintile Proportion,0.3
2017/18,Aberdeenshire,85+ years,1 (Most Deprived),Number of People,490
2017/18,Aberdeenshire,85+ years,1 (Most Deprived),SIMD Quintile Proportion,24.1
2017/18,Aberdeenshire,85+ years,2,Number of People,595
2017/18,Aberdeenshire,85+ years,2,SIMD Quintile Proportion,29.2
2017/18,Aberdeenshire,85+ years,3,Number of People,345
2017/18,Aberdeenshire,85+ years,3,SIMD Quintile Proportion,17
2017/18,Aberdeenshire,85+ years,4,Number of People,290
2017/18,Aberdeenshire,85+ years,4,SIMD Quintile Proportion,14.3
2017/18,Aberdeenshire,85+ years,5 (Least Deprived),Number of People,310
2017/18,Aberdeenshire,85+ years,5 (Least Deprived),SIMD Quintile Proportion,15.2
2017/18,Aberdeenshire,85+ years,Unknown,Number of People,5
2017/18,Aberdeenshire,85+ years,Unknown,SIMD Quintile Proportion,0.2
2017/18,Angus,All Ages,1 (Most Deprived),Number of People,555
2017/18,Angus,All Ages,1 (Most Deprived),SIMD Quintile Proportion,14.8
2017/18,Angus,All Ages,2,Number of People,485
2017/18,Angus,All Ages,2,SIMD Quintile Proportion,13
2017/18,Angus,All Ages,3,Number of People,450
2017/18,Angus,All Ages,3,SIMD Quintile Proportion,12
2017/18,Angus,All Ages,4,Number of People,510
2017/18,Angus,All Ages,4,SIMD Quintile Proportion,13.6
2017/18,Angus,All Ages,5 (Least Deprived),Number of People,440
2017/18,Angus,All Ages,5 (Least Deprived),SIMD Quintile Proportion,11.7
2017/18,Angus,All Ages,Unknown,Number of People,1305
2017/18,Angus,All Ages,Unknown,SIMD Quintile Proportion,34.8
2017/18,Angus,0-17 years,1 (Most Deprived),Number of People,0
2017/18,Angus,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,NA
2017/18,Angus,0-17 years,2,Number of People,0
2017/18,Angus,0-17 years,2,SIMD Quintile Proportion,NA
2017/18,Angus,0-17 years,3,Number of People,0
2017/18,Angus,0-17 years,3,SIMD Quintile Proportion,NA
2017/18,Angus,0-17 years,4,Number of People,0
2017/18,Angus,0-17 years,4,SIMD Quintile Proportion,NA
2017/18,Angus,0-17 years,5 (Least Deprived),Number of People,0
2017/18,Angus,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,NA
2017/18,Angus,0-17 years,Unknown,Number of People,0
2017/18,Angus,0-17 years,Unknown,SIMD Quintile Proportion,NA
2017/18,Angus,18-64 years,1 (Most Deprived),Number of People,100
2017/18,Angus,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,26.7
2017/18,Angus,18-64 years,2,Number of People,80
2017/18,Angus,18-64 years,2,SIMD Quintile Proportion,21.3
2017/18,Angus,18-64 years,3,Number of People,50
2017/18,Angus,18-64 years,3,SIMD Quintile Proportion,13.3
2017/18,Angus,18-64 years,4,Number of People,50
2017/18,Angus,18-64 years,4,SIMD Quintile Proportion,13.3
2017/18,Angus,18-64 years,5 (Least Deprived),Number of People,40
2017/18,Angus,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,10.7
2017/18,Angus,18-64 years,Unknown,Number of People,55
2017/18,Angus,18-64 years,Unknown,SIMD Quintile Proportion,14.7
2017/18,Angus,65-74 years,1 (Most Deprived),Number of People,100
2017/18,Angus,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,19.4
2017/18,Angus,65-74 years,2,Number of People,80
2017/18,Angus,65-74 years,2,SIMD Quintile Proportion,15.5
2017/18,Angus,65-74 years,3,Number of People,65
2017/18,Angus,65-74 years,3,SIMD Quintile Proportion,12.6
2017/18,Angus,65-74 years,4,Number of People,80
2017/18,Angus,65-74 years,4,SIMD Quintile Proportion,15.5
2017/18,Angus,65-74 years,5 (Least Deprived),Number of People,45
2017/18,Angus,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,8.7
2017/18,Angus,65-74 years,Unknown,Number of People,145
2017/18,Angus,65-74 years,Unknown,SIMD Quintile Proportion,28.2
2017/18,Angus,75-84 years,1 (Most Deprived),Number of People,200
2017/18,Angus,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,14.9
2017/18,Angus,75-84 years,2,Number of People,165
2017/18,Angus,75-84 years,2,SIMD Quintile Proportion,12.3
2017/18,Angus,75-84 years,3,Number of People,170
2017/18,Angus,75-84 years,3,SIMD Quintile Proportion,12.7
2017/18,Angus,75-84 years,4,Number of People,190
2017/18,Angus,75-84 years,4,SIMD Quintile Proportion,14.2
2017/18,Angus,75-84 years,5 (Least Deprived),Number of People,185
2017/18,Angus,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,13.8
2017/18,Angus,75-84 years,Unknown,Number of People,430
2017/18,Angus,75-84 years,Unknown,SIMD Quintile Proportion,32.1
2017/18,Angus,85+ years,1 (Most Deprived),Number of People,155
2017/18,Angus,85+ years,1 (Most Deprived),SIMD Quintile Proportion,10.2
2017/18,Angus,85+ years,2,Number of People,155
2017/18,Angus,85+ years,2,SIMD Quintile Proportion,10.2
2017/18,Angus,85+ years,3,Number of People,165
2017/18,Angus,85+ years,3,SIMD Quintile Proportion,10.9
2017/18,Angus,85+ years,4,Number of People,185
2017/18,Angus,85+ years,4,SIMD Quintile Proportion,12.2
2017/18,Angus,85+ years,5 (Least Deprived),Number of People,175
2017/18,Angus,85+ years,5 (Least Deprived),SIMD Quintile Proportion,11.6
2017/18,Angus,85+ years,Unknown,Number of People,680
2017/18,Angus,85+ years,Unknown,SIMD Quintile Proportion,44.9
2017/18,Argyll and Bute,All Ages,1 (Most Deprived),Number of People,490
2017/18,Argyll and Bute,All Ages,1 (Most Deprived),SIMD Quintile Proportion,23.3
2017/18,Argyll and Bute,All Ages,2,Number of People,460
2017/18,Argyll and Bute,All Ages,2,SIMD Quintile Proportion,21.9
2017/18,Argyll and Bute,All Ages,3,Number of People,390
2017/18,Argyll and Bute,All Ages,3,SIMD Quintile Proportion,18.6
2017/18,Argyll and Bute,All Ages,4,Number of People,365
2017/18,Argyll and Bute,All Ages,4,SIMD Quintile Proportion,17.4
2017/18,Argyll and Bute,All Ages,5 (Least Deprived),Number of People,380
2017/18,Argyll and Bute,All Ages,5 (Least Deprived),SIMD Quintile Proportion,18.1
2017/18,Argyll and Bute,All Ages,Unknown,Number of People,15
2017/18,Argyll and Bute,All Ages,Unknown,SIMD Quintile Proportion,0.7
2017/18,Argyll and Bute,0-17 years,1 (Most Deprived),Number of People,5
2017/18,Argyll and Bute,0-17 years,1 (Most Deprived),SIMD Quintile Proportion,100
2017/18,Argyll and Bute,0-17 years,2,Number of People,0
2017/18,Argyll and Bute,0-17 years,2,SIMD Quintile Proportion,0
2017/18,Argyll and Bute,0-17 years,3,Number of People,0
2017/18,Argyll and Bute,0-17 years,3,SIMD Quintile Proportion,0
2017/18,Argyll and Bute,0-17 years,4,Number of People,0
2017/18,Argyll and Bute,0-17 years,4,SIMD Quintile Proportion,0
2017/18,Argyll and Bute,0-17 years,5 (Least Deprived),Number of People,0
2017/18,Argyll and Bute,0-17 years,5 (Least Deprived),SIMD Quintile Proportion,0
2017/18,Argyll and Bute,0-17 years,Unknown,Number of People,0
2017/18,Argyll and Bute,0-17 years,Unknown,SIMD Quintile Proportion,0
2017/18,Argyll and Bute,18-64 years,1 (Most Deprived),Number of People,105
2017/18,Argyll and Bute,18-64 years,1 (Most Deprived),SIMD Quintile Proportion,43.8
2017/18,Argyll and Bute,18-64 years,2,Number of People,45
2017/18,Argyll and Bute,18-64 years,2,SIMD Quintile Proportion,18.8
2017/18,Argyll and Bute,18-64 years,3,Number of People,30
2017/18,Argyll and Bute,18-64 years,3,SIMD Quintile Proportion,12.5
2017/18,Argyll and Bute,18-64 years,4,Number of People,40
2017/18,Argyll and Bute,18-64 years,4,SIMD Quintile Proportion,16.7
2017/18,Argyll and Bute,18-64 years,5 (Least Deprived),Number of People,20
2017/18,Argyll and Bute,18-64 years,5 (Least Deprived),SIMD Quintile Proportion,8.3
2017/18,Argyll and Bute,18-64 years,Unknown,Number of People,0
2017/18,Argyll and Bute,18-64 years,Unknown,SIMD Quintile Proportion,0
2017/18,Argyll and Bute,65-74 years,1 (Most Deprived),Number of People,55
2017/18,Argyll and Bute,65-74 years,1 (Most Deprived),SIMD Quintile Proportion,22
2017/18,Argyll and Bute,65-74 years,2,Number of People,75
2017/18,Argyll and Bute,65-74 years,2,SIMD Quintile Proportion,30
2017/18,Argyll and Bute,65-74 years,3,Number of People,40
2017/18,Argyll and Bute,65-74 years,3,SIMD Quintile Proportion,16
2017/18,Argyll and Bute,65-74 years,4,Number of People,40
2017/18,Argyll and Bute,65-74 years,4,SIMD Quintile Proportion,16
2017/18,Argyll and Bute,65-74 years,5 (Least Deprived),Number of People,40
2017/18,Argyll and Bute,65-74 years,5 (Least Deprived),SIMD Quintile Proportion,16
2017/18,Argyll and Bute,65-74 years,Unknown,Number of People,0
2017/18,Argyll and Bute,65-74 years,Unknown,SIMD Quintile Proportion,0
2017/18,Argyll and Bute,75-84 years,1 (Most Deprived),Number of People,170
2017/18,Argyll and Bute,75-84 years,1 (Most Deprived),SIMD Quintile Proportion,23
2017/18,Argyll and Bute,75-84 years,2,Number of People,160
2017/18,Argyll and Bute,75-84 years,2,SIMD Quintile Proportion,21.6
2017/18,Argyll and Bute,75-84 years,3,Number of People,160
2017/18,Argyll and Bute,75-84 years,3,SIMD Quintile Proportion,21.6
2017/18,Argyll and Bute,75-84 years,4,Number of People,110
2017/18,Argyll and Bute,75-84 years,4,SIMD Quintile Proportion,14.9
2017/18,Argyll and Bute,75-84 years,5 (Least Deprived),Number of People,135
2017/18,Argyll and Bute,75-84 years,5 (Least Deprived),SIMD Quintile Proportion,18.2
2017/18,Argyll and Bute,75-84 years,Unknown,Number of People,5
2017/18,Argyll and Bute,75-84 years,Unknown,SIMD Quintile Proportion,0.7
2017/18,Argyll and Bute,85+ years,1 (Most Deprived),Number of People,160
2017/18,Argyll and Bute,85+ years,1 (Most Deprived),SIMD Quintile Proportion,18.4
2017/18,Argyll and Bute,85+ years,2,Number of People,185
2017/18,Argyll and Bute,85+ years,2,SIMD Quintile Proportion,21.3
2017/18,Argyll and Bute,85+ years,3,Number of People,160
2017/18,Argyll and Bute,85+ years,3,SIMD Quintile Proportion,18.4
2017/18,Argyll and Bute,85+ years,4,Number of People,175
2017/18,Argyll and Bute,85+ years,4,SIMD Quintile Proportion,20.1
2017/18,Argyll and Bute,85+ years,5 (Least Deprived),Number of People,180
2017/18,Argyll and Bute,85+ years,5 (Least Deprived),SIMD Quintile Proportion,20.7
2017/18,Argyll and Bute,85+ years,Unknown,Number of People,10
2017/18,Argyll and Bute,85+ years,Unknown,SIMD Quintile Proportion,1.1
2017/18,Argyll and Bute,Unknown,1 (Most Deprived),Number of People,0
2017/18,Argyll and Bute,Unknown,1 (Most Deprived),SIMD Quintile Proportion,NA
2017/18,Argyll and Bute,Unknown,2,Number of People,0
2017/18,Argyll and Bute,Unknown,2,SIMD Quintile Proportion,NA
2017/18,Argyll and Bute,Unknown,3,Number of People,0
2017/18,Argyll and Bute,Unknown,3,SIMD Quintile Proportion,NA
2017/18,Argyll and Bute,Unknown,4,Number of People,0
2017/18,Argyll and Bute,Unknown,4,SIMD Quintile Proportion,NA
2017/18,Argyll and Bute,Unknown,5 (Least Deprived),Number of People,0
2017/18,Argyll and Bute,Unknown,5 (Least Deprived),SIMD Quintile Proportion,NA
2017/18,Argyll and Bute,Unknown,Unknown,Number of People,0
2017/18,Argyll and Bute,Unknown,Unknown,SIMD Quintile Proportion,NA
2017/18,City of Edinburgh,All Ages,1 (Most Deprived),Number of People,3170
2017/18,City of Edinburgh,All Ages,1 (Most Deprived),SIMD Quintile Proportion,30.7
2017/18,City of Edinburgh,All Ages,2,Number of People,1995
2017/18,City of Edinburgh,All Ages,2,SIMD Quintile Proportion,19.3
2017/18,City of Edinburgh,All Ages,3,Number of People,1940
2017/18,City of Edinburgh,All Ages,3,SIMD Quintile Proportion,18.8
2017/18,City of Edinburgh,All Ages,4,Number of People,1580
2017/18,City of Edinburgh,All Ages,4,SIMD Quintile Proportion,15.3
2017/18,City of Edinburgh,All Ages,5 (Least Deprived),Number of People,1620
