financial_year,sending_location,age_group,sds_support_need,nclient,rate
2017/18,Scotland (All Areas Submitted),All Ages,Other,8710,97.40005591277608
2017/18,Scotland (All Areas Submitted),0-17 years,Other,375,230.06134969325154
2017/18,Scotland (All Areas Submitted),18-64 years,Other,3740,171.3631156930126
2017/18,Scotland (All Areas Submitted),65-74 years,Other,890,76.1986301369863
2017/18,Scotland (All Areas Submitted),75-84 years,Other,1550,64.98951781970649
2017/18,Scotland (All Areas Submitted),85+ years,Other,2150,80.44901777362021
2017/18,Scotland (All Areas Submitted),Unknown,Other,5,142.85714285714286
2017/18,Scotland (All Areas Submitted),All Ages,Not Known,13810,154.43108750349455
2017/18,Scotland (All Areas Submitted),0-17 years,Not Known,215,131.90184049079753
2017/18,Scotland (All Areas Submitted),18-64 years,Not Known,3385,155.09736540664377
2017/18,Scotland (All Areas Submitted),65-74 years,Not Known,1715,146.83219178082192
2017/18,Scotland (All Areas Submitted),75-84 years,Not Known,3795,159.11949685534591
2017/18,Scotland (All Areas Submitted),85+ years,Not Known,4695,175.6782039289055
2017/18,Scotland (All Areas Submitted),Unknown,Not Known,0,0
2018/19,Scotland (All Areas Submitted),All Ages,Domestic Care,15500,150.80021403901347
2018/19,Scotland (All Areas Submitted),0-17 years,Domestic Care,100,59.171597633136095
2018/19,Scotland (All Areas Submitted),18-64 years,Domestic Care,6610,245.90773809523807
2018/19,Scotland (All Areas Submitted),65-74 years,Domestic Care,2010,144.6043165467626
2018/19,Scotland (All Areas Submitted),75-84 years,Domestic Care,3145,111.1111111111111
2018/19,Scotland (All Areas Submitted),85+ years,Domestic Care,3630,113.65059486537257
2018/19,Scotland (All Areas Submitted),Unknown,Domestic Care,5,71.42857142857143
2018/19,Scotland (All Areas Submitted),All Ages,Equipment and Temporary Adaptations,22385,217.78469621053657
2018/19,Scotland (All Areas Submitted),0-17 years,Equipment and Temporary Adaptations,55,32.544378698224854
2018/19,Scotland (All Areas Submitted),18-64 years,Equipment and Temporary Adaptations,4670,173.73511904761904
2018/19,Scotland (All Areas Submitted),65-74 years,Equipment and Temporary Adaptations,3440,247.4820143884892
2018/19,Scotland (All Areas Submitted),75-84 years,Equipment and Temporary Adaptations,6995,247.12948242360008
2018/19,Scotland (All Areas Submitted),85+ years,Equipment and Temporary Adaptations,7220,226.04884157795868
2018/19,Scotland (All Areas Submitted),Unknown,Equipment and Temporary Adaptations,0,0
2018/19,Scotland (All Areas Submitted),All Ages,Health Care,2620,25.490100695626793
2018/19,Scotland (All Areas Submitted),0-17 years,Health Care,150,88.75739644970413
2018/19,Scotland (All Areas Submitted),18-64 years,Health Care,1155,42.96875
2018/19,Scotland (All Areas Submitted),65-74 years,Health Care,300,21.58273381294964
2018/19,Scotland (All Areas Submitted),75-84 years,Health Care,485,17.134781840664193
2018/19,Scotland (All Areas Submitted),85+ years,Health Care,530,16.593613024420787
2018/19,Scotland (All Areas Submitted),Unknown,Health Care,0,0
2018/19,Scotland (All Areas Submitted),All Ages,Housing Support,8620,83.86437709782555
2018/19,Scotland (All Areas Submitted),0-17 years,Housing Support,90,53.25443786982249
2018/19,Scotland (All Areas Submitted),18-64 years,Housing Support,5155,191.7782738095238
2018/19,Scotland (All Areas Submitted),65-74 years,Housing Support,1175,84.53237410071942
2018/19,Scotland (All Areas Submitted),75-84 years,Housing Support,1090,38.509097332626745
2018/19,Scotland (All Areas Submitted),85+ years,Housing Support,1115,34.90920475892298
2018/19,Scotland (All Areas Submitted),Unknown,Housing Support,0,0
2018/19,Scotland (All Areas Submitted),All Ages,Meals,4730,46.018387897066695
2018/19,Scotland (All Areas Submitted),0-17 years,Meals,45,26.627218934911244
2018/19,Scotland (All Areas Submitted),18-64 years,Meals,1210,45.01488095238095
2018/19,Scotland (All Areas Submitted),65-74 years,Meals,660,47.48201438848921
2018/19,Scotland (All Areas Submitted),75-84 years,Meals,1205,42.571983748454336
2018/19,Scotland (All Areas Submitted),85+ years,Meals,1605,50.25046963055729
2018/19,Scotland (All Areas Submitted),Unknown,Meals,0,0
2018/19,Scotland (All Areas Submitted),All Ages,Personal Care,59065,574.6461059493116
2018/19,Scotland (All Areas Submitted),0-17 years,Personal Care,390,230.76923076923077
2018/19,Scotland (All Areas Submitted),18-64 years,Personal Care,11615,432.10565476190476
2018/19,Scotland (All Areas Submitted),65-74 years,Personal Care,8300,597.1223021582733
2018/19,Scotland (All Areas Submitted),75-84 years,Personal Care,17635,623.0347995053878
2018/19,Scotland (All Areas Submitted),85+ years,Personal Care,21090,660.3005635566687
2018/19,Scotland (All Areas Submitted),Unknown,Personal Care,35,500
2018/19,Scotland (All Areas Submitted),All Ages,Respite,8625,83.91302232816072
2018/19,Scotland (All Areas Submitted),0-17 years,Respite,380,224.85207100591717
2018/19,Scotland (All Areas Submitted),18-64 years,Respite,2780,103.42261904761904
2018/19,Scotland (All Areas Submitted),65-74 years,Respite,900,64.74820143884892
2018/19,Scotland (All Areas Submitted),75-84 years,Respite,2160,76.31160572337042
2018/19,Scotland (All Areas Submitted),85+ years,Respite,2395,74.98434564809017
2018/19,Scotland (All Areas Submitted),Unknown,Respite,10,142.85714285714286
2018/19,Scotland (All Areas Submitted),All Ages,Social Educational Recreational,11550,112.37048207423263
2018/19,Scotland (All Areas Submitted),0-17 years,Social Educational Recreational,400,236.68639053254438
2018/19,Scotland (All Areas Submitted),18-64 years,Social Educational Recreational,5855,217.81994047619045
2018/19,Scotland (All Areas Submitted),65-74 years,Social Educational Recreational,1175,84.53237410071942
2018/19,Scotland (All Areas Submitted),75-84 years,Social Educational Recreational,2055,72.60201377848436
2018/19,Scotland (All Areas Submitted),85+ years,Social Educational Recreational,2065,64.65247338760176
2018/19,Scotland (All Areas Submitted),Unknown,Social Educational Recreational,5,71.42857142857143
2018/19,Scotland (All Areas Submitted),All Ages,Other,9085,88.38838351899595
2018/19,Scotland (All Areas Submitted),0-17 years,Other,235,139.0532544378698
2018/19,Scotland (All Areas Submitted),18-64 years,Other,4115,153.08779761904762
2018/19,Scotland (All Areas Submitted),65-74 years,Other,980,70.50359712230215
2018/19,Scotland (All Areas Submitted),75-84 years,Other,1710,60.413354531001595
2018/19,Scotland (All Areas Submitted),85+ years,Other,2035,63.7132122730119
2018/19,Scotland (All Areas Submitted),Unknown,Other,15,214.28571428571428
2018/19,Scotland (All Areas Submitted),All Ages,Not Known,14905,145.01143162912877
2018/19,Scotland (All Areas Submitted),0-17 years,Not Known,450,266.27218934911247
2018/19,Scotland (All Areas Submitted),18-64 years,Not Known,3175,118.11755952380952
2018/19,Scotland (All Areas Submitted),65-74 years,Not Known,1745,125.53956834532373
2018/19,Scotland (All Areas Submitted),75-84 years,Not Known,4125,145.73396926338103
2018/19,Scotland (All Areas Submitted),85+ years,Not Known,5410,169.38008766437068
2018/19,Scotland (All Areas Submitted),Unknown,Not Known,0,0
2019/20,Scotland (All Areas Submitted),All Ages,Domestic Care,11170,118.62786745964316
2019/20,Scotland (All Areas Submitted),0-17 years,Domestic Care,90,55.38461538461539
2019/20,Scotland (All Areas Submitted),18-64 years,Domestic Care,6195,252.0341741253051
2019/20,Scotland (All Areas Submitted),65-74 years,Domestic Care,1520,120.25316455696203
2019/20,Scotland (All Areas Submitted),75-84 years,Domestic Care,1635,63.2617527568195
2019/20,Scotland (All Areas Submitted),85+ years,Domestic Care,1720,58.46363018354861
2019/20,Scotland (All Areas Submitted),Unknown,Domestic Care,15,333.3333333333333
2019/20,Scotland (All Areas Submitted),All Ages,Equipment and Temporary Adaptations,20695,219.78547153780798
2019/20,Scotland (All Areas Submitted),0-17 years,Equipment and Temporary Adaptations,180,110.76923076923077
2019/20,Scotland (All Areas Submitted),18-64 years,Equipment and Temporary Adaptations,3700,150.52888527257932
2019/20,Scotland (All Areas Submitted),65-74 years,Equipment and Temporary Adaptations,2925,231.4082278481013
2019/20,Scotland (All Areas Submitted),75-84 years,Equipment and Temporary Adaptations,6605,255.5620042561424
2019/20,Scotland (All Areas Submitted),85+ years,Equipment and Temporary Adaptations,7280,247.450713800136
2019/20,Scotland (All Areas Submitted),Unknown,Equipment and Temporary Adaptations,0,0
2019/20,Scotland (All Areas Submitted),All Ages,Health Care,2395,25.435429056924384
2019/20,Scotland (All Areas Submitted),0-17 years,Health Care,90,55.38461538461539
2019/20,Scotland (All Areas Submitted),18-64 years,Health Care,1120,45.56550040683482
2019/20,Scotland (All Areas Submitted),65-74 years,Health Care,280,22.151898734177216
2019/20,Scotland (All Areas Submitted),75-84 years,Health Care,425,16.44418649642097
2019/20,Scotland (All Areas Submitted),85+ years,Health Care,485,16.48538409245411
2019/20,Scotland (All Areas Submitted),Unknown,Health Care,0,0
2019/20,Scotland (All Areas Submitted),All Ages,Housing Support,6920,73.49192863211555
2019/20,Scotland (All Areas Submitted),0-17 years,Housing Support,95,58.46153846153846
2019/20,Scotland (All Areas Submitted),18-64 years,Housing Support,4770,194.06021155410903
2019/20,Scotland (All Areas Submitted),65-74 years,Housing Support,915,72.38924050632912
2019/20,Scotland (All Areas Submitted),75-84 years,Housing Support,625,24.182627200619073
2019/20,Scotland (All Areas Submitted),85+ years,Housing Support,520,17.675050985723995
2019/20,Scotland (All Areas Submitted),Unknown,Housing Support,0,0
2019/20,Scotland (All Areas Submitted),All Ages,Meals,5635,59.84494477485132
2019/20,Scotland (All Areas Submitted),0-17 years,Meals,40,24.615384615384617
2019/20,Scotland (All Areas Submitted),18-64 years,Meals,1780,72.41659886086249
2019/20,Scotland (All Areas Submitted),65-74 years,Meals,735,58.14873417721519
2019/20,Scotland (All Areas Submitted),75-84 years,Meals,1345,52.04101373573225
2019/20,Scotland (All Areas Submitted),85+ years,Meals,1730,58.803535010197145
2019/20,Scotland (All Areas Submitted),Unknown,Meals,5,111.1111111111111
2019/20,Scotland (All Areas Submitted),All Ages,Personal Care,55285,587.1389124893798
2019/20,Scotland (All Areas Submitted),0-17 years,Personal Care,435,267.6923076923077
2019/20,Scotland (All Areas Submitted),18-64 years,Personal Care,11995,487.9983726606997
2019/20,Scotland (All Areas Submitted),65-74 years,Personal Care,7690,608.3860759493671
2019/20,Scotland (All Areas Submitted),75-84 years,Personal Care,16120,623.7183207583672
2019/20,Scotland (All Areas Submitted),85+ years,Personal Care,19025,646.6689326988443
2019/20,Scotland (All Areas Submitted),Unknown,Personal Care,25,555.5555555555555
2019/20,Scotland (All Areas Submitted),All Ages,Respite,6880,73.06711979609176
2019/20,Scotland (All Areas Submitted),0-17 years,Respite,195,120
2019/20,Scotland (All Areas Submitted),18-64 years,Respite,2440,99.26769731489016
2019/20,Scotland (All Areas Submitted),65-74 years,Respite,730,57.75316455696203
2019/20,Scotland (All Areas Submitted),75-84 years,Respite,1690,65.38982395047398
2019/20,Scotland (All Areas Submitted),85+ years,Respite,1815,61.69272603670972
2019/20,Scotland (All Areas Submitted),Unknown,Respite,10,222.2222222222222
2019/20,Scotland (All Areas Submitted),All Ages,Social Educational Recreational,10355,109.97238742565845
2019/20,Scotland (All Areas Submitted),0-17 years,Social Educational Recreational,245,150.76923076923077
2019/20,Scotland (All Areas Submitted),18-64 years,Social Educational Recreational,5510,224.1659886086249
2019/20,Scotland (All Areas Submitted),65-74 years,Social Educational Recreational,1050,83.06962025316456
2019/20,Scotland (All Areas Submitted),75-84 years,Social Educational Recreational,1740,67.3244341265235
2019/20,Scotland (All Areas Submitted),85+ years,Social Educational Recreational,1805,61.35282121006119
2019/20,Scotland (All Areas Submitted),Unknown,Social Educational Recreational,5,111.1111111111111
2019/20,Scotland (All Areas Submitted),All Ages,Other,4440,47.15378079864061
2019/20,Scotland (All Areas Submitted),0-17 years,Other,155,95.38461538461539
2019/20,Scotland (All Areas Submitted),18-64 years,Other,2305,93.77542717656631
2019/20,Scotland (All Areas Submitted),65-74 years,Other,430,34.01898734177215
2019/20,Scotland (All Areas Submitted),75-84 years,Other,725,28.051847552718126
2019/20,Scotland (All Areas Submitted),85+ years,Other,825,28.042148198504417
2019/20,Scotland (All Areas Submitted),Unknown,Other,0,0
2019/20,Scotland (All Areas Submitted),All Ages,Not Known,9195,97.65293118096855
2019/20,Scotland (All Areas Submitted),0-17 years,Not Known,660,406.15384615384613
2019/20,Scotland (All Areas Submitted),18-64 years,Not Known,2800,113.91375101708707
2019/20,Scotland (All Areas Submitted),65-74 years,Not Known,1060,83.86075949367088
2019/20,Scotland (All Areas Submitted),75-84 years,Not Known,1985,76.80402398916618
2019/20,Scotland (All Areas Submitted),85+ years,Not Known,2690,91.43439836845684
2019/20,Scotland (All Areas Submitted),Unknown,Not Known,5,111.1111111111111
2020/21,Scotland (All Areas Submitted),All Ages,Domestic Care,8840,94.95676459530587
2020/21,Scotland (All Areas Submitted),0-17 years,Domestic Care,70,44.16403785488959
2020/21,Scotland (All Areas Submitted),18-64 years,Domestic Care,5355,215.62311254278237
2020/21,Scotland (All Areas Submitted),65-74 years,Domestic Care,1200,94.86166007905138
2020/21,Scotland (All Areas Submitted),75-84 years,Domestic Care,1070,42.93739967897271
2020/21,Scotland (All Areas Submitted),85+ years,Domestic Care,1135,39.137931034482754
2020/21,Scotland (All Areas Submitted),Unknown,Domestic Care,10,100
2020/21,Scotland (All Areas Submitted),All Ages,Equipment and Temporary Adaptations,17895,192.22299801278265
2020/21,Scotland (All Areas Submitted),0-17 years,Equipment and Temporary Adaptations,120,75.70977917981072
2020/21,Scotland (All Areas Submitted),18-64 years,Equipment and Temporary Adaptations,2925,117.77733038051137
2020/21,Scotland (All Areas Submitted),65-74 years,Equipment and Temporary Adaptations,2510,198.4189723320158
2020/21,Scotland (All Areas Submitted),75-84 years,Equipment and Temporary Adaptations,5775,231.74157303370788
2020/21,Scotland (All Areas Submitted),85+ years,Equipment and Temporary Adaptations,6565,226.3793103448276
2020/21,Scotland (All Areas Submitted),Unknown,Equipment and Temporary Adaptations,0,0
2020/21,Scotland (All Areas Submitted),All Ages,Health Care,2355,25.29673988936033
2020/21,Scotland (All Areas Submitted),0-17 years,Health Care,65,41.00946372239748
2020/21,Scotland (All Areas Submitted),18-64 years,Health Care,1035,41.675055365411716
2020/21,Scotland (All Areas Submitted),65-74 years,Health Care,280,22.134387351778656
2020/21,Scotland (All Areas Submitted),75-84 years,Health Care,435,17.455858747993577
2020/21,Scotland (All Areas Submitted),85+ years,Health Care,535,18.448275862068964
2020/21,Scotland (All Areas Submitted),Unknown,Health Care,0,0
2020/21,Scotland (All Areas Submitted),All Ages,Housing Support,6230,66.92088726569634
2020/21,Scotland (All Areas Submitted),0-17 years,Housing Support,50,31.545741324921135
2020/21,Scotland (All Areas Submitted),18-64 years,Housing Support,4315,173.74672840748943
2020/21,Scotland (All Areas Submitted),65-74 years,Housing Support,865,68.3794466403162
2020/21,Scotland (All Areas Submitted),75-84 years,Housing Support,565,22.672552166934192
2020/21,Scotland (All Areas Submitted),85+ years,Housing Support,435,15
2020/21,Scotland (All Areas Submitted),Unknown,Housing Support,0,0
2020/21,Scotland (All Areas Submitted),All Ages,Meals,4830,51.882485632955586
2020/21,Scotland (All Areas Submitted),0-17 years,Meals,25,15.772870662460567
2020/21,Scotland (All Areas Submitted),18-64 years,Meals,1335,53.75478155828468
2020/21,Scotland (All Areas Submitted),65-74 years,Meals,660,52.17391304347826
2020/21,Scotland (All Areas Submitted),75-84 years,Meals,1245,49.959871589085076
2020/21,Scotland (All Areas Submitted),85+ years,Meals,1565,53.96551724137931
2020/21,Scotland (All Areas Submitted),Unknown,Meals,0,0
2020/21,Scotland (All Areas Submitted),All Ages,Personal Care,58670,630.2164455663569
2020/21,Scotland (All Areas Submitted),0-17 years,Personal Care,310,195.58359621451103
2020/21,Scotland (All Areas Submitted),18-64 years,Personal Care,12580,506.5431850211395
2020/21,Scotland (All Areas Submitted),65-74 years,Personal Care,8275,654.1501976284585
2020/21,Scotland (All Areas Submitted),75-84 years,Personal Care,16745,671.9502407704655
2020/21,Scotland (All Areas Submitted),85+ years,Personal Care,20720,714.4827586206897
2020/21,Scotland (All Areas Submitted),Unknown,Personal Care,45,450
2020/21,Scotland (All Areas Submitted),All Ages,Respite,4085,43.87990762124711
2020/21,Scotland (All Areas Submitted),0-17 years,Respite,170,107.25552050473186
2020/21,Scotland (All Areas Submitted),18-64 years,Respite,1715,69.0557680692571
2020/21,Scotland (All Areas Submitted),65-74 years,Respite,435,34.38735177865613
2020/21,Scotland (All Areas Submitted),75-84 years,Respite,830,33.30658105939005
2020/21,Scotland (All Areas Submitted),85+ years,Respite,910,31.379310344827584
2020/21,Scotland (All Areas Submitted),Unknown,Respite,25,250
2020/21,Scotland (All Areas Submitted),All Ages,Social Educational Recreational,7045,75.67538535904184
2020/21,Scotland (All Areas Submitted),0-17 years,Social Educational Recreational,315,198.73817034700318
2020/21,Scotland (All Areas Submitted),18-64 years,Social Educational Recreational,4105,165.29092007247837
2020/21,Scotland (All Areas Submitted),65-74 years,Social Educational Recreational,690,54.54545454545454
2020/21,Scotland (All Areas Submitted),75-84 years,Social Educational Recreational,930,37.31942215088282
2020/21,Scotland (All Areas Submitted),85+ years,Social Educational Recreational,1000,34.48275862068965
2020/21,Scotland (All Areas Submitted),Unknown,Social Educational Recreational,5,50
2020/21,Scotland (All Areas Submitted),All Ages,Other,6590,70.7879048284011
2020/21,Scotland (All Areas Submitted),0-17 years,Other,300,189.2744479495268
2020/21,Scotland (All Areas Submitted),18-64 years,Other,3510,141.33279645661364
2020/21,Scotland (All Areas Submitted),65-74 years,Other,690,54.54545454545454
2020/21,Scotland (All Areas Submitted),75-84 years,Other,930,37.31942215088282
2020/21,Scotland (All Areas Submitted),85+ years,Other,1155,39.827586206896555
2020/21,Scotland (All Areas Submitted),Unknown,Other,10,100
2020/21,Scotland (All Areas Submitted),All Ages,Not Known,6915,74.27896235028734
2020/21,Scotland (All Areas Submitted),0-17 years,Not Known,510,321.7665615141956
2020/21,Scotland (All Areas Submitted),18-64 years,Not Known,2295,92.40990537547815
2020/21,Scotland (All Areas Submitted),65-74 years,Not Known,840,66.40316205533597
2020/21,Scotland (All Areas Submitted),75-84 years,Not Known,1535,61.597110754414125
2020/21,Scotland (All Areas Submitted),85+ years,Not Known,1720,59.310344827586206
2020/21,Scotland (All Areas Submitted),Unknown,Not Known,15,150
2017/18,Aberdeen City,All Ages,Domestic Care,0,0
2017/18,Aberdeen City,0-17 years,Domestic Care,0,0
2017/18,Aberdeen City,18-64 years,Domestic Care,0,0
2017/18,Aberdeen City,65-74 years,Domestic Care,0,0
2017/18,Aberdeen City,75-84 years,Domestic Care,0,0
2017/18,Aberdeen City,85+ years,Domestic Care,0,0
2017/18,Aberdeen City,Unknown,Domestic Care,0,0
2017/18,Aberdeen City,All Ages,Equipment and Temporary Adaptations,0,0
2017/18,Aberdeen City,0-17 years,Equipment and Temporary Adaptations,0,0
2017/18,Aberdeen City,18-64 years,Equipment and Temporary Adaptations,0,0
2017/18,Aberdeen City,65-74 years,Equipment and Temporary Adaptations,0,0
2017/18,Aberdeen City,75-84 years,Equipment and Temporary Adaptations,0,0
2017/18,Aberdeen City,85+ years,Equipment and Temporary Adaptations,0,0
2017/18,Aberdeen City,Unknown,Equipment and Temporary Adaptations,0,0
2017/18,Aberdeen City,All Ages,Health Care,0,0
2017/18,Aberdeen City,0-17 years,Health Care,0,0
2017/18,Aberdeen City,18-64 years,Health Care,0,0
2017/18,Aberdeen City,65-74 years,Health Care,0,0
2017/18,Aberdeen City,75-84 years,Health Care,0,0
2017/18,Aberdeen City,85+ years,Health Care,0,0
2017/18,Aberdeen City,Unknown,Health Care,0,0
2017/18,Aberdeen City,All Ages,Housing Support,115,122.34042553191489
2017/18,Aberdeen City,0-17 years,Housing Support,0,0
2017/18,Aberdeen City,18-64 years,Housing Support,80,271.1864406779661
2017/18,Aberdeen City,65-74 years,Housing Support,25,238.09523809523807
2017/18,Aberdeen City,75-84 years,Housing Support,10,48.78048780487805
2017/18,Aberdeen City,85+ years,Housing Support,0,0
2017/18,Aberdeen City,Unknown,Housing Support,0,0
2017/18,Aberdeen City,All Ages,Meals,0,0
2017/18,Aberdeen City,0-17 years,Meals,0,0
2017/18,Aberdeen City,18-64 years,Meals,0,0
2017/18,Aberdeen City,65-74 years,Meals,0,0
2017/18,Aberdeen City,75-84 years,Meals,0,0
2017/18,Aberdeen City,85+ years,Meals,0,0
2017/18,Aberdeen City,Unknown,Meals,0,0
2017/18,Aberdeen City,All Ages,Personal Care,585,622.3404255319149
2017/18,Aberdeen City,0-17 years,Personal Care,0,0
2017/18,Aberdeen City,18-64 years,Personal Care,70,237.28813559322035
2017/18,Aberdeen City,65-74 years,Personal Care,80,761.9047619047618
2017/18,Aberdeen City,75-84 years,Personal Care,195,951.2195121951219
2017/18,Aberdeen City,85+ years,Personal Care,240,941.1764705882352
2017/18,Aberdeen City,Unknown,Personal Care,0,0
2017/18,Aberdeen City,All Ages,Respite,205,218.08510638297872
2017/18,Aberdeen City,0-17 years,Respite,45,562.5
2017/18,Aberdeen City,18-64 years,Respite,55,186.4406779661017
2017/18,Aberdeen City,65-74 years,Respite,20,190.47619047619045
2017/18,Aberdeen City,75-84 years,Respite,40,195.1219512195122
2017/18,Aberdeen City,85+ years,Respite,45,176.47058823529412
2017/18,Aberdeen City,Unknown,Respite,0,0
2017/18,Aberdeen City,All Ages,Social Educational Recreational,175,186.17021276595744
2017/18,Aberdeen City,0-17 years,Social Educational Recreational,5,62.5
2017/18,Aberdeen City,18-64 years,Social Educational Recreational,95,322.03389830508473
2017/18,Aberdeen City,65-74 years,Social Educational Recreational,20,190.47619047619045
2017/18,Aberdeen City,75-84 years,Social Educational Recreational,25,121.95121951219512
2017/18,Aberdeen City,85+ years,Social Educational Recreational,30,117.6470588235294
2017/18,Aberdeen City,Unknown,Social Educational Recreational,0,0
2017/18,Aberdeen City,All Ages,Other,0,0
2017/18,Aberdeen City,0-17 years,Other,0,0
2017/18,Aberdeen City,18-64 years,Other,0,0
2017/18,Aberdeen City,65-74 years,Other,0,0
2017/18,Aberdeen City,75-84 years,Other,0,0
2017/18,Aberdeen City,85+ years,Other,0,0
2017/18,Aberdeen City,Unknown,Other,0,0
2017/18,Aberdeen City,All Ages,Not Known,120,127.6595744680851
2017/18,Aberdeen City,0-17 years,Not Known,35,437.5
2017/18,Aberdeen City,18-64 years,Not Known,85,288.135593220339
2017/18,Aberdeen City,65-74 years,Not Known,0,0
2017/18,Aberdeen City,75-84 years,Not Known,0,0
2017/18,Aberdeen City,85+ years,Not Known,0,0
2017/18,Aberdeen City,Unknown,Not Known,0,0
2018/19,Aberdeen City,All Ages,Domestic Care,0,0
2018/19,Aberdeen City,0-17 years,Domestic Care,0,0
2018/19,Aberdeen City,18-64 years,Domestic Care,0,0
2018/19,Aberdeen City,65-74 years,Domestic Care,0,0
2018/19,Aberdeen City,75-84 years,Domestic Care,0,0
2018/19,Aberdeen City,85+ years,Domestic Care,0,0
2018/19,Aberdeen City,Unknown,Domestic Care,0,0
2018/19,Aberdeen City,All Ages,Equipment and Temporary Adaptations,0,0
2018/19,Aberdeen City,0-17 years,Equipment and Temporary Adaptations,0,0
