financial_year,sending_location,age_group,client_group,nclient,rate
2017/18,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,9555,357.53040224508885
2017/18,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,10,285.7142857142857
2017/18,Scotland (All Areas Submitted),All Ages,Other,14295,159.85462678221973
2017/18,Scotland (All Areas Submitted),0-17 years,Other,595,365.03067484662574
2017/18,Scotland (All Areas Submitted),18-64 years,Other,4030,184.65063001145475
2017/18,Scotland (All Areas Submitted),65-74 years,Other,2095,179.3664383561644
2017/18,Scotland (All Areas Submitted),75-84 years,Other,3625,151.9916142557652
2017/18,Scotland (All Areas Submitted),85+ years,Other,3950,147.80168381665106
2017/18,Scotland (All Areas Submitted),Unknown,Other,5,142.85714285714286
2018/19,Scotland (All Areas Submitted),All Ages,Dementia,8165,79.43766113732549
2018/19,Scotland (All Areas Submitted),0-17 years,Dementia,0,0
2018/19,Scotland (All Areas Submitted),18-64 years,Dementia,360,13.392857142857142
2018/19,Scotland (All Areas Submitted),65-74 years,Dementia,965,69.42446043165468
2018/19,Scotland (All Areas Submitted),75-84 years,Dementia,3340,118.00035329447094
2018/19,Scotland (All Areas Submitted),85+ years,Dementia,3500,109.58046336881654
2018/19,Scotland (All Areas Submitted),Unknown,Dementia,5,71.42857142857143
2018/19,Scotland (All Areas Submitted),All Ages,Elderly / Frail,50190,488.3008221043927
2018/19,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,20,11.834319526627219
2018/19,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,1575,58.59375
2018/19,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,7615,547.841726618705
2018/19,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,18325,647.4121180003533
2018/19,Scotland (All Areas Submitted),85+ years,Elderly / Frail,22635,708.6725109580462
2018/19,Scotland (All Areas Submitted),Unknown,Elderly / Frail,20,285.7142857142857
2018/19,Scotland (All Areas Submitted),All Ages,Learning Disability,11995,116.69990757406237
2018/19,Scotland (All Areas Submitted),0-17 years,Learning Disability,365,215.97633136094674
2018/19,Scotland (All Areas Submitted),18-64 years,Learning Disability,10175,378.53422619047615
2018/19,Scotland (All Areas Submitted),65-74 years,Learning Disability,1030,74.10071942446044
2018/19,Scotland (All Areas Submitted),75-84 years,Learning Disability,360,12.718600953895072
2018/19,Scotland (All Areas Submitted),85+ years,Learning Disability,65,2.0350657482780212
2018/19,Scotland (All Areas Submitted),Unknown,Learning Disability,5,71.42857142857143
2018/19,Scotland (All Areas Submitted),All Ages,Mental Health,7965,77.49185192391886
2018/19,Scotland (All Areas Submitted),0-17 years,Mental Health,40,23.668639053254438
2018/19,Scotland (All Areas Submitted),18-64 years,Mental Health,4795,178.38541666666666
2018/19,Scotland (All Areas Submitted),65-74 years,Mental Health,1410,101.43884892086331
2018/19,Scotland (All Areas Submitted),75-84 years,Mental Health,1075,37.97915562621445
2018/19,Scotland (All Areas Submitted),85+ years,Mental Health,635,19.881026925485287
2018/19,Scotland (All Areas Submitted),Unknown,Mental Health,5,71.42857142857143
2018/19,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,37000,359.97470448022574
2018/19,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,455,269.2307692307692
2018/19,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,9545,355.09672619047615
2018/19,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,5555,399.64028776978415
2018/19,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,9900,349.7615262321145
2018/19,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,11530,360.9893550407013
2018/19,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,15,214.28571428571428
2018/19,Scotland (All Areas Submitted),All Ages,Other,19550,190.20285061049762
2018/19,Scotland (All Areas Submitted),0-17 years,Other,570,337.27810650887574
2018/19,Scotland (All Areas Submitted),18-64 years,Other,6180,229.91071428571428
2018/19,Scotland (All Areas Submitted),65-74 years,Other,2825,203.23741007194246
2018/19,Scotland (All Areas Submitted),75-84 years,Other,5050,178.41370782547253
2018/19,Scotland (All Areas Submitted),85+ years,Other,4915,153.88227927363806
2018/19,Scotland (All Areas Submitted),Unknown,Other,10,142.85714285714286
2019/20,Scotland (All Areas Submitted),All Ages,Dementia,6520,69.24384027187766
2019/20,Scotland (All Areas Submitted),0-17 years,Dementia,10,6.153846153846154
2019/20,Scotland (All Areas Submitted),18-64 years,Dementia,275,11.187957689178194
2019/20,Scotland (All Areas Submitted),65-74 years,Dementia,745,58.93987341772152
2019/20,Scotland (All Areas Submitted),75-84 years,Dementia,2645,102.34087831301993
2019/20,Scotland (All Areas Submitted),85+ years,Dementia,2845,96.70292318150918
2019/20,Scotland (All Areas Submitted),Unknown,Dementia,5,111.1111111111111
2019/20,Scotland (All Areas Submitted),All Ages,Elderly / Frail,42610,452.52761257434156
2019/20,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,20,12.307692307692308
2019/20,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,1395,56.75345809601302
2019/20,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,5930,469.1455696202532
2019/20,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,15515,600.309537628168
2019/20,Scotland (All Areas Submitted),85+ years,Elderly / Frail,19735,670.8021753908906
2019/20,Scotland (All Areas Submitted),Unknown,Elderly / Frail,15,333.3333333333333
2019/20,Scotland (All Areas Submitted),All Ages,Learning Disability,11475,121.86703483432456
2019/20,Scotland (All Areas Submitted),0-17 years,Learning Disability,300,184.6153846153846
2019/20,Scotland (All Areas Submitted),18-64 years,Learning Disability,9780,397.8844589096827
2019/20,Scotland (All Areas Submitted),65-74 years,Learning Disability,1025,81.09177215189874
2019/20,Scotland (All Areas Submitted),75-84 years,Learning Disability,320,12.381505126716966
2019/20,Scotland (All Areas Submitted),85+ years,Learning Disability,45,1.529571719918423
2019/20,Scotland (All Areas Submitted),Unknown,Learning Disability,5,111.1111111111111
2019/20,Scotland (All Areas Submitted),All Ages,Mental Health,7260,77.10280373831775
2019/20,Scotland (All Areas Submitted),0-17 years,Mental Health,50,30.76923076923077
2019/20,Scotland (All Areas Submitted),18-64 years,Mental Health,4435,180.4312449145647
2019/20,Scotland (All Areas Submitted),65-74 years,Mental Health,1300,102.84810126582279
2019/20,Scotland (All Areas Submitted),75-84 years,Mental Health,970,37.5314374153608
2019/20,Scotland (All Areas Submitted),85+ years,Mental Health,500,16.99524133242692
2019/20,Scotland (All Areas Submitted),Unknown,Mental Health,5,111.1111111111111
2019/20,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,32990,350.3610875106202
2019/20,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,385,236.92307692307693
2019/20,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,8710,354.353132628153
2019/20,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,5100,403.4810126582278
2019/20,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,8620,333.5267943509383
2019/20,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,10160,345.343303874915
2019/20,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,15,333.3333333333333
2019/20,Scotland (All Areas Submitted),All Ages,Other,15025,159.56881903143585
2019/20,Scotland (All Areas Submitted),0-17 years,Other,620,381.53846153846155
2019/20,Scotland (All Areas Submitted),18-64 years,Other,6610,268.91781936533766
2019/20,Scotland (All Areas Submitted),65-74 years,Other,2255,178.40189873417722
2019/20,Scotland (All Areas Submitted),75-84 years,Other,3020,116.85045463339138
2019/20,Scotland (All Areas Submitted),85+ years,Other,2510,85.31611148878314
2019/20,Scotland (All Areas Submitted),Unknown,Other,10,222.2222222222222
2020/21,Scotland (All Areas Submitted),All Ages,Dementia,5355,57.52188624523336
2020/21,Scotland (All Areas Submitted),0-17 years,Dementia,0,0
2020/21,Scotland (All Areas Submitted),18-64 years,Dementia,220,8.858465874773504
2020/21,Scotland (All Areas Submitted),65-74 years,Dementia,655,51.77865612648221
2020/21,Scotland (All Areas Submitted),75-84 years,Dementia,2145,86.07544141252006
2020/21,Scotland (All Areas Submitted),85+ years,Dementia,2330,80.34482758620689
2020/21,Scotland (All Areas Submitted),Unknown,Dementia,5,50
2020/21,Scotland (All Areas Submitted),All Ages,Elderly / Frail,40195,431.76325259143886
2020/21,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,5,3.1545741324921135
2020/21,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,1465,58.989329575196294
2020/21,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,5750,454.5454545454545
2020/21,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,14570,584.6709470304976
2020/21,Scotland (All Areas Submitted),85+ years,Elderly / Frail,18360,633.1034482758621
2020/21,Scotland (All Areas Submitted),Unknown,Elderly / Frail,40,400
2020/21,Scotland (All Areas Submitted),All Ages,Learning Disability,12105,130.02846554594768
2020/21,Scotland (All Areas Submitted),0-17 years,Learning Disability,285,179.81072555205046
2020/21,Scotland (All Areas Submitted),18-64 years,Learning Disability,10275,413.73062210589893
2020/21,Scotland (All Areas Submitted),65-74 years,Learning Disability,1115,88.14229249011858
2020/21,Scotland (All Areas Submitted),75-84 years,Learning Disability,365,14.646869983948635
2020/21,Scotland (All Areas Submitted),85+ years,Learning Disability,45,1.5517241379310345
2020/21,Scotland (All Areas Submitted),Unknown,Learning Disability,15,150
2020/21,Scotland (All Areas Submitted),All Ages,Mental Health,7550,81.09995166228047
2020/21,Scotland (All Areas Submitted),0-17 years,Mental Health,40,25.236593059936908
2020/21,Scotland (All Areas Submitted),18-64 years,Mental Health,4885,196.69820817394807
2020/21,Scotland (All Areas Submitted),65-74 years,Mental Health,1315,103.95256916996047
2020/21,Scotland (All Areas Submitted),75-84 years,Mental Health,860,34.51043338683788
2020/21,Scotland (All Areas Submitted),85+ years,Mental Health,440,15.172413793103448
2020/21,Scotland (All Areas Submitted),Unknown,Mental Health,5,50
2020/21,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,29660,318.5992803050647
2020/21,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,350,220.82018927444793
2020/21,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,8405,338.4336621703241
2020/21,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,4585,362.4505928853755
2020/21,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,7370,295.7463884430176
2020/21,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,8925,307.7586206896552
2020/21,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,20,200
2020/21,Scotland (All Areas Submitted),All Ages,Other,15455,166.0132123100059
2020/21,Scotland (All Areas Submitted),0-17 years,Other,500,315.45741324921136
2020/21,Scotland (All Areas Submitted),18-64 years,Other,6725,270.78719549023555
2020/21,Scotland (All Areas Submitted),65-74 years,Other,2280,180.23715415019763
2020/21,Scotland (All Areas Submitted),75-84 years,Other,3045,122.19101123595505
2020/21,Scotland (All Areas Submitted),85+ years,Other,2875,99.13793103448276
2020/21,Scotland (All Areas Submitted),Unknown,Other,25,250
2017/18,Aberdeen City,All Ages,Dementia,180,191.48936170212767
2017/18,Aberdeen City,0-17 years,Dementia,0,0
2017/18,Aberdeen City,18-64 years,Dementia,5,16.949152542372882
2017/18,Aberdeen City,65-74 years,Dementia,25,238.09523809523807
2017/18,Aberdeen City,75-84 years,Dementia,70,341.4634146341464
2017/18,Aberdeen City,85+ years,Dementia,80,313.72549019607845
2017/18,Aberdeen City,Unknown,Dementia,0,0
2017/18,Aberdeen City,All Ages,Elderly / Frail,450,478.72340425531917
2017/18,Aberdeen City,0-17 years,Elderly / Frail,0,0
2017/18,Aberdeen City,18-64 years,Elderly / Frail,10,33.898305084745765
2017/18,Aberdeen City,65-74 years,Elderly / Frail,65,619.047619047619
2017/18,Aberdeen City,75-84 years,Elderly / Frail,160,780.4878048780488
2017/18,Aberdeen City,85+ years,Elderly / Frail,215,843.1372549019608
2017/18,Aberdeen City,Unknown,Elderly / Frail,0,0
2017/18,Aberdeen City,All Ages,Learning Disability,205,218.08510638297872
2017/18,Aberdeen City,0-17 years,Learning Disability,15,187.5
2017/18,Aberdeen City,18-64 years,Learning Disability,165,559.322033898305
2017/18,Aberdeen City,65-74 years,Learning Disability,15,142.85714285714286
2017/18,Aberdeen City,75-84 years,Learning Disability,10,48.78048780487805
2017/18,Aberdeen City,85+ years,Learning Disability,0,0
2017/18,Aberdeen City,Unknown,Learning Disability,0,0
2017/18,Aberdeen City,All Ages,Mental Health,125,132.9787234042553
2017/18,Aberdeen City,0-17 years,Mental Health,0,0
2017/18,Aberdeen City,18-64 years,Mental Health,50,169.4915254237288
2017/18,Aberdeen City,65-74 years,Mental Health,25,238.09523809523807
2017/18,Aberdeen City,75-84 years,Mental Health,30,146.34146341463415
2017/18,Aberdeen City,85+ years,Mental Health,25,98.0392156862745
2017/18,Aberdeen City,Unknown,Mental Health,0,0
2017/18,Aberdeen City,All Ages,Physical and Sensory Disability,300,319.1489361702128
2017/18,Aberdeen City,0-17 years,Physical and Sensory Disability,5,62.5
2017/18,Aberdeen City,18-64 years,Physical and Sensory Disability,90,305.08474576271186
2017/18,Aberdeen City,65-74 years,Physical and Sensory Disability,30,285.7142857142857
2017/18,Aberdeen City,75-84 years,Physical and Sensory Disability,55,268.2926829268293
2017/18,Aberdeen City,85+ years,Physical and Sensory Disability,110,431.37254901960785
2017/18,Aberdeen City,Unknown,Physical and Sensory Disability,0,0
2017/18,Aberdeen City,All Ages,Other,345,367.02127659574467
2017/18,Aberdeen City,0-17 years,Other,60,750
2017/18,Aberdeen City,18-64 years,Other,145,491.52542372881356
2017/18,Aberdeen City,65-74 years,Other,45,428.57142857142856
2017/18,Aberdeen City,75-84 years,Other,45,219.5121951219512
2017/18,Aberdeen City,85+ years,Other,45,176.47058823529412
2017/18,Aberdeen City,Unknown,Other,0,0
2018/19,Aberdeen City,All Ages,Dementia,265,257.28155339805824
2018/19,Aberdeen City,0-17 years,Dementia,0,0
2018/19,Aberdeen City,18-64 years,Dementia,5,19.230769230769234
2018/19,Aberdeen City,65-74 years,Dementia,30,260.8695652173913
2018/19,Aberdeen City,75-84 years,Dementia,100,408.16326530612247
2018/19,Aberdeen City,85+ years,Dementia,125,357.14285714285717
2018/19,Aberdeen City,Unknown,Dementia,0,0
2018/19,Aberdeen City,All Ages,Elderly / Frail,555,538.8349514563107
2018/19,Aberdeen City,0-17 years,Elderly / Frail,0,0
2018/19,Aberdeen City,18-64 years,Elderly / Frail,5,19.230769230769234
2018/19,Aberdeen City,65-74 years,Elderly / Frail,70,608.6956521739131
2018/19,Aberdeen City,75-84 years,Elderly / Frail,185,755.1020408163265
2018/19,Aberdeen City,85+ years,Elderly / Frail,295,842.8571428571429
2018/19,Aberdeen City,Unknown,Elderly / Frail,0,0
2018/19,Aberdeen City,All Ages,Learning Disability,155,150.48543689320388
2018/19,Aberdeen City,0-17 years,Learning Disability,10,166.66666666666666
2018/19,Aberdeen City,18-64 years,Learning Disability,125,480.7692307692308
2018/19,Aberdeen City,65-74 years,Learning Disability,10,86.95652173913044
2018/19,Aberdeen City,75-84 years,Learning Disability,5,20.408163265306122
2018/19,Aberdeen City,85+ years,Learning Disability,0,0
2018/19,Aberdeen City,Unknown,Learning Disability,0,0
2018/19,Aberdeen City,All Ages,Mental Health,165,160.19417475728156
2018/19,Aberdeen City,0-17 years,Mental Health,0,0
2018/19,Aberdeen City,18-64 years,Mental Health,50,192.30769230769232
2018/19,Aberdeen City,65-74 years,Mental Health,35,304.34782608695656
2018/19,Aberdeen City,75-84 years,Mental Health,35,142.85714285714286
2018/19,Aberdeen City,85+ years,Mental Health,45,128.57142857142856
2018/19,Aberdeen City,Unknown,Mental Health,0,0
2018/19,Aberdeen City,All Ages,Physical and Sensory Disability,400,388.34951456310677
2018/19,Aberdeen City,0-17 years,Physical and Sensory Disability,5,83.33333333333333
2018/19,Aberdeen City,18-64 years,Physical and Sensory Disability,95,365.38461538461536
2018/19,Aberdeen City,65-74 years,Physical and Sensory Disability,40,347.82608695652175
2018/19,Aberdeen City,75-84 years,Physical and Sensory Disability,85,346.9387755102041
2018/19,Aberdeen City,85+ years,Physical and Sensory Disability,170,485.7142857142857
2018/19,Aberdeen City,Unknown,Physical and Sensory Disability,0,0
2018/19,Aberdeen City,All Ages,Other,350,339.80582524271847
2018/19,Aberdeen City,0-17 years,Other,50,833.3333333333334
2018/19,Aberdeen City,18-64 years,Other,145,557.6923076923077
2018/19,Aberdeen City,65-74 years,Other,50,434.7826086956522
2018/19,Aberdeen City,75-84 years,Other,65,265.30612244897964
2018/19,Aberdeen City,85+ years,Other,45,128.57142857142856
2018/19,Aberdeen City,Unknown,Other,0,0
2018/19,Aberdeenshire,All Ages,Dementia,560,125
2018/19,Aberdeenshire,0-17 years,Dementia,0,0
2018/19,Aberdeenshire,18-64 years,Dementia,10,9.25925925925926
2018/19,Aberdeenshire,65-74 years,Dementia,70,126.12612612612611
2018/19,Aberdeenshire,75-84 years,Dementia,260,200
2018/19,Aberdeenshire,85+ years,Dementia,220,141.93548387096774
2018/19,Aberdeenshire,Unknown,Dementia,0,0
2018/19,Aberdeenshire,All Ages,Elderly / Frail,710,158.48214285714286
2018/19,Aberdeenshire,0-17 years,Elderly / Frail,0,0
2018/19,Aberdeenshire,18-64 years,Elderly / Frail,5,4.62962962962963
2018/19,Aberdeenshire,65-74 years,Elderly / Frail,50,90.09009009009009
2018/19,Aberdeenshire,75-84 years,Elderly / Frail,245,188.46153846153845
2018/19,Aberdeenshire,85+ years,Elderly / Frail,410,264.51612903225805
2018/19,Aberdeenshire,Unknown,Elderly / Frail,0,0
2018/19,Aberdeenshire,All Ages,Learning Disability,700,156.25
2018/19,Aberdeenshire,0-17 years,Learning Disability,0,0
2018/19,Aberdeenshire,18-64 years,Learning Disability,645,597.2222222222222
2018/19,Aberdeenshire,65-74 years,Learning Disability,45,81.08108108108108
2018/19,Aberdeenshire,75-84 years,Learning Disability,15,11.538461538461538
2018/19,Aberdeenshire,85+ years,Learning Disability,0,0
2018/19,Aberdeenshire,Unknown,Learning Disability,0,0
2018/19,Aberdeenshire,All Ages,Mental Health,210,46.875
2018/19,Aberdeenshire,0-17 years,Mental Health,0,0
2018/19,Aberdeenshire,18-64 years,Mental Health,95,87.96296296296296
2018/19,Aberdeenshire,65-74 years,Mental Health,45,81.08108108108108
2018/19,Aberdeenshire,75-84 years,Mental Health,55,42.30769230769231
2018/19,Aberdeenshire,85+ years,Mental Health,15,9.67741935483871
2018/19,Aberdeenshire,Unknown,Mental Health,0,0
2018/19,Aberdeenshire,All Ages,Physical and Sensory Disability,2180,486.60714285714283
2018/19,Aberdeenshire,0-17 years,Physical and Sensory Disability,0,0
2018/19,Aberdeenshire,18-64 years,Physical and Sensory Disability,300,277.77777777777777
2018/19,Aberdeenshire,65-74 years,Physical and Sensory Disability,295,531.5315315315315
2018/19,Aberdeenshire,75-84 years,Physical and Sensory Disability,700,538.4615384615385
2018/19,Aberdeenshire,85+ years,Physical and Sensory Disability,885,570.9677419354838
2018/19,Aberdeenshire,Unknown,Physical and Sensory Disability,0,0
2018/19,Aberdeenshire,All Ages,Other,730,162.94642857142858
2018/19,Aberdeenshire,0-17 years,Other,0,0
2018/19,Aberdeenshire,18-64 years,Other,260,240.74074074074073
2018/19,Aberdeenshire,65-74 years,Other,135,243.24324324324326
2018/19,Aberdeenshire,75-84 years,Other,200,153.84615384615387
2018/19,Aberdeenshire,85+ years,Other,130,83.87096774193549
2018/19,Aberdeenshire,Unknown,Other,0,0
2019/20,Aberdeenshire,All Ages,Dementia,520,131.9796954314721
2019/20,Aberdeenshire,0-17 years,Dementia,0,0
2019/20,Aberdeenshire,18-64 years,Dementia,15,14.778325123152708
2019/20,Aberdeenshire,65-74 years,Dementia,55,118.27956989247312
2019/20,Aberdeenshire,75-84 years,Dementia,230,207.2072072072072
2019/20,Aberdeenshire,85+ years,Dementia,220,162.962962962963
2019/20,Aberdeenshire,Unknown,Dementia,0,0
2019/20,Aberdeenshire,All Ages,Elderly / Frail,715,181.4720812182741
2019/20,Aberdeenshire,0-17 years,Elderly / Frail,0,0
2019/20,Aberdeenshire,18-64 years,Elderly / Frail,10,9.852216748768473
2019/20,Aberdeenshire,65-74 years,Elderly / Frail,50,107.52688172043011
2019/20,Aberdeenshire,75-84 years,Elderly / Frail,245,220.72072072072072
2019/20,Aberdeenshire,85+ years,Elderly / Frail,410,303.7037037037037
2019/20,Aberdeenshire,Unknown,Elderly / Frail,0,0
2019/20,Aberdeenshire,All Ages,Learning Disability,675,171.3197969543147
2019/20,Aberdeenshire,0-17 years,Learning Disability,0,0
2019/20,Aberdeenshire,18-64 years,Learning Disability,620,610.8374384236454
2019/20,Aberdeenshire,65-74 years,Learning Disability,40,86.0215053763441
2019/20,Aberdeenshire,75-84 years,Learning Disability,15,13.513513513513514
2019/20,Aberdeenshire,85+ years,Learning Disability,0,0
2019/20,Aberdeenshire,Unknown,Learning Disability,0,0
2019/20,Aberdeenshire,All Ages,Mental Health,220,55.83756345177665
2019/20,Aberdeenshire,0-17 years,Mental Health,0,0
2019/20,Aberdeenshire,18-64 years,Mental Health,95,93.59605911330048
2019/20,Aberdeenshire,65-74 years,Mental Health,50,107.52688172043011
2019/20,Aberdeenshire,75-84 years,Mental Health,55,49.54954954954955
2019/20,Aberdeenshire,85+ years,Mental Health,20,14.814814814814815
2019/20,Aberdeenshire,Unknown,Mental Health,0,0
2019/20,Aberdeenshire,All Ages,Physical and Sensory Disability,2245,569.7969543147208
2019/20,Aberdeenshire,0-17 years,Physical and Sensory Disability,0,0
2019/20,Aberdeenshire,18-64 years,Physical and Sensory Disability,335,330.04926108374383
2019/20,Aberdeenshire,65-74 years,Physical and Sensory Disability,295,634.4086021505376
2019/20,Aberdeenshire,75-84 years,Physical and Sensory Disability,700,630.6306306306307
2019/20,Aberdeenshire,85+ years,Physical and Sensory Disability,920,681.4814814814814
2019/20,Aberdeenshire,Unknown,Physical and Sensory Disability,0,0
2019/20,Aberdeenshire,All Ages,Other,820,208.12182741116752
2019/20,Aberdeenshire,0-17 years,Other,0,0
2019/20,Aberdeenshire,18-64 years,Other,315,310.3448275862069
2019/20,Aberdeenshire,65-74 years,Other,135,290.32258064516134
2019/20,Aberdeenshire,75-84 years,Other,215,193.6936936936937
2019/20,Aberdeenshire,85+ years,Other,155,114.81481481481481
2019/20,Aberdeenshire,Unknown,Other,0,0
2017/18,Angus,All Ages,Dementia,135,52.734375
2017/18,Angus,0-17 years,Dementia,0,0
2017/18,Angus,18-64 years,Dementia,5,7.8125
2017/18,Angus,65-74 years,Dementia,20,57.14285714285714
2017/18,Angus,75-84 years,Dementia,50,78.125
2017/18,Angus,85+ years,Dementia,60,65.93406593406594
2017/18,Angus,Unknown,Dementia,0,NA
2017/18,Angus,All Ages,Elderly / Frail,1360,531.25
2017/18,Angus,0-17 years,Elderly / Frail,0,0
2017/18,Angus,18-64 years,Elderly / Frail,0,0
2017/18,Angus,65-74 years,Elderly / Frail,240,685.7142857142857
2017/18,Angus,75-84 years,Elderly / Frail,480,750
2017/18,Angus,85+ years,Elderly / Frail,640,703.2967032967033
2017/18,Angus,Unknown,Elderly / Frail,0,NA
2017/18,Angus,All Ages,Learning Disability,290,113.28125
2017/18,Angus,0-17 years,Learning Disability,10,500
2017/18,Angus,18-64 years,Learning Disability,265,414.0625
2017/18,Angus,65-74 years,Learning Disability,10,28.57142857142857
2017/18,Angus,75-84 years,Learning Disability,5,7.8125
2017/18,Angus,85+ years,Learning Disability,0,0
2017/18,Angus,Unknown,Learning Disability,0,NA
2017/18,Angus,All Ages,Mental Health,60,23.4375
2017/18,Angus,0-17 years,Mental Health,0,0
2017/18,Angus,18-64 years,Mental Health,10,15.625
2017/18,Angus,65-74 years,Mental Health,10,28.57142857142857
2017/18,Angus,75-84 years,Mental Health,25,39.0625
2017/18,Angus,85+ years,Mental Health,15,16.483516483516485
2017/18,Angus,Unknown,Mental Health,0,NA
2017/18,Angus,All Ages,Physical and Sensory Disability,20,7.8125
2017/18,Angus,0-17 years,Physical and Sensory Disability,0,0
2017/18,Angus,18-64 years,Physical and Sensory Disability,0,0
2017/18,Angus,65-74 years,Physical and Sensory Disability,5,14.285714285714285
2017/18,Angus,75-84 years,Physical and Sensory Disability,5,7.8125
2017/18,Angus,85+ years,Physical and Sensory Disability,10,10.989010989010989
2017/18,Angus,Unknown,Physical and Sensory Disability,0,NA
2017/18,Angus,All Ages,Other,710,277.34375
2017/18,Angus,0-17 years,Other,0,0
2017/18,Angus,18-64 years,Other,150,234.375
2017/18,Angus,65-74 years,Other,105,300
2017/18,Angus,75-84 years,Other,170,265.625
2017/18,Angus,85+ years,Other,280,307.69230769230774
2017/18,Angus,Unknown,Other,0,NA
