financial_year,sending_location,age_group,service_group,nclient
2017/18,Scotland (All Areas Submitted),85+ years,Social Worker,28780
2017/18,Scotland (All Areas Submitted),Unknown,Social Worker,20
2018/19,Scotland (All Areas Submitted),All Ages,Care Home,51745
2018/19,Scotland (All Areas Submitted),0-17 years,Care Home,125
2018/19,Scotland (All Areas Submitted),18-64 years,Care Home,5575
2018/19,Scotland (All Areas Submitted),65-74 years,Care Home,5515
2018/19,Scotland (All Areas Submitted),75-84 years,Care Home,15405
2018/19,Scotland (All Areas Submitted),85+ years,Care Home,25075
2018/19,Scotland (All Areas Submitted),Unknown,Care Home,50
2018/19,Scotland (All Areas Submitted),All Ages,Community Alarms / Telecare,125110
2018/19,Scotland (All Areas Submitted),0-17 years,Community Alarms / Telecare,540
2018/19,Scotland (All Areas Submitted),18-64 years,Community Alarms / Telecare,16635
2018/19,Scotland (All Areas Submitted),65-74 years,Community Alarms / Telecare,20120
2018/19,Scotland (All Areas Submitted),75-84 years,Community Alarms / Telecare,43815
2018/19,Scotland (All Areas Submitted),85+ years,Community Alarms / Telecare,43840
2018/19,Scotland (All Areas Submitted),Unknown,Community Alarms / Telecare,155
2018/19,Scotland (All Areas Submitted),All Ages,Day Care,11110
2018/19,Scotland (All Areas Submitted),0-17 years,Day Care,230
2018/19,Scotland (All Areas Submitted),18-64 years,Day Care,4625
2018/19,Scotland (All Areas Submitted),65-74 years,Day Care,1095
2018/19,Scotland (All Areas Submitted),75-84 years,Day Care,2530
2018/19,Scotland (All Areas Submitted),85+ years,Day Care,2610
2018/19,Scotland (All Areas Submitted),Unknown,Day Care,10
2018/19,Scotland (All Areas Submitted),All Ages,Home Care,91580
2018/19,Scotland (All Areas Submitted),0-17 years,Home Care,225
2018/19,Scotland (All Areas Submitted),18-64 years,Home Care,14285
2018/19,Scotland (All Areas Submitted),65-74 years,Home Care,14190
2018/19,Scotland (All Areas Submitted),75-84 years,Home Care,30375
2018/19,Scotland (All Areas Submitted),85+ years,Home Care,32460
2018/19,Scotland (All Areas Submitted),Unknown,Home Care,50
2018/19,Scotland (All Areas Submitted),All Ages,Housing Support,15880
2018/19,Scotland (All Areas Submitted),0-17 years,Housing Support,80
2018/19,Scotland (All Areas Submitted),18-64 years,Housing Support,7055
2018/19,Scotland (All Areas Submitted),65-74 years,Housing Support,3050
2018/19,Scotland (All Areas Submitted),75-84 years,Housing Support,3115
2018/19,Scotland (All Areas Submitted),85+ years,Housing Support,2580
2018/19,Scotland (All Areas Submitted),Unknown,Housing Support,5
2018/19,Scotland (All Areas Submitted),All Ages,Meals,5965
2018/19,Scotland (All Areas Submitted),0-17 years,Meals,0
2018/19,Scotland (All Areas Submitted),18-64 years,Meals,535
2018/19,Scotland (All Areas Submitted),65-74 years,Meals,920
2018/19,Scotland (All Areas Submitted),75-84 years,Meals,2030
2018/19,Scotland (All Areas Submitted),85+ years,Meals,2460
2018/19,Scotland (All Areas Submitted),Unknown,Meals,20
2018/19,Scotland (All Areas Submitted),All Ages,Social Worker,124965
2018/19,Scotland (All Areas Submitted),0-17 years,Social Worker,2335
2018/19,Scotland (All Areas Submitted),18-64 years,Social Worker,29965
2018/19,Scotland (All Areas Submitted),65-74 years,Social Worker,17510
2018/19,Scotland (All Areas Submitted),75-84 years,Social Worker,35955
2018/19,Scotland (All Areas Submitted),85+ years,Social Worker,39180
2018/19,Scotland (All Areas Submitted),Unknown,Social Worker,20
2019/20,Scotland (All Areas Submitted),All Ages,Care Home,50595
2019/20,Scotland (All Areas Submitted),0-17 years,Care Home,80
2019/20,Scotland (All Areas Submitted),18-64 years,Care Home,5235
2019/20,Scotland (All Areas Submitted),65-74 years,Care Home,5360
2019/20,Scotland (All Areas Submitted),75-84 years,Care Home,15165
2019/20,Scotland (All Areas Submitted),85+ years,Care Home,24695
2019/20,Scotland (All Areas Submitted),Unknown,Care Home,60
2019/20,Scotland (All Areas Submitted),All Ages,Community Alarms / Telecare,117345
2019/20,Scotland (All Areas Submitted),0-17 years,Community Alarms / Telecare,500
2019/20,Scotland (All Areas Submitted),18-64 years,Community Alarms / Telecare,15640
2019/20,Scotland (All Areas Submitted),65-74 years,Community Alarms / Telecare,18360
2019/20,Scotland (All Areas Submitted),75-84 years,Community Alarms / Telecare,41045
2019/20,Scotland (All Areas Submitted),85+ years,Community Alarms / Telecare,41615
2019/20,Scotland (All Areas Submitted),Unknown,Community Alarms / Telecare,185
2019/20,Scotland (All Areas Submitted),All Ages,Day Care,9775
2019/20,Scotland (All Areas Submitted),0-17 years,Day Care,55
2019/20,Scotland (All Areas Submitted),18-64 years,Day Care,3965
2019/20,Scotland (All Areas Submitted),65-74 years,Day Care,975
2019/20,Scotland (All Areas Submitted),75-84 years,Day Care,2310
2019/20,Scotland (All Areas Submitted),85+ years,Day Care,2465
2019/20,Scotland (All Areas Submitted),Unknown,Day Care,5
2019/20,Scotland (All Areas Submitted),All Ages,Home Care,89110
2019/20,Scotland (All Areas Submitted),0-17 years,Home Care,215
2019/20,Scotland (All Areas Submitted),18-64 years,Home Care,14795
2019/20,Scotland (All Areas Submitted),65-74 years,Home Care,13720
2019/20,Scotland (All Areas Submitted),75-84 years,Home Care,28945
2019/20,Scotland (All Areas Submitted),85+ years,Home Care,31380
2019/20,Scotland (All Areas Submitted),Unknown,Home Care,55
2019/20,Scotland (All Areas Submitted),All Ages,Housing Support,11950
2019/20,Scotland (All Areas Submitted),0-17 years,Housing Support,95
2019/20,Scotland (All Areas Submitted),18-64 years,Housing Support,6475
2019/20,Scotland (All Areas Submitted),65-74 years,Housing Support,1840
2019/20,Scotland (All Areas Submitted),75-84 years,Housing Support,1885
2019/20,Scotland (All Areas Submitted),85+ years,Housing Support,1645
2019/20,Scotland (All Areas Submitted),Unknown,Housing Support,5
2019/20,Scotland (All Areas Submitted),All Ages,Meals,6430
2019/20,Scotland (All Areas Submitted),0-17 years,Meals,0
2019/20,Scotland (All Areas Submitted),18-64 years,Meals,535
2019/20,Scotland (All Areas Submitted),65-74 years,Meals,930
2019/20,Scotland (All Areas Submitted),75-84 years,Meals,2200
2019/20,Scotland (All Areas Submitted),85+ years,Meals,2760
2019/20,Scotland (All Areas Submitted),Unknown,Meals,10
2019/20,Scotland (All Areas Submitted),All Ages,Social Worker,122050
2019/20,Scotland (All Areas Submitted),0-17 years,Social Worker,1800
2019/20,Scotland (All Areas Submitted),18-64 years,Social Worker,29630
2019/20,Scotland (All Areas Submitted),65-74 years,Social Worker,17165
2019/20,Scotland (All Areas Submitted),75-84 years,Social Worker,35080
2019/20,Scotland (All Areas Submitted),85+ years,Social Worker,38365
2019/20,Scotland (All Areas Submitted),Unknown,Social Worker,10
2020/21,Scotland (All Areas Submitted),All Ages,Care Home,48160
2020/21,Scotland (All Areas Submitted),0-17 years,Care Home,70
2020/21,Scotland (All Areas Submitted),18-64 years,Care Home,4685
2020/21,Scotland (All Areas Submitted),65-74 years,Care Home,5115
2020/21,Scotland (All Areas Submitted),75-84 years,Care Home,14460
2020/21,Scotland (All Areas Submitted),85+ years,Care Home,23770
2020/21,Scotland (All Areas Submitted),Unknown,Care Home,65
2020/21,Scotland (All Areas Submitted),All Ages,Community Alarms / Telecare,113205
2020/21,Scotland (All Areas Submitted),0-17 years,Community Alarms / Telecare,515
2020/21,Scotland (All Areas Submitted),18-64 years,Community Alarms / Telecare,14875
2020/21,Scotland (All Areas Submitted),65-74 years,Community Alarms / Telecare,17745
2020/21,Scotland (All Areas Submitted),75-84 years,Community Alarms / Telecare,38715
2020/21,Scotland (All Areas Submitted),85+ years,Community Alarms / Telecare,40975
2020/21,Scotland (All Areas Submitted),Unknown,Community Alarms / Telecare,380
2020/21,Scotland (All Areas Submitted),All Ages,Day Care,6240
2020/21,Scotland (All Areas Submitted),0-17 years,Day Care,30
2020/21,Scotland (All Areas Submitted),18-64 years,Day Care,3115
2020/21,Scotland (All Areas Submitted),65-74 years,Day Care,575
2020/21,Scotland (All Areas Submitted),75-84 years,Day Care,1165
2020/21,Scotland (All Areas Submitted),85+ years,Day Care,1355
2020/21,Scotland (All Areas Submitted),Unknown,Day Care,0
2020/21,Scotland (All Areas Submitted),All Ages,Home Care,93280
2020/21,Scotland (All Areas Submitted),0-17 years,Home Care,195
2020/21,Scotland (All Areas Submitted),18-64 years,Home Care,16085
2020/21,Scotland (All Areas Submitted),65-74 years,Home Care,14500
2020/21,Scotland (All Areas Submitted),75-84 years,Home Care,29650
2020/21,Scotland (All Areas Submitted),85+ years,Home Care,32765
2020/21,Scotland (All Areas Submitted),Unknown,Home Care,80
2020/21,Scotland (All Areas Submitted),All Ages,Housing Support,0
2020/21,Scotland (All Areas Submitted),0-17 years,Housing Support,0
2020/21,Scotland (All Areas Submitted),18-64 years,Housing Support,0
2020/21,Scotland (All Areas Submitted),65-74 years,Housing Support,0
2020/21,Scotland (All Areas Submitted),75-84 years,Housing Support,0
2020/21,Scotland (All Areas Submitted),85+ years,Housing Support,0
2020/21,Scotland (All Areas Submitted),Unknown,Housing Support,0
2020/21,Scotland (All Areas Submitted),All Ages,Meals,5695
2020/21,Scotland (All Areas Submitted),0-17 years,Meals,0
2020/21,Scotland (All Areas Submitted),18-64 years,Meals,560
2020/21,Scotland (All Areas Submitted),65-74 years,Meals,805
2020/21,Scotland (All Areas Submitted),75-84 years,Meals,1900
2020/21,Scotland (All Areas Submitted),85+ years,Meals,2420
2020/21,Scotland (All Areas Submitted),Unknown,Meals,5
2020/21,Scotland (All Areas Submitted),All Ages,Social Worker,127500
2020/21,Scotland (All Areas Submitted),0-17 years,Social Worker,1895
2020/21,Scotland (All Areas Submitted),18-64 years,Social Worker,30540
2020/21,Scotland (All Areas Submitted),65-74 years,Social Worker,17495
2020/21,Scotland (All Areas Submitted),75-84 years,Social Worker,36005
2020/21,Scotland (All Areas Submitted),85+ years,Social Worker,41535
2020/21,Scotland (All Areas Submitted),Unknown,Social Worker,30
2017/18,Aberdeen City,All Ages,Care Home,1975
2017/18,Aberdeen City,0-17 years,Care Home,65
2017/18,Aberdeen City,18-64 years,Care Home,295
2017/18,Aberdeen City,65-74 years,Care Home,230
2017/18,Aberdeen City,75-84 years,Care Home,560
2017/18,Aberdeen City,85+ years,Care Home,825
2017/18,Aberdeen City,Unknown,Care Home,0
2017/18,Aberdeen City,All Ages,Community Alarms / Telecare,3105
2017/18,Aberdeen City,0-17 years,Community Alarms / Telecare,30
2017/18,Aberdeen City,18-64 years,Community Alarms / Telecare,370
2017/18,Aberdeen City,65-74 years,Community Alarms / Telecare,385
2017/18,Aberdeen City,75-84 years,Community Alarms / Telecare,1035
2017/18,Aberdeen City,85+ years,Community Alarms / Telecare,1290
2017/18,Aberdeen City,Unknown,Community Alarms / Telecare,0
2017/18,Aberdeen City,All Ages,Day Care,845
2017/18,Aberdeen City,0-17 years,Day Care,60
2017/18,Aberdeen City,18-64 years,Day Care,580
2017/18,Aberdeen City,65-74 years,Day Care,55
2017/18,Aberdeen City,75-84 years,Day Care,80
2017/18,Aberdeen City,85+ years,Day Care,75
2017/18,Aberdeen City,Unknown,Day Care,0
2017/18,Aberdeen City,All Ages,Home Care,2035
2017/18,Aberdeen City,0-17 years,Home Care,5
2017/18,Aberdeen City,18-64 years,Home Care,360
2017/18,Aberdeen City,65-74 years,Home Care,275
2017/18,Aberdeen City,75-84 years,Home Care,635
2017/18,Aberdeen City,85+ years,Home Care,760
2017/18,Aberdeen City,Unknown,Home Care,0
2017/18,Aberdeen City,All Ages,Housing Support,3050
2017/18,Aberdeen City,0-17 years,Housing Support,0
2017/18,Aberdeen City,18-64 years,Housing Support,920
2017/18,Aberdeen City,65-74 years,Housing Support,595
2017/18,Aberdeen City,75-84 years,Housing Support,745
2017/18,Aberdeen City,85+ years,Housing Support,790
2017/18,Aberdeen City,Unknown,Housing Support,0
2017/18,Aberdeen City,All Ages,Meals,395
2017/18,Aberdeen City,0-17 years,Meals,0
2017/18,Aberdeen City,18-64 years,Meals,35
2017/18,Aberdeen City,65-74 years,Meals,70
2017/18,Aberdeen City,75-84 years,Meals,115
2017/18,Aberdeen City,85+ years,Meals,175
2017/18,Aberdeen City,Unknown,Meals,0
2017/18,Aberdeen City,All Ages,Social Worker,6620
2017/18,Aberdeen City,0-17 years,Social Worker,185
2017/18,Aberdeen City,18-64 years,Social Worker,2420
2017/18,Aberdeen City,65-74 years,Social Worker,770
2017/18,Aberdeen City,75-84 years,Social Worker,1460
2017/18,Aberdeen City,85+ years,Social Worker,1785
2017/18,Aberdeen City,Unknown,Social Worker,0
2018/19,Aberdeen City,All Ages,Care Home,2595
2018/19,Aberdeen City,0-17 years,Care Home,85
2018/19,Aberdeen City,18-64 years,Care Home,430
2018/19,Aberdeen City,65-74 years,Care Home,280
2018/19,Aberdeen City,75-84 years,Care Home,695
2018/19,Aberdeen City,85+ years,Care Home,1110
2018/19,Aberdeen City,Unknown,Care Home,0
2018/19,Aberdeen City,All Ages,Community Alarms / Telecare,3480
2018/19,Aberdeen City,0-17 years,Community Alarms / Telecare,20
2018/19,Aberdeen City,18-64 years,Community Alarms / Telecare,460
2018/19,Aberdeen City,65-74 years,Community Alarms / Telecare,615
2018/19,Aberdeen City,75-84 years,Community Alarms / Telecare,1090
2018/19,Aberdeen City,85+ years,Community Alarms / Telecare,1285
2018/19,Aberdeen City,Unknown,Community Alarms / Telecare,5
2018/19,Aberdeen City,All Ages,Day Care,720
2018/19,Aberdeen City,0-17 years,Day Care,40
2018/19,Aberdeen City,18-64 years,Day Care,510
2018/19,Aberdeen City,65-74 years,Day Care,50
2018/19,Aberdeen City,75-84 years,Day Care,60
2018/19,Aberdeen City,85+ years,Day Care,60
2018/19,Aberdeen City,Unknown,Day Care,0
2018/19,Aberdeen City,All Ages,Home Care,2845
2018/19,Aberdeen City,0-17 years,Home Care,5
2018/19,Aberdeen City,18-64 years,Home Care,450
2018/19,Aberdeen City,65-74 years,Home Care,405
2018/19,Aberdeen City,75-84 years,Home Care,830
2018/19,Aberdeen City,85+ years,Home Care,1155
2018/19,Aberdeen City,Unknown,Home Care,0
2018/19,Aberdeen City,All Ages,Housing Support,1955
2018/19,Aberdeen City,0-17 years,Housing Support,0
2018/19,Aberdeen City,18-64 years,Housing Support,565
2018/19,Aberdeen City,65-74 years,Housing Support,450
2018/19,Aberdeen City,75-84 years,Housing Support,475
2018/19,Aberdeen City,85+ years,Housing Support,465
2018/19,Aberdeen City,Unknown,Housing Support,0
2018/19,Aberdeen City,All Ages,Meals,310
2018/19,Aberdeen City,0-17 years,Meals,0
2018/19,Aberdeen City,18-64 years,Meals,30
2018/19,Aberdeen City,65-74 years,Meals,50
2018/19,Aberdeen City,75-84 years,Meals,90
2018/19,Aberdeen City,85+ years,Meals,135
2018/19,Aberdeen City,Unknown,Meals,0
2018/19,Aberdeen City,All Ages,Social Worker,4260
2018/19,Aberdeen City,0-17 years,Social Worker,235
2018/19,Aberdeen City,18-64 years,Social Worker,1500
2018/19,Aberdeen City,65-74 years,Social Worker,475
2018/19,Aberdeen City,75-84 years,Social Worker,870
2018/19,Aberdeen City,85+ years,Social Worker,1175
2018/19,Aberdeen City,Unknown,Social Worker,0
2020/21,Aberdeen City,All Ages,Care Home,2140
2020/21,Aberdeen City,0-17 years,Care Home,50
2020/21,Aberdeen City,18-64 years,Care Home,305
2020/21,Aberdeen City,65-74 years,Care Home,245
2020/21,Aberdeen City,75-84 years,Care Home,560
2020/21,Aberdeen City,85+ years,Care Home,980
2020/21,Aberdeen City,Unknown,Care Home,0
2020/21,Aberdeen City,All Ages,Day Care,0
2020/21,Aberdeen City,0-17 years,Day Care,0
2020/21,Aberdeen City,18-64 years,Day Care,0
2020/21,Aberdeen City,65-74 years,Day Care,0
2020/21,Aberdeen City,75-84 years,Day Care,0
2020/21,Aberdeen City,85+ years,Day Care,0
2020/21,Aberdeen City,Unknown,Day Care,0
2020/21,Aberdeen City,All Ages,Home Care,2410
2020/21,Aberdeen City,0-17 years,Home Care,5
2020/21,Aberdeen City,18-64 years,Home Care,430
2020/21,Aberdeen City,65-74 years,Home Care,365
2020/21,Aberdeen City,75-84 years,Home Care,665
2020/21,Aberdeen City,85+ years,Home Care,945
2020/21,Aberdeen City,Unknown,Home Care,0
2017/18,Aberdeenshire,All Ages,Care Home,2080
2017/18,Aberdeenshire,0-17 years,Care Home,0
2017/18,Aberdeenshire,18-64 years,Care Home,280
2017/18,Aberdeenshire,65-74 years,Care Home,210
2017/18,Aberdeenshire,75-84 years,Care Home,605
2017/18,Aberdeenshire,85+ years,Care Home,980
2017/18,Aberdeenshire,Unknown,Care Home,0
2017/18,Aberdeenshire,All Ages,Community Alarms / Telecare,5375
2017/18,Aberdeenshire,0-17 years,Community Alarms / Telecare,0
2017/18,Aberdeenshire,18-64 years,Community Alarms / Telecare,615
2017/18,Aberdeenshire,65-74 years,Community Alarms / Telecare,875
2017/18,Aberdeenshire,75-84 years,Community Alarms / Telecare,1845
2017/18,Aberdeenshire,85+ years,Community Alarms / Telecare,2040
2017/18,Aberdeenshire,Unknown,Community Alarms / Telecare,0
2017/18,Aberdeenshire,All Ages,Day Care,755
2017/18,Aberdeenshire,0-17 years,Day Care,5
2017/18,Aberdeenshire,18-64 years,Day Care,485
2017/18,Aberdeenshire,65-74 years,Day Care,55
2017/18,Aberdeenshire,75-84 years,Day Care,120
2017/18,Aberdeenshire,85+ years,Day Care,95
2017/18,Aberdeenshire,Unknown,Day Care,0
2017/18,Aberdeenshire,All Ages,Home Care,2535
2017/18,Aberdeenshire,0-17 years,Home Care,0
2017/18,Aberdeenshire,18-64 years,Home Care,300
2017/18,Aberdeenshire,65-74 years,Home Care,370
2017/18,Aberdeenshire,75-84 years,Home Care,885
2017/18,Aberdeenshire,85+ years,Home Care,980
2017/18,Aberdeenshire,Unknown,Home Care,0
2017/18,Aberdeenshire,All Ages,Housing Support,2135
2017/18,Aberdeenshire,0-17 years,Housing Support,0
2017/18,Aberdeenshire,18-64 years,Housing Support,450
2017/18,Aberdeenshire,65-74 years,Housing Support,450
2017/18,Aberdeenshire,75-84 years,Housing Support,685
2017/18,Aberdeenshire,85+ years,Housing Support,545
2017/18,Aberdeenshire,Unknown,Housing Support,0
2017/18,Aberdeenshire,All Ages,Meals,50
2017/18,Aberdeenshire,0-17 years,Meals,0
2017/18,Aberdeenshire,18-64 years,Meals,5
2017/18,Aberdeenshire,65-74 years,Meals,10
2017/18,Aberdeenshire,75-84 years,Meals,15
2017/18,Aberdeenshire,85+ years,Meals,25
2017/18,Aberdeenshire,Unknown,Meals,0
2017/18,Aberdeenshire,All Ages,Social Worker,5270
2017/18,Aberdeenshire,0-17 years,Social Worker,5
2017/18,Aberdeenshire,18-64 years,Social Worker,1240
2017/18,Aberdeenshire,65-74 years,Social Worker,615
2017/18,Aberdeenshire,75-84 years,Social Worker,1485
2017/18,Aberdeenshire,85+ years,Social Worker,1925
2017/18,Aberdeenshire,Unknown,Social Worker,0
2018/19,Aberdeenshire,All Ages,Care Home,2700
2018/19,Aberdeenshire,0-17 years,Care Home,0
2018/19,Aberdeenshire,18-64 years,Care Home,310
2018/19,Aberdeenshire,65-74 years,Care Home,270
2018/19,Aberdeenshire,75-84 years,Care Home,800
2018/19,Aberdeenshire,85+ years,Care Home,1315
2018/19,Aberdeenshire,Unknown,Care Home,0
2018/19,Aberdeenshire,All Ages,Community Alarms / Telecare,5320
2018/19,Aberdeenshire,0-17 years,Community Alarms / Telecare,20
2018/19,Aberdeenshire,18-64 years,Community Alarms / Telecare,585
2018/19,Aberdeenshire,65-74 years,Community Alarms / Telecare,840
2018/19,Aberdeenshire,75-84 years,Community Alarms / Telecare,1835
2018/19,Aberdeenshire,85+ years,Community Alarms / Telecare,2040
2018/19,Aberdeenshire,Unknown,Community Alarms / Telecare,0
2018/19,Aberdeenshire,All Ages,Day Care,735
2018/19,Aberdeenshire,0-17 years,Day Care,40
2018/19,Aberdeenshire,18-64 years,Day Care,465
2018/19,Aberdeenshire,65-74 years,Day Care,55
2018/19,Aberdeenshire,75-84 years,Day Care,100
2018/19,Aberdeenshire,85+ years,Day Care,80
2018/19,Aberdeenshire,Unknown,Day Care,0
2018/19,Aberdeenshire,All Ages,Home Care,2905
2018/19,Aberdeenshire,0-17 years,Home Care,0
2018/19,Aberdeenshire,18-64 years,Home Care,340
2018/19,Aberdeenshire,65-74 years,Home Care,395
2018/19,Aberdeenshire,75-84 years,Home Care,995
2018/19,Aberdeenshire,85+ years,Home Care,1170
2018/19,Aberdeenshire,Unknown,Home Care,0
2018/19,Aberdeenshire,All Ages,Housing Support,2345
2018/19,Aberdeenshire,0-17 years,Housing Support,0
2018/19,Aberdeenshire,18-64 years,Housing Support,560
2018/19,Aberdeenshire,65-74 years,Housing Support,490
2018/19,Aberdeenshire,75-84 years,Housing Support,720
2018/19,Aberdeenshire,85+ years,Housing Support,575
2018/19,Aberdeenshire,Unknown,Housing Support,0
2018/19,Aberdeenshire,All Ages,Meals,35
2018/19,Aberdeenshire,0-17 years,Meals,0
2018/19,Aberdeenshire,18-64 years,Meals,0
2018/19,Aberdeenshire,65-74 years,Meals,5
2018/19,Aberdeenshire,75-84 years,Meals,10
2018/19,Aberdeenshire,85+ years,Meals,20
2018/19,Aberdeenshire,Unknown,Meals,0
2018/19,Aberdeenshire,All Ages,Social Worker,7860
2018/19,Aberdeenshire,0-17 years,Social Worker,20
2018/19,Aberdeenshire,18-64 years,Social Worker,2480
2018/19,Aberdeenshire,65-74 years,Social Worker,990
2018/19,Aberdeenshire,75-84 years,Social Worker,1985
2018/19,Aberdeenshire,85+ years,Social Worker,2385
2018/19,Aberdeenshire,Unknown,Social Worker,0
2019/20,Aberdeenshire,All Ages,Care Home,2805
2019/20,Aberdeenshire,0-17 years,Care Home,5
2019/20,Aberdeenshire,18-64 years,Care Home,345
2019/20,Aberdeenshire,65-74 years,Care Home,285
2019/20,Aberdeenshire,75-84 years,Care Home,815
2019/20,Aberdeenshire,85+ years,Care Home,1360
2019/20,Aberdeenshire,Unknown,Care Home,0
2019/20,Aberdeenshire,All Ages,Community Alarms / Telecare,5335
2019/20,Aberdeenshire,0-17 years,Community Alarms / Telecare,0
2019/20,Aberdeenshire,18-64 years,Community Alarms / Telecare,560
2019/20,Aberdeenshire,65-74 years,Community Alarms / Telecare,835
2019/20,Aberdeenshire,75-84 years,Community Alarms / Telecare,1860
2019/20,Aberdeenshire,85+ years,Community Alarms / Telecare,2080
2019/20,Aberdeenshire,Unknown,Community Alarms / Telecare,0
2019/20,Aberdeenshire,All Ages,Day Care,645
2019/20,Aberdeenshire,0-17 years,Day Care,0
2019/20,Aberdeenshire,18-64 years,Day Care,445
2019/20,Aberdeenshire,65-74 years,Day Care,45
2019/20,Aberdeenshire,75-84 years,Day Care,85
2019/20,Aberdeenshire,85+ years,Day Care,70
2019/20,Aberdeenshire,Unknown,Day Care,0
2019/20,Aberdeenshire,All Ages,Home Care,3500
2019/20,Aberdeenshire,0-17 years,Home Care,5
2019/20,Aberdeenshire,18-64 years,Home Care,420
2019/20,Aberdeenshire,65-74 years,Home Care,480
2019/20,Aberdeenshire,75-84 years,Home Care,1195
2019/20,Aberdeenshire,85+ years,Home Care,1405
2019/20,Aberdeenshire,Unknown,Home Care,0
2019/20,Aberdeenshire,All Ages,Housing Support,2320
2019/20,Aberdeenshire,0-17 years,Housing Support,0
2019/20,Aberdeenshire,18-64 years,Housing Support,540
2019/20,Aberdeenshire,65-74 years,Housing Support,495
2019/20,Aberdeenshire,75-84 years,Housing Support,710
2019/20,Aberdeenshire,85+ years,Housing Support,570
2019/20,Aberdeenshire,Unknown,Housing Support,0
2019/20,Aberdeenshire,All Ages,Meals,25
2019/20,Aberdeenshire,0-17 years,Meals,0
2019/20,Aberdeenshire,18-64 years,Meals,0
2019/20,Aberdeenshire,65-74 years,Meals,5
2019/20,Aberdeenshire,75-84 years,Meals,5
2019/20,Aberdeenshire,85+ years,Meals,15
2019/20,Aberdeenshire,Unknown,Meals,0
2019/20,Aberdeenshire,All Ages,Social Worker,9320
2019/20,Aberdeenshire,0-17 years,Social Worker,20
2019/20,Aberdeenshire,18-64 years,Social Worker,3195
2019/20,Aberdeenshire,65-74 years,Social Worker,1240
2019/20,Aberdeenshire,75-84 years,Social Worker,2310
2019/20,Aberdeenshire,85+ years,Social Worker,2555
2019/20,Aberdeenshire,Unknown,Social Worker,0
2020/21,Aberdeenshire,All Ages,Care Home,2445
2020/21,Aberdeenshire,0-17 years,Care Home,0
2020/21,Aberdeenshire,18-64 years,Care Home,260
2020/21,Aberdeenshire,65-74 years,Care Home,250
