financial_year,sending_location,age_group,ethnicity,measure,nclient,rate
2017/18,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",70,26
2017/18,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",10,3.5
2017/18,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",10,3.7
2017/18,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients",2090,723.2
2017/18,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",1950,723.6
2017/18,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",30,10.4
2017/18,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",30,11.1
2017/18,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",635,219.7
2017/18,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",590,218.9
2017/18,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients",45,1
2017/18,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",45,1.1
2017/18,Scotland (All Areas Submitted),18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",275,6.4
2017/18,Scotland (All Areas Submitted),18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",255,6.3
2017/18,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients",340,7.9
2017/18,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",300,7.4
2017/18,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",35,0.8
2017/18,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",30,0.7
2017/18,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients",32550,756.8
2017/18,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",30540,755.6
2017/18,Scotland (All Areas Submitted),18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",155,3.6
2017/18,Scotland (All Areas Submitted),18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",150,3.7
2017/18,Scotland (All Areas Submitted),18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",9610,223.4
2017/18,Scotland (All Areas Submitted),18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",9095,225
2017/18,Scotland (All Areas Submitted),65-74 years,African,"Rate per 1,000 Social Care Clients",10,0.3
2017/18,Scotland (All Areas Submitted),65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",10,0.4
2017/18,Scotland (All Areas Submitted),65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",215,7.1
2017/18,Scotland (All Areas Submitted),65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",200,7
2017/18,Scotland (All Areas Submitted),65-74 years,Asian,"Rate per 1,000 Social Care Clients",105,3.5
2017/18,Scotland (All Areas Submitted),65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",95,3.3
2017/18,Scotland (All Areas Submitted),65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",5,0.2
2017/18,Scotland (All Areas Submitted),65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",5,0.2
2017/18,Scotland (All Areas Submitted),65-74 years,White,"Rate per 1,000 Social Care Clients",20770,687.5
2017/18,Scotland (All Areas Submitted),65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",19390,681.1
2017/18,Scotland (All Areas Submitted),65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",35,1.2
2017/18,Scotland (All Areas Submitted),65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",30,1.1
2017/18,Scotland (All Areas Submitted),65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",9070,300.2
2017/18,Scotland (All Areas Submitted),65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",8735,306.8
2017/18,Scotland (All Areas Submitted),75-84 years,African,"Rate per 1,000 Social Care Clients",15,0.2
2017/18,Scotland (All Areas Submitted),75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",15,0.3
2017/18,Scotland (All Areas Submitted),75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",505,8.1
2017/18,Scotland (All Areas Submitted),75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",455,7.8
2017/18,Scotland (All Areas Submitted),75-84 years,Asian,"Rate per 1,000 Social Care Clients",175,2.8
2017/18,Scotland (All Areas Submitted),75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",165,2.8
2017/18,Scotland (All Areas Submitted),75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",10,0.2
2017/18,Scotland (All Areas Submitted),75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",10,0.2
2017/18,Scotland (All Areas Submitted),75-84 years,White,"Rate per 1,000 Social Care Clients",43885,705.2
2017/18,Scotland (All Areas Submitted),75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",40635,699.7
2017/18,Scotland (All Areas Submitted),75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",90,1.4
2017/18,Scotland (All Areas Submitted),75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",85,1.5
2017/18,Scotland (All Areas Submitted),75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",17550,282
2017/18,Scotland (All Areas Submitted),75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",16715,287.8
2017/18,Scotland (All Areas Submitted),85+ years,African,"Rate per 1,000 Social Care Clients",10,0.2
2017/18,Scotland (All Areas Submitted),85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",10,0.2
2017/18,Scotland (All Areas Submitted),85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",350,5.4
2017/18,Scotland (All Areas Submitted),85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",390,6.6
2017/18,Scotland (All Areas Submitted),85+ years,Asian,"Rate per 1,000 Social Care Clients",110,1.7
2017/18,Scotland (All Areas Submitted),85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",100,1.7
2017/18,Scotland (All Areas Submitted),85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",15,0.2
2017/18,Scotland (All Areas Submitted),85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",10,0.2
2017/18,Scotland (All Areas Submitted),85+ years,White,"Rate per 1,000 Social Care Clients",47350,725.3
2017/18,Scotland (All Areas Submitted),85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",42540,715.4
2017/18,Scotland (All Areas Submitted),85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",100,1.5
2017/18,Scotland (All Areas Submitted),85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",95,1.6
2017/18,Scotland (All Areas Submitted),85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",17350,265.7
2017/18,Scotland (All Areas Submitted),85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",16325,274.5
2017/18,Scotland (All Areas Submitted),Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Scotland (All Areas Submitted),Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",85,263.2
2017/18,Scotland (All Areas Submitted),Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,White,"Rate per 1,000 Social Care Clients",65,201.2
2017/18,Scotland (All Areas Submitted),Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",175,541.8
2017/18,Scotland (All Areas Submitted),Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients",175,0.7
2018/19,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",170,0.8
2018/19,Scotland (All Areas Submitted),All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",1855,7.7
2018/19,Scotland (All Areas Submitted),All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",1655,7.5
2018/19,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients",1365,5.7
2018/19,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",1210,5.5
2018/19,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",85,0.4
2018/19,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",75,0.3
2018/19,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients",173750,722.1
2018/19,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",158790,718.9
2018/19,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",535,2.2
2018/19,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",490,2.2
2018/19,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",62860,261.2
2018/19,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",58480,264.8
2018/19,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients",35,9.8
2018/19,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",30,9.8
2018/19,Scotland (All Areas Submitted),0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",60,16.8
2018/19,Scotland (All Areas Submitted),0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",55,17.9
2018/19,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients",125,34.9
2018/19,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",115,37.5
2018/19,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",10,2.8
2018/19,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",5,1.6
2018/19,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients",2495,697.5
2018/19,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",2170,707.5
2018/19,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",30,8.4
2018/19,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",30,9.8
2018/19,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",820,229.2
2018/19,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",660,215.2
2018/19,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients",90,1.8
2018/19,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",90,1.9
2018/19,Scotland (All Areas Submitted),18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",355,6.9
2018/19,Scotland (All Areas Submitted),18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",335,7
2018/19,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients",550,10.7
2018/19,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",490,10.2
2018/19,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",45,0.9
2018/19,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",40,0.8
2018/19,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients",38995,759.6
2018/19,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",36385,760.1
2018/19,Scotland (All Areas Submitted),18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",220,4.3
2018/19,Scotland (All Areas Submitted),18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",210,4.4
2018/19,Scotland (All Areas Submitted),18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",11085,215.9
2018/19,Scotland (All Areas Submitted),18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",10315,215.5
2018/19,Scotland (All Areas Submitted),65-74 years,African,"Rate per 1,000 Social Care Clients",15,0.4
2018/19,Scotland (All Areas Submitted),65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",15,0.4
2018/19,Scotland (All Areas Submitted),65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",270,7.6
2018/19,Scotland (All Areas Submitted),65-74 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",250,7.5
2018/19,Scotland (All Areas Submitted),65-74 years,Asian,"Rate per 1,000 Social Care Clients",165,4.6
2018/19,Scotland (All Areas Submitted),65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",145,4.3
2018/19,Scotland (All Areas Submitted),65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",10,0.3
2018/19,Scotland (All Areas Submitted),65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",10,0.3
2018/19,Scotland (All Areas Submitted),65-74 years,White,"Rate per 1,000 Social Care Clients",24635,690.8
2018/19,Scotland (All Areas Submitted),65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",23010,686.7
2018/19,Scotland (All Areas Submitted),65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",55,1.5
2018/19,Scotland (All Areas Submitted),65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",50,1.5
2018/19,Scotland (All Areas Submitted),65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",10515,294.9
2018/19,Scotland (All Areas Submitted),65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",10025,299.2
2018/19,Scotland (All Areas Submitted),75-84 years,African,"Rate per 1,000 Social Care Clients",20,0.3
2018/19,Scotland (All Areas Submitted),75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",20,0.3
2018/19,Scotland (All Areas Submitted),75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",590,8.1
2018/19,Scotland (All Areas Submitted),75-84 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",520,7.7
2018/19,Scotland (All Areas Submitted),75-84 years,Asian,"Rate per 1,000 Social Care Clients",325,4.5
2018/19,Scotland (All Areas Submitted),75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",290,4.3
2018/19,Scotland (All Areas Submitted),75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",10,0.1
2018/19,Scotland (All Areas Submitted),75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",10,0.1
2018/19,Scotland (All Areas Submitted),75-84 years,White,"Rate per 1,000 Social Care Clients",51260,705.5
2018/19,Scotland (All Areas Submitted),75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",47280,701.9
2018/19,Scotland (All Areas Submitted),75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",125,1.7
2018/19,Scotland (All Areas Submitted),75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",105,1.6
2018/19,Scotland (All Areas Submitted),75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",20335,279.9
2018/19,Scotland (All Areas Submitted),75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",19135,284.1
2018/19,Scotland (All Areas Submitted),85+ years,African,"Rate per 1,000 Social Care Clients",15,0.2
2018/19,Scotland (All Areas Submitted),85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",15,0.2
2018/19,Scotland (All Areas Submitted),85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",475,6.2
2018/19,Scotland (All Areas Submitted),85+ years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",500,7.2
2018/19,Scotland (All Areas Submitted),85+ years,Asian,"Rate per 1,000 Social Care Clients",195,2.5
2018/19,Scotland (All Areas Submitted),85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",170,2.5
2018/19,Scotland (All Areas Submitted),85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",15,0.2
2018/19,Scotland (All Areas Submitted),85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",10,0.1
2018/19,Scotland (All Areas Submitted),85+ years,White,"Rate per 1,000 Social Care Clients",56275,729.6
2018/19,Scotland (All Areas Submitted),85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",49940,723
2018/19,Scotland (All Areas Submitted),85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",105,1.4
2018/19,Scotland (All Areas Submitted),85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",95,1.4
2018/19,Scotland (All Areas Submitted),85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",20055,260
2018/19,Scotland (All Areas Submitted),85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",18340,265.5
2018/19,Scotland (All Areas Submitted),Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Scotland (All Areas Submitted),Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",105,408.6
2018/19,Scotland (All Areas Submitted),Unknown,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,White,"Rate per 1,000 Social Care Clients",90,350.2
2018/19,Scotland (All Areas Submitted),Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",60,233.5
2018/19,Scotland (All Areas Submitted),Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients",155,0.7
2019/20,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",150,0.7
2019/20,Scotland (All Areas Submitted),All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",2115,9.4
2019/20,Scotland (All Areas Submitted),All Ages,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",1845,9
2019/20,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients",1340,5.9
2019/20,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",1200,5.8
2019/20,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",80,0.4
2019/20,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",75,0.4
2019/20,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients",163205,723.4
2019/20,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",148740,722.5
2019/20,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",505,2.2
2019/20,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",445,2.2
2019/20,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",58225,258.1
2019/20,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",53420,259.5
2019/20,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients",30,11.5
2019/20,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",30,12.1
2019/20,Scotland (All Areas Submitted),0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",40,15.4
2019/20,Scotland (All Areas Submitted),0-17 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",40,16.2
2019/20,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients",110,42.3
2019/20,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",105,42.5
2019/20,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",10,3.8
2019/20,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",10,4
2019/20,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients",1735,666.8
2019/20,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",1645,665.5
2019/20,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",20,7.7
2019/20,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",20,8.1
2019/20,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",655,251.7
2019/20,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",625,252.8
2019/20,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients",80,1.7
2019/20,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",80,1.8
2019/20,Scotland (All Areas Submitted),18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients",370,7.7
2019/20,Scotland (All Areas Submitted),18-64 years,Any mixed or multiple ethnic groups,"Rate per 1,000 Social Care Clients (adjusted)",345,7.7
2019/20,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients",555,11.6
2019/20,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",500,11.2
2019/20,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",35,0.7
2019/20,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",35,0.8
2019/20,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients",36540,763.2
2019/20,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",34275,764.4
2019/20,Scotland (All Areas Submitted),18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",200,4.2
