financial_year,sending_location,age_group,sex,measure,rate,nclient
2018/19,Scotland (All Areas Submitted),65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.6,155
2018/19,Scotland (All Areas Submitted),65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.7,150
2018/19,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients",194.7,46855
2018/19,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",197.1,43525
2018/19,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients",105.9,25480
2018/19,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",106.5,23525
2018/19,Scotland (All Areas Submitted),75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.4,325
2018/19,Scotland (All Areas Submitted),75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.4,315
2018/19,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients",229.7,55280
2018/19,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",221.8,48985
2018/19,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients",89.5,21545
2018/19,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",88.9,19645
2018/19,Scotland (All Areas Submitted),85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.3,310
2018/19,Scotland (All Areas Submitted),85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.4,300
2018/19,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients",0.3,65
2018/19,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients",0.1,35
2018/19,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,5
2018/19,Scotland (All Areas Submitted),Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients",615.2,138790
2019/20,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",613.1,126220
2019/20,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients",379.1,85530
2019/20,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",381.3,78500
2019/20,Scotland (All Areas Submitted),All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",4.8,1090
2019/20,Scotland (All Areas Submitted),All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",4.7,960
2019/20,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients",4,900
2019/20,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",4.1,840
2019/20,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients",7.5,1685
2019/20,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",7.8,1615
2019/20,Scotland (All Areas Submitted),0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.1,15
2019/20,Scotland (All Areas Submitted),0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.1,15
2019/20,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients",103.5,23360
2019/20,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",107.1,22040
2019/20,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients",107.6,24285
2019/20,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",109.7,22575
2019/20,Scotland (All Areas Submitted),18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1,235
2019/20,Scotland (All Areas Submitted),18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.1,230
2019/20,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients",81.7,18425
2019/20,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",83.7,17240
2019/20,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients",64.1,14470
2019/20,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",65.1,13400
2019/20,Scotland (All Areas Submitted),65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.7,165
2019/20,Scotland (All Areas Submitted),65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.7,150
2019/20,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients",193.3,43615
2019/20,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",195.3,40200
2019/20,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients",107.5,24260
2019/20,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",108,22235
2019/20,Scotland (All Areas Submitted),75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.5,335
2019/20,Scotland (All Areas Submitted),75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.4,295
2019/20,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients",232.4,52445
2019/20,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",223,45900
2019/20,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients",92.2,20800
2019/20,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",90.7,18675
2019/20,Scotland (All Areas Submitted),85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.5,340
2019/20,Scotland (All Areas Submitted),85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.3,270
2019/20,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients",0.2,50
2019/20,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients",0.1,30
2019/20,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scotland (All Areas Submitted),Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2019/20,Scotland (All Areas Submitted),Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients",609.8,135510
2020/21,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",622.9,121655
2020/21,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients",385.1,85575
2020/21,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",391.6,76495
2020/21,Scotland (All Areas Submitted),All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",5.1,1135
2020/21,Scotland (All Areas Submitted),All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",4,780
2020/21,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients",4.7,1045
2020/21,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",4.8,930
2020/21,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients",9.2,2045
2020/21,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",9.3,1815
2020/21,Scotland (All Areas Submitted),0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,10
2020/21,Scotland (All Areas Submitted),0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.1,10
2020/21,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients",103,22880
2020/21,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",107.2,20930
2020/21,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients",113.8,25295
2020/21,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",114.5,22370
2020/21,Scotland (All Areas Submitted),18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.6,140
2020/21,Scotland (All Areas Submitted),18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.6,125
2020/21,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients",79.5,17675
2020/21,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",83.8,16375
2020/21,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients",63.6,14140
2020/21,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",65.8,12855
2020/21,Scotland (All Areas Submitted),65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.6,130
2020/21,Scotland (All Areas Submitted),65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.6,115
2020/21,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients",187.3,41615
2020/21,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",194.8,38055
2020/21,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients",104.5,23225
2020/21,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",107.5,20990
2020/21,Scotland (All Areas Submitted),75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.2,265
2020/21,Scotland (All Areas Submitted),75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.2,230
2020/21,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients",235.2,52275
2020/21,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",232.2,45345
2020/21,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients",93.8,20855
2020/21,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",94.5,18460
2020/21,Scotland (All Areas Submitted),85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.4,320
2020/21,Scotland (All Areas Submitted),85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.2,235
2020/21,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients",0.1,20
2020/21,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0.1,15
2020/21,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients",0.1,15
2020/21,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0.1,10
2020/21,Scotland (All Areas Submitted),Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.2,265
2020/21,Scotland (All Areas Submitted),Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.3,60
2021/22,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients",602.3,134020
2021/22,Scotland (All Areas Submitted),All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",602.4,123795
2021/22,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients",388.5,86455
2021/22,Scotland (All Areas Submitted),All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",388.2,79780
2021/22,Scotland (All Areas Submitted),All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",9.2,2040
2021/22,Scotland (All Areas Submitted),All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",9.3,1915
2021/22,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients",6,1340
2021/22,Scotland (All Areas Submitted),0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",6.1,1245
2021/22,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients",11.5,2570
2021/22,Scotland (All Areas Submitted),0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",11.4,2350
2021/22,Scotland (All Areas Submitted),0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.1,25
2021/22,Scotland (All Areas Submitted),0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.1,20
2021/22,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients",113.4,25240
2021/22,Scotland (All Areas Submitted),18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",115.2,23670
2021/22,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients",123.2,27410
2021/22,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",122.8,25240
2021/22,Scotland (All Areas Submitted),18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.9,200
2021/22,Scotland (All Areas Submitted),18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.9,195
2021/22,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients",78.9,17550
2021/22,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",80.3,16510
2021/22,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients",62.7,13950
2021/22,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",63.2,12985
2021/22,Scotland (All Areas Submitted),65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.7,160
2021/22,Scotland (All Areas Submitted),65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.8,155
2021/22,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients",178.7,39775
2021/22,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",180.3,37040
2021/22,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients",100.6,22390
2021/22,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",100.8,20720
2021/22,Scotland (All Areas Submitted),75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.7,375
2021/22,Scotland (All Areas Submitted),75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.8,365
2021/22,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients",225,50070
2021/22,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",220.4,45295
2021/22,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients",90.4,20115
2021/22,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",89.9,18465
2021/22,Scotland (All Areas Submitted),85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",2,450
2021/22,Scotland (All Areas Submitted),85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",2.2,445
2021/22,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients",0.2,40
2021/22,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0.2,40
2021/22,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients",0.1,25
2021/22,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0.1,20
2021/22,Scotland (All Areas Submitted),Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",3.8,835
2021/22,Scotland (All Areas Submitted),Unknown,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",3.6,735
2017/18,Aberdeen City,All Ages,Female,"Rate per 1,000 Social Care Clients",569,6015
2017/18,Aberdeen City,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",572.1,5910
2017/18,Aberdeen City,All Ages,Male,"Rate per 1,000 Social Care Clients",424.2,4485
2017/18,Aberdeen City,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",421.5,4355
2017/18,Aberdeen City,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",6.6,70
2017/18,Aberdeen City,All Ages,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",6.3,65
2017/18,Aberdeen City,0-17 years,Female,"Rate per 1,000 Social Care Clients",9,95
2017/18,Aberdeen City,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",7.3,75
2017/18,Aberdeen City,0-17 years,Male,"Rate per 1,000 Social Care Clients",19.9,210
2017/18,Aberdeen City,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",16.9,175
2017/18,Aberdeen City,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,0-17 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,18-64 years,Female,"Rate per 1,000 Social Care Clients",127.2,1345
2017/18,Aberdeen City,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",123.9,1280
2017/18,Aberdeen City,18-64 years,Male,"Rate per 1,000 Social Care Clients",168.4,1780
2017/18,Aberdeen City,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",165,1705
2017/18,Aberdeen City,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",2.8,30
2017/18,Aberdeen City,18-64 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",2.4,25
2017/18,Aberdeen City,65-74 years,Female,"Rate per 1,000 Social Care Clients",71.4,755
2017/18,Aberdeen City,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",72.6,750
2017/18,Aberdeen City,65-74 years,Male,"Rate per 1,000 Social Care Clients",65.3,690
2017/18,Aberdeen City,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",66.3,685
2017/18,Aberdeen City,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",0.5,5
2017/18,Aberdeen City,65-74 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",0.5,5
2017/18,Aberdeen City,75-84 years,Female,"Rate per 1,000 Social Care Clients",158.4,1675
2017/18,Aberdeen City,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",161.6,1670
2017/18,Aberdeen City,75-84 years,Male,"Rate per 1,000 Social Care Clients",87,920
2017/18,Aberdeen City,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",88.6,915
2017/18,Aberdeen City,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.4,15
2017/18,Aberdeen City,75-84 years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.5,15
2017/18,Aberdeen City,85+ years,Female,"Rate per 1,000 Social Care Clients",203.4,2150
2017/18,Aberdeen City,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",206.7,2135
2017/18,Aberdeen City,85+ years,Male,"Rate per 1,000 Social Care Clients",83.7,885
2017/18,Aberdeen City,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",84.7,875
2017/18,Aberdeen City,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients",1.4,15
2017/18,Aberdeen City,85+ years,Not Known / Unspecified,"Rate per 1,000 Social Care Clients (adjusted)",1.5,15
