financial_year,sending_location,age_group,living_alone,measure,percentage,nclient
2017/18,Aberdeen City,All Ages,Living Alone,Percentage of Social Care Clients,27.2,2875
2017/18,Aberdeen City,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),27.6,2855
2017/18,Aberdeen City,All Ages,Not Living Alone,Percentage of Social Care Clients,24.4,2580
2017/18,Aberdeen City,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),24.7,2555
2017/18,Aberdeen City,All Ages,Unknown,Percentage of Social Care Clients,48.4,5120
2017/18,Aberdeen City,All Ages,Unknown,Percentage of Social Care Clients (adjusted),47.6,4920
2017/18,Aberdeen City,0-17 years,Not Living Alone,Percentage of Social Care Clients,16.1,50
2017/18,Aberdeen City,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),18,45
2017/18,Aberdeen City,0-17 years,Unknown,Percentage of Social Care Clients,83.9,260
2017/18,Aberdeen City,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),82,205
2017/18,Aberdeen City,18-64 years,Living Alone,Percentage of Social Care Clients,17,535
2017/18,Aberdeen City,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),17.4,525
2017/18,Aberdeen City,18-64 years,Not Living Alone,Percentage of Social Care Clients,18.9,595
2017/18,Aberdeen City,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),19.4,585
2017/18,Aberdeen City,18-64 years,Unknown,Percentage of Social Care Clients,64.2,2025
2017/18,Aberdeen City,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),63.1,1900
2017/18,Aberdeen City,65-74 years,Living Alone,Percentage of Social Care Clients,29.3,425
2017/18,Aberdeen City,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),29.3,420
2017/18,Aberdeen City,65-74 years,Not Living Alone,Percentage of Social Care Clients,28.3,410
2017/18,Aberdeen City,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),28.2,405
2017/18,Aberdeen City,65-74 years,Unknown,Percentage of Social Care Clients,42.4,615
2017/18,Aberdeen City,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),42.5,610
2017/18,Aberdeen City,75-84 years,Living Alone,Percentage of Social Care Clients,28.2,735
2017/18,Aberdeen City,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),28.2,735
2017/18,Aberdeen City,75-84 years,Not Living Alone,Percentage of Social Care Clients,29.9,780
2017/18,Aberdeen City,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),29.9,780
2017/18,Aberdeen City,75-84 years,Unknown,Percentage of Social Care Clients,42,1095
2017/18,Aberdeen City,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),41.8,1090
2017/18,Aberdeen City,85+ years,Living Alone,Percentage of Social Care Clients,38.7,1180
2017/18,Aberdeen City,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),38.8,1175
2017/18,Aberdeen City,85+ years,Not Living Alone,Percentage of Social Care Clients,24.4,745
2017/18,Aberdeen City,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),24.3,735
2017/18,Aberdeen City,85+ years,Unknown,Percentage of Social Care Clients,36.9,1125
2017/18,Aberdeen City,85+ years,Unknown,Percentage of Social Care Clients (adjusted),37,1120
2017/18,Aberdeenshire,All Ages,Unknown,Percentage of Social Care Clients,100,9070
2017/18,Aberdeenshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),100,9015
2017/18,Aberdeenshire,0-17 years,Unknown,Percentage of Social Care Clients,100,15
2017/18,Aberdeenshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,15
2017/18,Aberdeenshire,18-64 years,Unknown,Percentage of Social Care Clients,100,1700
2017/18,Aberdeenshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),100,1690
2017/18,Aberdeenshire,65-74 years,Unknown,Percentage of Social Care Clients,100,1320
2017/18,Aberdeenshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),100,1315
2017/18,Aberdeenshire,75-84 years,Unknown,Percentage of Social Care Clients,100,2835
2017/18,Aberdeenshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),100,2810
2017/18,Aberdeenshire,85+ years,Unknown,Percentage of Social Care Clients,100,3205
2017/18,Aberdeenshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),100,3180
2017/18,Angus,All Ages,Living Alone,Percentage of Social Care Clients,26.6,1550
2017/18,Angus,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),26.6,1550
2017/18,Angus,All Ages,Not Living Alone,Percentage of Social Care Clients,39.7,2315
2017/18,Angus,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),39.7,2315
2017/18,Angus,All Ages,Unknown,Percentage of Social Care Clients,33.8,1970
2017/18,Angus,All Ages,Unknown,Percentage of Social Care Clients (adjusted),33.8,1970
2017/18,Angus,0-17 years,Not Living Alone,Percentage of Social Care Clients,80,20
2017/18,Angus,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),80,20
2017/18,Angus,0-17 years,Unknown,Percentage of Social Care Clients,20,5
2017/18,Angus,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),20,5
2017/18,Angus,18-64 years,Living Alone,Percentage of Social Care Clients,27.8,270
2017/18,Angus,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),27.8,270
2017/18,Angus,18-64 years,Not Living Alone,Percentage of Social Care Clients,40.7,395
2017/18,Angus,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),40.7,395
2017/18,Angus,18-64 years,Unknown,Percentage of Social Care Clients,31.4,305
2017/18,Angus,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),31.4,305
2017/18,Angus,65-74 years,Living Alone,Percentage of Social Care Clients,22.9,175
2017/18,Angus,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),22.9,175
2017/18,Angus,65-74 years,Not Living Alone,Percentage of Social Care Clients,43.8,335
2017/18,Angus,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),43.8,335
2017/18,Angus,65-74 years,Unknown,Percentage of Social Care Clients,33.3,255
2017/18,Angus,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),33.3,255
2017/18,Angus,75-84 years,Living Alone,Percentage of Social Care Clients,28,510
2017/18,Angus,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),28,510
2017/18,Angus,75-84 years,Not Living Alone,Percentage of Social Care Clients,44,800
2017/18,Angus,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),44,800
2017/18,Angus,75-84 years,Unknown,Percentage of Social Care Clients,28,510
2017/18,Angus,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),28,510
2017/18,Angus,85+ years,Living Alone,Percentage of Social Care Clients,26.4,595
2017/18,Angus,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),26.4,595
2017/18,Angus,85+ years,Not Living Alone,Percentage of Social Care Clients,33.9,765
2017/18,Angus,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),33.9,765
2017/18,Angus,85+ years,Unknown,Percentage of Social Care Clients,39.7,895
2017/18,Angus,85+ years,Unknown,Percentage of Social Care Clients (adjusted),39.7,895
2017/18,Argyll and Bute,All Ages,Living Alone,Percentage of Social Care Clients,4.5,150
2017/18,Argyll and Bute,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),4.5,150
2017/18,Argyll and Bute,All Ages,Not Living Alone,Percentage of Social Care Clients,31.6,1065
2017/18,Argyll and Bute,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),31.6,1065
2017/18,Argyll and Bute,All Ages,Unknown,Percentage of Social Care Clients,63.9,2150
2017/18,Argyll and Bute,All Ages,Unknown,Percentage of Social Care Clients (adjusted),63.9,2150
2017/18,Argyll and Bute,0-17 years,Unknown,Percentage of Social Care Clients,100,5
2017/18,Argyll and Bute,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,5
2017/18,Argyll and Bute,18-64 years,Living Alone,Percentage of Social Care Clients,9,45
2017/18,Argyll and Bute,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),9,45
2017/18,Argyll and Bute,18-64 years,Not Living Alone,Percentage of Social Care Clients,34,170
2017/18,Argyll and Bute,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),34,170
2017/18,Argyll and Bute,18-64 years,Unknown,Percentage of Social Care Clients,57,285
2017/18,Argyll and Bute,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),57,285
2017/18,Argyll and Bute,65-74 years,Living Alone,Percentage of Social Care Clients,3.4,15
2017/18,Argyll and Bute,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),3.4,15
2017/18,Argyll and Bute,65-74 years,Not Living Alone,Percentage of Social Care Clients,29.9,130
2017/18,Argyll and Bute,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),29.9,130
2017/18,Argyll and Bute,65-74 years,Unknown,Percentage of Social Care Clients,66.7,290
2017/18,Argyll and Bute,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),66.7,290
2017/18,Argyll and Bute,75-84 years,Living Alone,Percentage of Social Care Clients,3.2,35
2017/18,Argyll and Bute,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),3.2,35
2017/18,Argyll and Bute,75-84 years,Not Living Alone,Percentage of Social Care Clients,27.4,300
2017/18,Argyll and Bute,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),27.4,300
2017/18,Argyll and Bute,75-84 years,Unknown,Percentage of Social Care Clients,69.4,760
2017/18,Argyll and Bute,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),69.4,760
2017/18,Argyll and Bute,85+ years,Living Alone,Percentage of Social Care Clients,3.8,50
2017/18,Argyll and Bute,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),3.8,50
2017/18,Argyll and Bute,85+ years,Not Living Alone,Percentage of Social Care Clients,35,460
2017/18,Argyll and Bute,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),34.8,460
2017/18,Argyll and Bute,85+ years,Unknown,Percentage of Social Care Clients,61.2,805
2017/18,Argyll and Bute,85+ years,Unknown,Percentage of Social Care Clients (adjusted),61.4,810
2017/18,City of Edinburgh,All Ages,Living Alone,Percentage of Social Care Clients,12.1,2095
2017/18,City of Edinburgh,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),10.5,1550
2017/18,City of Edinburgh,All Ages,Not Living Alone,Percentage of Social Care Clients,1,180
2017/18,City of Edinburgh,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),1.2,180
2017/18,City of Edinburgh,All Ages,Unknown,Percentage of Social Care Clients,86.9,15030
2017/18,City of Edinburgh,All Ages,Unknown,Percentage of Social Care Clients (adjusted),88.3,13050
2017/18,City of Edinburgh,0-17 years,Not Living Alone,Percentage of Social Care Clients,61,180
2017/18,City of Edinburgh,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),62.1,180
2017/18,City of Edinburgh,0-17 years,Unknown,Percentage of Social Care Clients,39,115
2017/18,City of Edinburgh,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),37.9,110
2017/18,City of Edinburgh,18-64 years,Living Alone,Percentage of Social Care Clients,5.9,235
2017/18,City of Edinburgh,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),5.7,215
2017/18,City of Edinburgh,18-64 years,Unknown,Percentage of Social Care Clients,94.1,3770
2017/18,City of Edinburgh,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),94.3,3540
2017/18,City of Edinburgh,65-74 years,Living Alone,Percentage of Social Care Clients,9.4,240
2017/18,City of Edinburgh,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),9,205
2017/18,City of Edinburgh,65-74 years,Unknown,Percentage of Social Care Clients,90.6,2315
2017/18,City of Edinburgh,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),91,2085
2017/18,City of Edinburgh,75-84 years,Living Alone,Percentage of Social Care Clients,12.4,550
2017/18,City of Edinburgh,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),11.1,415
2017/18,City of Edinburgh,75-84 years,Unknown,Percentage of Social Care Clients,87.6,3890
2017/18,City of Edinburgh,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),88.9,3330
2017/18,City of Edinburgh,85+ years,Living Alone,Percentage of Social Care Clients,18.1,1065
2017/18,City of Edinburgh,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),15.3,720
2017/18,City of Edinburgh,85+ years,Unknown,Percentage of Social Care Clients,81.9,4810
2017/18,City of Edinburgh,85+ years,Unknown,Percentage of Social Care Clients (adjusted),84.7,3985
2017/18,City of Edinburgh,Unknown,Unknown,Percentage of Social Care Clients,100,130
2017/18,Clackmannanshire,All Ages,Living Alone,Percentage of Social Care Clients,45.7,1265
2017/18,Clackmannanshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),45.7,1265
2017/18,Clackmannanshire,All Ages,Not Living Alone,Percentage of Social Care Clients,54.3,1505
2017/18,Clackmannanshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),54.3,1505
2017/18,Clackmannanshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,100,5
2017/18,Clackmannanshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),100,5
2017/18,Clackmannanshire,18-64 years,Living Alone,Percentage of Social Care Clients,33.1,210
2017/18,Clackmannanshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),33.1,210
2017/18,Clackmannanshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,66.9,425
2017/18,Clackmannanshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),66.9,425
2017/18,Clackmannanshire,65-74 years,Living Alone,Percentage of Social Care Clients,45.4,220
2017/18,Clackmannanshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),45.4,220
2017/18,Clackmannanshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,54.6,265
2017/18,Clackmannanshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),54.6,265
2017/18,Clackmannanshire,75-84 years,Living Alone,Percentage of Social Care Clients,48.9,440
2017/18,Clackmannanshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),48.9,440
2017/18,Clackmannanshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,51.1,460
2017/18,Clackmannanshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),51.1,460
2017/18,Clackmannanshire,85+ years,Living Alone,Percentage of Social Care Clients,52.7,395
2017/18,Clackmannanshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),52.7,395
2017/18,Clackmannanshire,85+ years,Not Living Alone,Percentage of Social Care Clients,47.3,355
2017/18,Clackmannanshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),47.3,355
2017/18,Comhairle nan Eilean Siar,All Ages,Living Alone,Percentage of Social Care Clients,4.1,65
2017/18,Comhairle nan Eilean Siar,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),4.5,60
2017/18,Comhairle nan Eilean Siar,All Ages,Not Living Alone,Percentage of Social Care Clients,4.7,75
2017/18,Comhairle nan Eilean Siar,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),4.9,65
2017/18,Comhairle nan Eilean Siar,All Ages,Unknown,Percentage of Social Care Clients,91.1,1440
2017/18,Comhairle nan Eilean Siar,All Ages,Unknown,Percentage of Social Care Clients (adjusted),90.6,1210
2017/18,Comhairle nan Eilean Siar,0-17 years,Unknown,Percentage of Social Care Clients,100,5
2017/18,Comhairle nan Eilean Siar,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,5
2017/18,Comhairle nan Eilean Siar,18-64 years,Living Alone,Percentage of Social Care Clients,4.5,10
2017/18,Comhairle nan Eilean Siar,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),5.7,10
2017/18,Comhairle nan Eilean Siar,18-64 years,Not Living Alone,Percentage of Social Care Clients,6.8,15
2017/18,Comhairle nan Eilean Siar,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),8.6,15
2017/18,Comhairle nan Eilean Siar,18-64 years,Unknown,Percentage of Social Care Clients,88.6,195
2017/18,Comhairle nan Eilean Siar,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),85.7,150
2017/18,Comhairle nan Eilean Siar,65-74 years,Living Alone,Percentage of Social Care Clients,4.4,10
2017/18,Comhairle nan Eilean Siar,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),5.1,10
2017/18,Comhairle nan Eilean Siar,65-74 years,Not Living Alone,Percentage of Social Care Clients,6.7,15
2017/18,Comhairle nan Eilean Siar,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),5.1,10
2017/18,Comhairle nan Eilean Siar,65-74 years,Unknown,Percentage of Social Care Clients,88.9,200
2017/18,Comhairle nan Eilean Siar,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),89.7,175
2017/18,Comhairle nan Eilean Siar,75-84 years,Living Alone,Percentage of Social Care Clients,2.7,15
2017/18,Comhairle nan Eilean Siar,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),3.1,15
2017/18,Comhairle nan Eilean Siar,75-84 years,Not Living Alone,Percentage of Social Care Clients,3.6,20
2017/18,Comhairle nan Eilean Siar,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),4.2,20
2017/18,Comhairle nan Eilean Siar,75-84 years,Unknown,Percentage of Social Care Clients,93.6,515
2017/18,Comhairle nan Eilean Siar,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),92.7,445
2017/18,Comhairle nan Eilean Siar,85+ years,Living Alone,Percentage of Social Care Clients,5.2,30
2017/18,Comhairle nan Eilean Siar,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),5.1,25
2017/18,Comhairle nan Eilean Siar,85+ years,Not Living Alone,Percentage of Social Care Clients,4.3,25
2017/18,Comhairle nan Eilean Siar,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),4.1,20
2017/18,Comhairle nan Eilean Siar,85+ years,Unknown,Percentage of Social Care Clients,90.5,525
2017/18,Comhairle nan Eilean Siar,85+ years,Unknown,Percentage of Social Care Clients (adjusted),90.8,445
2017/18,Dumfries and Galloway,All Ages,Living Alone,Percentage of Social Care Clients,19.9,1405
2017/18,Dumfries and Galloway,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),19.9,1405
2017/18,Dumfries and Galloway,All Ages,Not Living Alone,Percentage of Social Care Clients,80.1,5665
2017/18,Dumfries and Galloway,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),80.1,5665
2017/18,Dumfries and Galloway,0-17 years,Not Living Alone,Percentage of Social Care Clients,100,105
2017/18,Dumfries and Galloway,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),100,105
2017/18,Dumfries and Galloway,18-64 years,Living Alone,Percentage of Social Care Clients,16.2,195
2017/18,Dumfries and Galloway,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),16.2,195
2017/18,Dumfries and Galloway,18-64 years,Not Living Alone,Percentage of Social Care Clients,83.8,1005
2017/18,Dumfries and Galloway,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),83.8,1005
2017/18,Dumfries and Galloway,65-74 years,Living Alone,Percentage of Social Care Clients,20.6,180
2017/18,Dumfries and Galloway,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),20.6,180
2017/18,Dumfries and Galloway,65-74 years,Not Living Alone,Percentage of Social Care Clients,79.4,695
2017/18,Dumfries and Galloway,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),79.4,695
2017/18,Dumfries and Galloway,75-84 years,Living Alone,Percentage of Social Care Clients,22,480
2017/18,Dumfries and Galloway,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),22,480
2017/18,Dumfries and Galloway,75-84 years,Not Living Alone,Percentage of Social Care Clients,78,1705
2017/18,Dumfries and Galloway,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),78,1705
2017/18,Dumfries and Galloway,85+ years,Living Alone,Percentage of Social Care Clients,20.3,550
2017/18,Dumfries and Galloway,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),20.3,550
2017/18,Dumfries and Galloway,85+ years,Not Living Alone,Percentage of Social Care Clients,79.7,2155
2017/18,Dumfries and Galloway,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),79.7,2155
2017/18,Dundee City,All Ages,Living Alone,Percentage of Social Care Clients,36.3,3985
2017/18,Dundee City,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),36.3,3965
2017/18,Dundee City,All Ages,Not Living Alone,Percentage of Social Care Clients,8,880
2017/18,Dundee City,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),8,875
2017/18,Dundee City,All Ages,Unknown,Percentage of Social Care Clients,55.7,6120
2017/18,Dundee City,All Ages,Unknown,Percentage of Social Care Clients (adjusted),55.6,6070
2017/18,Dundee City,0-17 years,Unknown,Percentage of Social Care Clients,100,30
2017/18,Dundee City,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),100,30
2017/18,Dundee City,18-64 years,Living Alone,Percentage of Social Care Clients,16.1,500
2017/18,Dundee City,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),16.1,495
2017/18,Dundee City,18-64 years,Not Living Alone,Percentage of Social Care Clients,7.5,235
2017/18,Dundee City,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),7.6,235
2017/18,Dundee City,18-64 years,Unknown,Percentage of Social Care Clients,76.4,2380
2017/18,Dundee City,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),76.3,2350
2017/18,Dundee City,65-74 years,Living Alone,Percentage of Social Care Clients,27.3,565
2017/18,Dundee City,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),27.3,560
2017/18,Dundee City,65-74 years,Not Living Alone,Percentage of Social Care Clients,7.7,160
2017/18,Dundee City,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),7.6,155
2017/18,Dundee City,65-74 years,Unknown,Percentage of Social Care Clients,65,1345
2017/18,Dundee City,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),65.1,1335
2017/18,Dundee City,75-84 years,Living Alone,Percentage of Social Care Clients,42.1,1285
2017/18,Dundee City,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),42.1,1280
2017/18,Dundee City,75-84 years,Not Living Alone,Percentage of Social Care Clients,8.2,250
2017/18,Dundee City,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),8.2,250
2017/18,Dundee City,75-84 years,Unknown,Percentage of Social Care Clients,49.7,1515
2017/18,Dundee City,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),49.7,1510
2017/18,Dundee City,85+ years,Living Alone,Percentage of Social Care Clients,60.2,1635
2017/18,Dundee City,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),60.3,1630
2017/18,Dundee City,85+ years,Not Living Alone,Percentage of Social Care Clients,8.5,230
2017/18,Dundee City,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),8.5,230
2017/18,Dundee City,85+ years,Unknown,Percentage of Social Care Clients,31.3,850
2017/18,Dundee City,85+ years,Unknown,Percentage of Social Care Clients (adjusted),31.2,845
2017/18,East Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients,15.7,810
2017/18,East Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),15.8,805
2017/18,East Ayrshire,All Ages,Not Living Alone,Percentage of Social Care Clients,84.3,4350
2017/18,East Ayrshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),84.2,4290
2017/18,East Ayrshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,100,100
