financial_year,sending_location,age_group,measure,rate,nclient
2019/20,Scotland (All Areas Submitted),18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",11.9,535
2019/20,Scotland (All Areas Submitted),65-74 years,"Rate per 1,000 Social Care Clients",28.1,930
2019/20,Scotland (All Areas Submitted),65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",30.2,930
2019/20,Scotland (All Areas Submitted),75-84 years,"Rate per 1,000 Social Care Clients",32.3,2200
2019/20,Scotland (All Areas Submitted),75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",35.1,2200
2019/20,Scotland (All Areas Submitted),85+ years,"Rate per 1,000 Social Care Clients",37.5,2760
2019/20,Scotland (All Areas Submitted),85+ years,"Rate per 1,000 Social Care Clients (adjusted)",42.6,2770
2019/20,Scotland (All Areas Submitted),Unknown,"Rate per 1,000 Social Care Clients",35.2,10
2019/20,Scotland (All Areas Submitted),Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scotland (All Areas Submitted),All Ages,"Rate per 1,000 Social Care Clients",25.4,5650
2020/21,Scotland (All Areas Submitted),All Ages,"Rate per 1,000 Social Care Clients (adjusted)",28.9,5650
2020/21,Scotland (All Areas Submitted),0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scotland (All Areas Submitted),0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scotland (All Areas Submitted),18-64 years,"Rate per 1,000 Social Care Clients",11.4,550
2020/21,Scotland (All Areas Submitted),18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",12.9,550
2020/21,Scotland (All Areas Submitted),65-74 years,"Rate per 1,000 Social Care Clients",25.4,810
2020/21,Scotland (All Areas Submitted),65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",28.1,810
2020/21,Scotland (All Areas Submitted),75-84 years,"Rate per 1,000 Social Care Clients",28.7,1870
2020/21,Scotland (All Areas Submitted),75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",32.2,1870
2020/21,Scotland (All Areas Submitted),85+ years,"Rate per 1,000 Social Care Clients",32.9,2420
2020/21,Scotland (All Areas Submitted),85+ years,"Rate per 1,000 Social Care Clients (adjusted)",38.4,2420
2020/21,Scotland (All Areas Submitted),Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,Scotland (All Areas Submitted),Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scotland (All Areas Submitted),All Ages,"Rate per 1,000 Social Care Clients",25.3,5625
2021/22,Scotland (All Areas Submitted),All Ages,"Rate per 1,000 Social Care Clients (adjusted)",27.4,5625
2021/22,Scotland (All Areas Submitted),0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scotland (All Areas Submitted),0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Scotland (All Areas Submitted),18-64 years,"Rate per 1,000 Social Care Clients",10.1,535
2021/22,Scotland (All Areas Submitted),18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",10.9,535
2021/22,Scotland (All Areas Submitted),65-74 years,"Rate per 1,000 Social Care Clients",26.4,835
2021/22,Scotland (All Areas Submitted),65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",28.2,835
2021/22,Scotland (All Areas Submitted),75-84 years,"Rate per 1,000 Social Care Clients",29.7,1860
2021/22,Scotland (All Areas Submitted),75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",32,1860
2021/22,Scotland (All Areas Submitted),85+ years,"Rate per 1,000 Social Care Clients",33.9,2395
2021/22,Scotland (All Areas Submitted),85+ years,"Rate per 1,000 Social Care Clients (adjusted)",37.3,2395
2021/22,Scotland (All Areas Submitted),Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,Scotland (All Areas Submitted),Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,All Ages,"Rate per 1,000 Social Care Clients",37.4,395
2017/18,Aberdeen City,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",38.2,395
2017/18,Aberdeen City,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,18-64 years,"Rate per 1,000 Social Care Clients",11.1,35
2017/18,Aberdeen City,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",11.6,35
2017/18,Aberdeen City,65-74 years,"Rate per 1,000 Social Care Clients",48.4,70
2017/18,Aberdeen City,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",48.6,70
2017/18,Aberdeen City,75-84 years,"Rate per 1,000 Social Care Clients",44,115
2017/18,Aberdeen City,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",44.2,115
2017/18,Aberdeen City,85+ years,"Rate per 1,000 Social Care Clients",57.4,175
2017/18,Aberdeen City,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",57.8,175
2017/18,Aberdeen City,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,All Ages,"Rate per 1,000 Social Care Clients",29.7,310
2018/19,Aberdeen City,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",34.9,310
2018/19,Aberdeen City,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,18-64 years,"Rate per 1,000 Social Care Clients",9.8,30
2018/19,Aberdeen City,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",11.8,30
2018/19,Aberdeen City,65-74 years,"Rate per 1,000 Social Care Clients",33.5,50
2018/19,Aberdeen City,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",37.8,50
2018/19,Aberdeen City,75-84 years,"Rate per 1,000 Social Care Clients",35.9,90
2018/19,Aberdeen City,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",41.2,90
2018/19,Aberdeen City,85+ years,"Rate per 1,000 Social Care Clients",45.5,135
2018/19,Aberdeen City,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",53.4,135
2018/19,Aberdeen City,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,All Ages,"Rate per 1,000 Social Care Clients",5.5,50
2017/18,Aberdeenshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",5.5,50
2017/18,Aberdeenshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeenshire,18-64 years,"Rate per 1,000 Social Care Clients",2.9,5
2017/18,Aberdeenshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",3,5
2017/18,Aberdeenshire,65-74 years,"Rate per 1,000 Social Care Clients",7.6,10
2017/18,Aberdeenshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",7.6,10
2017/18,Aberdeenshire,75-84 years,"Rate per 1,000 Social Care Clients",5.3,15
2017/18,Aberdeenshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",5.3,15
2017/18,Aberdeenshire,85+ years,"Rate per 1,000 Social Care Clients",7.8,25
2017/18,Aberdeenshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",7.9,25
2017/18,Aberdeenshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeenshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeenshire,All Ages,"Rate per 1,000 Social Care Clients",3,35
2018/19,Aberdeenshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",3.1,35
2018/19,Aberdeenshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeenshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeenshire,18-64 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeenshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeenshire,65-74 years,"Rate per 1,000 Social Care Clients",3.1,5
2018/19,Aberdeenshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",3.1,5
2018/19,Aberdeenshire,75-84 years,"Rate per 1,000 Social Care Clients",3.1,10
2018/19,Aberdeenshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",3.1,10
2018/19,Aberdeenshire,85+ years,"Rate per 1,000 Social Care Clients",5.5,20
2018/19,Aberdeenshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",5.6,20
2018/19,Aberdeenshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeenshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Aberdeenshire,All Ages,"Rate per 1,000 Social Care Clients",2,25
2019/20,Aberdeenshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",2,25
2019/20,Aberdeenshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,Aberdeenshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Aberdeenshire,18-64 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,Aberdeenshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Aberdeenshire,65-74 years,"Rate per 1,000 Social Care Clients",2.7,5
2019/20,Aberdeenshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",2.7,5
2019/20,Aberdeenshire,75-84 years,"Rate per 1,000 Social Care Clients",1.4,5
2019/20,Aberdeenshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",1.4,5
2019/20,Aberdeenshire,85+ years,"Rate per 1,000 Social Care Clients",4,15
2019/20,Aberdeenshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",4,15
2019/20,Aberdeenshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,Aberdeenshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Aberdeenshire,All Ages,"Rate per 1,000 Social Care Clients",2.2,20
2020/21,Aberdeenshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",2.2,20
2020/21,Aberdeenshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeenshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Aberdeenshire,18-64 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeenshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Aberdeenshire,65-74 years,"Rate per 1,000 Social Care Clients",3.7,5
2020/21,Aberdeenshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",3.8,5
2020/21,Aberdeenshire,75-84 years,"Rate per 1,000 Social Care Clients",1.8,5
2020/21,Aberdeenshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",1.8,5
2020/21,Aberdeenshire,85+ years,"Rate per 1,000 Social Care Clients",2.9,10
2020/21,Aberdeenshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",3,10
2020/21,Aberdeenshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,Aberdeenshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Aberdeenshire,All Ages,"Rate per 1,000 Social Care Clients",1.5,15
2021/22,Aberdeenshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",1.5,15
2021/22,Aberdeenshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,Aberdeenshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Aberdeenshire,18-64 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,Aberdeenshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Aberdeenshire,65-74 years,"Rate per 1,000 Social Care Clients",3.6,5
2021/22,Aberdeenshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",3.7,5
2021/22,Aberdeenshire,75-84 years,"Rate per 1,000 Social Care Clients",1.8,5
2021/22,Aberdeenshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",1.8,5
2021/22,Aberdeenshire,85+ years,"Rate per 1,000 Social Care Clients",2.9,10
2021/22,Aberdeenshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",2.9,10
2021/22,Aberdeenshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,Aberdeenshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Angus,All Ages,"Rate per 1,000 Social Care Clients",148.2,865
2017/18,Angus,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",148.2,865
2017/18,Angus,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Angus,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Angus,18-64 years,"Rate per 1,000 Social Care Clients",108.5,105
2017/18,Angus,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",108.5,105
2017/18,Angus,65-74 years,"Rate per 1,000 Social Care Clients",110.5,85
2017/18,Angus,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",110.5,85
2017/18,Angus,75-84 years,"Rate per 1,000 Social Care Clients",148.4,270
2017/18,Angus,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",148.4,270
2017/18,Angus,85+ years,"Rate per 1,000 Social Care Clients",177.5,400
2017/18,Angus,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",177.4,400
2017/18,Angus,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Angus,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Angus,All Ages,"Rate per 1,000 Social Care Clients",98.4,635
2018/19,Angus,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",98.4,635
2018/19,Angus,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Angus,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Angus,18-64 years,"Rate per 1,000 Social Care Clients",76.4,80
2018/19,Angus,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",76.4,80
2018/19,Angus,65-74 years,"Rate per 1,000 Social Care Clients",70,60
2018/19,Angus,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",70,60
2018/19,Angus,75-84 years,"Rate per 1,000 Social Care Clients",106.9,215
2018/19,Angus,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",106.9,215
2018/19,Angus,85+ years,"Rate per 1,000 Social Care Clients",111,280
2018/19,Angus,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",111,280
2018/19,Angus,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Angus,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Angus,All Ages,"Rate per 1,000 Social Care Clients",109.7,665
2019/20,Angus,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",109.7,665
2019/20,Angus,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2019/20,Angus,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Angus,18-64 years,"Rate per 1,000 Social Care Clients",43,45
2019/20,Angus,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",43,45
2019/20,Angus,65-74 years,"Rate per 1,000 Social Care Clients",82.2,70
2019/20,Angus,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",82.3,70
2019/20,Angus,75-84 years,"Rate per 1,000 Social Care Clients",121.1,235
2019/20,Angus,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",121.1,235
2019/20,Angus,85+ years,"Rate per 1,000 Social Care Clients",142.7,315
2019/20,Angus,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",142.5,315
2019/20,Angus,Unknown,"Rate per 1,000 Social Care Clients",0,0
2019/20,Angus,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Angus,All Ages,"Rate per 1,000 Social Care Clients",76,480
2020/21,Angus,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",76.3,480
2020/21,Angus,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2020/21,Angus,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Angus,18-64 years,"Rate per 1,000 Social Care Clients",22.1,25
2020/21,Angus,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",22.4,25
2020/21,Angus,65-74 years,"Rate per 1,000 Social Care Clients",62.9,55
2020/21,Angus,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",63.2,55
2020/21,Angus,75-84 years,"Rate per 1,000 Social Care Clients",79.3,155
2020/21,Angus,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",79.3,155
2020/21,Angus,85+ years,"Rate per 1,000 Social Care Clients",105.2,245
2020/21,Angus,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",105.2,245
2020/21,Angus,Unknown,"Rate per 1,000 Social Care Clients",0,0
2020/21,Angus,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Angus,All Ages,"Rate per 1,000 Social Care Clients",73.6,420
2021/22,Angus,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",73.6,420
2021/22,Angus,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2021/22,Angus,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2021/22,Angus,18-64 years,"Rate per 1,000 Social Care Clients",20.8,20
2021/22,Angus,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",20.8,20
2021/22,Angus,65-74 years,"Rate per 1,000 Social Care Clients",67.1,50
2021/22,Angus,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",67.1,50
2021/22,Angus,75-84 years,"Rate per 1,000 Social Care Clients",71.4,130
2021/22,Angus,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",71.4,130
2021/22,Angus,85+ years,"Rate per 1,000 Social Care Clients",99.3,215
2021/22,Angus,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",99.3,215
2021/22,Angus,Unknown,"Rate per 1,000 Social Care Clients",0,0
2021/22,Angus,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Clackmannanshire,All Ages,"Rate per 1,000 Social Care Clients",39.7,110
2017/18,Clackmannanshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",39.7,110
2017/18,Clackmannanshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Clackmannanshire,18-64 years,"Rate per 1,000 Social Care Clients",7.9,5
2017/18,Clackmannanshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",7.9,5
2017/18,Clackmannanshire,65-74 years,"Rate per 1,000 Social Care Clients",31.1,15
2017/18,Clackmannanshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",31.1,15
2017/18,Clackmannanshire,75-84 years,"Rate per 1,000 Social Care Clients",44.6,40
2017/18,Clackmannanshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",44.6,40
2017/18,Clackmannanshire,85+ years,"Rate per 1,000 Social Care Clients",66.7,50
2017/18,Clackmannanshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",66.7,50
2017/18,Clackmannanshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Clackmannanshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,All Ages,"Rate per 1,000 Social Care Clients",7.6,20
2018/19,Clackmannanshire,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",7.6,20
2018/19,Clackmannanshire,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,18-64 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,65-74 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Clackmannanshire,75-84 years,"Rate per 1,000 Social Care Clients",11.1,10
2018/19,Clackmannanshire,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",11.1,10
2018/19,Clackmannanshire,85+ years,"Rate per 1,000 Social Care Clients",14.4,10
2018/19,Clackmannanshire,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",14.4,10
2018/19,Clackmannanshire,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Clackmannanshire,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Dumfries and Galloway,All Ages,"Rate per 1,000 Social Care Clients",38.2,270
2017/18,Dumfries and Galloway,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",38.2,270
2017/18,Dumfries and Galloway,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Dumfries and Galloway,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Dumfries and Galloway,18-64 years,"Rate per 1,000 Social Care Clients",8.4,10
2017/18,Dumfries and Galloway,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",8.4,10
2017/18,Dumfries and Galloway,65-74 years,"Rate per 1,000 Social Care Clients",34.1,30
2017/18,Dumfries and Galloway,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",34.1,30
2017/18,Dumfries and Galloway,75-84 years,"Rate per 1,000 Social Care Clients",45.7,100
2017/18,Dumfries and Galloway,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",45.7,100
2017/18,Dumfries and Galloway,85+ years,"Rate per 1,000 Social Care Clients",48.1,130
2017/18,Dumfries and Galloway,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",48.1,130
2017/18,Dumfries and Galloway,Unknown,"Rate per 1,000 Social Care Clients",0,0
2017/18,Dumfries and Galloway,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Dumfries and Galloway,All Ages,"Rate per 1,000 Social Care Clients",26.3,185
2018/19,Dumfries and Galloway,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",26.3,185
2018/19,Dumfries and Galloway,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2018/19,Dumfries and Galloway,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Dumfries and Galloway,18-64 years,"Rate per 1,000 Social Care Clients",8.5,10
2018/19,Dumfries and Galloway,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",8.5,10
2018/19,Dumfries and Galloway,65-74 years,"Rate per 1,000 Social Care Clients",22.8,20
2018/19,Dumfries and Galloway,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",22.8,20
2018/19,Dumfries and Galloway,75-84 years,"Rate per 1,000 Social Care Clients",27.1,60
2018/19,Dumfries and Galloway,75-84 years,"Rate per 1,000 Social Care Clients (adjusted)",27.1,60
2018/19,Dumfries and Galloway,85+ years,"Rate per 1,000 Social Care Clients",35.6,95
2018/19,Dumfries and Galloway,85+ years,"Rate per 1,000 Social Care Clients (adjusted)",35.6,95
2018/19,Dumfries and Galloway,Unknown,"Rate per 1,000 Social Care Clients",0,0
2018/19,Dumfries and Galloway,Unknown,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Dundee City,All Ages,"Rate per 1,000 Social Care Clients",70.1,770
2017/18,Dundee City,All Ages,"Rate per 1,000 Social Care Clients (adjusted)",70.6,770
2017/18,Dundee City,0-17 years,"Rate per 1,000 Social Care Clients",0,0
2017/18,Dundee City,0-17 years,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Dundee City,18-64 years,"Rate per 1,000 Social Care Clients",14.4,45
2017/18,Dundee City,18-64 years,"Rate per 1,000 Social Care Clients (adjusted)",14.6,45
2017/18,Dundee City,65-74 years,"Rate per 1,000 Social Care Clients",62.8,130
2017/18,Dundee City,65-74 years,"Rate per 1,000 Social Care Clients (adjusted)",63.3,130
2017/18,Dundee City,75-84 years,"Rate per 1,000 Social Care Clients",83.5,255
