financial_year,sending_location,age_group,ethnicity,measure,rate,nclient
2017/18,Scotland (All Areas Submitted),18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",3.7,150
2017/18,Scotland (All Areas Submitted),18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",223.4,9610
2017/18,Scotland (All Areas Submitted),18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",225,9095
2017/18,Scotland (All Areas Submitted),18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",6.4,275
2017/18,Scotland (All Areas Submitted),18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",6.3,255
2017/18,Scotland (All Areas Submitted),65-74 years,African,"Rate per 1,000 Social Care Clients",0.3,10
2017/18,Scotland (All Areas Submitted),65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0.4,10
2017/18,Scotland (All Areas Submitted),65-74 years,Asian,"Rate per 1,000 Social Care Clients",3.5,105
2017/18,Scotland (All Areas Submitted),65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",3.3,95
2017/18,Scotland (All Areas Submitted),65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.2,5
2017/18,Scotland (All Areas Submitted),65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.2,5
2017/18,Scotland (All Areas Submitted),65-74 years,White,"Rate per 1,000 Social Care Clients",687.5,20770
2017/18,Scotland (All Areas Submitted),65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",681.1,19390
2017/18,Scotland (All Areas Submitted),65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.2,35
2017/18,Scotland (All Areas Submitted),65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",1.1,30
2017/18,Scotland (All Areas Submitted),65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",300.2,9070
2017/18,Scotland (All Areas Submitted),65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",306.8,8735
2017/18,Scotland (All Areas Submitted),65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",7.1,215
2017/18,Scotland (All Areas Submitted),65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",7,200
2017/18,Scotland (All Areas Submitted),75-84 years,African,"Rate per 1,000 Social Care Clients",0.2,15
2017/18,Scotland (All Areas Submitted),75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0.3,15
2017/18,Scotland (All Areas Submitted),75-84 years,Asian,"Rate per 1,000 Social Care Clients",2.8,175
2017/18,Scotland (All Areas Submitted),75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",2.8,165
2017/18,Scotland (All Areas Submitted),75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.2,10
2017/18,Scotland (All Areas Submitted),75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.2,10
2017/18,Scotland (All Areas Submitted),75-84 years,White,"Rate per 1,000 Social Care Clients",705.2,43885
2017/18,Scotland (All Areas Submitted),75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",699.7,40635
2017/18,Scotland (All Areas Submitted),75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.4,90
2017/18,Scotland (All Areas Submitted),75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",1.5,85
2017/18,Scotland (All Areas Submitted),75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",282,17550
2017/18,Scotland (All Areas Submitted),75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",287.8,16715
2017/18,Scotland (All Areas Submitted),75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",8.1,505
2017/18,Scotland (All Areas Submitted),75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",7.8,455
2017/18,Scotland (All Areas Submitted),85+ years,African,"Rate per 1,000 Social Care Clients",0.2,10
2017/18,Scotland (All Areas Submitted),85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0.2,10
2017/18,Scotland (All Areas Submitted),85+ years,Asian,"Rate per 1,000 Social Care Clients",1.7,110
2017/18,Scotland (All Areas Submitted),85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",1.7,100
2017/18,Scotland (All Areas Submitted),85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.2,15
2017/18,Scotland (All Areas Submitted),85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.2,10
2017/18,Scotland (All Areas Submitted),85+ years,White,"Rate per 1,000 Social Care Clients",725.3,47350
2017/18,Scotland (All Areas Submitted),85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",715.4,42540
2017/18,Scotland (All Areas Submitted),85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.5,100
2017/18,Scotland (All Areas Submitted),85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",1.6,95
2017/18,Scotland (All Areas Submitted),85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",265.7,17350
2017/18,Scotland (All Areas Submitted),85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",274.5,16325
2017/18,Scotland (All Areas Submitted),85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",5.4,350
2017/18,Scotland (All Areas Submitted),85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",6.6,390
2017/18,Scotland (All Areas Submitted),Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2017/18,Scotland (All Areas Submitted),Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,White,"Rate per 1,000 Social Care Clients",201.2,65
2017/18,Scotland (All Areas Submitted),Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",541.8,175
2017/18,Scotland (All Areas Submitted),Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",263.2,85
2017/18,Scotland (All Areas Submitted),Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients",0.7,175
2018/19,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0.8,170
2018/19,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients",5.7,1365
2018/19,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",5.5,1210
2018/19,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.4,85
2018/19,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.3,75
2018/19,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients",722.1,173750
2018/19,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",718.9,158790
2018/19,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",2.2,535
2018/19,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",2.2,490
2018/19,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",261.2,62860
2018/19,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",264.8,58480
2018/19,Scotland (All Areas Submitted),All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",7.7,1855
2018/19,Scotland (All Areas Submitted),All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",7.5,1655
2018/19,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients",9.8,35
2018/19,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",9.8,30
2018/19,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients",34.9,125
2018/19,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",37.5,115
2018/19,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",2.8,10
2018/19,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",1.6,5
2018/19,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients",697.5,2495
2018/19,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",707.5,2170
2018/19,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",8.4,30
2018/19,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",9.8,30
2018/19,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",229.2,820
2018/19,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",215.2,660
2018/19,Scotland (All Areas Submitted),0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",16.8,60
2018/19,Scotland (All Areas Submitted),0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",17.9,55
2018/19,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients",1.8,90
2018/19,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",1.9,90
2018/19,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients",10.7,550
2018/19,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",10.2,490
2018/19,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.9,45
2018/19,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.8,40
2018/19,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients",759.6,38995
2018/19,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",760.1,36385
2018/19,Scotland (All Areas Submitted),18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",4.3,220
2018/19,Scotland (All Areas Submitted),18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",4.4,210
2018/19,Scotland (All Areas Submitted),18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",215.9,11085
2018/19,Scotland (All Areas Submitted),18-64 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",215.5,10315
2018/19,Scotland (All Areas Submitted),18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",6.9,355
2018/19,Scotland (All Areas Submitted),18-64 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",7,335
2018/19,Scotland (All Areas Submitted),65-74 years,African,"Rate per 1,000 Social Care Clients",0.4,15
2018/19,Scotland (All Areas Submitted),65-74 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0.4,15
2018/19,Scotland (All Areas Submitted),65-74 years,Asian,"Rate per 1,000 Social Care Clients",4.6,165
2018/19,Scotland (All Areas Submitted),65-74 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",4.3,145
2018/19,Scotland (All Areas Submitted),65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.3,10
2018/19,Scotland (All Areas Submitted),65-74 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.3,10
2018/19,Scotland (All Areas Submitted),65-74 years,White,"Rate per 1,000 Social Care Clients",690.8,24635
2018/19,Scotland (All Areas Submitted),65-74 years,White,"Rate per 1,000 Social Care Clients (adjusted)",686.7,23010
2018/19,Scotland (All Areas Submitted),65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.5,55
2018/19,Scotland (All Areas Submitted),65-74 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",1.5,50
2018/19,Scotland (All Areas Submitted),65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",294.9,10515
2018/19,Scotland (All Areas Submitted),65-74 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",299.2,10025
2018/19,Scotland (All Areas Submitted),65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",7.6,270
2018/19,Scotland (All Areas Submitted),65-74 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",7.5,250
2018/19,Scotland (All Areas Submitted),75-84 years,African,"Rate per 1,000 Social Care Clients",0.3,20
2018/19,Scotland (All Areas Submitted),75-84 years,African,"Rate per 1,000 Social Care Clients (adjusted)",0.3,20
2018/19,Scotland (All Areas Submitted),75-84 years,Asian,"Rate per 1,000 Social Care Clients",4.5,325
2018/19,Scotland (All Areas Submitted),75-84 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",4.3,290
2018/19,Scotland (All Areas Submitted),75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.1,10
2018/19,Scotland (All Areas Submitted),75-84 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.1,10
2018/19,Scotland (All Areas Submitted),75-84 years,White,"Rate per 1,000 Social Care Clients",705.5,51260
2018/19,Scotland (All Areas Submitted),75-84 years,White,"Rate per 1,000 Social Care Clients (adjusted)",701.9,47280
2018/19,Scotland (All Areas Submitted),75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.7,125
2018/19,Scotland (All Areas Submitted),75-84 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",1.6,105
2018/19,Scotland (All Areas Submitted),75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",279.9,20335
2018/19,Scotland (All Areas Submitted),75-84 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",284.1,19135
2018/19,Scotland (All Areas Submitted),75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",8.1,590
2018/19,Scotland (All Areas Submitted),75-84 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",7.7,520
2018/19,Scotland (All Areas Submitted),85+ years,African,"Rate per 1,000 Social Care Clients",0.2,15
2018/19,Scotland (All Areas Submitted),85+ years,African,"Rate per 1,000 Social Care Clients (adjusted)",0.2,15
2018/19,Scotland (All Areas Submitted),85+ years,Asian,"Rate per 1,000 Social Care Clients",2.5,195
2018/19,Scotland (All Areas Submitted),85+ years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",2.5,170
2018/19,Scotland (All Areas Submitted),85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.2,15
2018/19,Scotland (All Areas Submitted),85+ years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.1,10
2018/19,Scotland (All Areas Submitted),85+ years,White,"Rate per 1,000 Social Care Clients",729.6,56275
2018/19,Scotland (All Areas Submitted),85+ years,White,"Rate per 1,000 Social Care Clients (adjusted)",723,49940
2018/19,Scotland (All Areas Submitted),85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",1.4,105
2018/19,Scotland (All Areas Submitted),85+ years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",1.4,95
2018/19,Scotland (All Areas Submitted),85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",260,20055
2018/19,Scotland (All Areas Submitted),85+ years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",265.5,18340
2018/19,Scotland (All Areas Submitted),85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",6.2,475
2018/19,Scotland (All Areas Submitted),85+ years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",7.2,500
2018/19,Scotland (All Areas Submitted),Unknown,African,"Rate per 1,000 Social Care Clients",0,0
2018/19,Scotland (All Areas Submitted),Unknown,African,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Asian,"Rate per 1,000 Social Care Clients",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Asian,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,White,"Rate per 1,000 Social Care Clients",350.2,90
2018/19,Scotland (All Areas Submitted),Unknown,White,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",233.5,60
2018/19,Scotland (All Areas Submitted),Unknown,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",408.6,105
2018/19,Scotland (All Areas Submitted),Unknown,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients",0.7,155
2019/20,Scotland (All Areas Submitted),All Ages,African,"Rate per 1,000 Social Care Clients (adjusted)",0.7,150
2019/20,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients",5.9,1340
2019/20,Scotland (All Areas Submitted),All Ages,Asian,"Rate per 1,000 Social Care Clients (adjusted)",5.8,1200
2019/20,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.4,80
2019/20,Scotland (All Areas Submitted),All Ages,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.4,75
2019/20,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients",723.4,163205
2019/20,Scotland (All Areas Submitted),All Ages,White,"Rate per 1,000 Social Care Clients (adjusted)",722.5,148740
2019/20,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients",2.2,505
2019/20,Scotland (All Areas Submitted),All Ages,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",2.2,445
2019/20,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",258.1,58225
2019/20,Scotland (All Areas Submitted),All Ages,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",259.5,53420
2019/20,Scotland (All Areas Submitted),All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",9.4,2115
2019/20,Scotland (All Areas Submitted),All Ages,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",9,1845
2019/20,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients",11.5,30
2019/20,Scotland (All Areas Submitted),0-17 years,African,"Rate per 1,000 Social Care Clients (adjusted)",12.1,30
2019/20,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients",42.3,110
2019/20,Scotland (All Areas Submitted),0-17 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",42.5,105
2019/20,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",3.8,10
2019/20,Scotland (All Areas Submitted),0-17 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",4,10
2019/20,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients",666.8,1735
2019/20,Scotland (All Areas Submitted),0-17 years,White,"Rate per 1,000 Social Care Clients (adjusted)",665.5,1645
2019/20,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",7.7,20
2019/20,Scotland (All Areas Submitted),0-17 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients (adjusted)",8.1,20
2019/20,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients",251.7,655
2019/20,Scotland (All Areas Submitted),0-17 years,Not Provided / Not Known,"Rate per 1,000 Social Care Clients (adjusted)",252.8,625
2019/20,Scotland (All Areas Submitted),0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients",15.4,40
2019/20,Scotland (All Areas Submitted),0-17 years,Any Mixed or Multiple Ethnic Groups,"Rate per 1,000 Social Care Clients (adjusted)",16.2,40
2019/20,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients",1.7,80
2019/20,Scotland (All Areas Submitted),18-64 years,African,"Rate per 1,000 Social Care Clients (adjusted)",1.8,80
2019/20,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients",11.6,555
2019/20,Scotland (All Areas Submitted),18-64 years,Asian,"Rate per 1,000 Social Care Clients (adjusted)",11.2,500
2019/20,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients",0.7,35
2019/20,Scotland (All Areas Submitted),18-64 years,Caribbean or Black,"Rate per 1,000 Social Care Clients (adjusted)",0.8,35
2019/20,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients",763.2,36540
2019/20,Scotland (All Areas Submitted),18-64 years,White,"Rate per 1,000 Social Care Clients (adjusted)",764.4,34275
2019/20,Scotland (All Areas Submitted),18-64 years,Other Ethnic Group,"Rate per 1,000 Social Care Clients",4.2,200
