financial_year,sending_location,age_group,client_group,measure,rate,nclient
2017/18,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",8.4,330
2017/18,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",70.1,2915
2017/18,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",68.9,2695
2017/18,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",288,11975
2017/18,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",290.5,11370
2017/18,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",162.6,6760
2017/18,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",162.1,6345
2017/18,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",384.8,16000
2017/18,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",385.4,15085
2017/18,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients",247.1,10275
2017/18,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",248.4,9720
2017/18,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",128,5320
2017/18,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",130.2,5095
2017/18,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients",62.7,1800
2017/18,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",57.1,1545
2017/18,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",465,13355
2017/18,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",463.4,12530
2017/18,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",45.4,1305
2017/18,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",44.9,1215
2017/18,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",81.8,2350
2017/18,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",78,2110
2017/18,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",424.3,12185
2017/18,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",431.7,11675
2017/18,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients",182.6,5245
2017/18,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",183.6,4965
2017/18,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",83,2385
2017/18,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",84.7,2290
2017/18,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients",111.5,6675
2017/18,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",101.6,5675
2017/18,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",555.8,33270
2017/18,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",551,30780
2017/18,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",8.9,535
2017/18,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",8.5,475
2017/18,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",37.4,2240
2017/18,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",34.5,1930
2017/18,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",380.7,22785
2017/18,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",389.5,21760
2017/18,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients",152.2,9110
2017/18,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",155.5,8685
2017/18,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",81.9,4900
2017/18,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",84,4695
2017/18,Scotland (All Areas Submitted),85+ years,Dementia,"Rate per 1,000 Social Care Clients",117.2,7365
2017/18,Scotland (All Areas Submitted),85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",104.1,5945
2017/18,Scotland (All Areas Submitted),85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",631.9,39725
2017/18,Scotland (All Areas Submitted),85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",622.7,35545
2017/18,Scotland (All Areas Submitted),85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",2.1,130
2017/18,Scotland (All Areas Submitted),85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",2,115
2017/18,Scotland (All Areas Submitted),85+ years,Mental Health,"Rate per 1,000 Social Care Clients",24.7,1550
2017/18,Scotland (All Areas Submitted),85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",21.8,1245
2017/18,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",373.6,23490
2017/18,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",384.2,21930
2017/18,Scotland (All Areas Submitted),85+ years,Other,"Rate per 1,000 Social Care Clients",137.4,8635
2017/18,Scotland (All Areas Submitted),85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",145.2,8290
2017/18,Scotland (All Areas Submitted),85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",71.3,4480
2017/18,Scotland (All Areas Submitted),85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",75,4280
2017/18,Scotland (All Areas Submitted),Unknown,Dementia,"Rate per 1,000 Social Care Clients",52.6,10
2017/18,Scotland (All Areas Submitted),Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",605.3,115
2017/18,Scotland (All Areas Submitted),Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",26.3,5
2017/18,Scotland (All Areas Submitted),Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Mental Health,"Rate per 1,000 Social Care Clients",26.3,5
2017/18,Scotland (All Areas Submitted),Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",210.5,40
2017/18,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients",105.3,20
2017/18,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",184.2,35
2017/18,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients",77.8,18665
2018/19,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",68.8,15200
2018/19,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",497.9,119505
2018/19,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",493.9,109095
2018/19,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",72,17270
2018/19,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",73.3,16180
2018/19,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients",70.2,16845
2018/19,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",67.5,14910
2018/19,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",361.2,86685
2018/19,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",369.1,81535
2018/19,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients",188.6,45265
2018/19,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",187.8,41490
2018/19,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",107,25685
2018/19,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",111.5,24630
2018/19,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients",1.4,5
2018/19,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",1.6,5
2018/19,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",11.2,40
2018/19,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",9.8,30
2018/19,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",180.4,645
2018/19,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",164.7,505
2018/19,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",25.2,90
2018/19,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",26.1,80
2018/19,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",208.3,745
2018/19,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",208.7,640
2018/19,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients",502,1795
2018/19,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",484.2,1485
2018/19,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",253.1,905
2018/19,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",273.9,840
2018/19,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients",11.1,570
2018/19,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",10.9,520
2018/19,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",52.6,2690
2018/19,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",53.7,2570
2018/19,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",273.6,14000
2018/19,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",277.2,13270
2018/19,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",177.4,9075
2018/19,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",174.4,8350
2018/19,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",349.3,17875
2018/19,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",355.6,17020
2018/19,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients",308.1,15765
2018/19,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",299.5,14335
2018/19,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",146.2,7480
2018/19,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",149.5,7155
2018/19,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients",56.3,2005
2018/19,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",51.8,1735
2018/19,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",522.9,18610
2018/19,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",521.8,17485
2018/19,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",48.5,1725
2018/19,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",47.6,1595
2018/19,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",85.6,3045
2018/19,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",82.1,2750
2018/19,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",397.7,14155
2018/19,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",406.2,13610
2018/19,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients",196.7,7000
2018/19,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",194.7,6525
2018/19,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",108.3,3855
2018/19,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",111.9,3750
2018/19,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients",103.1,7475
2018/19,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",92.6,6235
2018/19,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",618.5,44835
2018/19,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",616.7,41545
2018/19,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",9.8,710
2018/19,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",9.4,635
2018/19,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",37.9,2745
2018/19,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",34.4,2315
2018/19,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",357.8,25935
2018/19,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",366.3,24675
2018/19,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients",152.8,11075
2018/19,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",153.9,10365
2018/19,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",97,7030
2018/19,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",100.8,6790
2018/19,Scotland (All Areas Submitted),85+ years,Dementia,"Rate per 1,000 Social Care Clients",111.7,8595
2018/19,Scotland (All Areas Submitted),85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",97.1,6705
2018/19,Scotland (All Areas Submitted),85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",691.1,53180
2018/19,Scotland (All Areas Submitted),85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",687.3,47470
2018/19,Scotland (All Areas Submitted),85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",2.4,185
2018/19,Scotland (All Areas Submitted),85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",2.5,170
2018/19,Scotland (All Areas Submitted),85+ years,Mental Health,"Rate per 1,000 Social Care Clients",24.5,1885
2018/19,Scotland (All Areas Submitted),85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",20.5,1415
2018/19,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",362.9,27925
2018/19,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",370.5,25590
2018/19,Scotland (All Areas Submitted),85+ years,Other,"Rate per 1,000 Social Care Clients",124.6,9590
2018/19,Scotland (All Areas Submitted),85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",127.2,8785
2018/19,Scotland (All Areas Submitted),85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",82.8,6375
2018/19,Scotland (All Areas Submitted),85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",88.2,6090
2018/19,Scotland (All Areas Submitted),Unknown,Dementia,"Rate per 1,000 Social Care Clients",61.5,15
2018/19,Scotland (All Areas Submitted),Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",614.8,150
2018/19,Scotland (All Areas Submitted),Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",20.5,5
2018/19,Scotland (All Areas Submitted),Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Mental Health,"Rate per 1,000 Social Care Clients",20.5,5
2018/19,Scotland (All Areas Submitted),Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",204.9,50
2018/19,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients",143.4,35
2018/19,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",163.9,40
2018/19,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2019/20,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients",72,16175
2019/20,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",63.9,13155
2019/20,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",473.8,106455
2019/20,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",468.3,96345
2019/20,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",71.9,16150
2019/20,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",75,15425
2019/20,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients",68.4,15360
2019/20,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",67.3,13840
2019/20,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",365.4,82095
2019/20,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",373.7,76880
2019/20,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients",181.7,40820
2019/20,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",180.5,37145
2019/20,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",89.4,20080
2019/20,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",93.1,19155
2019/20,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients",5.8,15
2019/20,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",6.1,15
2019/20,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",13.5,35
2019/20,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",12.2,30
2019/20,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",156.7,405
2019/20,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",160.8,395
2019/20,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",34.8,90
2019/20,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",32.6,80
2019/20,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",209,540
2019/20,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",203.6,500
2019/20,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients",565,1460
2019/20,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",563.9,1385
2019/20,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",210.9,545
2019/20,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",217.8,535
2019/20,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients",15,715
2019/20,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",15.3,685
2019/20,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",54.4,2595
2019/20,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",54.2,2430
2019/20,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",279.7,13335
2019/20,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",285.5,12800
2019/20,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",177.7,8475
2019/20,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",176.2,7900
2019/20,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",357.5,17045
2019/20,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",361.3,16200
2019/20,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients",337.3,16085
2019/20,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",328.5,14730
