financial_year,sending_location,age_group,service_group,nclient
2017/18,Scotland (All Areas Submitted),75-84 years,Social Worker,25905
2017/18,Scotland (All Areas Submitted),85+ years,Social Worker,28780
2017/18,Scotland (All Areas Submitted),Unknown,Social Worker,20
2018/19,Scotland (All Areas Submitted),All Ages,Care Home,51745
2018/19,Scotland (All Areas Submitted),0-17 years,Care Home,125
2018/19,Scotland (All Areas Submitted),18-64 years,Care Home,5575
2018/19,Scotland (All Areas Submitted),65-74 years,Care Home,5515
2018/19,Scotland (All Areas Submitted),75-84 years,Care Home,15405
2018/19,Scotland (All Areas Submitted),85+ years,Care Home,25075
2018/19,Scotland (All Areas Submitted),Unknown,Care Home,50
2018/19,Scotland (All Areas Submitted),All Ages,Care at Home,91580
2018/19,Scotland (All Areas Submitted),0-17 years,Care at Home,225
2018/19,Scotland (All Areas Submitted),18-64 years,Care at Home,14285
2018/19,Scotland (All Areas Submitted),65-74 years,Care at Home,14190
2018/19,Scotland (All Areas Submitted),75-84 years,Care at Home,30375
2018/19,Scotland (All Areas Submitted),85+ years,Care at Home,32460
2018/19,Scotland (All Areas Submitted),Unknown,Care at Home,50
2018/19,Scotland (All Areas Submitted),All Ages,Community Alarms / Telecare,125110
2018/19,Scotland (All Areas Submitted),0-17 years,Community Alarms / Telecare,540
2018/19,Scotland (All Areas Submitted),18-64 years,Community Alarms / Telecare,16635
2018/19,Scotland (All Areas Submitted),65-74 years,Community Alarms / Telecare,20120
2018/19,Scotland (All Areas Submitted),75-84 years,Community Alarms / Telecare,43815
2018/19,Scotland (All Areas Submitted),85+ years,Community Alarms / Telecare,43840
2018/19,Scotland (All Areas Submitted),Unknown,Community Alarms / Telecare,155
2018/19,Scotland (All Areas Submitted),All Ages,Day Care,11110
2018/19,Scotland (All Areas Submitted),0-17 years,Day Care,230
2018/19,Scotland (All Areas Submitted),18-64 years,Day Care,4625
2018/19,Scotland (All Areas Submitted),65-74 years,Day Care,1095
2018/19,Scotland (All Areas Submitted),75-84 years,Day Care,2530
2018/19,Scotland (All Areas Submitted),85+ years,Day Care,2610
2018/19,Scotland (All Areas Submitted),Unknown,Day Care,10
2018/19,Scotland (All Areas Submitted),All Ages,Housing Support,15880
2018/19,Scotland (All Areas Submitted),0-17 years,Housing Support,80
2018/19,Scotland (All Areas Submitted),18-64 years,Housing Support,7055
2018/19,Scotland (All Areas Submitted),65-74 years,Housing Support,3050
2018/19,Scotland (All Areas Submitted),75-84 years,Housing Support,3115
2018/19,Scotland (All Areas Submitted),85+ years,Housing Support,2580
2018/19,Scotland (All Areas Submitted),Unknown,Housing Support,5
2018/19,Scotland (All Areas Submitted),All Ages,Meals,5965
2018/19,Scotland (All Areas Submitted),0-17 years,Meals,0
2018/19,Scotland (All Areas Submitted),18-64 years,Meals,535
2018/19,Scotland (All Areas Submitted),65-74 years,Meals,920
2018/19,Scotland (All Areas Submitted),75-84 years,Meals,2030
2018/19,Scotland (All Areas Submitted),85+ years,Meals,2460
2018/19,Scotland (All Areas Submitted),Unknown,Meals,20
2018/19,Scotland (All Areas Submitted),All Ages,Social Worker,124965
2018/19,Scotland (All Areas Submitted),0-17 years,Social Worker,2335
2018/19,Scotland (All Areas Submitted),18-64 years,Social Worker,29965
2018/19,Scotland (All Areas Submitted),65-74 years,Social Worker,17510
2018/19,Scotland (All Areas Submitted),75-84 years,Social Worker,35955
2018/19,Scotland (All Areas Submitted),85+ years,Social Worker,39180
2018/19,Scotland (All Areas Submitted),Unknown,Social Worker,20
2019/20,Scotland (All Areas Submitted),All Ages,Care Home,50595
2019/20,Scotland (All Areas Submitted),0-17 years,Care Home,80
2019/20,Scotland (All Areas Submitted),18-64 years,Care Home,5235
2019/20,Scotland (All Areas Submitted),65-74 years,Care Home,5360
2019/20,Scotland (All Areas Submitted),75-84 years,Care Home,15165
2019/20,Scotland (All Areas Submitted),85+ years,Care Home,24695
2019/20,Scotland (All Areas Submitted),Unknown,Care Home,60
2019/20,Scotland (All Areas Submitted),All Ages,Care at Home,89110
2019/20,Scotland (All Areas Submitted),0-17 years,Care at Home,215
2019/20,Scotland (All Areas Submitted),18-64 years,Care at Home,14795
2019/20,Scotland (All Areas Submitted),65-74 years,Care at Home,13720
2019/20,Scotland (All Areas Submitted),75-84 years,Care at Home,28945
2019/20,Scotland (All Areas Submitted),85+ years,Care at Home,31380
2019/20,Scotland (All Areas Submitted),Unknown,Care at Home,55
2019/20,Scotland (All Areas Submitted),All Ages,Community Alarms / Telecare,117345
2019/20,Scotland (All Areas Submitted),0-17 years,Community Alarms / Telecare,500
2019/20,Scotland (All Areas Submitted),18-64 years,Community Alarms / Telecare,15640
2019/20,Scotland (All Areas Submitted),65-74 years,Community Alarms / Telecare,18360
2019/20,Scotland (All Areas Submitted),75-84 years,Community Alarms / Telecare,41045
2019/20,Scotland (All Areas Submitted),85+ years,Community Alarms / Telecare,41615
2019/20,Scotland (All Areas Submitted),Unknown,Community Alarms / Telecare,185
2019/20,Scotland (All Areas Submitted),All Ages,Day Care,9775
2019/20,Scotland (All Areas Submitted),0-17 years,Day Care,55
2019/20,Scotland (All Areas Submitted),18-64 years,Day Care,3965
2019/20,Scotland (All Areas Submitted),65-74 years,Day Care,975
2019/20,Scotland (All Areas Submitted),75-84 years,Day Care,2310
2019/20,Scotland (All Areas Submitted),85+ years,Day Care,2465
2019/20,Scotland (All Areas Submitted),Unknown,Day Care,5
2019/20,Scotland (All Areas Submitted),All Ages,Housing Support,11950
2019/20,Scotland (All Areas Submitted),0-17 years,Housing Support,95
2019/20,Scotland (All Areas Submitted),18-64 years,Housing Support,6475
2019/20,Scotland (All Areas Submitted),65-74 years,Housing Support,1840
2019/20,Scotland (All Areas Submitted),75-84 years,Housing Support,1885
2019/20,Scotland (All Areas Submitted),85+ years,Housing Support,1645
2019/20,Scotland (All Areas Submitted),Unknown,Housing Support,5
2019/20,Scotland (All Areas Submitted),All Ages,Meals,6430
2019/20,Scotland (All Areas Submitted),0-17 years,Meals,0
2019/20,Scotland (All Areas Submitted),18-64 years,Meals,535
2019/20,Scotland (All Areas Submitted),65-74 years,Meals,930
2019/20,Scotland (All Areas Submitted),75-84 years,Meals,2200
2019/20,Scotland (All Areas Submitted),85+ years,Meals,2760
2019/20,Scotland (All Areas Submitted),Unknown,Meals,10
2019/20,Scotland (All Areas Submitted),All Ages,Social Worker,122050
2019/20,Scotland (All Areas Submitted),0-17 years,Social Worker,1800
2019/20,Scotland (All Areas Submitted),18-64 years,Social Worker,29630
2019/20,Scotland (All Areas Submitted),65-74 years,Social Worker,17165
2019/20,Scotland (All Areas Submitted),75-84 years,Social Worker,35080
2019/20,Scotland (All Areas Submitted),85+ years,Social Worker,38365
2019/20,Scotland (All Areas Submitted),Unknown,Social Worker,10
2020/21,Scotland (All Areas Submitted),All Ages,Care Home,48210
2020/21,Scotland (All Areas Submitted),0-17 years,Care Home,70
2020/21,Scotland (All Areas Submitted),18-64 years,Care Home,4710
2020/21,Scotland (All Areas Submitted),65-74 years,Care Home,5135
2020/21,Scotland (All Areas Submitted),75-84 years,Care Home,14495
2020/21,Scotland (All Areas Submitted),85+ years,Care Home,23780
2020/21,Scotland (All Areas Submitted),Unknown,Care Home,20
2020/21,Scotland (All Areas Submitted),All Ages,Care at Home,92910
2020/21,Scotland (All Areas Submitted),0-17 years,Care at Home,360
2020/21,Scotland (All Areas Submitted),18-64 years,Care at Home,16290
2020/21,Scotland (All Areas Submitted),65-74 years,Care at Home,14425
2020/21,Scotland (All Areas Submitted),75-84 years,Care at Home,29375
2020/21,Scotland (All Areas Submitted),85+ years,Care at Home,32435
2020/21,Scotland (All Areas Submitted),Unknown,Care at Home,30
2020/21,Scotland (All Areas Submitted),All Ages,Community Alarms / Telecare,112980
2020/21,Scotland (All Areas Submitted),0-17 years,Community Alarms / Telecare,650
2020/21,Scotland (All Areas Submitted),18-64 years,Community Alarms / Telecare,15180
2020/21,Scotland (All Areas Submitted),65-74 years,Community Alarms / Telecare,17740
2020/21,Scotland (All Areas Submitted),75-84 years,Community Alarms / Telecare,38585
2020/21,Scotland (All Areas Submitted),85+ years,Community Alarms / Telecare,40790
2020/21,Scotland (All Areas Submitted),Unknown,Community Alarms / Telecare,40
2020/21,Scotland (All Areas Submitted),All Ages,Day Care,6260
2020/21,Scotland (All Areas Submitted),0-17 years,Day Care,40
2020/21,Scotland (All Areas Submitted),18-64 years,Day Care,3135
2020/21,Scotland (All Areas Submitted),65-74 years,Day Care,580
2020/21,Scotland (All Areas Submitted),75-84 years,Day Care,1175
2020/21,Scotland (All Areas Submitted),85+ years,Day Care,1325
2020/21,Scotland (All Areas Submitted),Unknown,Day Care,0
2020/21,Scotland (All Areas Submitted),All Ages,Meals,5650
2020/21,Scotland (All Areas Submitted),0-17 years,Meals,0
2020/21,Scotland (All Areas Submitted),18-64 years,Meals,550
2020/21,Scotland (All Areas Submitted),65-74 years,Meals,810
2020/21,Scotland (All Areas Submitted),75-84 years,Meals,1870
2020/21,Scotland (All Areas Submitted),85+ years,Meals,2420
2020/21,Scotland (All Areas Submitted),Unknown,Meals,0
2020/21,Scotland (All Areas Submitted),All Ages,Social Worker,128685
2020/21,Scotland (All Areas Submitted),0-17 years,Social Worker,2090
2020/21,Scotland (All Areas Submitted),18-64 years,Social Worker,31120
2020/21,Scotland (All Areas Submitted),65-74 years,Social Worker,17555
2020/21,Scotland (All Areas Submitted),75-84 years,Social Worker,36105
2020/21,Scotland (All Areas Submitted),85+ years,Social Worker,41790
2020/21,Scotland (All Areas Submitted),Unknown,Social Worker,25
2021/22,Scotland (All Areas Submitted),All Ages,Care Home,44850
2021/22,Scotland (All Areas Submitted),0-17 years,Care Home,40
2021/22,Scotland (All Areas Submitted),18-64 years,Care Home,4745
2021/22,Scotland (All Areas Submitted),65-74 years,Care Home,4925
2021/22,Scotland (All Areas Submitted),75-84 years,Care Home,13580
2021/22,Scotland (All Areas Submitted),85+ years,Care Home,21535
2021/22,Scotland (All Areas Submitted),Unknown,Care Home,30
2021/22,Scotland (All Areas Submitted),All Ages,Care at Home,88690
2021/22,Scotland (All Areas Submitted),0-17 years,Care at Home,385
2021/22,Scotland (All Areas Submitted),18-64 years,Care at Home,16225
2021/22,Scotland (All Areas Submitted),65-74 years,Care at Home,13725
2021/22,Scotland (All Areas Submitted),75-84 years,Care at Home,27460
2021/22,Scotland (All Areas Submitted),85+ years,Care at Home,30760
2021/22,Scotland (All Areas Submitted),Unknown,Care at Home,135
2021/22,Scotland (All Areas Submitted),All Ages,Community Alarms / Telecare,108950
2021/22,Scotland (All Areas Submitted),0-17 years,Community Alarms / Telecare,690
2021/22,Scotland (All Areas Submitted),18-64 years,Community Alarms / Telecare,14690
2021/22,Scotland (All Areas Submitted),65-74 years,Community Alarms / Telecare,16780
2021/22,Scotland (All Areas Submitted),75-84 years,Community Alarms / Telecare,36275
2021/22,Scotland (All Areas Submitted),85+ years,Community Alarms / Telecare,39805
2021/22,Scotland (All Areas Submitted),Unknown,Community Alarms / Telecare,705
2021/22,Scotland (All Areas Submitted),All Ages,Day Care,6285
2021/22,Scotland (All Areas Submitted),0-17 years,Day Care,40
2021/22,Scotland (All Areas Submitted),18-64 years,Day Care,3670
2021/22,Scotland (All Areas Submitted),65-74 years,Day Care,565
2021/22,Scotland (All Areas Submitted),75-84 years,Day Care,985
2021/22,Scotland (All Areas Submitted),85+ years,Day Care,1025
2021/22,Scotland (All Areas Submitted),Unknown,Day Care,0
2021/22,Scotland (All Areas Submitted),All Ages,Meals,5625
2021/22,Scotland (All Areas Submitted),0-17 years,Meals,0
2021/22,Scotland (All Areas Submitted),18-64 years,Meals,535
2021/22,Scotland (All Areas Submitted),65-74 years,Meals,835
2021/22,Scotland (All Areas Submitted),75-84 years,Meals,1860
2021/22,Scotland (All Areas Submitted),85+ years,Meals,2395
2021/22,Scotland (All Areas Submitted),Unknown,Meals,0
2021/22,Scotland (All Areas Submitted),All Ages,Social Worker,134385
2021/22,Scotland (All Areas Submitted),0-17 years,Social Worker,2905
2021/22,Scotland (All Areas Submitted),18-64 years,Social Worker,35890
2021/22,Scotland (All Areas Submitted),65-74 years,Social Worker,18220
2021/22,Scotland (All Areas Submitted),75-84 years,Social Worker,35780
2021/22,Scotland (All Areas Submitted),85+ years,Social Worker,41540
2021/22,Scotland (All Areas Submitted),Unknown,Social Worker,45
2017/18,Aberdeen City,All Ages,Care Home,1975
2017/18,Aberdeen City,0-17 years,Care Home,65
2017/18,Aberdeen City,18-64 years,Care Home,295
2017/18,Aberdeen City,65-74 years,Care Home,230
2017/18,Aberdeen City,75-84 years,Care Home,560
2017/18,Aberdeen City,85+ years,Care Home,825
2017/18,Aberdeen City,Unknown,Care Home,0
2017/18,Aberdeen City,All Ages,Care at Home,2035
2017/18,Aberdeen City,0-17 years,Care at Home,5
2017/18,Aberdeen City,18-64 years,Care at Home,360
2017/18,Aberdeen City,65-74 years,Care at Home,275
2017/18,Aberdeen City,75-84 years,Care at Home,635
2017/18,Aberdeen City,85+ years,Care at Home,760
2017/18,Aberdeen City,Unknown,Care at Home,0
2017/18,Aberdeen City,All Ages,Community Alarms / Telecare,3105
2017/18,Aberdeen City,0-17 years,Community Alarms / Telecare,30
2017/18,Aberdeen City,18-64 years,Community Alarms / Telecare,370
2017/18,Aberdeen City,65-74 years,Community Alarms / Telecare,385
2017/18,Aberdeen City,75-84 years,Community Alarms / Telecare,1035
2017/18,Aberdeen City,85+ years,Community Alarms / Telecare,1290
2017/18,Aberdeen City,Unknown,Community Alarms / Telecare,0
2017/18,Aberdeen City,All Ages,Day Care,845
2017/18,Aberdeen City,0-17 years,Day Care,60
2017/18,Aberdeen City,18-64 years,Day Care,580
2017/18,Aberdeen City,65-74 years,Day Care,55
2017/18,Aberdeen City,75-84 years,Day Care,80
2017/18,Aberdeen City,85+ years,Day Care,75
2017/18,Aberdeen City,Unknown,Day Care,0
2017/18,Aberdeen City,All Ages,Housing Support,3050
2017/18,Aberdeen City,0-17 years,Housing Support,0
2017/18,Aberdeen City,18-64 years,Housing Support,920
2017/18,Aberdeen City,65-74 years,Housing Support,595
2017/18,Aberdeen City,75-84 years,Housing Support,745
2017/18,Aberdeen City,85+ years,Housing Support,790
2017/18,Aberdeen City,Unknown,Housing Support,0
2017/18,Aberdeen City,All Ages,Meals,395
2017/18,Aberdeen City,0-17 years,Meals,0
2017/18,Aberdeen City,18-64 years,Meals,35
2017/18,Aberdeen City,65-74 years,Meals,70
2017/18,Aberdeen City,75-84 years,Meals,115
2017/18,Aberdeen City,85+ years,Meals,175
2017/18,Aberdeen City,Unknown,Meals,0
2017/18,Aberdeen City,All Ages,Social Worker,6620
2017/18,Aberdeen City,0-17 years,Social Worker,185
2017/18,Aberdeen City,18-64 years,Social Worker,2420
2017/18,Aberdeen City,65-74 years,Social Worker,770
2017/18,Aberdeen City,75-84 years,Social Worker,1460
2017/18,Aberdeen City,85+ years,Social Worker,1785
2017/18,Aberdeen City,Unknown,Social Worker,0
2018/19,Aberdeen City,All Ages,Care Home,2595
2018/19,Aberdeen City,0-17 years,Care Home,85
2018/19,Aberdeen City,18-64 years,Care Home,430
2018/19,Aberdeen City,65-74 years,Care Home,280
2018/19,Aberdeen City,75-84 years,Care Home,695
2018/19,Aberdeen City,85+ years,Care Home,1110
2018/19,Aberdeen City,Unknown,Care Home,0
2018/19,Aberdeen City,All Ages,Care at Home,2845
2018/19,Aberdeen City,0-17 years,Care at Home,5
2018/19,Aberdeen City,18-64 years,Care at Home,450
2018/19,Aberdeen City,65-74 years,Care at Home,405
2018/19,Aberdeen City,75-84 years,Care at Home,830
2018/19,Aberdeen City,85+ years,Care at Home,1155
2018/19,Aberdeen City,Unknown,Care at Home,0
2018/19,Aberdeen City,All Ages,Community Alarms / Telecare,3480
2018/19,Aberdeen City,0-17 years,Community Alarms / Telecare,20
2018/19,Aberdeen City,18-64 years,Community Alarms / Telecare,460
2018/19,Aberdeen City,65-74 years,Community Alarms / Telecare,615
2018/19,Aberdeen City,75-84 years,Community Alarms / Telecare,1090
2018/19,Aberdeen City,85+ years,Community Alarms / Telecare,1285
2018/19,Aberdeen City,Unknown,Community Alarms / Telecare,5
2018/19,Aberdeen City,All Ages,Day Care,720
2018/19,Aberdeen City,0-17 years,Day Care,40
2018/19,Aberdeen City,18-64 years,Day Care,510
2018/19,Aberdeen City,65-74 years,Day Care,50
2018/19,Aberdeen City,75-84 years,Day Care,60
2018/19,Aberdeen City,85+ years,Day Care,60
2018/19,Aberdeen City,Unknown,Day Care,0
2018/19,Aberdeen City,All Ages,Housing Support,1955
2018/19,Aberdeen City,0-17 years,Housing Support,0
2018/19,Aberdeen City,18-64 years,Housing Support,565
2018/19,Aberdeen City,65-74 years,Housing Support,450
2018/19,Aberdeen City,75-84 years,Housing Support,475
2018/19,Aberdeen City,85+ years,Housing Support,465
2018/19,Aberdeen City,Unknown,Housing Support,0
2018/19,Aberdeen City,All Ages,Meals,310
2018/19,Aberdeen City,0-17 years,Meals,0
2018/19,Aberdeen City,18-64 years,Meals,30
2018/19,Aberdeen City,65-74 years,Meals,50
2018/19,Aberdeen City,75-84 years,Meals,90
2018/19,Aberdeen City,85+ years,Meals,135
2018/19,Aberdeen City,Unknown,Meals,0
2018/19,Aberdeen City,All Ages,Social Worker,4260
2018/19,Aberdeen City,0-17 years,Social Worker,235
2018/19,Aberdeen City,18-64 years,Social Worker,1500
2018/19,Aberdeen City,65-74 years,Social Worker,475
2018/19,Aberdeen City,75-84 years,Social Worker,870
2018/19,Aberdeen City,85+ years,Social Worker,1175
2018/19,Aberdeen City,Unknown,Social Worker,0
2020/21,Aberdeen City,All Ages,Care Home,2135
2020/21,Aberdeen City,0-17 years,Care Home,45
2020/21,Aberdeen City,18-64 years,Care Home,305
2020/21,Aberdeen City,65-74 years,Care Home,245
2020/21,Aberdeen City,75-84 years,Care Home,560
2020/21,Aberdeen City,85+ years,Care Home,980
2020/21,Aberdeen City,Unknown,Care Home,0
2020/21,Aberdeen City,All Ages,Care at Home,2410
2020/21,Aberdeen City,0-17 years,Care at Home,5
2020/21,Aberdeen City,18-64 years,Care at Home,430
2020/21,Aberdeen City,65-74 years,Care at Home,365
2020/21,Aberdeen City,75-84 years,Care at Home,665
2020/21,Aberdeen City,85+ years,Care at Home,945
2020/21,Aberdeen City,Unknown,Care at Home,0
2017/18,Aberdeenshire,All Ages,Care Home,2080
2017/18,Aberdeenshire,0-17 years,Care Home,0
2017/18,Aberdeenshire,18-64 years,Care Home,280
2017/18,Aberdeenshire,65-74 years,Care Home,210
2017/18,Aberdeenshire,75-84 years,Care Home,605
2017/18,Aberdeenshire,85+ years,Care Home,980
2017/18,Aberdeenshire,Unknown,Care Home,0
2017/18,Aberdeenshire,All Ages,Care at Home,2535
2017/18,Aberdeenshire,0-17 years,Care at Home,0
2017/18,Aberdeenshire,18-64 years,Care at Home,300
2017/18,Aberdeenshire,65-74 years,Care at Home,370
2017/18,Aberdeenshire,75-84 years,Care at Home,885
2017/18,Aberdeenshire,85+ years,Care at Home,980
2017/18,Aberdeenshire,Unknown,Care at Home,0
2017/18,Aberdeenshire,All Ages,Community Alarms / Telecare,5375
2017/18,Aberdeenshire,0-17 years,Community Alarms / Telecare,0
2017/18,Aberdeenshire,18-64 years,Community Alarms / Telecare,615
2017/18,Aberdeenshire,65-74 years,Community Alarms / Telecare,875
2017/18,Aberdeenshire,75-84 years,Community Alarms / Telecare,1845
2017/18,Aberdeenshire,85+ years,Community Alarms / Telecare,2040
2017/18,Aberdeenshire,Unknown,Community Alarms / Telecare,0
2017/18,Aberdeenshire,All Ages,Day Care,755
2017/18,Aberdeenshire,0-17 years,Day Care,5
2017/18,Aberdeenshire,18-64 years,Day Care,485
2017/18,Aberdeenshire,65-74 years,Day Care,55
2017/18,Aberdeenshire,75-84 years,Day Care,120
2017/18,Aberdeenshire,85+ years,Day Care,95
2017/18,Aberdeenshire,Unknown,Day Care,0
2017/18,Aberdeenshire,All Ages,Housing Support,2135
2017/18,Aberdeenshire,0-17 years,Housing Support,0
2017/18,Aberdeenshire,18-64 years,Housing Support,450
2017/18,Aberdeenshire,65-74 years,Housing Support,450
2017/18,Aberdeenshire,75-84 years,Housing Support,685
2017/18,Aberdeenshire,85+ years,Housing Support,545
2017/18,Aberdeenshire,Unknown,Housing Support,0
2017/18,Aberdeenshire,All Ages,Meals,50
2017/18,Aberdeenshire,0-17 years,Meals,0
2017/18,Aberdeenshire,18-64 years,Meals,5
2017/18,Aberdeenshire,65-74 years,Meals,10
2017/18,Aberdeenshire,75-84 years,Meals,15
2017/18,Aberdeenshire,85+ years,Meals,25
2017/18,Aberdeenshire,Unknown,Meals,0
2017/18,Aberdeenshire,All Ages,Social Worker,5270
2017/18,Aberdeenshire,0-17 years,Social Worker,5
2017/18,Aberdeenshire,18-64 years,Social Worker,1240
2017/18,Aberdeenshire,65-74 years,Social Worker,615
2017/18,Aberdeenshire,75-84 years,Social Worker,1485
2017/18,Aberdeenshire,85+ years,Social Worker,1925
2017/18,Aberdeenshire,Unknown,Social Worker,0
2018/19,Aberdeenshire,All Ages,Care Home,2700
2018/19,Aberdeenshire,0-17 years,Care Home,0
2018/19,Aberdeenshire,18-64 years,Care Home,310
2018/19,Aberdeenshire,65-74 years,Care Home,270
2018/19,Aberdeenshire,75-84 years,Care Home,800
2018/19,Aberdeenshire,85+ years,Care Home,1315
2018/19,Aberdeenshire,Unknown,Care Home,0
2018/19,Aberdeenshire,All Ages,Care at Home,2905
2018/19,Aberdeenshire,0-17 years,Care at Home,0
2018/19,Aberdeenshire,18-64 years,Care at Home,340
2018/19,Aberdeenshire,65-74 years,Care at Home,395
2018/19,Aberdeenshire,75-84 years,Care at Home,995
2018/19,Aberdeenshire,85+ years,Care at Home,1170
2018/19,Aberdeenshire,Unknown,Care at Home,0
2018/19,Aberdeenshire,All Ages,Community Alarms / Telecare,5320
2018/19,Aberdeenshire,0-17 years,Community Alarms / Telecare,20
2018/19,Aberdeenshire,18-64 years,Community Alarms / Telecare,585
2018/19,Aberdeenshire,65-74 years,Community Alarms / Telecare,840
2018/19,Aberdeenshire,75-84 years,Community Alarms / Telecare,1835
2018/19,Aberdeenshire,85+ years,Community Alarms / Telecare,2040
2018/19,Aberdeenshire,Unknown,Community Alarms / Telecare,0
2018/19,Aberdeenshire,All Ages,Day Care,735
2018/19,Aberdeenshire,0-17 years,Day Care,40
2018/19,Aberdeenshire,18-64 years,Day Care,465
2018/19,Aberdeenshire,65-74 years,Day Care,55
2018/19,Aberdeenshire,75-84 years,Day Care,100
2018/19,Aberdeenshire,85+ years,Day Care,80
2018/19,Aberdeenshire,Unknown,Day Care,0
2018/19,Aberdeenshire,All Ages,Housing Support,2345
2018/19,Aberdeenshire,0-17 years,Housing Support,0
2018/19,Aberdeenshire,18-64 years,Housing Support,560
2018/19,Aberdeenshire,65-74 years,Housing Support,490
2018/19,Aberdeenshire,75-84 years,Housing Support,720
2018/19,Aberdeenshire,85+ years,Housing Support,575
2018/19,Aberdeenshire,Unknown,Housing Support,0
2018/19,Aberdeenshire,All Ages,Meals,35
2018/19,Aberdeenshire,0-17 years,Meals,0
2018/19,Aberdeenshire,18-64 years,Meals,0
2018/19,Aberdeenshire,65-74 years,Meals,5
2018/19,Aberdeenshire,75-84 years,Meals,10
2018/19,Aberdeenshire,85+ years,Meals,20
2018/19,Aberdeenshire,Unknown,Meals,0
2018/19,Aberdeenshire,All Ages,Social Worker,7860
2018/19,Aberdeenshire,0-17 years,Social Worker,20
2018/19,Aberdeenshire,18-64 years,Social Worker,2480
2018/19,Aberdeenshire,65-74 years,Social Worker,990
2018/19,Aberdeenshire,75-84 years,Social Worker,1985
2018/19,Aberdeenshire,85+ years,Social Worker,2385
2018/19,Aberdeenshire,Unknown,Social Worker,0
2019/20,Aberdeenshire,All Ages,Care Home,2805
2019/20,Aberdeenshire,0-17 years,Care Home,5
2019/20,Aberdeenshire,18-64 years,Care Home,345
2019/20,Aberdeenshire,65-74 years,Care Home,285
2019/20,Aberdeenshire,75-84 years,Care Home,815
2019/20,Aberdeenshire,85+ years,Care Home,1360
2019/20,Aberdeenshire,Unknown,Care Home,0
2019/20,Aberdeenshire,All Ages,Care at Home,3500
2019/20,Aberdeenshire,0-17 years,Care at Home,5
2019/20,Aberdeenshire,18-64 years,Care at Home,420
2019/20,Aberdeenshire,65-74 years,Care at Home,480
2019/20,Aberdeenshire,75-84 years,Care at Home,1195
2019/20,Aberdeenshire,85+ years,Care at Home,1405
2019/20,Aberdeenshire,Unknown,Care at Home,0
2019/20,Aberdeenshire,All Ages,Community Alarms / Telecare,5335
