financial_year,sending_location,age_group,client_group,measure,denominator,nclient,rate
2017/18,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",27042,2290,84.7
2017/18,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients",59855,6675,111.5
2017/18,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",55866,5675,101.6
2017/18,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",59855,33270,555.8
2017/18,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",55866,30780,551
2017/18,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",59855,535,8.9
2017/18,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",55866,475,8.5
2017/18,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",59855,2240,37.4
2017/18,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",55866,1930,34.5
2017/18,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",59855,22785,380.7
2017/18,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",55866,21760,389.5
2017/18,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients",59855,9110,152.2
2017/18,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",55866,8685,155.5
2017/18,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",59855,4900,81.9
2017/18,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",55866,4695,84
2017/18,Scotland (All Areas Submitted),85+ years,Dementia,"Rate per 1,000 Social Care Clients",62868,7365,117.2
2017/18,Scotland (All Areas Submitted),85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",57083,5945,104.1
2017/18,Scotland (All Areas Submitted),85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",62868,39725,631.9
2017/18,Scotland (All Areas Submitted),85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",57083,35545,622.7
2017/18,Scotland (All Areas Submitted),85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",62868,130,2.1
2017/18,Scotland (All Areas Submitted),85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",57083,115,2
2017/18,Scotland (All Areas Submitted),85+ years,Mental Health,"Rate per 1,000 Social Care Clients",62868,1550,24.7
2017/18,Scotland (All Areas Submitted),85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",57083,1245,21.8
2017/18,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",62868,23490,373.6
2017/18,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",57083,21930,384.2
2017/18,Scotland (All Areas Submitted),85+ years,Other,"Rate per 1,000 Social Care Clients",62868,8635,137.4
2017/18,Scotland (All Areas Submitted),85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",57083,8290,145.2
2017/18,Scotland (All Areas Submitted),85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",62868,4480,71.3
2017/18,Scotland (All Areas Submitted),85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",57083,4280,75
2017/18,Scotland (All Areas Submitted),Unknown,Dementia,"Rate per 1,000 Social Care Clients",190,10,52.6
2017/18,Scotland (All Areas Submitted),Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Scotland (All Areas Submitted),Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",190,115,605.3
2017/18,Scotland (All Areas Submitted),Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Scotland (All Areas Submitted),Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",190,5,26.3
2017/18,Scotland (All Areas Submitted),Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Scotland (All Areas Submitted),Unknown,Mental Health,"Rate per 1,000 Social Care Clients",190,5,26.3
2017/18,Scotland (All Areas Submitted),Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",190,40,210.5
2017/18,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients",190,20,105.3
2017/18,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2017/18,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",190,35,184.2
2017/18,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients",240021,18665,77.8
2018/19,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",220874,15200,68.8
2018/19,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",240021,119505,497.9
2018/19,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",220874,109095,493.9
2018/19,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",240021,17270,72
2018/19,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",220874,16180,73.3
2018/19,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients",240021,16845,70.2
2018/19,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",220874,14910,67.5
2018/19,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",240021,86685,361.2
2018/19,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",220874,81535,369.1
2018/19,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients",240021,45265,188.6
2018/19,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",220874,41490,187.8
2018/19,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",240021,25685,107
2018/19,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",220874,24630,111.5
2018/19,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients",3576,5,1.4
2018/19,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",3067,5,1.6
2018/19,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",3576,40,11.2
2018/19,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",3067,30,9.8
2018/19,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",3576,645,180.4
2018/19,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",3067,505,164.7
2018/19,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",3576,90,25.2
2018/19,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",3067,80,26.1
2018/19,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",3576,745,208.3
2018/19,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",3067,640,208.7
2018/19,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients",3576,1795,502
2018/19,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",3067,1485,484.2
2018/19,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",3576,905,253.1
2018/19,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",3067,840,273.9
2018/19,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients",51170,570,11.1
2018/19,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",47869,520,10.9
2018/19,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",51170,2690,52.6
2018/19,Scotland (All Areas Submitted),18-64 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",47869,2570,53.7
2018/19,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients",51170,14000,273.6
2018/19,Scotland (All Areas Submitted),18-64 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",47869,13270,277.2
2018/19,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients",51170,9075,177.4
2018/19,Scotland (All Areas Submitted),18-64 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",47869,8350,174.4
2018/19,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",51170,17875,349.3
2018/19,Scotland (All Areas Submitted),18-64 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",47869,17020,355.6
2018/19,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients",51170,15765,308.1
2018/19,Scotland (All Areas Submitted),18-64 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",47869,14335,299.5
2018/19,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients",51170,7480,146.2
2018/19,Scotland (All Areas Submitted),18-64 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",47869,7155,149.5
2018/19,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients",35593,2005,56.3
2018/19,Scotland (All Areas Submitted),65-74 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",33506,1735,51.8
2018/19,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",35593,18610,522.9
2018/19,Scotland (All Areas Submitted),65-74 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",33506,17485,521.8
2018/19,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients",35593,1725,48.5
2018/19,Scotland (All Areas Submitted),65-74 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",33506,1595,47.6
2018/19,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients",35593,3045,85.6
2018/19,Scotland (All Areas Submitted),65-74 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",33506,2750,82.1
2018/19,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",35593,14155,397.7
2018/19,Scotland (All Areas Submitted),65-74 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",33506,13610,406.2
2018/19,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients",35593,7000,196.7
2018/19,Scotland (All Areas Submitted),65-74 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",33506,6525,194.7
2018/19,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients",35593,3855,108.3
2018/19,Scotland (All Areas Submitted),65-74 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",33506,3750,111.9
2018/19,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients",72487,7475,103.1
2018/19,Scotland (All Areas Submitted),75-84 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",67363,6235,92.6
2018/19,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",72487,44835,618.5
2018/19,Scotland (All Areas Submitted),75-84 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",67363,41545,616.7
2018/19,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients",72487,710,9.8
2018/19,Scotland (All Areas Submitted),75-84 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",67363,635,9.4
2018/19,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients",72487,2745,37.9
2018/19,Scotland (All Areas Submitted),75-84 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",67363,2315,34.4
2018/19,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",72487,25935,357.8
2018/19,Scotland (All Areas Submitted),75-84 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",67363,24675,366.3
2018/19,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients",72487,11075,152.8
2018/19,Scotland (All Areas Submitted),75-84 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",67363,10365,153.9
2018/19,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients",72487,7030,97
2018/19,Scotland (All Areas Submitted),75-84 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",67363,6790,100.8
2018/19,Scotland (All Areas Submitted),85+ years,Dementia,"Rate per 1,000 Social Care Clients",76951,8595,111.7
2018/19,Scotland (All Areas Submitted),85+ years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",69069,6705,97.1
2018/19,Scotland (All Areas Submitted),85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients",76951,53180,691.1
2018/19,Scotland (All Areas Submitted),85+ years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",69069,47470,687.3
2018/19,Scotland (All Areas Submitted),85+ years,Learning Disability,"Rate per 1,000 Social Care Clients",76951,185,2.4
2018/19,Scotland (All Areas Submitted),85+ years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",69069,170,2.5
2018/19,Scotland (All Areas Submitted),85+ years,Mental Health,"Rate per 1,000 Social Care Clients",76951,1885,24.5
2018/19,Scotland (All Areas Submitted),85+ years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",69069,1415,20.5
2018/19,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",76951,27925,362.9
2018/19,Scotland (All Areas Submitted),85+ years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",69069,25590,370.5
2018/19,Scotland (All Areas Submitted),85+ years,Other,"Rate per 1,000 Social Care Clients",76951,9590,124.6
2018/19,Scotland (All Areas Submitted),85+ years,Other,"Rate per 1,000 Social Care Clients (adjusted)",69069,8785,127.2
2018/19,Scotland (All Areas Submitted),85+ years,Not Recorded,"Rate per 1,000 Social Care Clients",76951,6375,82.8
2018/19,Scotland (All Areas Submitted),85+ years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",69069,6090,88.2
2018/19,Scotland (All Areas Submitted),Unknown,Dementia,"Rate per 1,000 Social Care Clients",244,15,61.5
2018/19,Scotland (All Areas Submitted),Unknown,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Scotland (All Areas Submitted),Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients",244,150,614.8
2018/19,Scotland (All Areas Submitted),Unknown,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Scotland (All Areas Submitted),Unknown,Learning Disability,"Rate per 1,000 Social Care Clients",244,5,20.5
2018/19,Scotland (All Areas Submitted),Unknown,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Scotland (All Areas Submitted),Unknown,Mental Health,"Rate per 1,000 Social Care Clients",244,5,20.5
2018/19,Scotland (All Areas Submitted),Unknown,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",244,50,204.9
2018/19,Scotland (All Areas Submitted),Unknown,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients",244,35,143.4
2018/19,Scotland (All Areas Submitted),Unknown,Other,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2018/19,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients",244,40,163.9
2018/19,Scotland (All Areas Submitted),Unknown,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",NA,0,0
2019/20,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients",224681,16175,72
2019/20,Scotland (All Areas Submitted),All Ages,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",205752,13155,63.9
2019/20,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients",224681,106455,473.8
2019/20,Scotland (All Areas Submitted),All Ages,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",205752,96345,468.3
2019/20,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients",224681,16150,71.9
2019/20,Scotland (All Areas Submitted),All Ages,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",205752,15425,75
2019/20,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients",224681,15360,68.4
2019/20,Scotland (All Areas Submitted),All Ages,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",205752,13840,67.3
2019/20,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",224681,82095,365.4
2019/20,Scotland (All Areas Submitted),All Ages,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",205752,76880,373.7
2019/20,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients",224681,40820,181.7
2019/20,Scotland (All Areas Submitted),All Ages,Other,"Rate per 1,000 Social Care Clients (adjusted)",205752,37145,180.5
2019/20,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients",224681,20080,89.4
2019/20,Scotland (All Areas Submitted),All Ages,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",205752,19155,93.1
2019/20,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients",2584,15,5.8
2019/20,Scotland (All Areas Submitted),0-17 years,Dementia,"Rate per 1,000 Social Care Clients (adjusted)",2456,15,6.1
2019/20,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients",2584,35,13.5
2019/20,Scotland (All Areas Submitted),0-17 years,Elderly / Frail,"Rate per 1,000 Social Care Clients (adjusted)",2456,30,12.2
2019/20,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients",2584,405,156.7
2019/20,Scotland (All Areas Submitted),0-17 years,Learning Disability,"Rate per 1,000 Social Care Clients (adjusted)",2456,395,160.8
2019/20,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients",2584,90,34.8
2019/20,Scotland (All Areas Submitted),0-17 years,Mental Health,"Rate per 1,000 Social Care Clients (adjusted)",2456,80,32.6
2019/20,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients",2584,540,209
2019/20,Scotland (All Areas Submitted),0-17 years,Physical and Sensory Disability,"Rate per 1,000 Social Care Clients (adjusted)",2456,500,203.6
2019/20,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients",2584,1460,565
2019/20,Scotland (All Areas Submitted),0-17 years,Other,"Rate per 1,000 Social Care Clients (adjusted)",2456,1385,563.9
2019/20,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients",2584,545,210.9
2019/20,Scotland (All Areas Submitted),0-17 years,Not Recorded,"Rate per 1,000 Social Care Clients (adjusted)",2456,535,217.8
2019/20,Scotland (All Areas Submitted),18-64 years,Dementia,"Rate per 1,000 Social Care Clients",47681,715,15
