financial_year,sending_location,age_group,living_alone,measure,nclient,percentage
2017/18,Aberdeen City,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),610,42.5
2017/18,Aberdeen City,75-84 years,Living Alone,Percentage of Social Care Clients,735,28.2
2017/18,Aberdeen City,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),735,28.2
2017/18,Aberdeen City,75-84 years,Not Living Alone,Percentage of Social Care Clients,780,29.9
2017/18,Aberdeen City,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),780,29.9
2017/18,Aberdeen City,75-84 years,Unknown,Percentage of Social Care Clients,1095,42
2017/18,Aberdeen City,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),1090,41.8
2017/18,Aberdeen City,85+ years,Living Alone,Percentage of Social Care Clients,1180,38.7
2017/18,Aberdeen City,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),1175,38.8
2017/18,Aberdeen City,85+ years,Not Living Alone,Percentage of Social Care Clients,745,24.4
2017/18,Aberdeen City,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),735,24.3
2017/18,Aberdeen City,85+ years,Unknown,Percentage of Social Care Clients,1125,36.9
2017/18,Aberdeen City,85+ years,Unknown,Percentage of Social Care Clients (adjusted),1120,37
2017/18,Aberdeenshire,All Ages,Unknown,Percentage of Social Care Clients,9070,100
2017/18,Aberdeenshire,All Ages,Unknown,Percentage of Social Care Clients (adjusted),9015,100
2017/18,Aberdeenshire,0-17 years,Unknown,Percentage of Social Care Clients,15,100
2017/18,Aberdeenshire,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),15,100
2017/18,Aberdeenshire,18-64 years,Unknown,Percentage of Social Care Clients,1700,100
2017/18,Aberdeenshire,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),1690,100
2017/18,Aberdeenshire,65-74 years,Unknown,Percentage of Social Care Clients,1320,100
2017/18,Aberdeenshire,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),1315,100
2017/18,Aberdeenshire,75-84 years,Unknown,Percentage of Social Care Clients,2835,100
2017/18,Aberdeenshire,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),2810,100
2017/18,Aberdeenshire,85+ years,Unknown,Percentage of Social Care Clients,3205,100
2017/18,Aberdeenshire,85+ years,Unknown,Percentage of Social Care Clients (adjusted),3180,100
2017/18,Angus,All Ages,Living Alone,Percentage of Social Care Clients,1550,26.6
2017/18,Angus,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1550,26.6
2017/18,Angus,All Ages,Not Living Alone,Percentage of Social Care Clients,2315,39.7
2017/18,Angus,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),2315,39.7
2017/18,Angus,All Ages,Unknown,Percentage of Social Care Clients,1970,33.8
2017/18,Angus,All Ages,Unknown,Percentage of Social Care Clients (adjusted),1970,33.8
2017/18,Angus,0-17 years,Not Living Alone,Percentage of Social Care Clients,20,80
2017/18,Angus,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),20,80
2017/18,Angus,0-17 years,Unknown,Percentage of Social Care Clients,5,20
2017/18,Angus,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),5,20
2017/18,Angus,18-64 years,Living Alone,Percentage of Social Care Clients,270,27.8
2017/18,Angus,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),270,27.8
2017/18,Angus,18-64 years,Not Living Alone,Percentage of Social Care Clients,395,40.7
2017/18,Angus,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),395,40.7
2017/18,Angus,18-64 years,Unknown,Percentage of Social Care Clients,305,31.4
2017/18,Angus,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),305,31.4
2017/18,Angus,65-74 years,Living Alone,Percentage of Social Care Clients,175,22.9
2017/18,Angus,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),175,22.9
2017/18,Angus,65-74 years,Not Living Alone,Percentage of Social Care Clients,335,43.8
2017/18,Angus,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),335,43.8
2017/18,Angus,65-74 years,Unknown,Percentage of Social Care Clients,255,33.3
2017/18,Angus,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),255,33.3
2017/18,Angus,75-84 years,Living Alone,Percentage of Social Care Clients,510,28
2017/18,Angus,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),510,28
2017/18,Angus,75-84 years,Not Living Alone,Percentage of Social Care Clients,800,44
2017/18,Angus,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),800,44
2017/18,Angus,75-84 years,Unknown,Percentage of Social Care Clients,510,28
2017/18,Angus,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),510,28
2017/18,Angus,85+ years,Living Alone,Percentage of Social Care Clients,595,26.4
2017/18,Angus,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),595,26.4
2017/18,Angus,85+ years,Not Living Alone,Percentage of Social Care Clients,765,33.9
2017/18,Angus,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),765,33.9
2017/18,Angus,85+ years,Unknown,Percentage of Social Care Clients,895,39.7
2017/18,Angus,85+ years,Unknown,Percentage of Social Care Clients (adjusted),895,39.7
2017/18,Argyll and Bute,All Ages,Living Alone,Percentage of Social Care Clients,150,4.5
2017/18,Argyll and Bute,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),150,4.5
2017/18,Argyll and Bute,All Ages,Not Living Alone,Percentage of Social Care Clients,1065,31.6
2017/18,Argyll and Bute,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),1065,31.6
2017/18,Argyll and Bute,All Ages,Unknown,Percentage of Social Care Clients,2150,63.9
2017/18,Argyll and Bute,All Ages,Unknown,Percentage of Social Care Clients (adjusted),2150,63.9
2017/18,Argyll and Bute,0-17 years,Unknown,Percentage of Social Care Clients,5,100
2017/18,Argyll and Bute,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),5,100
2017/18,Argyll and Bute,18-64 years,Living Alone,Percentage of Social Care Clients,45,9
2017/18,Argyll and Bute,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),45,9
2017/18,Argyll and Bute,18-64 years,Not Living Alone,Percentage of Social Care Clients,170,34
2017/18,Argyll and Bute,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),170,34
2017/18,Argyll and Bute,18-64 years,Unknown,Percentage of Social Care Clients,285,57
2017/18,Argyll and Bute,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),285,57
2017/18,Argyll and Bute,65-74 years,Living Alone,Percentage of Social Care Clients,15,3.4
2017/18,Argyll and Bute,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),15,3.4
2017/18,Argyll and Bute,65-74 years,Not Living Alone,Percentage of Social Care Clients,130,29.9
2017/18,Argyll and Bute,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),130,29.9
2017/18,Argyll and Bute,65-74 years,Unknown,Percentage of Social Care Clients,290,66.7
2017/18,Argyll and Bute,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),290,66.7
2017/18,Argyll and Bute,75-84 years,Living Alone,Percentage of Social Care Clients,35,3.2
2017/18,Argyll and Bute,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),35,3.2
2017/18,Argyll and Bute,75-84 years,Not Living Alone,Percentage of Social Care Clients,300,27.4
2017/18,Argyll and Bute,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),300,27.4
2017/18,Argyll and Bute,75-84 years,Unknown,Percentage of Social Care Clients,760,69.4
2017/18,Argyll and Bute,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),760,69.4
2017/18,Argyll and Bute,85+ years,Living Alone,Percentage of Social Care Clients,50,3.8
2017/18,Argyll and Bute,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),50,3.8
2017/18,Argyll and Bute,85+ years,Not Living Alone,Percentage of Social Care Clients,460,35
2017/18,Argyll and Bute,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),460,34.8
2017/18,Argyll and Bute,85+ years,Unknown,Percentage of Social Care Clients,805,61.2
2017/18,Argyll and Bute,85+ years,Unknown,Percentage of Social Care Clients (adjusted),810,61.4
2017/18,City of Edinburgh,All Ages,Living Alone,Percentage of Social Care Clients,2095,12.1
2017/18,City of Edinburgh,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1550,10.5
2017/18,City of Edinburgh,All Ages,Not Living Alone,Percentage of Social Care Clients,180,1
2017/18,City of Edinburgh,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),180,1.2
2017/18,City of Edinburgh,All Ages,Unknown,Percentage of Social Care Clients,15030,86.9
2017/18,City of Edinburgh,All Ages,Unknown,Percentage of Social Care Clients (adjusted),13050,88.3
2017/18,City of Edinburgh,0-17 years,Not Living Alone,Percentage of Social Care Clients,180,61
2017/18,City of Edinburgh,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),180,62.1
2017/18,City of Edinburgh,0-17 years,Unknown,Percentage of Social Care Clients,115,39
2017/18,City of Edinburgh,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),110,37.9
2017/18,City of Edinburgh,18-64 years,Living Alone,Percentage of Social Care Clients,235,5.9
2017/18,City of Edinburgh,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),215,5.7
2017/18,City of Edinburgh,18-64 years,Unknown,Percentage of Social Care Clients,3770,94.1
2017/18,City of Edinburgh,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),3540,94.3
2017/18,City of Edinburgh,65-74 years,Living Alone,Percentage of Social Care Clients,240,9.4
2017/18,City of Edinburgh,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),205,9
2017/18,City of Edinburgh,65-74 years,Unknown,Percentage of Social Care Clients,2315,90.6
2017/18,City of Edinburgh,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),2085,91
2017/18,City of Edinburgh,75-84 years,Living Alone,Percentage of Social Care Clients,550,12.4
2017/18,City of Edinburgh,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),415,11.1
2017/18,City of Edinburgh,75-84 years,Unknown,Percentage of Social Care Clients,3890,87.6
2017/18,City of Edinburgh,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),3330,88.9
2017/18,City of Edinburgh,85+ years,Living Alone,Percentage of Social Care Clients,1065,18.1
2017/18,City of Edinburgh,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),720,15.3
2017/18,City of Edinburgh,85+ years,Unknown,Percentage of Social Care Clients,4810,81.9
2017/18,City of Edinburgh,85+ years,Unknown,Percentage of Social Care Clients (adjusted),3985,84.7
2017/18,City of Edinburgh,Unknown,Unknown,Percentage of Social Care Clients,130,100
2017/18,Clackmannanshire,All Ages,Living Alone,Percentage of Social Care Clients,1265,45.7
2017/18,Clackmannanshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1265,45.7
2017/18,Clackmannanshire,All Ages,Not Living Alone,Percentage of Social Care Clients,1505,54.3
2017/18,Clackmannanshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),1505,54.3
2017/18,Clackmannanshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,5,100
2017/18,Clackmannanshire,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),5,100
2017/18,Clackmannanshire,18-64 years,Living Alone,Percentage of Social Care Clients,210,33.1
2017/18,Clackmannanshire,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),210,33.1
2017/18,Clackmannanshire,18-64 years,Not Living Alone,Percentage of Social Care Clients,425,66.9
2017/18,Clackmannanshire,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),425,66.9
2017/18,Clackmannanshire,65-74 years,Living Alone,Percentage of Social Care Clients,220,45.4
2017/18,Clackmannanshire,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),220,45.4
2017/18,Clackmannanshire,65-74 years,Not Living Alone,Percentage of Social Care Clients,265,54.6
2017/18,Clackmannanshire,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),265,54.6
2017/18,Clackmannanshire,75-84 years,Living Alone,Percentage of Social Care Clients,440,48.9
2017/18,Clackmannanshire,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),440,48.9
2017/18,Clackmannanshire,75-84 years,Not Living Alone,Percentage of Social Care Clients,460,51.1
2017/18,Clackmannanshire,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),460,51.1
2017/18,Clackmannanshire,85+ years,Living Alone,Percentage of Social Care Clients,395,52.7
2017/18,Clackmannanshire,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),395,52.7
2017/18,Clackmannanshire,85+ years,Not Living Alone,Percentage of Social Care Clients,355,47.3
2017/18,Clackmannanshire,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),355,47.3
2017/18,Comhairle nan Eilean Siar,All Ages,Living Alone,Percentage of Social Care Clients,65,4.1
2017/18,Comhairle nan Eilean Siar,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),60,4.5
2017/18,Comhairle nan Eilean Siar,All Ages,Not Living Alone,Percentage of Social Care Clients,75,4.7
2017/18,Comhairle nan Eilean Siar,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),65,4.9
2017/18,Comhairle nan Eilean Siar,All Ages,Unknown,Percentage of Social Care Clients,1440,91.1
2017/18,Comhairle nan Eilean Siar,All Ages,Unknown,Percentage of Social Care Clients (adjusted),1210,90.6
2017/18,Comhairle nan Eilean Siar,0-17 years,Unknown,Percentage of Social Care Clients,5,100
2017/18,Comhairle nan Eilean Siar,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),5,100
2017/18,Comhairle nan Eilean Siar,18-64 years,Living Alone,Percentage of Social Care Clients,10,4.5
2017/18,Comhairle nan Eilean Siar,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),10,5.7
2017/18,Comhairle nan Eilean Siar,18-64 years,Not Living Alone,Percentage of Social Care Clients,15,6.8
2017/18,Comhairle nan Eilean Siar,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),15,8.6
2017/18,Comhairle nan Eilean Siar,18-64 years,Unknown,Percentage of Social Care Clients,195,88.6
2017/18,Comhairle nan Eilean Siar,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),150,85.7
2017/18,Comhairle nan Eilean Siar,65-74 years,Living Alone,Percentage of Social Care Clients,10,4.4
2017/18,Comhairle nan Eilean Siar,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),10,5.1
2017/18,Comhairle nan Eilean Siar,65-74 years,Not Living Alone,Percentage of Social Care Clients,15,6.7
2017/18,Comhairle nan Eilean Siar,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),10,5.1
2017/18,Comhairle nan Eilean Siar,65-74 years,Unknown,Percentage of Social Care Clients,200,88.9
2017/18,Comhairle nan Eilean Siar,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),175,89.7
2017/18,Comhairle nan Eilean Siar,75-84 years,Living Alone,Percentage of Social Care Clients,15,2.7
2017/18,Comhairle nan Eilean Siar,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),15,3.1
2017/18,Comhairle nan Eilean Siar,75-84 years,Not Living Alone,Percentage of Social Care Clients,20,3.6
2017/18,Comhairle nan Eilean Siar,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),20,4.2
2017/18,Comhairle nan Eilean Siar,75-84 years,Unknown,Percentage of Social Care Clients,515,93.6
2017/18,Comhairle nan Eilean Siar,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),445,92.7
2017/18,Comhairle nan Eilean Siar,85+ years,Living Alone,Percentage of Social Care Clients,30,5.2
2017/18,Comhairle nan Eilean Siar,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),25,5.1
2017/18,Comhairle nan Eilean Siar,85+ years,Not Living Alone,Percentage of Social Care Clients,25,4.3
2017/18,Comhairle nan Eilean Siar,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),20,4.1
2017/18,Comhairle nan Eilean Siar,85+ years,Unknown,Percentage of Social Care Clients,525,90.5
2017/18,Comhairle nan Eilean Siar,85+ years,Unknown,Percentage of Social Care Clients (adjusted),445,90.8
2017/18,Dumfries and Galloway,All Ages,Living Alone,Percentage of Social Care Clients,1405,19.9
2017/18,Dumfries and Galloway,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),1405,19.9
2017/18,Dumfries and Galloway,All Ages,Not Living Alone,Percentage of Social Care Clients,5665,80.1
2017/18,Dumfries and Galloway,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),5665,80.1
2017/18,Dumfries and Galloway,0-17 years,Not Living Alone,Percentage of Social Care Clients,105,100
2017/18,Dumfries and Galloway,0-17 years,Not Living Alone,Percentage of Social Care Clients (adjusted),105,100
2017/18,Dumfries and Galloway,18-64 years,Living Alone,Percentage of Social Care Clients,195,16.2
2017/18,Dumfries and Galloway,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),195,16.2
2017/18,Dumfries and Galloway,18-64 years,Not Living Alone,Percentage of Social Care Clients,1005,83.8
2017/18,Dumfries and Galloway,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1005,83.8
2017/18,Dumfries and Galloway,65-74 years,Living Alone,Percentage of Social Care Clients,180,20.6
2017/18,Dumfries and Galloway,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),180,20.6
2017/18,Dumfries and Galloway,65-74 years,Not Living Alone,Percentage of Social Care Clients,695,79.4
2017/18,Dumfries and Galloway,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),695,79.4
2017/18,Dumfries and Galloway,75-84 years,Living Alone,Percentage of Social Care Clients,480,22
2017/18,Dumfries and Galloway,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),480,22
2017/18,Dumfries and Galloway,75-84 years,Not Living Alone,Percentage of Social Care Clients,1705,78
2017/18,Dumfries and Galloway,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),1705,78
2017/18,Dumfries and Galloway,85+ years,Living Alone,Percentage of Social Care Clients,550,20.3
2017/18,Dumfries and Galloway,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),550,20.3
2017/18,Dumfries and Galloway,85+ years,Not Living Alone,Percentage of Social Care Clients,2155,79.7
2017/18,Dumfries and Galloway,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),2155,79.7
2017/18,Dundee City,All Ages,Living Alone,Percentage of Social Care Clients,3985,36.3
2017/18,Dundee City,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),3965,36.3
2017/18,Dundee City,All Ages,Not Living Alone,Percentage of Social Care Clients,880,8
2017/18,Dundee City,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),875,8
2017/18,Dundee City,All Ages,Unknown,Percentage of Social Care Clients,6120,55.7
2017/18,Dundee City,All Ages,Unknown,Percentage of Social Care Clients (adjusted),6070,55.6
2017/18,Dundee City,0-17 years,Unknown,Percentage of Social Care Clients,30,100
2017/18,Dundee City,0-17 years,Unknown,Percentage of Social Care Clients (adjusted),30,100
2017/18,Dundee City,18-64 years,Living Alone,Percentage of Social Care Clients,500,16.1
2017/18,Dundee City,18-64 years,Living Alone,Percentage of Social Care Clients (adjusted),495,16.1
2017/18,Dundee City,18-64 years,Not Living Alone,Percentage of Social Care Clients,235,7.5
2017/18,Dundee City,18-64 years,Not Living Alone,Percentage of Social Care Clients (adjusted),235,7.6
2017/18,Dundee City,18-64 years,Unknown,Percentage of Social Care Clients,2380,76.4
2017/18,Dundee City,18-64 years,Unknown,Percentage of Social Care Clients (adjusted),2350,76.3
2017/18,Dundee City,65-74 years,Living Alone,Percentage of Social Care Clients,565,27.3
2017/18,Dundee City,65-74 years,Living Alone,Percentage of Social Care Clients (adjusted),560,27.3
2017/18,Dundee City,65-74 years,Not Living Alone,Percentage of Social Care Clients,160,7.7
2017/18,Dundee City,65-74 years,Not Living Alone,Percentage of Social Care Clients (adjusted),155,7.6
2017/18,Dundee City,65-74 years,Unknown,Percentage of Social Care Clients,1345,65
2017/18,Dundee City,65-74 years,Unknown,Percentage of Social Care Clients (adjusted),1335,65.1
2017/18,Dundee City,75-84 years,Living Alone,Percentage of Social Care Clients,1285,42.1
2017/18,Dundee City,75-84 years,Living Alone,Percentage of Social Care Clients (adjusted),1280,42.1
2017/18,Dundee City,75-84 years,Not Living Alone,Percentage of Social Care Clients,250,8.2
2017/18,Dundee City,75-84 years,Not Living Alone,Percentage of Social Care Clients (adjusted),250,8.2
2017/18,Dundee City,75-84 years,Unknown,Percentage of Social Care Clients,1515,49.7
2017/18,Dundee City,75-84 years,Unknown,Percentage of Social Care Clients (adjusted),1510,49.7
2017/18,Dundee City,85+ years,Living Alone,Percentage of Social Care Clients,1635,60.2
2017/18,Dundee City,85+ years,Living Alone,Percentage of Social Care Clients (adjusted),1630,60.3
2017/18,Dundee City,85+ years,Not Living Alone,Percentage of Social Care Clients,230,8.5
2017/18,Dundee City,85+ years,Not Living Alone,Percentage of Social Care Clients (adjusted),230,8.5
2017/18,Dundee City,85+ years,Unknown,Percentage of Social Care Clients,850,31.3
2017/18,Dundee City,85+ years,Unknown,Percentage of Social Care Clients (adjusted),845,31.2
2017/18,East Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients,810,15.7
2017/18,East Ayrshire,All Ages,Living Alone,Percentage of Social Care Clients (adjusted),805,15.8
2017/18,East Ayrshire,All Ages,Not Living Alone,Percentage of Social Care Clients,4350,84.3
2017/18,East Ayrshire,All Ages,Not Living Alone,Percentage of Social Care Clients (adjusted),4290,84.2
2017/18,East Ayrshire,0-17 years,Not Living Alone,Percentage of Social Care Clients,100,100
