financial_year,sending_location,age_group,sex,measure,nclient,rate
2020/21,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients",25350,113.2
2020/21,Scotland (All Areas Submitted),18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",22175,111.5
2020/21,Scotland (All Areas Submitted),18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",145,0.6
2020/21,Scotland (All Areas Submitted),18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",125,0.6
2020/21,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients",17720,79.1
2020/21,Scotland (All Areas Submitted),65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",16350,82.2
2020/21,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients",14190,63.4
2020/21,Scotland (All Areas Submitted),65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",12860,64.7
2020/21,Scotland (All Areas Submitted),65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",150,0.7
2020/21,Scotland (All Areas Submitted),65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",135,0.7
2020/21,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients",41885,187.1
2020/21,Scotland (All Areas Submitted),75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",38075,191.5
2020/21,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients",23415,104.6
2020/21,Scotland (All Areas Submitted),75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",21050,105.8
2020/21,Scotland (All Areas Submitted),75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",300,1.3
2020/21,Scotland (All Areas Submitted),75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",265,1.3
2020/21,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients",52830,235.9
2020/21,Scotland (All Areas Submitted),85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",45440,228.5
2020/21,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients",21015,93.9
2020/21,Scotland (All Areas Submitted),85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",18490,93
2020/21,Scotland (All Areas Submitted),85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",345,1.5
2020/21,Scotland (All Areas Submitted),85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",275,1.4
2020/21,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients",45,0.2
2020/21,Scotland (All Areas Submitted),Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients",35,0.2
2020/21,Scotland (All Areas Submitted),Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2020/21,Scotland (All Areas Submitted),Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,0
2020/21,Scotland (All Areas Submitted),Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,All Ages,Female,"Rate per 1,000 Social Care Clients",6015,569
2017/18,Aberdeen City,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",5910,572.1
2017/18,Aberdeen City,All Ages,Male,"Rate per 1,000 Social Care Clients",4485,424.2
2017/18,Aberdeen City,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",4355,421.5
2017/18,Aberdeen City,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",70,6.6
2017/18,Aberdeen City,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",65,6.3
2017/18,Aberdeen City,0-17 years,Female,"Rate per 1,000 Social Care Clients",95,9
2017/18,Aberdeen City,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",75,7.3
2017/18,Aberdeen City,0-17 years,Male,"Rate per 1,000 Social Care Clients",210,19.9
2017/18,Aberdeen City,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",175,16.9
2017/18,Aberdeen City,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,18-64 years,Female,"Rate per 1,000 Social Care Clients",1345,127.2
2017/18,Aberdeen City,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1280,123.9
2017/18,Aberdeen City,18-64 years,Male,"Rate per 1,000 Social Care Clients",1780,168.4
2017/18,Aberdeen City,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",1705,165
2017/18,Aberdeen City,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",30,2.8
2017/18,Aberdeen City,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",25,2.4
2017/18,Aberdeen City,65-74 years,Female,"Rate per 1,000 Social Care Clients",755,71.4
2017/18,Aberdeen City,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",750,72.6
2017/18,Aberdeen City,65-74 years,Male,"Rate per 1,000 Social Care Clients",690,65.3
2017/18,Aberdeen City,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",685,66.3
2017/18,Aberdeen City,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,0.5
2017/18,Aberdeen City,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,0.5
2017/18,Aberdeen City,75-84 years,Female,"Rate per 1,000 Social Care Clients",1675,158.4
2017/18,Aberdeen City,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1670,161.6
2017/18,Aberdeen City,75-84 years,Male,"Rate per 1,000 Social Care Clients",920,87
2017/18,Aberdeen City,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",915,88.6
2017/18,Aberdeen City,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",15,1.4
2017/18,Aberdeen City,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",15,1.5
2017/18,Aberdeen City,85+ years,Female,"Rate per 1,000 Social Care Clients",2150,203.4
2017/18,Aberdeen City,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",2135,206.7
2017/18,Aberdeen City,85+ years,Male,"Rate per 1,000 Social Care Clients",885,83.7
2017/18,Aberdeen City,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",875,84.7
2017/18,Aberdeen City,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",15,1.4
2017/18,Aberdeen City,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",15,1.5
2017/18,Aberdeen City,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2017/18,Aberdeen City,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2017/18,Aberdeen City,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,All Ages,Female,"Rate per 1,000 Social Care Clients",5865,562.7
2018/19,Aberdeen City,All Ages,Female,"Rate per 1,000 Social Care Clients (adjusted)",5010,564.6
2018/19,Aberdeen City,All Ages,Male,"Rate per 1,000 Social Care Clients",4485,430.3
2018/19,Aberdeen City,All Ages,Male,"Rate per 1,000 Social Care Clients (adjusted)",3795,427.7
2018/19,Aberdeen City,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",75,7.2
2018/19,Aberdeen City,All Ages,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",65,7.3
2018/19,Aberdeen City,0-17 years,Female,"Rate per 1,000 Social Care Clients",130,12.5
2018/19,Aberdeen City,0-17 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",105,11.8
2018/19,Aberdeen City,0-17 years,Male,"Rate per 1,000 Social Care Clients",245,23.5
2018/19,Aberdeen City,0-17 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",195,22
2018/19,Aberdeen City,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,0-17 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,18-64 years,Female,"Rate per 1,000 Social Care Clients",1260,120.9
2018/19,Aberdeen City,18-64 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1065,120
2018/19,Aberdeen City,18-64 years,Male,"Rate per 1,000 Social Care Clients",1785,171.3
2018/19,Aberdeen City,18-64 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",1450,163.4
2018/19,Aberdeen City,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",30,2.9
2018/19,Aberdeen City,18-64 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",25,2.8
2018/19,Aberdeen City,65-74 years,Female,"Rate per 1,000 Social Care Clients",765,73.4
2018/19,Aberdeen City,65-74 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",685,77.2
2018/19,Aberdeen City,65-74 years,Male,"Rate per 1,000 Social Care Clients",715,68.6
2018/19,Aberdeen City,65-74 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",630,71
2018/19,Aberdeen City,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,0.5
2018/19,Aberdeen City,65-74 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",5,0.6
2018/19,Aberdeen City,75-84 years,Female,"Rate per 1,000 Social Care Clients",1600,153.5
2018/19,Aberdeen City,75-84 years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1385,156.1
2018/19,Aberdeen City,75-84 years,Male,"Rate per 1,000 Social Care Clients",890,85.4
2018/19,Aberdeen City,75-84 years,Male,"Rate per 1,000 Social Care Clients (adjusted)",780,87.9
2018/19,Aberdeen City,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",15,1.4
2018/19,Aberdeen City,75-84 years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",15,1.7
2018/19,Aberdeen City,85+ years,Female,"Rate per 1,000 Social Care Clients",2110,202.4
2018/19,Aberdeen City,85+ years,Female,"Rate per 1,000 Social Care Clients (adjusted)",1770,199.5
2018/19,Aberdeen City,85+ years,Male,"Rate per 1,000 Social Care Clients",845,81.1
2018/19,Aberdeen City,85+ years,Male,"Rate per 1,000 Social Care Clients (adjusted)",740,83.4
2018/19,Aberdeen City,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",15,1.4
2018/19,Aberdeen City,85+ years,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",20,2.3
2018/19,Aberdeen City,Unknown,Female,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Female,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Male,"Rate per 1,000 Social Care Clients",0,0
2018/19,Aberdeen City,Unknown,Male,"Rate per 1,000 Social Care Clients (adjusted)",0,0
2018/19,Aberdeen City,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients",5,0.5
2018/19,Aberdeen City,Unknown,Unknown/Not Specified,"Rate per 1,000 Social Care Clients (adjusted)",0,0
